,회사명,거래소코드,회계년도,부채(IFRS연결),자본(IFRS연결),부채(IFRS개별),자본(IFRS개별),부채비율(개별),부채비율(연결)
78,(주)SNT홀딩스,36530,Dec-17,626881784.0,1519293154.0,299279.0,425136143.0,0.07039603781699642,41.26141043613233
79,(주)SNT홀딩스,36530,Dec-18,610559077.0,1503275496.0,231691.0,422573122.0,0.054828617329807365,40.61524841086081
80,(주)SNT홀딩스,36530,Dec-19,610745978.0,1625933047.0,233270.0,416939604.0,0.05594815118594491,37.56279996441945
81,(주)STX,11810,Dec-11,3318233000.0,1915942000.0,2137600000.0,1164648000.0,183.54043453472636,173.19068113752922
82,(주)STX,11810,Dec-12,3560390000.0,1506639000.0,2103344000.0,1123534000.0,187.20786375846214,236.31341017987722
83,(주)STX,11810,Dec-13,1852183000.0,-509663000.0,1608657000.0,-522090000.0,-308.11871516405216,-363.41327504645227
84,(주)STX,11810,Dec-14,1161340000.0,93662000.0,1015539000.0,54894000.0,1850.0,1239.926544382994
85,(주)STX,11810,Dec-15,1194882000.0,72342000.0,985227000.0,72316000.0,1362.3914486420708,1651.712698017749
86,(주)STX,11810,Dec-16,1038305000.0,-330596000.0,956569000.0,-328883000.0,-290.8538902892518,-314.0706481627122
87,(주)STX,11810,Dec-17,584982000.0,42560000.0,475683000.0,44710000.0,1063.9297696264816,1374.4877819548872
88,(주)STX,11810,Dec-18,490033000.0,64028000.0,384545000.0,62213000.0,618.1103627859129,765.341725495096
89,(주)STX,11810,Dec-19,503816000.0,56291000.0,412118000.0,50616000.0,814.2049944681524,895.0205183777157
90,(주)TCC스틸,2710,Dec-11,228887542.0,225441968.0,202126588.0,205616971.0,98.30248301829133,101.52836405331594
91,(주)TCC스틸,2710,Dec-12,321015196.0,225998781.0,228887219.0,209755733.0,109.12084057316326,142.0428882755788
92,(주)TCC스틸,2710,Dec-13,337970494.0,205738102.0,234118683.0,210086242.0,111.43932166676578,164.27219397600936
93,(주)TCC스틸,2710,Dec-14,361962559.0,189038004.0,251203934.0,210093654.0,119.5675972202378,191.47607959296903
94,(주)TCC스틸,2710,Dec-15,290382095.0,86012476.0,254095791.0,76555951.0,331.9086076012562,337.60462261311955
95,(주)TCC스틸,2710,Dec-16,179577101.0,103337634.0,158254682.0,92623510.0,170.85800570503105,173.7770588012495
96,(주)TCC스틸,2710,Dec-17,177776736.0,100915803.0,159269192.0,89627045.0,177.70215675413598,176.16342605924663
97,(주)TCC스틸,2710,Dec-18,192535369.0,112246210.0,169783970.0,98351707.0,172.62940845551364,171.52950553965252
98,(주)TCC스틸,2710,Dec-19,197366953.0,116843135.0,172763630.0,97501452.0,177.19082788633753,168.9161738085853
99,(주)가비아,79940,Dec-11,16288697.0,48665742.0,12997135.0,24298687.0,53.48904243262198,33.47056128313014
100,(주)가비아,79940,Dec-12,26299269.0,58945247.0,20630538.0,31165211.0,66.19733137696389,44.61643701314883
