,회사명,거래소코드,회계년도,유동자산(IFRS연결),유동부채(IFRS연결),유동자산(IFRS개별),유동부채(IFRS개별),유동비율(개별),유동비율(연결)
81,(주)STX,11810,Dec-11,1430457000.0,2041868000.0,993206000.0,1568777000.0,63.310846602162066,70.05629159181692
82,(주)STX,11810,Dec-12,1484305000.0,2363189000.0,856988000.0,1821548000.0,47.04723674588866,62.80940711893971
83,(주)STX,11810,Dec-13,793607000.0,1278680000.0,640293000.0,1071743000.0,59.743147377682895,62.064550943160135
84,(주)STX,11810,Dec-14,893610000.0,788697000.0,728283000.0,671976000.0,108.3793171184685,113.3020665730946
85,(주)STX,11810,Dec-15,902119000.0,866685000.0,663016000.0,677923000.0,97.801077703515,104.08845197505437
86,(주)STX,11810,Dec-16,486347000.0,974743000.0,441306000.0,914419000.0,48.26080822905036,49.894895372421246
87,(주)STX,11810,Dec-17,475786000.0,553981000.0,349891000.0,453983000.0,77.07138813567909,85.88489496932206
88,(주)STX,11810,Dec-18,422861000.0,463598000.0,297842000.0,361935000.0,82.2915716910495,91.21286114262787
89,(주)STX,11810,Dec-19,386401000.0,439806000.0,292473000.0,377150000.0,77.54819037518229,87.85714610532825
90,(주)TCC스틸,2710,Dec-11,183481284.0,165589918.0,163515113.0,143961450.0,113.58256880574626,110.80462277902691
91,(주)TCC스틸,2710,Dec-12,218440703.0,191715329.0,168674581.0,115747321.0,145.7265529281667,113.94013412459051
92,(주)TCC스틸,2710,Dec-13,220034732.0,155751890.0,150092488.0,98538725.0,152.3182769007819,141.2725919409389
93,(주)TCC스틸,2710,Dec-14,233224033.0,283660429.0,141191905.0,189566139.0,74.48160612692544,82.21944591362089
94,(주)TCC스틸,2710,Dec-15,240184174.0,153614700.0,202116240.0,121276743.0,166.6570481695736,156.3549412914259
95,(주)TCC스틸,2710,Dec-16,120777516.0,94244692.0,97007914.0,77521428.0,125.13690279286394,128.1531229366212
96,(주)TCC스틸,2710,Dec-17,120243911.0,160048884.0,101914014.0,148607324.0,68.57940191426904,75.1294904374341
97,(주)TCC스틸,2710,Dec-18,152165969.0,93172096.0,128625665.0,82038987.0,156.78602296734846,163.31710408232095
98,(주)TCC스틸,2710,Dec-19,148991647.0,165995910.0,121879909.0,152915323.0,79.7041830791542,89.7562156802538
99,(주)가비아,79940,Dec-11,28837190.0,13905604.0,9245779.0,11953563.0,77.34747371976037,207.37819083586731
100,(주)가비아,79940,Dec-12,31997486.0,14858349.0,9613034.0,10723878.0,89.64139651719275,215.35021152080893
101,(주)가비아,79940,Dec-13,37411881.0,14999568.0,10360239.0,11588806.0,89.3986748936862,249.4197232880307
102,(주)가비아,79940,Dec-14,41920706.0,16229926.0,14916105.0,13161566.0,113.33077689995248,258.29265025607634
103,(주)가비아,79940,Dec-15,52239105.0,13210992.0,17436488.0,9687159.0,179.99588940369412,395.42151717297236
104,(주)가비아,79940,Dec-16,60241586.0,20386590.0,12237594.0,10247269.0,119.42297991786886,295.4961374118967
105,(주)가비아,79940,Dec-17,66113388.0,29400833.0,15116578.0,17323452.0,87.26077227564114,224.86909809664235
106,(주)가비아,79940,Dec-18,78058272.0,29792809.0,18388749.0,18089528.0,101.65411170484934,262.0037338540317
107,(주)가비아,79940,Dec-19,86880807.0,43098923.0,13602872.0,20260391.0,67.14022449023813,201.58463588521693
108,(주)강스템바이오텍,217730,Dec-15,,,18896590.0,2965591.0,637.1947446562928,
109,(주)강스템바이오텍,217730,Dec-16,,,37966496.0,3231048.0,1175.0520574129507,
110,(주)강스템바이오텍,217730,Dec-17,25246012.0,6368374.0,24316617.0,4000962.0,607.7692564938133,396.4279107979525
111,(주)강스템바이오텍,217730,Dec-18,48992790.0,20056267.0,44071609.0,13802351.0,319.3050879520453,244.27671410636887
112,(주)강스템바이오텍,217730,Dec-19,55408095.0,20598774.0,50136013.0,15296868.0,327.7534525368199,268.98734361569285
113,(주)강원랜드,35250,Dec-11,1163791156.0,440884890.0,1116717650.0,439575361.0,254.0446415057372,263.9671221211505
114,(주)강원랜드,35250,Dec-12,1165450728.0,518388305.0,1117338850.0,516757053.0,216.2213062237585,224.82195619748788
115,(주)강원랜드,35250,Dec-13,1080401909.0,570217325.0,1032979185.0,568327002.0,181.75789314335623,189.471954223769
116,(주)강원랜드,35250,Dec-14,1371825587.0,624516570.0,1349601870.0,619817290.0,217.74188809737785,219.66199984093296
117,(주)강원랜드,35250,Dec-15,1750420316.0,664599978.0,1736167993.0,662837030.0,261.92984314711566,263.379532642717
118,(주)강원랜드,35250,Dec-16,1809513458.0,718893173.0,1799026863.0,717426075.0,250.7612875654122,251.70825457261645
119,(주)강원랜드,35250,Dec-17,2164296051.0,681337932.0,2155754572.0,680591144.0,316.747373368702,317.6538321662091
120,(주)강원랜드,35250,Dec-18,1759033105.0,636028473.0,1749493012.0,635168405.0,275.43766318162506,276.5651507239991
121,(주)강원랜드,35250,Dec-19,1878191161.0,651342607.0,1868365557.0,650507914.0,287.21642224325035,288.35687099462234
122,(주)강원에너지,114190,Nov-11,,,47950975.0,29049482.0,165.06654060130916,
123,(주)강원에너지,114190,Dec-12,,,80491240.0,52980413.0,151.92641099268138,
124,(주)강원에너지,114190,Dec-13,,,61556228.0,26561224.0,231.7522264787195,
125,(주)강원에너지,114190,Dec-14,,,48800730.0,16587078.0,294.2093236674959,
126,(주)강원에너지,114190,Dec-15,62927388.0,18860326.0,58744703.0,26044865.0,225.5519581307102,333.6495244037669
127,(주)강원에너지,114190,Dec-16,53716336.0,12090212.0,49882033.0,17100077.0,291.70648178952644,444.2960636256833
128,(주)강원에너지,114190,Dec-17,68068421.0,33693980.0,66557788.0,36681993.0,181.44539747335975,202.01953286610842
129,(주)강원에너지,114190,Dec-18,70556730.0,43608244.0,70097814.0,40299772.0,173.94096919456516,161.79676943653132
130,(주)강원에너지,114190,Dec-19,30544232.0,30840573.0,30346449.0,27565065.0,110.0902501046161,99.03911966875583
131,(주)갤럭시아에스엠,11420,Dec-11,24658098.0,15665609.0,17322791.0,12001627.0,144.33702197210428,157.40274125314886
132,(주)갤럭시아에스엠,11420,Dec-12,24752609.0,13440442.0,21665386.0,12435097.0,174.2277201376073,184.16514129520442
133,(주)갤럭시아에스엠,11420,Dec-13,19899780.0,13503615.0,15680160.0,9491278.0,165.2059922804916,147.36631635306546
134,(주)갤럭시아에스엠,11420,Dec-14,26742964.0,17868979.0,21910144.0,14705118.0,148.99672345369822,149.66139923271498
135,(주)갤럭시아에스엠,11420,Dec-15,44426010.0,16873228.0,40480215.0,14961439.0,270.56364698609536,263.2928921484377
136,(주)갤럭시아에스엠,11420,Dec-16,37929417.0,12464561.0,33508731.0,9845511.0,340.3452700423574,304.29805750880433
137,(주)갤럭시아에스엠,11420,Dec-17,28750883.0,8744690.0,25522603.0,7871709.0,324.23204414695715,328.78104312445606
138,(주)갤럭시아에스엠,11420,Dec-18,14251248.0,6670268.0,14317048.0,6429460.0,222.67885638918355,213.65330448491724
139,(주)갤럭시아에스엠,11420,Dec-19,13644588.0,6311576.0,13644588.0,6311576.0,216.18353324114295,216.18353324114295
140,(주)경농,2100,Dec-11,94363834.0,24871768.0,85897543.0,24782041.0,346.6120607257489,379.4013919718132
141,(주)경농,2100,Dec-12,142516976.0,102878086.0,88973571.0,45244293.0,196.65147823174073,138.5299644863144
142,(주)경농,2100,Dec-13,129526582.0,72472377.0,90491612.0,40577371.0,223.010041729909,178.72545011184053
143,(주)경농,2100,Dec-14,139646908.0,90426180.0,92163573.0,46610936.0,197.7295049384977,154.43194437717042
144,(주)경농,2100,Dec-15,161184139.0,114383542.0,110823037.0,75250424.0,147.27230905702274,140.91549901470967
145,(주)경농,2100,Dec-16,156061222.0,112348070.0,113338004.0,75688103.0,149.7434861063964,138.90868085228345
146,(주)경농,2100,Dec-17,163437464.0,121066567.0,114661596.0,78430974.0,146.19427778622259,134.99801642182518
147,(주)경농,2100,Dec-18,169982099.0,128301300.0,124295854.0,86896477.0,143.03900260536454,132.4866536816073
148,(주)경농,2100,Dec-19,185020093.0,122608005.0,138697201.0,80682497.0,171.90494364595583,150.9037627681814
149,(주)경동나비엔,9450,Dec-11,129512842.0,81664623.0,109967953.0,74711381.0,147.19036313891723,158.59112213130527
150,(주)경동나비엔,9450,Dec-12,145371681.0,100189444.0,123218302.0,87833093.0,140.2868756995726,145.09680381098832
151,(주)경동나비엔,9450,Dec-13,134043087.0,149468556.0,104914630.0,132677192.0,79.0751058403467,89.67978990845405
152,(주)경동나비엔,9450,Dec-14,159947056.0,186324883.0,134136648.0,156677220.0,85.61336995895128,85.84310019397677
153,(주)경동나비엔,9450,Dec-15,158254944.0,177125715.0,129837058.0,136609355.0,95.04258182025674,89.34611442500035
154,(주)경동나비엔,9450,Dec-16,175420277.0,177489101.0,145915928.0,135099803.0,108.00602573787617,98.83439378060741
155,(주)경동나비엔,9450,Dec-17,230894567.0,219839746.0,175839342.0,159637322.0,110.14926822688744,105.02858159233864
156,(주)경동나비엔,9450,Dec-18,287001959.0,275122471.0,209454208.0,191253920.0,109.51629540455956,104.31789084941738
157,(주)경동나비엔,9450,Dec-19,274279157.0,270253541.0,214093729.0,183748685.0,116.51442784474892,101.48957012185826
158,(주)경동도시가스,267290,Dec-17,376858740.0,334894003.0,374489353.0,334399752.0,111.9885259364666,112.5307520063296
159,(주)경동도시가스,267290,Dec-18,444232799.0,375912237.0,441723742.0,375445868.0,117.65311051445637,118.1746044090605
160,(주)경동도시가스,267290,Dec-19,395154174.0,321180745.0,392458231.0,320773519.0,122.34745318861562,123.03171349826715
161,(주)경동인베스트,12320,Dec-11,610411619.0,488755455.0,563584969.0,450578763.0,125.08023353066908,124.89100894024804
162,(주)경동인베스트,12320,Dec-12,814034002.0,649801248.0,753036515.0,612902677.0,122.863962462347,125.27430572124725
163,(주)경동인베스트,12320,Dec-13,778164231.0,596199441.0,724069045.0,555649865.0,130.31030701321237,130.52079178316438
164,(주)경동인베스트,12320,Dec-14,766552554.0,550250914.0,631297926.0,449400573.0,140.47554986094778,139.30963756654478
165,(주)경동인베스트,12320,Dec-15,571798491.0,392919112.0,459634757.0,294859087.0,155.88285295070455,145.5257516208578
166,(주)경동인베스트,12320,Dec-16,508994824.0,337654347.0,394847821.0,259946634.0,151.89572371996937,150.74434211267535
167,(주)경동인베스트,12320,Dec-17,238339688.0,77526863.0,110951332.0,615156.0,18036.291932452907,307.428520614848
168,(주)경동인베스트,12320,Dec-18,188460289.0,78414333.0,44742051.0,424952.0,10528.73053897852,240.3390831622581
169,(주)경동인베스트,12320,Dec-19,236475693.0,84662496.0,44653640.0,7787239.0,573.4206950627816,279.3157586565839
170,(주)경방,50,Dec-11,138673371.0,406687562.0,123787600.0,362096037.0,34.186400112409956,34.09825722676023
171,(주)경방,50,Dec-12,123685731.0,164949423.0,101710997.0,121339742.0,83.82331734313397,74.9840337422702
172,(주)경방,50,Dec-13,103410904.0,135215333.0,79482802.0,88576434.0,89.73357631444048,76.47868160040696
173,(주)경방,50,Dec-14,101229398.0,409405729.0,83665762.0,388656785.0,21.526901170656267,24.72593586984221
174,(주)경방,50,Dec-15,108093423.0,185946014.0,83760073.0,143915877.0,58.20071749276141,58.13161609369051
175,(주)경방,50,Dec-16,106002223.0,155435755.0,80538917.0,120641481.0,66.75889282227892,68.19680774220835
176,(주)경방,50,Dec-17,90254697.0,319476563.0,71472590.0,249334914.0,28.665295547016733,28.25080379996451
177,(주)경방,50,Dec-18,120711492.0,163151849.0,88159568.0,102888605.0,85.684481775217,73.98720439876841
178,(주)경방,50,Dec-19,264861016.0,192380293.0,223798878.0,150525799.0,148.67808673780897,137.6757524742932
179,(주)경보제약,214390,Dec-15,,,105108130.0,64542191.0,162.8518157990639,
180,(주)경보제약,214390,Dec-16,,,102226920.0,72716830.0,140.5822008467641,
181,(주)경보제약,214390,Dec-17,,,110638039.0,60379395.0,183.23807153085914,
182,(주)경보제약,214390,Dec-18,,,128936315.0,69317865.0,186.00733735812548,
183,(주)경보제약,214390,Dec-19,,,124176490.0,83814952.0,148.15553434905027,
184,(주)경인양행,12610,Dec-11,166259207.0,107188765.0,99039937.0,64682274.0,153.11758674409003,155.10879988215183
185,(주)경인양행,12610,Dec-12,146242797.0,94090486.0,94723927.0,70551008.0,134.26303845297292,155.42782614599312
186,(주)경인양행,12610,Dec-13,175887375.0,108289018.0,123143650.0,88530619.0,139.09724272909466,162.4240188418737
187,(주)경인양행,12610,Dec-14,164606526.0,86323503.0,107227115.0,64009841.0,167.51660889143594,190.68564212460194
188,(주)경인양행,12610,Dec-15,176664098.0,109310448.0,113173448.0,81834318.0,138.29582840783252,161.61684562851667
189,(주)경인양행,12610,Dec-16,191409058.0,119502456.0,126364739.0,93552900.0,135.07303247681259,160.17165203700918
190,(주)경인양행,12610,Dec-17,193184742.0,124353660.0,125062666.0,93894860.0,133.1943686800321,155.35107048718953
191,(주)경인양행,12610,Dec-18,234817064.0,156924274.0,165167110.0,127936086.0,129.10126858187613,149.63718360105332
192,(주)경인양행,12610,Dec-19,251884675.0,192593606.0,172620331.0,154357193.0,111.83173757247582,130.7855853740025
193,(주)고려시멘트,198440,Dec-14,,,,,,
194,(주)고려시멘트,198440,Dec-15,,,,,,
195,(주)고려시멘트,198440,Dec-16,,,,,,
196,(주)고려시멘트,198440,Dec-17,,,38542950.0,23125664.0,166.66743060869518,
197,(주)고려시멘트,198440,Dec-18,,,49955334.0,29601570.0,168.7590691980189,
