,회사명,거래소코드,회계년도,유동자산(IFRS연결),유동부채(IFRS연결),자산(IFRS연결),유동자산(IFRS개별),유동부채(IFRS개별),자산(IFRS개별),순운전자본대총자산(개별),순운전자본대총자산(연결)
46,(주)SH에너지화학,2360,Dec-12,50509179.0,29499813.0,103690070.0,48762275.0,28724217.0,102492810.0,19.550696287866437,20.261695261658133
47,(주)SH에너지화학,2360,Dec-13,59051785.0,35131167.0,110488951.0,57773554.0,34930123.0,109984767.0,20.769631670902207,21.649782881910067
48,(주)SH에너지화학,2360,Dec-14,60325646.0,20681148.0,110741407.0,55486941.0,20421353.0,109098264.0,32.14128870098244,35.799164083223175
49,(주)SH에너지화학,2360,Dec-15,68213722.0,17080931.0,115520726.0,63737267.0,16794017.0,114048206.0,41.16088419663524,44.262871928280646
50,(주)SH에너지화학,2360,Dec-16,84222915.0,12512423.0,124488724.0,79584275.0,12205868.0,122956894.0,54.798397070765304,57.60400596603432
51,(주)SH에너지화학,2360,Dec-17,87597479.0,8284440.0,125312154.0,79139030.0,8386725.0,123261552.0,57.40014128655463,63.29237545465861
52,(주)SH에너지화학,2360,Dec-18,85758694.0,6658546.0,122434685.0,77591484.0,6653981.0,120895795.0,58.67656770030752,64.60599625016391
53,(주)SH에너지화학,2360,Dec-19,83558867.0,7524603.0,123415832.0,74793897.0,7038413.0,121126250.0,55.93790280802055,61.608193023404
54,(주)SIMPAC,9160,Dec-11,152885455.0,116979241.0,310879328.0,151220422.0,116922857.0,296953131.0,11.54982433911431,11.549887935938925
55,(주)SIMPAC,9160,Dec-12,152757766.0,108358727.0,318665505.0,150643335.0,108043478.0,307366684.0,13.859620842966832,13.932803614875104
56,(주)SIMPAC,9160,Dec-13,108635043.0,133795401.0,361985890.0,106534703.0,133732141.0,349836891.0,-7.774319604275239,-6.950646059712438
57,(주)SIMPAC,9160,Dec-14,144850453.0,136708331.0,381939281.0,118044851.0,116089000.0,329325876.0,0.5938953305934576,2.13178439742625
58,(주)SIMPAC,9160,Dec-15,174086524.0,169308019.0,422833445.0,138074968.0,142954454.0,369348917.0,-1.3211047265640148,1.130115192283335
59,(주)SIMPAC,9160,Dec-16,176778523.0,155344858.0,417865468.0,138253630.0,130874395.0,366245273.0,2.01483419555288,5.129321908935533
60,(주)SIMPAC,9160,Dec-17,150671614.0,130651105.0,381158251.0,124800057.0,114191470.0,343005145.0,3.0928361147469086,5.2525450905167475
61,(주)SIMPAC,9160,Dec-18,310736335.0,228518804.0,681750819.0,273219151.0,207957388.0,628334175.0,10.38647356719058,12.059762703416716
62,(주)SIMPAC,9160,Dec-19,289195402.0,219489571.0,679145850.0,224313300.0,178141755.0,608693104.0,7.585357004471666,10.26374982634437
63,(주)SNT에너지,100840,Dec-11,,,,145463387.0,96002453.0,276511841.0,17.887456038455873,
64,(주)SNT에너지,100840,Dec-12,,,,161463967.0,88443397.0,292802033.0,24.938546106338,
65,(주)SNT에너지,100840,Dec-13,,,,181309369.0,91989174.0,311675279.0,28.65809418269583,
66,(주)SNT에너지,100840,Dec-14,,,,170494610.0,76613085.0,304511816.0,30.830174747636065,
67,(주)SNT에너지,100840,Dec-15,,,,184059424.0,64293369.0,316196096.0,37.87714539018217,
68,(주)SNT에너지,100840,Dec-16,,,,211766053.0,102181702.0,348042346.0,31.485924704116318,
69,(주)SNT에너지,100840,Dec-17,,,,172919603.0,49128545.0,300266693.0,41.22703612684741,
70,(주)SNT에너지,100840,Dec-18,,,,155524318.0,31555307.0,280991534.0,44.11841496975492,
71,(주)SNT에너지,100840,Dec-19,204986584.0,67469967.0,333897235.0,202225767.0,65138557.0,331391237.0,41.36718014664944,41.185311702266716
72,(주)SNT홀딩스,36530,Dec-11,1041841182.0,597785981.0,2124828265.0,64671576.0,199700.0,388123974.0,16.611155279987937,20.898404276451018
73,(주)SNT홀딩스,36530,Dec-12,998857779.0,540250663.0,2074903906.0,40740917.0,165833.0,388964716.0,10.431559041463288,22.102571337103647
74,(주)SNT홀딩스,36530,Dec-13,1070812404.0,569273848.0,2149176237.0,49212139.0,306090.0,397336142.0,12.308482373093561,23.336315903999083
75,(주)SNT홀딩스,36530,Dec-14,994978341.0,477795324.0,2039388864.0,47079948.0,245998.0,399244416.0,11.73064622148654,25.359705847643582
76,(주)SNT홀딩스,36530,Dec-15,1140793639.0,433769566.0,2169311305.0,100040105.0,8658519.0,430584006.0,21.22270793309494,32.59209830190785
77,(주)SNT홀딩스,36530,Dec-16,1205349271.0,487107956.0,2210178425.0,97449826.0,318763.0,427001710.0,22.747230450201243,32.49698336006515
78,(주)SNT홀딩스,36530,Dec-17,1187727595.0,448821933.0,2146174938.0,98229088.0,299279.0,425435423.0,23.018724747797975,34.428957719941465
79,(주)SNT홀딩스,36530,Dec-18,1168023374.0,381612594.0,2113834573.0,89557460.0,231691.0,422804813.0,21.12695178803464,37.203042756742725
80,(주)SNT홀딩스,36530,Dec-19,1266526398.0,405603647.0,2236679025.0,31735933.0,233270.0,417172874.0,7.551464863460897,38.4911174727004
81,(주)STX,11810,Dec-11,1430457000.0,2041868000.0,5234175000.0,993206000.0,1568777000.0,3302248000.0,-17.429672150607708,-11.681134085123253
82,(주)STX,11810,Dec-12,1484305000.0,2363189000.0,5067029000.0,856988000.0,1821548000.0,3226878000.0,-29.891430664561845,-17.345154330081787
83,(주)STX,11810,Dec-13,793607000.0,1278680000.0,1342520000.0,640293000.0,1071743000.0,1086567000.0,-39.70762962615283,-36.13152876679677
84,(주)STX,11810,Dec-14,893610000.0,788697000.0,1255002000.0,728283000.0,671976000.0,1070433000.0,5.260207785073891,8.359588271572475
85,(주)STX,11810,Dec-15,902119000.0,866685000.0,1267224000.0,663016000.0,677923000.0,1057543000.0,-1.4095880734873192,2.7961907287109464
86,(주)STX,11810,Dec-16,486347000.0,974743000.0,707709000.0,441306000.0,914419000.0,627686000.0,-75.37415204417496,-69.01085050493919
87,(주)STX,11810,Dec-17,475786000.0,553981000.0,627542000.0,349891000.0,453983000.0,520393000.0,-20.002574976988548,-12.460520570734708
88,(주)STX,11810,Dec-18,422861000.0,463598000.0,554061000.0,297842000.0,361935000.0,446758000.0,-14.346245618433246,-7.352439532831223
89,(주)STX,11810,Dec-19,386401000.0,439806000.0,560107000.0,292473000.0,377150000.0,462734000.0,-18.29928209295189,-9.534785317805348
90,(주)TCC스틸,2710,Dec-11,183481284.0,165589918.0,454329510.0,163515113.0,143961450.0,407743559.0,4.795578634756558,3.9379713635594573
91,(주)TCC스틸,2710,Dec-12,218440703.0,191715329.0,547013976.0,168674581.0,115747321.0,438642951.0,12.066137134847061,4.885683944572561
92,(주)TCC스틸,2710,Dec-13,220034732.0,155751890.0,543708595.0,150092488.0,98538725.0,444204925.0,11.605851285867667,11.82303215199311
93,(주)TCC스틸,2710,Dec-14,233224033.0,283660429.0,551000563.0,141191905.0,189566139.0,461297588.0,-10.486556890473056,-9.153601536338178
94,(주)TCC스틸,2710,Dec-15,240184174.0,153614700.0,376394571.0,202116240.0,121276743.0,330651742.0,24.448532014689945,22.999660640695055
95,(주)TCC스틸,2710,Dec-16,120777516.0,94244692.0,282914735.0,97007914.0,77521428.0,250878191.0,7.76730967419962,9.37838179407658
96,(주)TCC스틸,2710,Dec-17,120243911.0,160048884.0,278692540.0,101914014.0,148607324.0,248896237.0,-18.76015104237996,-14.282755110703715
97,(주)TCC스틸,2710,Dec-18,152165969.0,93172096.0,304781579.0,128625665.0,82038987.0,268135677.0,17.374292940510113,19.35611502294894
98,(주)TCC스틸,2710,Dec-19,148991647.0,165995910.0,314210087.0,121879909.0,152915323.0,270265082.0,-11.483323620770218,-5.411749559777818
99,(주)가비아,79940,Dec-11,28837190.0,13905604.0,64954440.0,9245779.0,11953563.0,37295822.0,-7.2602877609186365,22.987783437129163
100,(주)가비아,79940,Dec-12,31997486.0,14858349.0,85244515.0,9613034.0,10723878.0,51795749.0,-2.1446624895799844,20.10585314492082
101,(주)가비아,79940,Dec-13,37411881.0,14999568.0,91231294.0,10360239.0,11588806.0,52151784.0,-2.3557525855683097,24.56647496417183
102,(주)가비아,79940,Dec-14,41920706.0,16229926.0,98544072.0,14916105.0,13161566.0,55984243.0,3.133987182786414,26.07034545923777
103,(주)가비아,79940,Dec-15,52239105.0,13210992.0,105081568.0,17436488.0,9687159.0,57657418.0,13.44029834981511,37.14077905651351
104,(주)가비아,79940,Dec-16,60241586.0,20386590.0,125796754.0,12237594.0,10247269.0,61160981.0,3.2542398232624814,31.68205437160962
105,(주)가비아,79940,Dec-17,66113388.0,29400833.0,133382584.0,15116578.0,17323452.0,64986436.0,-3.3958994150717854,27.52424934277776
106,(주)가비아,79940,Dec-18,78058272.0,29792809.0,151440505.0,18388749.0,18089528.0,69315988.0,0.4316767438992574,31.87090732429874
107,(주)가비아,79940,Dec-19,86880807.0,43098923.0,199916131.0,13602872.0,20260391.0,82964911.0,-8.024499658656898,21.900125708215114
108,(주)강스템바이오텍,217730,Dec-15,,,,18896590.0,2965591.0,24982626.0,63.76831242640385,
109,(주)강스템바이오텍,217730,Dec-16,,,,37966496.0,3231048.0,47441769.0,73.2170168443761,
110,(주)강스템바이오텍,217730,Dec-17,25246012.0,6368374.0,47198979.0,24316617.0,4000962.0,44508729.0,45.644203859427215,39.9958609274154
111,(주)강스템바이오텍,217730,Dec-18,48992790.0,20056267.0,73194018.0,44071609.0,13802351.0,66184838.0,45.734429386984374,39.53399989600243
112,(주)강스템바이오텍,217730,Dec-19,55408095.0,20598774.0,113643697.0,50136013.0,15296868.0,98625925.0,35.324530543059545,30.63022580126023
113,(주)강원랜드,35250,Dec-11,1163791156.0,440884890.0,2711401782.0,1116717650.0,439575361.0,2730283806.0,24.801168563939395,26.66171685801452
114,(주)강원랜드,35250,Dec-12,1165450728.0,518388305.0,2906655321.0,1117338850.0,516757053.0,2915385756.0,20.60042297195061,22.261408785730602
115,(주)강원랜드,35250,Dec-13,1080401909.0,570217325.0,3102036846.0,1032979185.0,568327002.0,3105430200.0,14.962570499894024,16.446760929286526
116,(주)강원랜드,35250,Dec-14,1371825587.0,624516570.0,3375127289.0,1349601870.0,619817290.0,3380461682.0,21.588310966099574,22.141654314359698
117,(주)강원랜드,35250,Dec-15,1750420316.0,664599978.0,3690791830.0,1736167993.0,662837030.0,3688060027.0,29.10286045081229,29.41971230059865
118,(주)강원랜드,35250,Dec-16,1809513458.0,718893173.0,3978987574.0,1799026863.0,717426075.0,3975979890.0,27.20337672532846,27.409492106144484
119,(주)강원랜드,35250,Dec-17,2164296051.0,681337932.0,4185657487.0,2155754572.0,680591144.0,4182527382.0,35.269665761150534,35.429514326144385
120,(주)강원랜드,35250,Dec-18,1759033105.0,636028473.0,4231241354.0,1749493012.0,635168405.0,4229630541.0,26.34567242217197,26.54078408782729
121,(주)강원랜드,35250,Dec-19,1878191161.0,651342607.0,4438119306.0,1868365557.0,650507914.0,4436461953.0,27.451100807400525,27.643433387232154
122,(주)강원에너지,114190,Nov-11,,,,47950975.0,29049482.0,53719067.0,35.18581772836822,
123,(주)강원에너지,114190,Dec-12,,,,80491240.0,52980413.0,89258208.0,30.821621469254683,
124,(주)강원에너지,114190,Dec-13,,,,61556228.0,26561224.0,72441333.0,48.30806191818696,
125,(주)강원에너지,114190,Dec-14,,,,48800730.0,16587078.0,67037639.0,48.05308253770691,
126,(주)강원에너지,114190,Dec-15,62927388.0,18860326.0,85457457.0,58744703.0,26044865.0,80939019.0,40.40058602637623,51.56608158840954
127,(주)강원에너지,114190,Dec-16,53716336.0,12090212.0,77186606.0,49882033.0,17100077.0,70850137.0,46.269432054873796,53.92920631851593
128,(주)강원에너지,114190,Dec-17,68068421.0,33693980.0,93179394.0,66557788.0,36681993.0,87781416.0,34.0343051654578,36.89060373155035
129,(주)강원에너지,114190,Dec-18,70556730.0,43608244.0,93845576.0,70097814.0,40299772.0,89619750.0,33.24941433110447,28.71577664992967
130,(주)강원에너지,114190,Dec-19,30544232.0,30840573.0,56602063.0,30346449.0,27565065.0,55106032.0,5.047331297597331,-0.5235515885701905
131,(주)갤럭시아에스엠,11420,Dec-11,24658098.0,15665609.0,45110356.0,17322791.0,12001627.0,40711969.0,13.070269335290563,19.934422596886623
