,회사명,거래소코드,회계년도,재고자산(IFRS연결),유동자산(IFRS연결),재고자산(IFRS개별),유동자산(IFRS개별),재고자산_유동자산비율(개별),재고자산_유동자산비율(연결)
61,(주)SIMPAC,9160,Dec-18,110042965.0,310736335.0,103871365.0,273219151.0,38.01760038409606,40.276446434020286
62,(주)SIMPAC,9160,Dec-19,88166502.0,289195402.0,69944925.0,224313300.0,31.181800187505598,39.30507107692678
63,(주)SNT에너지,100840,Dec-11,,,15421719.0,145463387.0,10.60178737622822,
64,(주)SNT에너지,100840,Dec-12,,,17407006.0,161463967.0,10.780737227891843,
65,(주)SNT에너지,100840,Dec-13,,,17793150.0,181309369.0,9.813695838299454,
66,(주)SNT에너지,100840,Dec-14,,,17747389.0,170494610.0,10.409354876379963,
67,(주)SNT에너지,100840,Dec-15,,,10693980.0,184059424.0,5.810069252417089,
68,(주)SNT에너지,100840,Dec-16,,,6779276.0,211766053.0,3.201304413035454,
69,(주)SNT에너지,100840,Dec-17,,,2324389.0,172919603.0,1.344202137683603,
70,(주)SNT에너지,100840,Dec-18,,,5692284.0,155524318.0,3.660060415760833,
71,(주)SNT에너지,100840,Dec-19,10208805.0,204986584.0,10124894.0,202225767.0,5.006727950746257,5.048221673947218
72,(주)SNT홀딩스,36530,Dec-11,274834022.0,1041841182.0,0.0,64671576.0,0.0,424.96880236844703
73,(주)SNT홀딩스,36530,Dec-12,280540811.0,998857779.0,0.0,40740917.0,0.0,688.5971933326881
74,(주)SNT홀딩스,36530,Dec-13,311174402.0,1070812404.0,0.0,49212139.0,0.0,632.3122878280093
75,(주)SNT홀딩스,36530,Dec-14,283952471.0,994978341.0,0.0,47079948.0,0.0,603.1282596149001
76,(주)SNT홀딩스,36530,Dec-15,268780766.0,1140793639.0,0.0,100040105.0,0.0,268.6730146874596
77,(주)SNT홀딩스,36530,Dec-16,236908975.0,1205349271.0,0.0,97449826.0,0.0,243.10866907037885
78,(주)SNT홀딩스,36530,Dec-17,215870141.0,1187727595.0,0.0,98229088.0,0.0,219.76193141485746
79,(주)SNT홀딩스,36530,Dec-18,220256725.0,1168023374.0,0.0,89557460.0,0.0,245.93900385294538
80,(주)SNT홀딩스,36530,Dec-19,229809615.0,1266526398.0,0.0,31735933.0,0.0,724.1306408102135
81,(주)STX,11810,Dec-11,315306000.0,1430457000.0,240418000.0,993206000.0,24.206257312178945,31.746284255230034
82,(주)STX,11810,Dec-12,182590000.0,1484305000.0,108537000.0,856988000.0,12.664938132155875,21.30601595354894
83,(주)STX,11810,Dec-13,94076000.0,793607000.0,47749000.0,640293000.0,7.457367174090612,14.692648521848591
84,(주)STX,11810,Dec-14,207648000.0,893610000.0,148535000.0,728283000.0,20.39523097477217,28.511993277338615
85,(주)STX,11810,Dec-15,316312000.0,902119000.0,143454000.0,663016000.0,21.636581922608205,47.70804927784548
86,(주)STX,11810,Dec-16,226131000.0,486347000.0,139765000.0,441306000.0,31.67076812914395,51.241315549754596
87,(주)STX,11810,Dec-17,181620000.0,475786000.0,103343000.0,349891000.0,29.53576971113861,51.90759407929898
88,(주)STX,11810,Dec-18,129417000.0,422861000.0,89120000.0,297842000.0,29.921904902599366,43.45156156619953
89,(주)STX,11810,Dec-19,118778000.0,386401000.0,89664000.0,292473000.0,30.657188868716084,40.61161201204897
