,회사명,거래소코드,회계년도,유동자산(IFRS연결),재고자산(IFRS연결),자산(IFRS연결),유동자산(IFRS개별),재고자산(IFRS개별),자산(IFRS개별),당좌자산구성비율(개별),당좌자산구성비율(연결)
30,(주)HJ중공업,97230,Dec-14,2647534000.0,655829000.0,6470284000.0,1858441000.0,459613000.0,5469810000.0,25.57361224612921,30.782342784335277
31,(주)HJ중공업,97230,Dec-15,2429499000.0,873978000.0,5914637000.0,1622994000.0,721779000.0,4638381000.0,19.429516462748534,26.299517620438923
32,(주)HJ중공업,97230,Dec-16,2372221000.0,675011000.0,5256464000.0,1709538000.0,518530000.0,3921561000.0,30.37076307113417,32.28805524017667
33,(주)HJ중공업,97230,Dec-17,1894161000.0,709533000.0,4206655000.0,1390569000.0,655299000.0,3312303000.0,22.198150350375553,28.16080710207992
34,(주)HJ중공업,97230,Dec-18,1720906000.0,519198000.0,2733620000.0,1382999000.0,519388000.0,2388369000.0,36.159027352976025,43.960316357065
35,(주)HJ중공업,97230,Dec-19,1300538000.0,363759000.0,2470222000.0,1299550000.0,363759000.0,2465650000.0,37.953115811246526,37.92286685164329
36,(주)MH에탄올,23150,Dec-11,45677724.0,9734817.0,134206851.0,26253473.0,4542443.0,135927085.0,15.97255616862526,26.78172293901747
37,(주)MH에탄올,23150,Dec-12,50009828.0,20566965.0,134385813.0,23099890.0,5306016.0,139200817.0,12.782880433812396,21.90920480571859
38,(주)MH에탄올,23150,Dec-13,43178092.0,12486229.0,129697936.0,25868582.0,6094594.0,122520742.0,16.139298274899446,23.66411058384152
39,(주)MH에탄올,23150,Dec-14,28731429.0,6986598.0,85534839.0,28019052.0,6986598.0,85253876.0,24.670378623020024,25.422192002956827
40,(주)MH에탄올,23150,Dec-15,22500870.0,3603074.0,78996052.0,21758814.0,3603074.0,78691328.0,23.07209760140279,23.9224562766757
41,(주)MH에탄올,23150,Dec-16,19709368.0,5538540.0,72339673.0,18955978.0,5538540.0,72025138.0,18.62882650776733,19.589289545171155
42,(주)MH에탄올,23150,Dec-17,84767703.0,5608722.0,500180086.0,18235352.0,5502545.0,107437079.0,11.851408395047674,15.826096083321477
43,(주)MH에탄올,23150,Dec-18,29576016.0,6538026.0,440177523.0,18385099.0,6430326.0,109656889.0,10.90198081399154,5.233795184039872
