,회사명,거래소코드,회계년도,장기차입금(IFRS연결),단기차입금(IFRS연결),회사채(IFRS연결),자산(IFRS연결),장기차입금(IFRS개별),단기차입금(IFRS개별),회사채(IFRS개별),자산(IFRS개별),차입금의존도(개별),차입금의존도(연결)
10503,메디앙스(주),14100,Dec-18,16937500.0,16175692.0,0.0,119530460.0,16937500.0,16175692.0,0.0,187923089.0,17.62060860972757,27.702722803877773
10504,메디앙스(주),14100,Dec-19,21012500.0,1288485.0,0.0,139653596.0,21012500.0,1288485.0,0.0,195489819.0,11.407747530831772,15.96878679729808
10505,메디포스트(주),78160,Dec-11,0.0,0.0,0.0,131794926.0,0.0,0.0,0.0,196186827.0,0.0,0.0
10506,메디포스트(주),78160,Dec-12,0.0,0.0,0.0,137438650.0,0.0,0.0,0.0,76689676.0,0.0,0.0
10507,메디포스트(주),78160,Dec-13,7744879.0,0.0,0.0,145771193.0,7744879.0,0.0,0.0,74639018.0,10.376448146732049,5.313038084280479
10508,메디포스트(주),78160,Dec-14,15594920.0,0.0,0.0,185969420.0,15594920.0,0.0,0.0,91591236.0,17.026650890484763,8.385744279892899
10509,메디포스트(주),78160,Dec-15,0.0,0.0,0.0,182932725.0,0.0,0.0,0.0,83756797.0,0.0,0.0
10510,메디포스트(주),78160,Dec-16,15594920.0,0.0,0.0,179264591.0,15594920.0,0.0,0.0,93457194.0,16.68669829740448,8.69938670710492
10511,메디포스트(주),78160,Dec-17,15594920.0,0.0,0.0,139069925.0,15594920.0,0.0,0.0,97395764.0,16.011907869011637,11.213725757024747
10512,메디포스트(주),78160,Dec-18,0.0,0.0,0.0,175753120.0,0.0,0.0,0.0,93861008.0,0.0,0.0
10513,메디포스트(주),78160,Dec-19,0.0,9994920.0,0.0,213719039.0,0.0,9994920.0,0.0,134738160.0,7.41803212987323,4.676663364558737
10514,명문제약(주),17180,Dec-11,21325457.0,66323950.0,0.0,202503823.0,1325457.0,56151950.0,0.0,159266763.0,36.08876448377368,43.28284064049497
10515,명문제약(주),17180,Dec-12,20350011.0,66137138.0,0.0,188337123.0,350011.0,56965138.0,0.0,78978123.0,72.57091815160003,45.921455962773734
10516,명문제약(주),17180,Dec-13,101677.0,70840149.0,0.0,192410404.0,101677.0,61668149.0,0.0,82671491.0,74.71720329805109,36.8700571929572
10517,명문제약(주),17180,Dec-14,1922071.0,84269804.0,0.0,190660551.0,1922071.0,55297804.0,0.0,90721322.0,63.07213534652857,45.206978867904354
10518,명문제약(주),17180,Dec-15,620280.0,89403484.0,0.0,199417323.0,620280.0,61016234.0,0.0,92200441.0,66.85056311173176,45.143402110557865
10519,명문제약(주),17180,Dec-16,186200.0,83048638.0,0.0,221075417.0,186200.0,53811388.0,0.0,93545656.0,57.72324478648159,37.64997444288435
10520,명문제약(주),17180,Dec-17,3093100.0,84018748.0,0.0,235076921.0,3093100.0,56381498.0,0.0,84480512.0,70.40037588787341,37.05674195043587
10521,명문제약(주),17180,Dec-18,9473120.0,90076844.0,0.0,243065788.0,9473120.0,63093144.0,0.0,68891305.0,105.334430810971,40.955975260492025
10522,명문제약(주),17180,Dec-19,13615468.0,89333803.0,0.0,264441725.0,8563468.0,62895814.0,0.0,70718569.0,101.04740948590178,38.93079694590556
10523,명성티엔에스(주),257370,Dec-18,0.0,1650000.0,0.0,65625538.0,10500000.0,1650000.0,0.0,66992085.0,18.136470898017283,2.5142651021009534
10524,명성티엔에스(주),257370,Dec-19,500000.0,4450000.0,0.0,66256204.0,500000.0,4450000.0,0.0,82285786.0,6.01561975722028,7.4709984894395705
10525,모바일어플라이언스(주),87260,Dec-17,3150000.0,2470000.0,0.0,53794348.0,3150000.0,2470000.0,0.0,88426122.0,6.355588001473139,10.447194192222574
10526,모바일어플라이언스(주),87260,Dec-18,2700000.0,2470000.0,0.0,56868845.0,2700000.0,2470000.0,0.0,98386974.0,5.254760655612805,9.091093726274906
10527,모바일어플라이언스(주),87260,Dec-19,0.0,4500000.0,0.0,50419989.0,0.0,4500000.0,0.0,97076616.0,4.6355138708172525,8.925031697250073
10528,모트렉스(주),118990,Dec-17,1519318.0,12421800.0,0.0,201503771.0,1475520.0,9921800.0,0.0,97699789.0,11.665654671987062,6.9185395046527445
10529,모트렉스(주),118990,Dec-18,105800260.0,49726914.0,0.0,436500670.0,3500260.0,32451100.0,0.0,99540146.0,36.117447527151505,35.630454816942205
10530,모트렉스(주),118990,Dec-19,107728345.0,57608452.0,0.0,444300832.0,10828345.0,39405500.0,0.0,109270704.0,45.971924002612816,37.212803823874005
10531,무림에스피(주),1810,Dec-11,,,,,1000619.0,16983960.0,0.0,123740059.0,14.53416067952578,
10532,무림에스피(주),1810,Dec-12,6857672.0,21079676.0,0.0,268712875.0,5857673.0,10269087.0,0.0,21729023.0,74.21760288071857,10.396728478306073
