,회사명,거래소코드,회계년도,당기유형자산(IFRS연결),전기유형자산(IFRS연결),당기유형자산(IFRS개별),전기유형자산(IFRS개별),유형자산증가율(개별),유형자산증가율(연결)
125,(주)강원에너지,114190,Dec-14,,10004091.0,10004091.0,10004091.0,0.0,0.0
126,(주)강원에너지,114190,Dec-15,12847843.0,12847843.0,9712091.0,9712091.0,0.0,-24.406836229240966
127,(주)강원에너지,114190,Dec-16,14792058.0,14792058.0,9490734.0,9490734.0,0.0,-35.83898873300794
128,(주)강원에너지,114190,Dec-17,15392067.0,15392067.0,9242859.0,9242859.0,0.0,-39.95050177471291
129,(주)강원에너지,114190,Dec-18,14771745.0,14771745.0,8853092.0,8853092.0,0.0,-40.06739217336882
130,(주)강원에너지,114190,Dec-19,10387938.0,10387938.0,9089689.0,9089689.0,0.0,-12.497658341819147
131,(주)갤럭시아에스엠,11420,Dec-11,746008.0,746008.0,263856.0,263856.0,0.0,-64.63094229552499
132,(주)갤럭시아에스엠,11420,Dec-12,3386965.0,3386965.0,244196.0,244196.0,0.0,-92.79012331098787
133,(주)갤럭시아에스엠,11420,Dec-13,3092608.0,3092608.0,258052.0,258052.0,0.0,-91.65584516369356
134,(주)갤럭시아에스엠,11420,Dec-14,3055021.0,3055021.0,170073.0,170073.0,0.0,-94.4330006242183
135,(주)갤럭시아에스엠,11420,Dec-15,2905233.0,2905233.0,428742.0,428742.0,0.0,-85.24242289688985
136,(주)갤럭시아에스엠,11420,Dec-16,2588337.0,2588337.0,468225.0,468225.0,0.0,-81.91019948329757
137,(주)갤럭시아에스엠,11420,Dec-17,364072.0,364072.0,348574.0,348574.0,0.0,-4.256850293348563
138,(주)갤럭시아에스엠,11420,Dec-18,251603.0,251603.0,251603.0,251603.0,0.0,0.0
139,(주)갤럭시아에스엠,11420,Dec-19,511985.0,,511985.0,511985.0,0.0,
140,(주)경농,2100,Dec-11,49541176.0,49541176.0,47135730.0,47135730.0,0.0,-4.855447920735671
141,(주)경농,2100,Dec-12,93105654.0,,51459712.0,51459712.0,0.0,
142,(주)경농,2100,Dec-13,101211463.0,101211463.0,55088070.0,55088070.0,0.0,-45.571313399550405
143,(주)경농,2100,Dec-14,118629306.0,118629306.0,60743502.0,60743502.0,0.0,-48.79553455366248
144,(주)경농,2100,Dec-15,122071383.0,122071383.0,60862714.0,60862714.0,0.0,-50.141701925339866
145,(주)경농,2100,Dec-16,133213483.0,133213483.0,60986166.0,60986166.0,0.0,-54.219224190692465
146,(주)경농,2100,Dec-17,140283689.0,140283689.0,61075339.0,61075339.0,0.0,-56.4629790994447
147,(주)경농,2100,Dec-18,142669413.0,142669413.0,67819776.0,67819776.0,0.0,-52.463688905764265
148,(주)경농,2100,Dec-19,139475078.0,139475078.0,64128521.0,64128521.0,0.0,-54.0215198875888
149,(주)경동나비엔,9450,Dec-11,103309756.0,103309756.0,71463183.0,71463183.0,0.0,-30.826297760300577
150,(주)경동나비엔,9450,Dec-12,120050563.0,,86003940.0,86003940.0,0.0,
151,(주)경동나비엔,9450,Dec-13,184422743.0,184422743.0,148703601.0,148703601.0,0.0,-19.368078697322062
152,(주)경동나비엔,9450,Dec-14,190970831.0,190970831.0,133081097.0,133081097.0,0.0,-30.31339063503367
153,(주)경동나비엔,9450,Dec-15,195089500.0,195089500.0,134166342.0,134166342.0,0.0,-31.22831213366173
154,(주)경동나비엔,9450,Dec-16,203718091.0,203718091.0,138398427.0,138398427.0,0.0,-32.06375225654358
155,(주)경동나비엔,9450,Dec-17,221945791.0,221945791.0,143721378.0,143721378.0,0.0,-35.244828319362
156,(주)경동나비엔,9450,Dec-18,248979361.0,248979361.0,157575992.0,157575992.0,0.0,-36.711223224643106
157,(주)경동나비엔,9450,Dec-19,278770581.0,278770581.0,165763623.0,165763623.0,0.0,-40.53761971389657
158,(주)경동도시가스,267290,Dec-17,316816604.0,316816604.0,316263778.0,316263778.0,0.0,-0.1744940110525306
159,(주)경동도시가스,267290,Dec-18,320713747.0,320713747.0,320275132.0,320275132.0,0.0,-0.136762145091339
160,(주)경동도시가스,267290,Dec-19,325975219.0,325975219.0,325567581.0,325567581.0,0.0,-0.12505183714594637
161,(주)경동인베스트,12320,Dec-11,302120078.0,302120078.0,265516704.0,265516704.0,0.0,-12.115505279328048
162,(주)경동인베스트,12320,Dec-12,302039515.0,302039515.0,279769365.0,279769365.0,0.0,-7.373257105117531
163,(주)경동인베스트,12320,Dec-13,322577481.0,322577481.0,293643578.0,293643578.0,0.0,-8.969597911888954
164,(주)경동인베스트,12320,Dec-14,436240540.0,436240540.0,299563689.0,299563689.0,0.0,-31.330616590562627
