,회사명,거래소코드,회계년도,매출액(IFRS연결),매출원가(IFRS연결),판관비(IFRS연결),매출액(IFRS개별),매출원가(IFRS개별),판관비(IFRS개별),매출액영업이익률(개별),매출액영업이익률(연결)
4300,(주)에스티아이,39440,Dec-17,287012566.0,231938792.0,21896655.0,282967159.0,235194621.0,17112403.0,10.83522734876806,11.559465657681343
4301,(주)에스티아이,39440,Dec-18,286609574.0,234174305.0,30377915.0,276027718.0,230613000.0,23344816.0,7.995538332132282,7.6959585446367536
4302,(주)에스티아이,39440,Dec-19,318857509.0,257465850.0,34284661.0,293268494.0,243226166.0,25098062.0,8.505607151922701,8.50128889390527
4303,(주)에스티오,98660,Dec-11,99990813.0,33030790.0,59857041.0,95550369.0,31947695.0,55779835.0,8.187136357369797,7.103634610911705
4304,(주)에스티오,98660,Dec-12,95471692.0,32844194.0,57384486.0,91421491.0,31710140.0,53157897.0,7.168395448724414,5.491692762709181
4305,(주)에스티오,98660,Dec-13,86125658.0,35770277.0,53876584.0,83613737.0,33787221.0,49692410.0,0.16038752101224707,-4.088448299576417
4306,(주)에스티오,98660,Dec-14,93693229.0,39003061.0,53020282.0,92034225.0,37868111.0,50439933.0,4.04869058222634,1.7822910127262237
4307,(주)에스티오,98660,Dec-15,101207723.0,41281097.0,54447209.0,99569188.0,39955612.0,52346823.0,7.298194497679342,5.414030508323955
4308,(주)에스티오,98660,Dec-16,100535861.0,41870128.0,53604994.0,98811339.0,41300771.0,51488732.0,6.094276285437241,5.033765016445226
4309,(주)에스티오,98660,Dec-17,90839468.0,39885284.0,49867403.0,89586610.0,39534319.0,48455229.0,1.782701678297683,1.1963753464518307
4310,(주)에스티오,98660,Dec-18,88321595.0,39388088.0,48396829.0,87098051.0,38673099.0,46564660.0,2.1358595039055466,0.6076407474298896
4311,(주)에스티오,98660,Dec-19,85144202.0,34545631.0,45246690.0,83978219.0,33765248.0,43868925.0,7.554394550806085,6.285666991159304
4312,(주)에스티큐브,52020,Dec-11,7420567.0,7057599.0,4165647.0,7357819.0,6991240.0,3702767.0,-45.34207759119924,-51.24512722545326
4313,(주)에스티큐브,52020,Dec-12,11230833.0,8035469.0,3382889.0,11522226.0,8182424.0,3085648.0,2.205771697239752,-1.6697336697999159
4314,(주)에스티큐브,52020,Dec-13,8852506.0,7377474.0,7685066.0,8834027.0,7376100.0,6730647.0,-59.68648273318612,-70.15001175938204
4315,(주)에스티큐브,52020,Dec-14,5483598.0,4846745.0,5675331.0,5476177.0,4846745.0,4737287.0,-75.01318894549975,-91.88270183189941
4316,(주)에스티큐브,52020,Dec-15,5349045.0,5263019.0,4135622.0,5349045.0,5263019.0,3485220.0,-63.54768000643105,-75.70689721249308
4317,(주)에스티큐브,52020,Dec-16,15263722.0,5948784.0,9032368.0,15263722.0,5869872.0,7339895.0,13.45644921992159,1.8512522699247276
4318,(주)에스티큐브,52020,Dec-17,8460728.0,8665915.0,13893460.0,8460728.0,8665915.0,8250160.0,-99.93640027193878,-166.6363343674445
4319,(주)에스티큐브,52020,Dec-18,11073434.0,10976210.0,10735100.0,11073434.0,10749875.0,4390612.0,-36.728019510478866,-96.06664021296375
4320,(주)에스티큐브,52020,Dec-19,17388631.0,8966335.0,11506458.0,17388631.0,9562168.0,4363995.0,19.91225186157553,-17.736657934716078
4321,(주)에스폴리텍,50760,Dec-11,146232897.0,127410518.0,12332409.0,103651090.0,90838170.0,8825782.0,3.846691819642225,4.4381053327555975
4322,(주)에스폴리텍,50760,Dec-12,130530627.0,109683583.0,15221446.0,94175150.0,77481327.0,9955777.0,7.154802514251371,4.309791601629248
4323,(주)에스폴리텍,50760,Dec-13,118348515.0,102389975.0,12406219.0,83815491.0,70617563.0,9598690.0,4.294239593489943,3.0015763188917073
4324,(주)에스폴리텍,50760,Dec-14,112565675.0,101546966.0,13621430.0,87560614.0,76256671.0,10031647.0,1.4530460007966597,-2.3121799784881136
4325,(주)에스폴리텍,50760,Dec-15,100316555.0,87692544.0,13660612.0,98019088.0,84913056.0,11189730.0,1.9550294122304013,-1.033329942400833
4326,(주)에스폴리텍,50760,Dec-16,117696775.0,102030215.0,12855390.0,117274954.0,101603073.0,11790529.0,3.309617158323507,2.3884851560291267
4327,(주)에스폴리텍,50760,Dec-17,122283422.0,107956050.0,13256212.0,122209735.0,108025942.0,12299376.0,1.541953265834346,0.8759650183816412
4328,(주)에스폴리텍,50760,Dec-18,136887455.0,120307444.0,12742157.0,136756719.0,120247929.0,11867115.0,3.3941111149354204,2.8036564782360807
4329,(주)에스폴리텍,50760,Dec-19,135032554.0,107653235.0,12453539.0,134909963.0,107518872.0,11654019.0,11.664870147507193,11.053467891898126
4330,(주)에스피시스템스,317830,Dec-19,31959900.0,26027825.0,4925680.0,29033491.0,23210008.0,4324226.0,5.163888145590208,3.148930378380408
4331,(주)에스피씨삼립,5610,Dec-11,627219551.0,455642674.0,164599355.0,628959036.0,456882835.0,164985703.0,1.1273386014284084,1.1124528865331877
4332,(주)에스피씨삼립,5610,Dec-12,836986538.0,624144363.0,201187316.0,802652803.0,590498079.0,200186233.0,1.4911168260132521,1.3924786685159325
4333,(주)에스피씨삼립,5610,Dec-13,1066244749.0,820357142.0,209990508.0,968028778.0,744317065.0,202962159.0,2.1434852425430684,3.366684716024801
4334,(주)에스피씨삼립,5610,Dec-14,1107627827.0,840222311.0,220499117.0,1028617844.0,812310941.0,194591319.0,2.1111420657019053,4.234851983363903
4335,(주)에스피씨삼립,5610,Dec-15,1373768365.0,1064995131.0,251844361.0,985824837.0,749470183.0,211609710.0,2.510075124025304,4.143993590942823
4336,(주)에스피씨삼립,5610,Dec-16,1870335371.0,1512965847.0,291866968.0,1053614470.0,789415112.0,235115230.0,2.760414632498356,3.502182390154883
4337,(주)에스피씨삼립,5610,Dec-17,2065510858.0,1687201497.0,323643108.0,1010118733.0,743637641.0,237804352.0,2.8389474487649164,2.6466214296705477
4338,(주)에스피씨삼립,5610,Dec-18,2200883745.0,1844426728.0,296536837.0,1016326511.0,770962864.0,203645623.0,4.104785573186725,2.7225508905741864
4339,(주)에스피씨삼립,5610,Dec-19,2499238196.0,2117499691.0,334760811.0,1186835435.0,903963405.0,234982871.0,4.035029422592189,1.8796805392614124
