,회사명,거래소코드,회계년도,당기재고자산(IFRS연결),전기재고자산(IFRS연결),당기재고자산(IFRS개별),전기재고자산(IFRS개별),재고자산증가율(개별),재고자산증가율(연결)
81,(주)STX,11810,Dec-11,315306000.0,315306000.0,240418000.0,240418000.0,0.0,-23.75089595504049
82,(주)STX,11810,Dec-12,182590000.0,182590000.0,108537000.0,108537000.0,0.0,-40.556985596144365
83,(주)STX,11810,Dec-13,94076000.0,94076000.0,47749000.0,47749000.0,0.0,-49.24422807092138
84,(주)STX,11810,Dec-14,207648000.0,207648000.0,148535000.0,148535000.0,0.0,-28.467887964247183
85,(주)STX,11810,Dec-15,316312000.0,316312000.0,143454000.0,143454000.0,0.0,-54.64794253774754
86,(주)STX,11810,Dec-16,226131000.0,226131000.0,139765000.0,139765000.0,0.0,-38.19290588198876
87,(주)STX,11810,Dec-17,181620000.0,181620000.0,103343000.0,103343000.0,0.0,-43.09932826781192
88,(주)STX,11810,Dec-18,129417000.0,129417000.0,89120000.0,89120000.0,0.0,-31.137331262508013
89,(주)STX,11810,Dec-19,118778000.0,118778000.0,89664000.0,89664000.0,0.0,-24.511273131387966
90,(주)TCC스틸,2710,Dec-11,79633257.0,79633257.0,76580688.0,76580688.0,0.0,-3.8332841265050916
91,(주)TCC스틸,2710,Dec-12,100648536.0,100648536.0,75866000.0,75866000.0,0.0,-24.62284796671061
92,(주)TCC스틸,2710,Dec-13,117184576.0,117184576.0,62722660.0,62722660.0,0.0,-46.475327947596114
93,(주)TCC스틸,2710,Dec-14,124343812.0,124343812.0,59114758.0,59114758.0,0.0,-52.45862496157026
94,(주)TCC스틸,2710,Dec-15,48965898.0,48965898.0,45683627.0,45683627.0,0.0,-6.703177382757289
95,(주)TCC스틸,2710,Dec-16,51850499.0,51850499.0,44890754.0,44890754.0,0.0,-13.422715565379619
96,(주)TCC스틸,2710,Dec-17,52771855.0,52771855.0,48077587.0,48077587.0,0.0,-8.895400777554627
97,(주)TCC스틸,2710,Dec-18,69197191.0,69197191.0,62280830.0,62280830.0,0.0,-9.995147057342251
98,(주)TCC스틸,2710,Dec-19,72619098.0,72619098.0,67392895.0,67392895.0,0.0,-7.196733564495659
99,(주)가비아,79940,Dec-11,14450.0,14450.0,14450.0,14450.0,0.0,0.0
