,회사명,거래소코드,회계년도,매출액(IFRS연결),유동자산(IFRS연결),유동부채(IFRS연결),매출액(IFRS개별),유동자산(IFRS개별),유동부채(IFRS개별),순운전자본회전율(개별),순운전자본회전율(연결)
27,(주)HJ중공업,97230,Dec-11,2891499000.0,2391530000.0,2482598000.0,2316017000.0,2183437000.0,1800533000.0,604.8557863067505,-3175.098827249967
28,(주)HJ중공업,97230,Dec-12,2549319000.0,2274211000.0,2448324000.0,1980761000.0,2419666000.0,2125376000.0,673.0643243059567,-1464.1749898054713
29,(주)HJ중공업,97230,Dec-13,2529341000.0,2788908000.0,3284862000.0,1927307000.0,1949615000.0,2490138000.0,-356.56336548120987,-509.9950801888885
30,(주)HJ중공업,97230,Dec-14,2520325000.0,2647534000.0,2843001000.0,1799016000.0,1858441000.0,2203465000.0,-521.4176405119644,-1289.386443747538
31,(주)HJ중공업,97230,Dec-15,3115473000.0,2429499000.0,3430218000.0,2041347000.0,1622994000.0,2558441000.0,-218.2215561116771,-311.3234584333864
32,(주)HJ중공업,97230,Dec-16,2813271000.0,2372221000.0,2636927000.0,1928591000.0,1709538000.0,1598996000.0,1744.6680899567586,-1062.7907943152024
33,(주)HJ중공업,97230,Dec-17,2452314000.0,1894161000.0,3329421000.0,1737428000.0,1390569000.0,2532122000.0,-152.19862765898736,-170.86200409681868
34,(주)HJ중공업,97230,Dec-18,1697869000.0,1720906000.0,2140149000.0,1750954000.0,1382999000.0,1490510000.0,-1628.6277683213812,-404.9844600863938
35,(주)HJ중공업,97230,Dec-19,1628751000.0,1300538000.0,1845223000.0,1609530000.0,1299550000.0,1840367000.0,-297.61083693744837,-299.02622616741786
36,(주)MH에탄올,23150,Dec-11,44785159.0,45677724.0,78266518.0,43206995.0,26253473.0,66482839.0,-107.40163044080784,-137.42502714276569
37,(주)MH에탄올,23150,Dec-12,59768175.0,50009828.0,81625166.0,45488675.0,23099890.0,67402817.0,-102.67645521479878,-189.04803421680958
38,(주)MH에탄올,23150,Dec-13,62199887.0,43178092.0,75260635.0,46298516.0,25868582.0,67842982.0,-110.30179347411755,-193.87455352276783
39,(주)MH에탄올,23150,Dec-14,48983781.0,28731429.0,31619269.0,48983781.0,28019052.0,31619104.0,-1360.6409296310164,-1696.2082733115408
40,(주)MH에탄올,23150,Dec-15,50386203.0,22500870.0,20538639.0,50386203.0,21758814.0,20538474.0,4128.865971778357,2567.8018031516167
41,(주)MH에탄올,23150,Dec-16,48897025.0,19709368.0,7640748.0,48897025.0,18955978.0,7640583.0,432.1283083798665,405.1583776769838
42,(주)MH에탄올,23150,Dec-17,51977132.0,84767703.0,189894170.0,48270464.0,18235352.0,15540676.0,1791.3271948093204,-49.44247959935722
43,(주)MH에탄올,23150,Dec-18,72795863.0,29576016.0,141080352.0,46943080.0,18385099.0,13740951.0,1010.8006893837148,-65.28523070170115
44,(주)MH에탄올,23150,Dec-19,80879342.0,32814839.0,282350933.0,46992295.0,18130225.0,14251549.0,1211.5550512597597,-32.411881064388226
45,(주)SH에너지화학,2360,Dec-11,173209351.0,50355479.0,34076575.0,172752632.0,47641848.0,32842749.0,1167.3185779755918,1064.0111336733726
46,(주)SH에너지화학,2360,Dec-12,193950102.0,50509179.0,29499813.0,191907628.0,48762275.0,28724217.0,957.7157027891625,923.1601848432742
47,(주)SH에너지화학,2360,Dec-13,231912218.0,59051785.0,35131167.0,229783541.0,57773554.0,34930123.0,1005.9064288547548,969.5076356304842
48,(주)SH에너지화학,2360,Dec-14,230912587.0,60325646.0,20681148.0,226971465.0,55486941.0,20421353.0,647.2769400016905,582.4580929237646
49,(주)SH에너지화학,2360,Dec-15,216441364.0,68213722.0,17080931.0,213882181.0,63737267.0,16794017.0,455.6186054438071,423.2926851186355
50,(주)SH에너지화학,2360,Dec-16,218397677.0,84222915.0,12512423.0,214380015.0,79584275.0,12205868.0,318.17317230429626,304.55470449149897
51,(주)SH에너지화학,2360,Dec-17,188114822.0,87597479.0,8284440.0,184672638.0,79139030.0,8386725.0,261.0128927955068,237.18019681480115
52,(주)SH에너지화학,2360,Dec-18,183598766.0,85758694.0,6658546.0,180753289.0,77591484.0,6653981.0,254.8063878143554,232.10925724184483
53,(주)SH에너지화학,2360,Dec-19,140852575.0,83558867.0,7524603.0,138161816.0,74793897.0,7038413.0,203.9123740891586,185.2488175594098
54,(주)SIMPAC,9160,Dec-11,215365697.0,152885455.0,116979241.0,213867522.0,151220422.0,116922857.0,623.5647399458242,599.8006278244762
55,(주)SIMPAC,9160,Dec-12,225353321.0,152757766.0,108358727.0,223854758.0,150643335.0,108043478.0,525.4824165254827,507.5635105525595
56,(주)SIMPAC,9160,Dec-13,205751154.0,108635043.0,133795401.0,204527751.0,106534703.0,133732141.0,-752.0110938390594,-817.7592465099265
57,(주)SIMPAC,9160,Dec-14,263152264.0,144850453.0,136708331.0,227491803.0,118044851.0,116089000.0,11631.34630398737,3231.9862561627056
58,(주)SIMPAC,9160,Dec-15,269528038.0,174086524.0,169308019.0,213152303.0,138074968.0,142954454.0,-4368.335168909184,5640.425990974165
59,(주)SIMPAC,9160,Dec-16,267074156.0,176778523.0,155344858.0,215839356.0,138253630.0,130874395.0,2924.9557169543996,1246.0498752779797
60,(주)SIMPAC,9160,Dec-17,230634812.0,150671614.0,130651105.0,203150228.0,124800057.0,114191470.0,1914.960286417032,1151.9927490355017
61,(주)SIMPAC,9160,Dec-18,306150809.0,310736335.0,228518804.0,268863854.0,273219151.0,207957388.0,411.97761390540427,372.3668240536194
62,(주)SIMPAC,9160,Dec-19,430085162.0,289195402.0,219489571.0,391970769.0,224313300.0,178141755.0,848.9444505268342,617.0002650136973
63,(주)SNT에너지,100840,Dec-11,,,,195318747.0,145463387.0,96002453.0,394.89498318005883,
64,(주)SNT에너지,100840,Dec-12,,,,230707564.0,161463967.0,88443397.0,315.94873061111406,
65,(주)SNT에너지,100840,Dec-13,,,,200750984.0,181309369.0,91989174.0,224.75430556326037,
66,(주)SNT에너지,100840,Dec-14,,,,242746888.0,170494610.0,76613085.0,258.56726123696865,
67,(주)SNT에너지,100840,Dec-15,,,,260094045.0,184059424.0,64293369.0,217.16841637640982,
68,(주)SNT에너지,100840,Dec-16,,,,254089906.0,211766053.0,102181702.0,231.86696246437597,
69,(주)SNT에너지,100840,Dec-17,,,,184091945.0,172919603.0,49128545.0,148.7118277961563,
70,(주)SNT에너지,100840,Dec-18,,,,139516396.0,155524318.0,31555307.0,112.54134793412203,
71,(주)SNT에너지,100840,Dec-19,213326726.0,204986584.0,67469967.0,202822913.0,202225767.0,65138557.0,147.9517403556466,155.12796246289275
72,(주)SNT홀딩스,36530,Dec-11,1663846065.0,1041841182.0,597785981.0,2257851.0,64671576.0,199700.0,3.5020711976800554,374.69352036707704
73,(주)SNT홀딩스,36530,Dec-12,1668749904.0,998857779.0,540250663.0,8718270.0,40740917.0,165833.0,21.486757735362914,363.8735304752663
74,(주)SNT홀딩스,36530,Dec-13,1576368464.0,1070812404.0,569273848.0,8826810.0,49212139.0,306090.0,18.04850357059103,314.3065363852106
75,(주)SNT홀딩스,36530,Dec-14,1552374806.0,994978341.0,477795324.0,7701882.0,47079948.0,245998.0,16.445083107446628,300.1596639821605
76,(주)SNT홀딩스,36530,Dec-15,1612746929.0,1140793639.0,433769566.0,8475099.0,100040105.0,8658519.0,9.274405677310089,228.1035385622577
77,(주)SNT홀딩스,36530,Dec-16,1537700275.0,1205349271.0,487107956.0,9818190.0,97449826.0,318763.0,10.10818753213892,214.0924286707177
78,(주)SNT홀딩스,36530,Dec-17,1508152132.0,1187727595.0,448821933.0,7417869.0,98229088.0,299279.0,7.574679329763627,204.10618155474359
79,(주)SNT홀딩스,36530,Dec-18,1401307482.0,1168023374.0,381612594.0,7292112.0,89557460.0,231691.0,8.163503187977032,178.19026870409888
80,(주)SNT홀딩스,36530,Dec-19,1512114565.0,1266526398.0,405603647.0,11015928.0,31735933.0,233270.0,34.96824379577054,175.63882046834186
81,(주)STX,11810,Dec-11,5967701000.0,1430457000.0,2041868000.0,4173397000.0,993206000.0,1568777000.0,-725.0881298745072,-976.0539146335279
82,(주)STX,11810,Dec-12,6159850000.0,1484305000.0,2363189000.0,4116767000.0,856988000.0,1821548000.0,-426.8025835614166,-700.8717874031157
83,(주)STX,11810,Dec-13,2449401000.0,793607000.0,1278680000.0,1895063000.0,640293000.0,1071743000.0,-439.2311971259706,-504.95513046489907
84,(주)STX,11810,Dec-14,1634606000.0,893610000.0,788697000.0,1291351000.0,728283000.0,671976000.0,2293.4111211749873,1558.058581872599
85,(주)STX,11810,Dec-15,1630827000.0,902119000.0,866685000.0,1362127000.0,663016000.0,677923000.0,-9137.499161467767,4602.43551391319
