,회사명,거래소코드,회계년도,자본(IFRS연결),자산(IFRS연결),자본(IFRS개별),자산(IFRS개별),자기자본구성비율(개별),자기자본구성비율(연결)
129,(주)강원에너지,114190,Dec-18,50203707.0,93845576.0,49286354.0,89619750.0,54.99496930085165,53.49608275620792
130,(주)강원에너지,114190,Dec-19,21124556.0,56602063.0,22904034.0,55106032.0,41.563569665113974,37.32117679173637
131,(주)갤럭시아에스엠,11420,Dec-11,25274017.0,45110356.0,24539613.0,40711969.0,60.276163503661536,56.02708389177864
132,(주)갤럭시아에스엠,11420,Dec-12,25907252.0,43979072.0,25153401.0,40169876.0,62.61757193375453,58.90813703390558
133,(주)갤럭시아에스엠,11420,Dec-13,21493102.0,37636664.0,22472626.0,34158874.0,65.78854443504197,57.10682009436331
134,(주)갤럭시아에스엠,11420,Dec-14,23205508.0,45274078.0,23402468.0,40528250.0,57.74359366614645,51.25561695591018
135,(주)갤럭시아에스엠,11420,Dec-15,49739042.0,68686992.0,50665218.0,67196553.0,75.39853718389395,72.41406349545777
136,(주)갤럭시아에스엠,11420,Dec-16,44846832.0,58444606.0,44846832.0,55825556.0,80.33387432809447,76.73391108154617
137,(주)갤럭시아에스엠,11420,Dec-17,40494336.0,49831109.0,40494336.0,48958128.0,82.71218213245407,81.26316434177694
138,(주)갤럭시아에스엠,11420,Dec-18,26472162.0,33253331.0,26797332.0,33337692.0,80.38148531697995,79.60754969178878
139,(주)갤럭시아에스엠,11420,Dec-19,21798750.0,28241598.0,21798750.0,28241598.0,77.18667336033889,77.18667336033889
140,(주)경농,2100,Dec-11,142986220.0,173774102.0,146016982.0,176741869.0,82.61595445728823,82.28281335040361
141,(주)경농,2100,Dec-12,151738994.0,269412832.0,151500247.0,203467698.0,74.45911488122306,56.322110893366805
142,(주)경농,2100,Dec-13,163157512.0,255984725.0,162696463.0,214988593.0,75.6767885819877,63.73720619462744
143,(주)경농,2100,Dec-14,168915900.0,284623063.0,168998955.0,230870852.0,73.20064596114541,59.3472286537792
144,(주)경농,2100,Dec-15,174667648.0,316341853.0,173056378.0,265109291.0,65.27737196505873,55.21484000411415
145,(주)경농,2100,Dec-16,183969132.0,320915151.0,176722752.0,266622289.0,66.28206241226891,57.326408998371036
146,(주)경농,2100,Dec-17,192152986.0,335873898.0,182959158.0,268967010.0,68.02289916521732,57.20985975516323
147,(주)경농,2100,Dec-18,201453891.0,357260541.0,187066687.0,285031873.0,65.63009428773603,56.38850863185587
148,(주)경농,2100,Dec-19,201885272.0,370874091.0,190892614.0,297197088.0,64.23098398595346,54.43498936678216
149,(주)경동나비엔,9450,Dec-11,168114574.0,263211016.0,143268094.0,224373470.0,63.8525107268698,63.870645140475425
150,(주)경동나비엔,9450,Dec-12,175875394.0,299729837.0,152201349.0,254627468.0,59.77412813923123,58.67797339108418
151,(주)경동나비엔,9450,Dec-13,187280988.0,354779867.0,161494784.0,301475800.0,53.5680754475152,52.787941317989166
152,(주)경동나비엔,9450,Dec-14,190021880.0,401658957.0,167984480.0,331089242.0,50.73691883954356,47.309259930185
153,(주)경동나비엔,9450,Dec-15,206076609.0,402084368.0,185208256.0,324848990.0,57.01364686403981,51.25208175215605
154,(주)경동나비엔,9450,Dec-16,238762190.0,429754702.0,210193123.0,347643876.0,60.4621963770764,55.55778421709974
155,(주)경동나비엔,9450,Dec-17,256506497.0,503697210.0,222028494.0,391400492.0,56.72667728787627,50.92474048049621
156,(주)경동나비엔,9450,Dec-18,280103616.0,583595818.0,240355951.0,440513661.0,54.56265543601382,47.99616572989219
157,(주)경동나비엔,9450,Dec-19,301042624.0,609808343.0,254559521.0,461607017.0,55.146371615923684,49.366760467558905
158,(주)경동도시가스,267290,Dec-17,294331882.0,710280194.0,292628586.0,707917077.0,41.33656264376286,41.43884124692347
159,(주)경동도시가스,267290,Dec-18,320490074.0,778269612.0,318760537.0,775880913.0,41.08369360028322,41.17982625280762
160,(주)경동도시가스,267290,Dec-19,339612043.0,749999474.0,337701666.0,747453908.0,45.1802662860651,45.28163749085509
161,(주)경동인베스트,12320,Dec-11,407862543.0,1001490869.0,412912132.0,941176098.0,43.87193139280084,40.72553785809903
162,(주)경동인베스트,12320,Dec-12,446509347.0,1209924561.0,468921996.0,1168400020.0,40.13368606412725,36.90389974652312
163,(주)경동인베스트,12320,Dec-13,498740561.0,1205008353.0,516833582.0,1161427092.0,44.49987309233527,41.388971267985895
164,(주)경동인베스트,12320,Dec-14,607451423.0,1320789066.0,560802056.0,1101071366.0,50.93239850903542,45.991554490957604
165,(주)경동인베스트,12320,Dec-15,576479441.0,1167819522.0,548528455.0,926392697.0,59.21122400644313,49.36374415224067
166,(주)경동인베스트,12320,Dec-16,587924566.0,1126122628.0,556247783.0,903818865.0,61.54416604260634,52.2078636359663
167,(주)경동인베스트,12320,Dec-17,400403090.0,599276331.0,309789000.0,318031347.0,97.40832245696836,66.81443422466822
168,(주)경동인베스트,12320,Dec-18,397867310.0,592002536.0,310422538.0,318776653.0,97.3793203105122,67.20702797800176
169,(주)경동인베스트,12320,Dec-19,414533638.0,605467383.0,308309156.0,316572482.0,97.38975227796331,68.46506511152559
170,(주)경방,50,Dec-11,629704391.0,1352324332.0,676624221.0,1331930968.0,50.800246953939734,46.56459815883871
171,(주)경방,50,Dec-12,620704205.0,1335039930.0,669735441.0,1301719900.0,51.45004244000572,46.493306383727415
172,(주)경방,50,Dec-13,636438555.0,1296989142.0,685569176.0,1261257414.0,54.35600761511162,49.070461300746956
173,(주)경방,50,Dec-14,647668814.0,1301841379.0,651570419.0,1275008413.0,51.10322507338624,49.7502095453059
174,(주)경방,50,Dec-15,662952918.0,1318643312.0,671770865.0,1259512344.0,53.33579049067263,50.275378638556354
175,(주)경방,50,Dec-16,679843399.0,1301910960.0,690245544.0,1237024388.0,55.798863037452094,52.21888592135364
176,(주)경방,50,Dec-17,699134073.0,1274042237.0,710964923.0,1199063663.0,59.293342375266356,54.87526650970834
177,(주)경방,50,Dec-18,708769347.0,1301792841.0,729185709.0,1226545382.0,59.4503652046688,54.44563256743245
178,(주)경방,50,Dec-19,741553199.0,1370742491.0,740731873.0,1296265431.0,57.14353366876139,54.0986511958941
179,(주)경보제약,214390,Dec-15,,,122817151.0,195488457.0,62.82578157543082,
180,(주)경보제약,214390,Dec-16,,,129402340.0,203735980.0,63.514721356532114,
181,(주)경보제약,214390,Dec-17,,,141509596.0,204869399.0,69.07307616009554,
182,(주)경보제약,214390,Dec-18,,,149012165.0,221622993.0,67.236780346162,
183,(주)경보제약,214390,Dec-19,,,149163504.0,237816742.0,62.72203661759019,
184,(주)경인양행,12610,Dec-11,176292506.0,319596954.0,158882273.0,245825940.0,64.63202093318549,55.160884293033654
185,(주)경인양행,12610,Dec-12,174988685.0,287452678.0,162112825.0,241045608.0,67.25400489354695,60.87564959126942
186,(주)경인양행,12610,Dec-13,189744314.0,316944796.0,178074513.0,274570963.0,64.85555175038665,59.866675962081416
187,(주)경인양행,12610,Dec-14,198238667.0,313039125.0,186433506.0,267331084.0,69.73880598187378,63.327121490005446
188,(주)경인양행,12610,Dec-15,201125304.0,326687437.0,185903130.0,273778266.0,67.90280788760639,61.565056142639484
189,(주)경인양행,12610,Dec-16,208293196.0,344298515.0,191021720.0,290035389.0,65.86152147109193,60.4978490830842
190,(주)경인양행,12610,Dec-17,210934933.0,357951470.0,190844102.0,296909084.0,64.27694950552608,58.928360595921006
191,(주)경인양행,12610,Dec-18,223759383.0,412996589.0,198237400.0,344908257.0,57.475399900327695,54.17947483338658
192,(주)경인양행,12610,Dec-19,237433141.0,472081003.0,201086327.0,381063538.0,52.76976329338547,50.29500011463075
193,(주)고려시멘트,198440,Dec-14,,,,,,
194,(주)고려시멘트,198440,Dec-15,,,,,,
195,(주)고려시멘트,198440,Dec-16,,,,,,
196,(주)고려시멘트,198440,Dec-17,,,77394108.0,115881620.0,66.78721612625021,
197,(주)고려시멘트,198440,Dec-18,,,86510962.0,127536833.0,67.83213912799607,
198,(주)고려시멘트,198440,Dec-19,,,88445378.0,127035573.0,69.62252848656809,
199,(주)고영테크놀러지,98460,Dec-11,69622726.0,87006201.0,70382391.0,87017886.0,80.88267163833422,80.02041831478195
200,(주)고영테크놀러지,98460,Dec-12,83401095.0,103351965.0,84090906.0,103019642.0,81.62609029450908,80.69618705362787
201,(주)고영테크놀러지,98460,Dec-13,98319609.0,120951617.0,100051693.0,121329325.0,82.46291075962057,81.28837913758524
202,(주)고영테크놀러지,98460,Dec-14,115835240.0,141720465.0,118348519.0,141873467.0,83.4183596852539,81.73501265325372
203,(주)고영테크놀러지,98460,Dec-15,131475647.0,158857627.0,133570714.0,160170850.0,83.39264853748357,82.76319461828547
204,(주)고영테크놀러지,98460,Dec-16,157267580.0,195121241.0,157572806.0,194332855.0,81.08397625301188,80.59992812366337
205,(주)고영테크놀러지,98460,Dec-17,161317171.0,205207385.0,164836232.0,205696350.0,80.13571072116738,78.61177656934714
206,(주)고영테크놀러지,98460,Dec-18,225866639.0,279059436.0,229271175.0,279985447.0,81.88681856739504,80.93854206743254
207,(주)고영테크놀러지,98460,Dec-19,243668528.0,305481184.0,252020628.0,308020011.0,81.81956333999352,79.76547845251248
208,(주)골드앤에스,35290,Dec-11,22436829.0,46677146.0,22637807.0,46347129.0,48.844033036005314,48.068125244846804
209,(주)골드앤에스,35290,Dec-12,25517817.0,51950606.0,26252682.0,51062616.0,51.41272433045734,49.1193827459876
210,(주)골드앤에스,35290,Dec-13,13127355.0,51442505.0,9813150.0,34508798.0,28.436661282725638,25.518498758954294
211,(주)골드앤에스,35290,Dec-14,12082621.0,46528474.0,9084260.0,28884288.0,31.450524243491824,25.968229690920015
212,(주)골드앤에스,35290,Dec-15,15160254.0,24102094.0,14991660.0,23597566.0,63.53053531029429,62.90015299085632
213,(주)골드앤에스,35290,Dec-16,14268527.0,18671644.0,14102143.0,18296141.0,77.07714430053856,76.41816114317518
214,(주)골드앤에스,35290,Dec-17,13346076.0,17173934.0,13104737.0,16994788.0,77.11032935509404,77.71123378021599
215,(주)골드앤에스,35290,Dec-18,13779569.0,42472631.0,13867013.0,42472631.0,32.649291257704284,32.44340808555044
216,(주)골드앤에스,35290,Dec-19,-5091573.0,16096170.0,-5001092.0,16096170.0,-31.070074433856004,-31.632201946177258
217,(주)골드퍼시픽,38530,Dec-11,,,21829724.0,27473520.0,79.45732472577231,
218,(주)골드퍼시픽,38530,Dec-12,,,22928402.0,29861540.0,76.78238295814617,
219,(주)골드퍼시픽,38530,Dec-13,16190999.0,33687572.0,17116411.0,30517744.0,56.08675071132387,48.062231970888256
220,(주)골드퍼시픽,38530,Dec-14,16567915.0,41948832.0,16902289.0,31936409.0,52.924826332227894,39.49553351092111
221,(주)골드퍼시픽,38530,Dec-15,21193149.0,28573328.0,20115559.0,27495738.0,73.1588255605287,74.17109060589652
222,(주)골드퍼시픽,38530,Dec-16,,,1889641.0,11122066.0,16.990017861789347,
223,(주)골드퍼시픽,38530,Dec-17,,,5364494.0,26567967.0,20.191586356607562,
224,(주)골드퍼시픽,38530,Dec-18,20086698.0,37825442.0,20086698.0,37288362.0,53.86854482908099,53.103670275683754
225,(주)골드퍼시픽,38530,Dec-19,,,21069318.0,72945743.0,28.883547049483067,
226,(주)골프존,215000,Dec-15,108853909.0,178132253.0,105063093.0,171629353.0,61.21510753466512,61.10847820467414
227,(주)골프존,215000,Dec-16,120648626.0,187914226.0,115886579.0,177635830.0,65.23829060837556,64.20409384013321
228,(주)골프존,215000,Dec-17,189381881.0,253672419.0,181394935.0,239011847.0,75.8937003654049,74.65607879112785
229,(주)골프존,215000,Dec-18,194919561.0,254057808.0,197436844.0,254578679.0,77.5543516745171,76.72252332429791
230,(주)골프존,215000,Dec-19,200042879.0,312587283.0,205529589.0,304860836.0,67.41751144446772,63.99584688158922
231,(주)골프존뉴딘홀딩스,121440,Dec-11,348968757.0,378054302.0,348104397.0,373246120.0,93.26403634148963,92.30651659136522
232,(주)골프존뉴딘홀딩스,121440,Dec-12,411636973.0,540922890.0,410999847.0,512614848.0,80.17712491230843,76.0990116354662
