,회사명,거래소코드,회계년도,매출액(IFRS연결),매출채권(IFRS연결),재고자산(IFRS연결),매출액(IFRS개별),매출채권(IFRS개별),재고자산(IFRS개별),운전자본회전비율(개별),운전자본회전비율(연결)
49,(주)SH에너지화학,2360,Dec-15,216441364.0,32536497.0,11899473.0,213882181.0,31405845.0,11416122.0,499.4683709881893,487.0859441123936
50,(주)SH에너지화학,2360,Dec-16,218397677.0,44363775.0,11572141.0,214380015.0,44371296.0,10801243.0,388.56289539257926,390.4426576298491
51,(주)SH에너지화학,2360,Dec-17,188114822.0,32135522.0,19985599.0,184672638.0,29569635.0,18561488.0,383.6865348020241,360.91860341990724
52,(주)SH에너지화학,2360,Dec-18,183598766.0,28065346.0,22253999.0,180753289.0,26954657.0,20857092.0,378.0520327754586,364.86716192351076
53,(주)SH에너지화학,2360,Dec-19,140852575.0,19343406.0,16753438.0,138161816.0,18332571.0,15888341.0,403.7350494925442,390.2074513771896
54,(주)SIMPAC,9160,Dec-11,215365697.0,61396431.0,26468261.0,213867522.0,61101857.0,26353233.0,244.54553988795848,245.11062646187844
55,(주)SIMPAC,9160,Dec-12,225353321.0,64410349.0,25350698.0,223854758.0,63906443.0,25281451.0,250.99231292533938,251.05914929891583
56,(주)SIMPAC,9160,Dec-13,205751154.0,70776019.0,25646140.0,204527751.0,70594150.0,25606746.0,212.60482958495524,213.38575710589512
57,(주)SIMPAC,9160,Dec-14,263152264.0,85807726.0,40715808.0,227491803.0,65389652.0,31897827.0,233.83461606606127,207.9868113706024
58,(주)SIMPAC,9160,Dec-15,269528038.0,92407160.0,56208760.0,213152303.0,63243462.0,48860928.0,190.1373380649946,181.35879251697932
59,(주)SIMPAC,9160,Dec-16,267074156.0,82187792.0,45959349.0,215839356.0,49480584.0,41542910.0,237.12488558173783,208.41210651746027
60,(주)SIMPAC,9160,Dec-17,230634812.0,92525495.0,39255148.0,203150228.0,69293781.0,34297232.0,196.10796546607764,175.01418019336876
61,(주)SIMPAC,9160,Dec-18,306150809.0,83584396.0,110042965.0,268863854.0,58586618.0,103871365.0,165.4974714292741,158.11340268176252
62,(주)SIMPAC,9160,Dec-19,430085162.0,70072876.0,88166502.0,391970769.0,47263174.0,69944925.0,334.422938640102,271.79401703664433
63,(주)SNT에너지,100840,Dec-11,,,,195318747.0,61985605.0,15421719.0,252.32592590334218,
64,(주)SNT에너지,100840,Dec-12,,,,230707564.0,55907590.0,17407006.0,314.68162765297103,
65,(주)SNT에너지,100840,Dec-13,,,,200750984.0,41261252.0,17793150.0,339.9424550942028,
66,(주)SNT에너지,100840,Dec-14,,,,242746888.0,49187725.0,17747389.0,362.6600053299379,
67,(주)SNT에너지,100840,Dec-15,,,,260094045.0,64863275.0,10693980.0,344.23437564003615,
68,(주)SNT에너지,100840,Dec-16,,,,254089906.0,48869506.0,6779276.0,456.5956286338846,
69,(주)SNT에너지,100840,Dec-17,,,,184091945.0,51310402.0,2324389.0,343.2323340273667,
70,(주)SNT에너지,100840,Dec-18,,,,139516396.0,29295256.0,5692284.0,398.76023292863687,
71,(주)SNT에너지,100840,Dec-19,213326726.0,83894725.0,10208805.0,202822913.0,98456397.0,10124894.0,186.79360977573936,226.69364900551554
72,(주)SNT홀딩스,36530,Dec-11,1663846065.0,404578388.0,274834022.0,2257851.0,677865.0,0.0,333.08269345666173,244.89485922107312
73,(주)SNT홀딩스,36530,Dec-12,1668749904.0,404874970.0,280540811.0,8718270.0,659958.0,0.0,1321.0340658041875,243.46534618233426
74,(주)SNT홀딩스,36530,Dec-13,1576368464.0,364300144.0,311174402.0,8826810.0,624553.0,0.0,1413.3003924406737,233.37200096360107
75,(주)SNT홀딩스,36530,Dec-14,1552374806.0,318803347.0,283952471.0,7701882.0,608494.0,0.0,1265.7285034856548,257.5462168330327
76,(주)SNT홀딩스,36530,Dec-15,1612746929.0,317287946.0,268780766.0,8475099.0,647243.0,0.0,1309.4153200575363,275.18051995923645
77,(주)SNT홀딩스,36530,Dec-16,1537700275.0,331347025.0,236908975.0,9818190.0,647920.0,0.0,1515.3398567724412,270.59991887459176
78,(주)SNT홀딩스,36530,Dec-17,1508152132.0,317573551.0,215870141.0,7417869.0,558857.0,0.0,1327.3286368426986,282.72002361591336
79,(주)SNT홀딩스,36530,Dec-18,1401307482.0,282698019.0,220256725.0,7292112.0,595784.0,0.0,1223.9523048621647,278.6150242575304
80,(주)SNT홀딩스,36530,Dec-19,1512114565.0,323871429.0,229809615.0,11015928.0,570175.0,0.0,1932.0257815582934,273.10210118011554
81,(주)STX,11810,Dec-11,5967701000.0,549558000.0,315306000.0,4173397000.0,433389000.0,240418000.0,619.3757262836391,690.0161181411182
82,(주)STX,11810,Dec-12,6159850000.0,585650000.0,182590000.0,4116767000.0,407542000.0,108537000.0,797.70093338423,801.8132354472561
83,(주)STX,11810,Dec-13,2449401000.0,318920000.0,94076000.0,1895063000.0,264240000.0,47749000.0,607.4134023955974,593.0810467897994
84,(주)STX,11810,Dec-14,1634606000.0,231173000.0,207648000.0,1291351000.0,240745000.0,148535000.0,331.72806206329636,372.49949295954383
85,(주)STX,11810,Dec-15,1630827000.0,196846000.0,316312000.0,1362127000.0,192082000.0,143454000.0,405.95554575365986,317.8021194252063
86,(주)STX,11810,Dec-16,1720153000.0,151385000.0,226131000.0,1465561000.0,225461000.0,139765000.0,401.27510089643124,455.6503565411797
87,(주)STX,11810,Dec-17,1803878000.0,150002000.0,181620000.0,1595494000.0,148268000.0,103343000.0,634.1113862271523,543.9560704657713
