,회사명,거래소코드,회계년도,이자비용(IFRS연결),장기차입금(IFRS연결),단기차입금(IFRS연결),회사채(IFRS연결),이자비용(IFRS개별),장기차입금(IFRS개별),단기차입금(IFRS개별),회사채(IFRS개별),차입금평균이자율(개별),차입금평균이자율(연결)
86,(주)STX,11810,Dec-16,0.0,30940000.0,574539000.0,0.0,0.0,30940000.0,510241000.0,0.0,0.0,0.0
87,(주)STX,11810,Dec-17,0.0,19343000.0,253322000.0,0.0,0.0,19343000.0,204108000.0,0.0,0.0,0.0
88,(주)STX,11810,Dec-18,0.0,22595000.0,305981000.0,0.0,0.0,22595000.0,259918000.0,0.0,0.0,0.0
89,(주)STX,11810,Dec-19,0.0,38017000.0,264271000.0,0.0,0.0,34213000.0,248602000.0,0.0,0.0,0.0
90,(주)TCC스틸,2710,Dec-11,0.0,26981943.0,108093746.0,0.0,0.0,25483900.0,93982325.0,0.0,0.0,0.0
91,(주)TCC스틸,2710,Dec-12,0.0,69300233.0,95311816.0,0.0,0.0,57343600.0,51793337.0,0.0,0.0,0.0
92,(주)TCC스틸,2710,Dec-13,0.0,119777726.0,68381264.0,0.0,0.0,81381440.0,30522560.0,0.0,0.0,0.0
93,(주)TCC스틸,2710,Dec-14,0.0,30545120.0,121546985.0,0.0,0.0,28114780.0,82191918.0,0.0,0.0,0.0
94,(주)TCC스틸,2710,Dec-15,0.0,113039900.0,40104555.0,0.0,0.0,112083700.0,29010848.0,0.0,0.0,0.0
95,(주)TCC스틸,2710,Dec-16,0.0,60103220.0,40670209.0,0.0,0.0,59537000.0,30606252.0,0.0,0.0,0.0
96,(주)TCC스틸,2710,Dec-17,0.0,178740.0,41668435.0,0.0,0.0,0.0,35703547.0,0.0,0.0,0.0
97,(주)TCC스틸,2710,Dec-18,0.0,78588608.0,41720321.0,0.0,0.0,74888608.0,40134438.0,0.0,0.0,0.0
98,(주)TCC스틸,2710,Dec-19,0.0,8063000.0,49412479.0,0.0,0.0,4363000.0,48254679.0,0.0,0.0,0.0
99,(주)가비아,79940,Dec-11,0.0,953300.0,0.0,0.0,0.0,953300.0,0.0,0.0,0.0,0.0
100,(주)가비아,79940,Dec-12,0.0,9666660.0,2774106.0,0.0,0.0,9666660.0,1000000.0,0.0,0.0,0.0
101,(주)가비아,79940,Dec-13,0.0,5500000.0,1000000.0,0.0,0.0,5500000.0,0.0,0.0,0.0,0.0
102,(주)가비아,79940,Dec-14,0.0,4675000.0,3500000.0,0.0,0.0,4675000.0,3000000.0,0.0,0.0,0.0
103,(주)가비아,79940,Dec-15,0.0,5500000.0,510000.0,0.0,0.0,5500000.0,0.0,0.0,0.0,0.0
104,(주)가비아,79940,Dec-16,0.0,7200000.0,2200000.0,0.0,0.0,5500000.0,0.0,0.0,0.0,0.0
105,(주)가비아,79940,Dec-17,0.0,1700000.0,2400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,(주)가비아,79940,Dec-18,0.0,3315000.0,8214600.0,0.0,0.0,1000000.0,5500000.0,0.0,0.0,0.0
107,(주)가비아,79940,Dec-19,0.0,11463170.0,6645286.0,0.0,0.0,4910996.0,3000000.0,0.0,0.0,0.0
108,(주)강스템바이오텍,217730,Dec-15,,,,,0.0,780000.0,287750.0,0.0,0.0,
109,(주)강스템바이오텍,217730,Dec-16,,,,,0.0,520000.0,260000.0,0.0,0.0,
110,(주)강스템바이오텍,217730,Dec-17,0.0,4260000.0,1350000.0,0.0,0.0,4260000.0,0.0,0.0,0.0,0.0
111,(주)강스템바이오텍,217730,Dec-18,0.0,4438889.0,1405000.0,0.0,0.0,4000000.0,0.0,0.0,0.0,0.0
112,(주)강스템바이오텍,217730,Dec-19,0.0,7655556.0,240000.0,0.0,0.0,4000000.0,0.0,0.0,0.0,0.0
113,(주)강원랜드,35250,Dec-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,(주)강원랜드,35250,Dec-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,(주)강원랜드,35250,Dec-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,(주)강원랜드,35250,Dec-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,(주)강원랜드,35250,Dec-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,(주)강원랜드,35250,Dec-16,0.0,940000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,(주)강원랜드,35250,Dec-17,0.0,1400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,(주)강원랜드,35250,Dec-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,(주)강원랜드,35250,Dec-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,(주)강원에너지,114190,Nov-11,,,,,0.0,0.0,0.0,0.0,0.0,
123,(주)강원에너지,114190,Dec-12,,,,,0.0,0.0,0.0,0.0,0.0,
124,(주)강원에너지,114190,Dec-13,,,,,0.0,0.0,0.0,0.0,0.0,
125,(주)강원에너지,114190,Dec-14,,,,,0.0,0.0,0.0,0.0,0.0,
126,(주)강원에너지,114190,Dec-15,0.0,10000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
