,회사명,거래소코드,회계년도,부채(IFRS연결),자산(IFRS연결),부채(IFRS개별),자산(IFRS개별),타인자본구성비율(개별),타인자본구성비율(연결)
59,(주)SIMPAC,9160,Dec-16,177448939.0,417865468.0,137286101.0,366245273.0,37.484743454968765,42.46556669286681
60,(주)SIMPAC,9160,Dec-17,140332152.0,381158251.0,119223157.0,343005145.0,34.75841652462677,36.81729350783488
61,(주)SIMPAC,9160,Dec-18,246717950.0,681750819.0,217214665.0,628334175.0,34.56992690235256,36.18887475073206
62,(주)SIMPAC,9160,Dec-19,237950364.0,679145850.0,189477136.0,608693104.0,31.128516941437205,35.036710303096164
63,(주)SNT에너지,100840,Dec-11,,,115915976.0,276511841.0,41.920800057166446,
64,(주)SNT에너지,100840,Dec-12,,,109495724.0,292802033.0,37.39582095046451,
65,(주)SNT에너지,100840,Dec-13,,,113510608.0,311675279.0,36.41950954987354,
66,(주)SNT에너지,100840,Dec-14,,,96799312.0,304511816.0,31.788359897338104,
67,(주)SNT에너지,100840,Dec-15,,,84796156.0,316196096.0,26.817584743361284,
68,(주)SNT에너지,100840,Dec-16,,,118242778.0,348042346.0,33.97367572048259,
69,(주)SNT에너지,100840,Dec-17,,,66449368.0,300266693.0,22.130116176421872,
70,(주)SNT에너지,100840,Dec-18,,,49715044.0,280991534.0,17.69271952513701,
71,(주)SNT에너지,100840,Dec-19,88942325.0,333897235.0,85846184.0,331391237.0,25.904783957820825,26.63763448056106
72,(주)SNT홀딩스,36530,Dec-11,813820784.0,2124828265.0,284900.0,388123974.0,0.07340438083837614,38.30054397360909
73,(주)SNT홀딩스,36530,Dec-12,756881039.0,2074903906.0,352990.0,388964716.0,0.09075116211826267,36.477883954593125
74,(주)SNT홀딩스,36530,Dec-13,774810996.0,2149176237.0,484426.0,397336142.0,0.12191843348597269,36.051533730037235
75,(주)SNT홀딩스,36530,Dec-14,683347926.0,2039388864.0,381380.0,399244416.0,0.09552544374221128,33.50748540715774
76,(주)SNT홀딩스,36530,Dec-15,640062214.0,2169311305.0,8658519.0,430584006.0,2.0108779888122457,29.505318693759353
77,(주)SNT홀딩스,36530,Dec-16,679285814.0,2210178425.0,318763.0,427001710.0,0.07465145748479556,30.734433307120895
78,(주)SNT홀딩스,36530,Dec-17,626881784.0,2146174938.0,299279.0,425435423.0,0.07034651649117614,29.209258429985454
79,(주)SNT홀딩스,36530,Dec-18,610559077.0,2113834573.0,231691.0,422804813.0,0.054798572030446586,28.883957372950015
80,(주)SNT홀딩스,36530,Dec-19,610745978.0,2236679025.0,233270.0,417172874.0,0.05591686673280679,27.305928618881737
81,(주)STX,11810,Dec-11,3318233000.0,5234175000.0,2137600000.0,3302248000.0,64.73166158326086,63.39553033668152
82,(주)STX,11810,Dec-12,3560390000.0,5067029000.0,2103344000.0,3226878000.0,65.18201183930722,70.26583033173878
83,(주)STX,11810,Dec-13,1852183000.0,1342520000.0,1608657000.0,1086567000.0,148.04949901846825,137.96315883562255
84,(주)STX,11810,Dec-14,1161340000.0,1255002000.0,1015539000.0,1070433000.0,94.87179487179486,92.53690432365845
85,(주)STX,11810,Dec-15,1194882000.0,1267224000.0,985227000.0,1057543000.0,93.1618856159986,94.29130130111172
86,(주)STX,11810,Dec-16,1038305000.0,707709000.0,956569000.0,627686000.0,152.39610250985365,146.71355034343213
