,회사명,거래소코드,회계년도,유동부채(IFRS연결),부채(IFRS연결),유동부채(IFRS개별),부채(IFRS개별),유동부채(개별),유동부채(연결)
91,(주)TCC스틸,2710,Dec-12,191715329.0,321015196.0,115747321.0,228887219.0,50.56958684967028,59.72157436434878
92,(주)TCC스틸,2710,Dec-13,155751890.0,337970494.0,98538725.0,234118683.0,42.08921891124768,46.08446381121069
93,(주)TCC스틸,2710,Dec-14,283660429.0,361962559.0,189566139.0,251203934.0,75.46304549513943,78.36733992147515
94,(주)TCC스틸,2710,Dec-15,153614700.0,290382095.0,121276743.0,254095791.0,47.72874927314321,52.90088564172664
95,(주)TCC스틸,2710,Dec-16,94244692.0,179577101.0,77521428.0,158254682.0,48.98523507822662,52.48146421519523
96,(주)TCC스틸,2710,Dec-17,160048884.0,177776736.0,148607324.0,159269192.0,93.3057562067622,90.02802481422542
97,(주)TCC스틸,2710,Dec-18,93172096.0,192535369.0,82038987.0,169783970.0,48.31963052813526,48.39219748762109
98,(주)TCC스틸,2710,Dec-19,165995910.0,197366953.0,152915323.0,172763630.0,88.51129314659573,84.10521998584028
99,(주)가비아,79940,Dec-11,13905604.0,16288697.0,11953563.0,12997135.0,91.97075355453337,85.3696523423574
100,(주)가비아,79940,Dec-12,14858349.0,26299269.0,10723878.0,20630538.0,51.98060273561455,56.497193895389266
101,(주)가비아,79940,Dec-13,14999568.0,22631067.0,11588806.0,17328806.0,66.87596364111873,66.27866021518119
102,(주)가비아,79940,Dec-14,16229926.0,23034370.0,13161566.0,17836566.0,73.78979787925546,70.4596044953693
103,(주)가비아,79940,Dec-15,13210992.0,20985420.0,9687159.0,15187159.0,63.78519511121205,62.95319321700495
104,(주)가비아,79940,Dec-16,20386590.0,29844914.0,10247269.0,15747269.0,65.07330890200707,68.30842266792928
105,(주)가비아,79940,Dec-17,29400833.0,33486064.0,17323452.0,17323452.0,100.0,87.80020548249564
106,(주)가비아,79940,Dec-18,29792809.0,37253015.0,18089528.0,19483076.0,92.84739227009123,79.97422222067127
107,(주)가비아,79940,Dec-19,43098923.0,64956993.0,20260391.0,28880845.0,70.15165588125971,66.34993556428944
108,(주)강스템바이오텍,217730,Dec-15,,,2965591.0,3745591.0,79.17551595996466,
109,(주)강스템바이오텍,217730,Dec-16,,,3231048.0,24464858.0,13.206894558717652,
110,(주)강스템바이오텍,217730,Dec-17,6368374.0,22716816.0,4000962.0,19840601.0,20.16552825189116,28.03374381339357
111,(주)강스템바이오텍,217730,Dec-18,20056267.0,25612644.0,13802351.0,18239878.0,75.67129012595369,78.30611708810696
112,(주)강스템바이오텍,217730,Dec-19,20598774.0,44924460.0,15296868.0,27780716.0,55.062900466640244,45.85202359694473
113,(주)강원랜드,35250,Dec-11,440884890.0,454039086.0,439575361.0,452081605.0,97.23363130424207,97.10284942296796
114,(주)강원랜드,35250,Dec-12,518388305.0,534628331.0,516757053.0,532225153.0,97.09369241329337,96.96237085497813
115,(주)강원랜드,35250,Dec-13,570217325.0,584340350.0,568327002.0,581467261.0,97.74015496979115,97.58308235945027
116,(주)강원랜드,35250,Dec-14,624516570.0,669769805.0,619817290.0,664286664.0,93.30569520510501,93.2434644467139
117,(주)강원랜드,35250,Dec-15,664599978.0,693036625.0,662837030.0,690617690.0,95.97741841799622,95.8968045880692
118,(주)강원랜드,35250,Dec-16,718893173.0,726260115.0,717426075.0,723241827.0,99.19587725946056,98.98563312952963
119,(주)강원랜드,35250,Dec-17,681337932.0,684421554.0,680591144.0,681737727.0,99.83181464739445,99.54945574376227
120,(주)강원랜드,35250,Dec-18,636028473.0,644464265.0,635168405.0,643178007.0,98.7546834759852,98.69103805158227
121,(주)강원랜드,35250,Dec-19,651342607.0,720360229.0,650507914.0,718028952.0,90.59633489542077,90.4190127075991
122,(주)강원에너지,114190,Nov-11,,,29049482.0,29216633.0,99.42789095512819,
123,(주)강원에너지,114190,Dec-12,,,52980413.0,53150277.0,99.68040806259579,
124,(주)강원에너지,114190,Dec-13,,,26561224.0,26564178.0,99.98887976130864,
125,(주)강원에너지,114190,Dec-14,,,16587078.0,16592147.0,99.96944940278073,
126,(주)강원에너지,114190,Dec-15,18860326.0,28873556.0,26044865.0,26058095.0,99.94922882889176,65.32041290653635
127,(주)강원에너지,114190,Dec-16,12090212.0,22097916.0,17100077.0,17103781.0,99.97834396967548,54.71200089637412
128,(주)강원에너지,114190,Dec-17,33693980.0,44876384.0,36681993.0,40664397.0,90.20665669774964,75.08176238085494
129,(주)강원에너지,114190,Dec-18,43608244.0,43641869.0,40299772.0,40333396.0,99.91663484026984,99.92295242900802
130,(주)강원에너지,114190,Dec-19,30840573.0,35477506.0,27565065.0,32201998.0,85.6004804422384,86.92993526658836
131,(주)갤럭시아에스엠,11420,Dec-11,15665609.0,19836339.0,12001627.0,16172356.0,74.2107519770156,78.97429560968887
132,(주)갤럭시아에스엠,11420,Dec-12,13440442.0,18071820.0,12435097.0,15016475.0,82.80969401940203,74.37237644022572
133,(주)갤럭시아에스엠,11420,Dec-13,13503615.0,16143563.0,9491278.0,11686248.0,81.21749598331304,83.64705486638854
134,(주)갤럭시아에스엠,11420,Dec-14,17868979.0,22068570.0,14705118.0,17125782.0,85.86538121295717,80.97026223266846
135,(주)갤럭시아에스엠,11420,Dec-15,16873228.0,18947950.0,14961439.0,16531335.0,90.50351347909894,89.05041442477946
136,(주)갤럭시아에스엠,11420,Dec-16,12464561.0,13597774.0,9845511.0,10978725.0,89.67809103516119,91.66618742155886
137,(주)갤럭시아에스엠,11420,Dec-17,8744690.0,9336773.0,7871709.0,8463792.0,93.00451854204357,93.65859060726869
138,(주)갤럭시아에스엠,11420,Dec-18,6670268.0,6781168.0,6429460.0,6540360.0,98.30437468273918,98.36458851926395
139,(주)갤럭시아에스엠,11420,Dec-19,6311576.0,6442848.0,6311576.0,6442848.0,97.96251595567675,97.96251595567675
140,(주)경농,2100,Dec-11,24871768.0,30787882.0,24782041.0,30724888.0,80.65787253642715,80.78427739849074
141,(주)경농,2100,Dec-12,102878086.0,117673838.0,45244293.0,51967451.0,87.06275202914993,87.42647282397638
142,(주)경농,2100,Dec-13,72472377.0,92827213.0,40577371.0,52292130.0,77.59747212439042,78.07233962738923
143,(주)경농,2100,Dec-14,90426180.0,115707163.0,46610936.0,61871897.0,75.33458364788783,78.15089200657353
144,(주)경농,2100,Dec-15,114383542.0,141674205.0,75250424.0,92052914.0,81.74692221041477,80.7370276049899
145,(주)경농,2100,Dec-16,112348070.0,136946019.0,75688103.0,89899537.0,84.1918718669263,82.0382153642597
146,(주)경농,2100,Dec-17,121066567.0,143720912.0,78430974.0,86007852.0,91.19048107375126,84.23726604239751
147,(주)경농,2100,Dec-18,128301300.0,155806650.0,86896477.0,97965187.0,88.70138429889384,82.34648521099709
148,(주)경농,2100,Dec-19,122608005.0,168988819.0,80682497.0,106304474.0,75.89755535594861,72.55391553449462
149,(주)경동나비엔,9450,Dec-11,81664623.0,95096442.0,74711381.0,81105376.0,92.11643504371399,85.8755819697229
150,(주)경동나비엔,9450,Dec-12,100189444.0,123854443.0,87833093.0,102426119.0,85.75263209963076,80.89289457302714
151,(주)경동나비엔,9450,Dec-13,149468556.0,167498879.0,132677192.0,139981016.0,94.7822753336781,89.23555601825849
152,(주)경동나비엔,9450,Dec-14,186324883.0,211637077.0,156677220.0,163104762.0,96.05925546183623,88.03981119055051
153,(주)경동나비엔,9450,Dec-15,177125715.0,196007760.0,136609355.0,139640734.0,97.82915850327741,90.36668497206438
154,(주)경동나비엔,9450,Dec-16,177489101.0,190992511.0,135099803.0,137450753.0,98.2896055869552,92.92987461691627
155,(주)경동나비엔,9450,Dec-17,219839746.0,247190712.0,159637322.0,169371998.0,94.25248794667935,88.93527763292336
156,(주)경동나비엔,9450,Dec-18,275122471.0,303492202.0,191253920.0,200157710.0,95.55161277574568,90.65223725254069
157,(주)경동나비엔,9450,Dec-19,270253541.0,308765719.0,183748685.0,207047496.0,88.74711771447842,87.52705510031053
158,(주)경동도시가스,267290,Dec-17,334894003.0,415948312.0,334399752.0,415288491.0,80.52227770501833,80.5133698919783
