,회사명,거래소코드,회계년도,당기순이익(IFRS연결),전기순이익(IFRS연결),당기순이익(IFRS개별),전기순이익(IFRS개별),순이익증가율(개별),순이익증가율(연결)
214,(주)골드앤에스,35290,Dec-17,-7975875.0,-7975875.0,-8062623.0,-8062623.0,0.0,0.0
215,(주)골드앤에스,35290,Dec-18,-4380399.0,-5583576.0,-4045846.0,-5249022.0,0.0,0.0
216,(주)골드앤에스,35290,Dec-19,-24883278.0,-24883278.0,-24883215.0,-24883215.0,0.0,0.0
217,(주)골드퍼시픽,38530,Dec-11,,,990336.0,990336.0,0.0,
218,(주)골드퍼시픽,38530,Dec-12,,254546.0,254546.0,254546.0,0.0,0.0
219,(주)골드퍼시픽,38530,Dec-13,-9381353.0,-9381353.0,-8455942.0,-8455942.0,0.0,0.0
220,(주)골드퍼시픽,38530,Dec-14,-7390326.0,-7390326.0,-7306525.0,-7306525.0,0.0,0.0
221,(주)골드퍼시픽,38530,Dec-15,-10215946.0,,-12525668.0,-10215946.0,0.0,
222,(주)골드퍼시픽,38530,Dec-16,,,-23433498.0,-23433498.0,0.0,
223,(주)골드퍼시픽,38530,Dec-17,,-965087.0,-965087.0,-965087.0,0.0,0.0
224,(주)골드퍼시픽,38530,Dec-18,-4471963.0,,-4380343.0,-4471963.0,0.0,
225,(주)골드퍼시픽,38530,Dec-19,,,-31603970.0,-31603970.0,0.0,
226,(주)골프존,215000,Dec-15,36533155.0,36533155.0,33262807.0,33262807.0,0.0,-8.951726178590377
227,(주)골프존,215000,Dec-16,36536248.0,36536248.0,35913366.0,35913366.0,0.0,-1.7048329647860925
228,(주)골프존,215000,Dec-17,79392004.0,79392004.0,75544308.0,75544308.0,0.0,-4.846452798949372
229,(주)골프존,215000,Dec-18,20419449.0,20419449.0,21663391.0,21663391.0,0.0,6.091946947246214
230,(주)골프존,215000,Dec-19,16213888.0,16213888.0,19704546.0,19704546.0,0.0,21.528815297108267
231,(주)골프존뉴딘홀딩스,121440,Dec-11,46487063.0,46487064.0,47591974.0,47591974.0,0.0,2.376811751329356
232,(주)골프존뉴딘홀딩스,121440,Dec-12,73354594.0,73354594.0,72099265.0,72099265.0,0.0,-1.7113161310660416
233,(주)골프존뉴딘홀딩스,121440,Dec-13,2803470.0,2803470.0,4493226.0,4493226.0,0.0,60.27373219617118
234,(주)골프존뉴딘홀딩스,121440,Dec-14,79234486.0,79234486.0,63571492.0,63571492.0,0.0,-19.7679000530148
235,(주)골프존뉴딘홀딩스,121440,Dec-15,871101274.0,871101274.0,890006593.0,890006593.0,0.0,2.170277964718025
236,(주)골프존뉴딘홀딩스,121440,Dec-16,2876449.0,2876449.0,-20255655.0,-20255655.0,0.0,-804.189610175602
237,(주)골프존뉴딘홀딩스,121440,Dec-17,-21585123.0,-21585123.0,-21778628.0,-20921250.0,0.0,0.0
238,(주)골프존뉴딘홀딩스,121440,Dec-18,-7527390.0,-7527390.0,-7653686.0,-7653686.0,0.0,0.0
239,(주)골프존뉴딘홀딩스,121440,Dec-19,-34848135.0,-34095600.0,-30341791.0,-29589256.0,0.0,0.0
240,(주)광림,14200,Dec-11,,,2583332.0,2583332.0,0.0,
241,(주)광림,14200,Dec-12,,,586385.0,586385.0,0.0,
242,(주)광림,14200,Dec-13,,1630750.0,1630750.0,1630750.0,0.0,0.0
243,(주)광림,14200,Dec-14,-237860.0,,1137559.0,-237860.0,-578.2472883208611,
244,(주)광림,14200,Dec-15,,9223597.0,9223597.0,3286700.0,180.63397937140599,0.0
245,(주)광림,14200,Dec-16,-1896521.0,-1896521.0,437352.0,437352.0,0.0,-123.0607517659968
246,(주)광림,14200,Dec-17,-23602051.0,-23602051.0,86196134.0,86196134.0,0.0,-465.2061170446585
247,(주)광림,14200,Dec-18,-28445678.0,-28445678.0,-58294056.0,-58294056.0,0.0,0.0
248,(주)광림,14200,Dec-19,-14006972.0,-6019563.0,-68290742.0,24489126.0,-378.8614914227646,0.0
249,(주)광명전기,17040,Dec-11,-1825104.0,-1825104.0,-75153.0,-75153.0,0.0,0.0
250,(주)광명전기,17040,Dec-12,407617.0,407617.0,-1564026.0,-1564026.0,0.0,-483.6998947541442
