,회사명,거래소코드,회계년도,당기순이익(IFRS연결),매출액(IFRS연결),당기순이익(IFRS개별),매출액(IFRS개별),매출액순이익률(개별),매출액순이익률(연결)
76,(주)SNT홀딩스,36530,Dec-15,116419931.0,1612746929.0,27765789.0,8475099.0,327.6161021835851,7.218735246464698
77,(주)SNT홀딩스,36530,Dec-16,10146568.0,1537700275.0,6923176.0,9818190.0,70.5137708681539,0.6598534294988013
78,(주)SNT홀딩스,36530,Dec-17,25863066.0,1508152132.0,4172419.0,7417869.0,56.248216300395704,1.7148844238745538
79,(주)SNT홀딩스,36530,Dec-18,73732317.0,1401307482.0,6218079.0,7292112.0,85.27130411600919,5.261680105694319
80,(주)SNT홀딩스,36530,Dec-19,124509305.0,1512114565.0,9244252.0,11015928.0,83.91714252308113,8.234118490882997
81,(주)STX,11810,Dec-11,222363000.0,5967701000.0,84657000.0,4173397000.0,2.028491418381716,3.726108261791266
82,(주)STX,11810,Dec-12,-490928000.0,6159850000.0,-23863000.0,4116767000.0,-0.579653888597533,-7.969804459524177
83,(주)STX,11810,Dec-13,-1595630000.0,2449401000.0,-1646014000.0,1895063000.0,-86.85800946986987,-65.14368206757489
84,(주)STX,11810,Dec-14,380584000.0,1634606000.0,334488000.0,1291351000.0,25.9021753187166,23.28291955370285
85,(주)STX,11810,Dec-15,-48982000.0,1630827000.0,-53449000.0,1362127000.0,-3.9239366079668048,-3.003506809735183
86,(주)STX,11810,Dec-16,-457446000.0,1720153000.0,-456150000.0,1465561000.0,-31.12460006782386,-26.59333210476045
87,(주)STX,11810,Dec-17,334386000.0,1803878000.0,336179000.0,1595494000.0,21.070527372713403,18.537062927758974
88,(주)STX,11810,Dec-18,9107000.0,1502985000.0,5024000.0,1329890000.0,0.37777560550120687,0.6059275375336414
89,(주)STX,11810,Dec-19,-33218000.0,1471164000.0,-37142000.0,1237876000.0,-3.0004620818240277,-2.25793997134242
90,(주)TCC스틸,2710,Dec-11,4557868.0,514424043.0,6828699.0,456928069.0,1.4944800863174812,0.8860137977648918
91,(주)TCC스틸,2710,Dec-12,124581.0,501337475.0,4206491.0,440568155.0,0.9547878012199952,0.02484972821949925
92,(주)TCC스틸,2710,Dec-13,-19955830.0,500832754.0,391783.0,419483813.0,0.09339645246335167,-3.984529733852032
93,(주)TCC스틸,2710,Dec-14,-15813610.0,518995240.0,1022624.0,401323585.0,0.2548128338881454,-3.0469662881686546
94,(주)TCC스틸,2710,Dec-15,-110218983.0,495795871.0,-140083396.0,350074629.0,-40.01529513868313,-22.23071821427089
95,(주)TCC스틸,2710,Dec-16,16948843.0,444453635.0,15468493.0,317235565.0,4.876027377321329,3.8134108184310387
96,(주)TCC스틸,2710,Dec-17,1503708.0,391370092.0,-2328706.0,333762378.0,-0.6977137489115086,0.38421638002936614
97,(주)TCC스틸,2710,Dec-18,9755131.0,413176279.0,7565000.0,351301866.0,2.1534186783966582,2.3610094518519054
98,(주)TCC스틸,2710,Dec-19,5037267.0,437173902.0,1996130.0,339334364.0,0.5882487044548191,1.1522341514338612
99,(주)가비아,79940,Dec-11,7014899.0,52838864.0,3262397.0,33792831.0,9.654109772572768,13.276021604098073
100,(주)가비아,79940,Dec-12,9419144.0,69058144.0,5737877.0,38482449.0,14.910373817425185,13.639439832034872
101,(주)가비아,79940,Dec-13,9505713.0,70675565.0,3786937.0,40507693.0,9.348685939730016,13.449787065727739
102,(주)가비아,79940,Dec-14,6752737.0,80432047.0,3076978.0,43906243.0,7.008064889542018,8.395580184599803
103,(주)가비아,79940,Dec-15,8530281.0,91648622.0,4288423.0,48446932.0,8.851794784445794,9.307593299111469
104,(주)가비아,79940,Dec-16,10177685.0,102178978.0,3544032.0,49430564.0,7.169717909753164,9.960644742404842
105,(주)가비아,79940,Dec-17,9669613.0,116217941.0,2493743.0,52365659.0,4.762172476431548,8.32024119236461
106,(주)가비아,79940,Dec-18,15340647.0,128728438.0,2762732.0,55197652.0,5.005162176101259,11.917061403324105
107,(주)가비아,79940,Dec-19,21102390.0,148306878.0,4654769.0,58254105.0,7.990456638206012,14.228868063691557
108,(주)강스템바이오텍,217730,Dec-15,,,-5754141.0,1484593.0,-387.59047092368075,
109,(주)강스템바이오텍,217730,Dec-16,,,-8300375.0,842805.0,-984.8511814713961,
110,(주)강스템바이오텍,217730,Dec-17,-11531949.0,9132939.0,-10855842.0,5394323.0,-201.2456799490872,-126.2676669580296
111,(주)강스템바이오텍,217730,Dec-18,-14294032.0,9165454.0,-13500909.0,1001039.0,-1348.689611493658,-155.95552604377264
112,(주)강스템바이오텍,217730,Dec-19,-26394472.0,6004584.0,-25001590.0,282069.0,-8863.643292953142,-439.57203363297106
113,(주)강원랜드,35250,Dec-11,381175313.0,1265686425.0,393401121.0,1263651213.0,31.132096970495294,30.11609396063484
114,(주)강원랜드,35250,Dec-12,306228988.0,1296191223.0,296503993.0,1292896121.0,22.933319095324286,23.625294058946118
115,(주)강원랜드,35250,Dec-13,297596347.0,1361286598.0,293129468.0,1356906162.0,21.602781106686432,21.86140284031504
116,(주)강원랜드,35250,Dec-14,359348568.0,1496541441.0,363815729.0,1492291312.0,24.379672123963957,24.0119356641324
117,(주)강원랜드,35250,Dec-15,441629101.0,1633716839.0,430459518.0,1630976696.0,26.392744853786677,27.032169250965282
118,(주)강원랜드,35250,Dec-16,454533659.0,1696532511.0,454998593.0,1694575212.0,26.85030382705728,26.791921525398934
119,(주)강원랜드,35250,Dec-17,437540507.0,1604470055.0,437096330.0,1602901764.0,27.269065379854435,27.27009492240103
120,(주)강원랜드,35250,Dec-18,297236881.0,1438059299.0,297320114.0,1436042435.0,20.704131490376188,20.66930628011606
121,(주)강원랜드,35250,Dec-19,334653892.0,1520080449.0,335609508.0,1517612252.0,22.114311976442846,22.0155382052414
122,(주)강원에너지,114190,Nov-11,,,5754715.0,50222892.0,11.458350506776869,
123,(주)강원에너지,114190,Dec-12,,,8974549.0,106471214.0,8.429084879223787,
124,(주)강원에너지,114190,Dec-13,,,3922208.0,50660659.0,7.742118001268006,
125,(주)강원에너지,114190,Dec-14,,,1123194.0,51481321.0,2.1817505421043877,
126,(주)강원에너지,114190,Dec-15,102482.0,46188664.0,885783.0,48852892.0,1.8131638962131453,0.22187695231886337
127,(주)강원에너지,114190,Dec-16,-1125371.0,42287473.0,-762058.0,44448760.0,-1.7144640255431196,-2.661239653644
128,(주)강원에너지,114190,Dec-17,-6451819.0,82034829.0,-6291307.0,83113029.0,-7.569579734604546,-7.864731454489897
129,(주)강원에너지,114190,Dec-18,1708887.0,85905365.0,1977524.0,85905365.0,2.301979626068756,1.9892669101632943
130,(주)강원에너지,114190,Dec-19,-35647438.0,42549622.0,-33460765.0,42549622.0,-78.63939425830857,-83.77850689249367
131,(주)갤럭시아에스엠,11420,Dec-11,2909464.0,47331427.0,3000743.0,31931418.0,9.39746239894514,6.147002497938632
132,(주)갤럭시아에스엠,11420,Dec-12,389023.0,55049732.0,223810.0,37398255.0,0.5984503822437705,0.7066755565676505
133,(주)갤럭시아에스엠,11420,Dec-13,-1736750.0,46437304.0,-1420345.0,30903637.0,-4.596044795633601,-3.7399888675707786
134,(주)갤럭시아에스엠,11420,Dec-14,-255270.0,43885894.0,-931106.0,33027933.0,-2.8191470534955974,-0.5816675399161289
135,(주)갤럭시아에스엠,11420,Dec-15,1863773.0,62472754.0,2575902.0,53784932.0,4.789263282883764,2.9833373441484587
136,(주)갤럭시아에스엠,11420,Dec-16,-1562620.0,52626331.0,-1562620.0,45665676.0,-3.421869852534319,-2.9692740692867226
137,(주)갤럭시아에스엠,11420,Dec-17,-5899738.0,37281280.0,-5899738.0,36917656.0,-15.980803331609136,-15.824934122433564
138,(주)갤럭시아에스엠,11420,Dec-18,-16003255.0,22060413.0,-15678085.0,22030258.0,-71.16614340149808,-72.54286218485574
139,(주)갤럭시아에스엠,11420,Dec-19,-1375316.0,28732679.0,-1375316.0,28732679.0,-4.786591601848196,-4.786591601848196
140,(주)경농,2100,Dec-11,509664.0,121253605.0,3154155.0,120728258.0,2.6126070666902192,0.42032894609607696
141,(주)경농,2100,Dec-12,10310339.0,136970449.0,6590012.0,131021366.0,5.029723167441255,7.527418560188847
142,(주)경농,2100,Dec-13,13950249.0,196358952.0,13751960.0,139237273.0,9.876636983546785,7.104462953132893
143,(주)경농,2100,Dec-14,7099305.0,188483147.0,9271741.0,134806677.0,6.877805466564538,3.76654630029071
144,(주)경농,2100,Dec-15,6980392.0,196418710.0,6488880.0,137609256.0,4.715438618460374,3.5538325244066615
145,(주)경농,2100,Dec-16,6365805.0,203984939.0,5770891.0,143209666.0,4.029679812255131,3.120723045145995
146,(주)경농,2100,Dec-17,10079442.0,206534382.0,11539079.0,143175105.0,8.05941717311819,4.880273154713775
147,(주)경농,2100,Dec-18,4878426.0,212654617.0,9613575.0,146216658.0,6.574883553965513,2.2940607021948645
148,(주)경농,2100,Dec-19,4014664.0,227510941.0,7061857.0,151342037.0,4.666156964703733,1.7646026087158595
149,(주)경동나비엔,9450,Dec-11,9467023.0,341246917.0,9445090.0,318269213.0,2.967641736682838,2.774244257860943
150,(주)경동나비엔,9450,Dec-12,9169965.0,379014259.0,9214927.0,341339118.0,2.699639893016891,2.4194248058619876
151,(주)경동나비엔,9450,Dec-13,11129597.0,414177562.0,9251575.0,371601179.0,2.4896516811105167,2.6871559497952715
152,(주)경동나비엔,9450,Dec-14,9380054.0,428985365.0,9082312.0,382392117.0,2.375130552181336,2.1865673669310373
153,(주)경동나비엔,9450,Dec-15,16752000.0,512031120.0,19320742.0,448302084.0,4.309759577205089,3.2716761434344073
154,(주)경동나비엔,9450,Dec-16,37469924.0,583252904.0,28636194.0,506082201.0,5.658407654609453,6.424301318180834
155,(주)경동나비엔,9450,Dec-17,27019124.0,684660958.0,16291264.0,569819524.0,2.8590217277286554,3.9463509178217224
156,(주)경동나비엔,9450,Dec-18,24748538.0,726741615.0,22818064.0,618058456.0,3.6918941531316904,3.405410876326382
157,(주)경동나비엔,9450,Dec-19,27852090.0,774290704.0,20474157.0,655419303.0,3.123825756471503,3.5971102140469453
158,(주)경동도시가스,267290,Dec-17,17798556.0,871548284.0,17678888.0,870828897.0,2.0301218828295267,2.04217670170985
159,(주)경동도시가스,267290,Dec-18,34164798.0,1606531867.0,33981432.0,1605687067.0,2.1163172263378516,2.126618133246155
160,(주)경동도시가스,267290,Dec-19,24638348.0,1422707835.0,24355132.0,1421866212.0,1.7128989910901689,1.7317925292792107
161,(주)경동인베스트,12320,Dec-11,30327559.0,1847666903.0,50053289.0,1806174764.0,2.7712317765502785,1.6413975349538423
162,(주)경동인베스트,12320,Dec-12,42879202.0,2502642394.0,56917580.0,2403814656.0,2.36780235356049,1.7133571341555403
163,(주)경동인베스트,12320,Dec-13,49841905.0,2788264380.0,46253877.0,2664100017.0,1.7361914607127154,1.7875602241133246
164,(주)경동인베스트,12320,Dec-14,75930406.0,2603059058.0,44839494.0,2399450987.0,1.86873973433657,2.9169682403725163
165,(주)경동인베스트,12320,Dec-15,-21251390.0,1604168482.0,-6095609.0,1352478311.0,-0.45069920533461333,-1.3247604748788475
166,(주)경동인베스트,12320,Dec-16,19132415.0,1181902637.0,16356641.0,1021002691.0,1.602017423086302,1.618780972395783
167,(주)경동인베스트,12320,Dec-17,51930860.0,195069859.0,7248447.0,612436.0,1183.5435865951706,26.62167300792482
168,(주)경동인베스트,12320,Dec-18,29827973.0,228644016.0,1574966.0,7460898.0,21.109603696498734,13.045595297801277
169,(주)경동인베스트,12320,Dec-19,8856009.0,271765025.0,-917643.0,8641051.0,-10.619576252934973,3.258700783884902
170,(주)경방,50,Dec-11,-1131177.0,348136369.0,-1822388.0,275746943.0,-0.6608914609073291,-0.3249235359262336
171,(주)경방,50,Dec-12,-7910168.0,333620804.0,-7074187.0,265409209.0,-2.6653886753417058,-2.3710056163044317
172,(주)경방,50,Dec-13,14574395.0,347189559.0,15103835.0,264782077.0,5.704251273774848,4.197820649324307
173,(주)경방,50,Dec-14,11488471.0,329036023.0,14235818.0,256979444.0,5.539671881304249,3.491554175513482
174,(주)경방,50,Dec-15,16692163.0,357628146.0,21604723.0,307744480.0,7.020344605368714,4.667463449591017
175,(주)경방,50,Dec-16,29474988.0,377445013.0,30977743.0,313876822.0,9.869394880008056,7.809081319084749
176,(주)경방,50,Dec-17,25315361.0,360788750.0,25679379.0,288103985.0,8.913232838483646,7.016671390114021
177,(주)경방,50,Dec-18,20189241.0,351438926.0,29198252.0,279085217.0,10.462127773682832,5.744736711379547
178,(주)경방,50,Dec-19,43621631.0,343892085.0,22223943.0,253552382.0,8.765030257140317,12.684685953153007
179,(주)경보제약,214390,Dec-15,,,26109623.0,178032632.0,14.665638937472991,
180,(주)경보제약,214390,Dec-16,,,12705930.0,186726170.0,6.804579133176672,
181,(주)경보제약,214390,Dec-17,,,17963310.0,191661374.0,9.372420548336462,
182,(주)경보제약,214390,Dec-18,,,13116049.0,201343596.0,6.514261819382624,
183,(주)경보제약,214390,Dec-19,,,5285239.0,191706189.0,2.756947507834502,
184,(주)경인양행,12610,Dec-11,2886360.0,233095049.0,2788642.0,128707611.0,2.1666488705162896,1.238275978997735
185,(주)경인양행,12610,Dec-12,2093491.0,218604655.0,4475441.0,141304459.0,3.167232677349552,0.957660759785742
186,(주)경인양행,12610,Dec-13,10215710.0,260808400.0,12327177.0,183106757.0,6.732234900539471,3.916940558662988
187,(주)경인양행,12610,Dec-14,10148247.0,277181095.0,9090269.0,190395047.0,4.7744251456289195,3.661233461827546
188,(주)경인양행,12610,Dec-15,3670895.0,263163677.0,107330.0,175006703.0,0.06132907949245806,1.3949094502126143
189,(주)경인양행,12610,Dec-16,6837522.0,274873817.0,3724987.0,179267850.0,2.0778890358756463,2.4875130249309994
190,(주)경인양행,12610,Dec-17,4779249.0,299987729.0,531273.0,193975818.0,0.27388620162952476,1.5931481650704453
191,(주)경인양행,12610,Dec-18,13801882.0,331102011.0,7419717.0,222659442.0,3.332316354228535,4.168468188494331
192,(주)경인양행,12610,Dec-19,16372880.0,358802386.0,4797711.0,245244968.0,1.9562933499210473,4.563202653841883
193,(주)고려시멘트,198440,Dec-14,,,,,,
194,(주)고려시멘트,198440,Dec-15,,,,,,
195,(주)고려시멘트,198440,Dec-16,,,,,,
196,(주)고려시멘트,198440,Dec-17,,,1003761.0,87660276.0,1.1450579963950833,
197,(주)고려시멘트,198440,Dec-18,,,4645869.0,85775723.0,5.416298268916952,
198,(주)고려시멘트,198440,Dec-19,,,3396444.0,70921781.0,4.7889998701527245,
199,(주)고영테크놀러지,98460,Dec-11,15634438.0,86130810.0,16580579.0,80200892.0,20.67380871524471,18.15196908051834
200,(주)고영테크놀러지,98460,Dec-12,15221925.0,107841666.0,14836215.0,100791139.0,14.719761228216699,14.115068474554167
201,(주)고영테크놀러지,98460,Dec-13,13933294.0,111902729.0,14816762.0,103933681.0,14.255977328465832,12.45125487511569
202,(주)고영테크놀러지,98460,Dec-14,22111066.0,142840131.0,22775832.0,135531589.0,16.80481441119974,15.479589555963091
203,(주)고영테크놀러지,98460,Dec-15,23530903.0,145904431.0,23271756.0,138554625.0,16.796087463698882,16.127613698037724
204,(주)고영테크놀러지,98460,Dec-16,29723733.0,171793841.0,28063238.0,153254768.0,18.311494230313276,17.30197824728769
205,(주)고영테크놀러지,98460,Dec-17,26734105.0,203368626.0,28907302.0,188934907.0,15.300138264021271,13.145638796812248
206,(주)고영테크놀러지,98460,Dec-18,42309672.0,238208865.0,42430216.0,219818022.0,19.302428260408966,17.761585825111926
207,(주)고영테크놀러지,98460,Dec-19,29559680.0,222057035.0,34702997.0,209480760.0,16.566197773962628,13.311751190409257
208,(주)골드앤에스,35290,Dec-11,1002287.0,47522791.0,1101095.0,47522791.0,2.316983023997896,2.109065942696842
209,(주)골드앤에스,35290,Dec-12,-6467495.0,43889087.0,-6036290.0,43889087.0,-13.753510069598851,-14.735998039786063
210,(주)골드앤에스,35290,Dec-13,-16837473.0,39548810.0,-16378087.0,36607591.0,-44.73959239765326,-42.57390551068414
211,(주)골드앤에스,35290,Dec-14,-9319175.0,31287203.0,-8058617.0,29428881.0,-27.383361942983832,-29.785900005187425
212,(주)골드앤에스,35290,Dec-15,-9502547.0,22197935.0,-9396462.0,22197935.0,-42.33034289000306,-42.808247704122024
213,(주)골드앤에스,35290,Dec-16,390367.0,15893494.0,388207.0,15893494.0,2.44255290875625,2.456143375396247
214,(주)골드앤에스,35290,Dec-17,-7975875.0,12802035.0,-8062623.0,12802035.0,-62.97922947406408,-62.30161845362866
215,(주)골드앤에스,35290,Dec-18,-4380399.0,8680452.0,-4045846.0,8680452.0,-46.6087019431707,-50.46279848100076
216,(주)골드앤에스,35290,Dec-19,-24883278.0,7642733.0,-24883215.0,7642733.0,-325.58006409487285,-325.5808884073276
217,(주)골드퍼시픽,38530,Dec-11,,,990336.0,11236925.0,8.813229597954956,
218,(주)골드퍼시픽,38530,Dec-12,,,254546.0,10491048.0,2.4263162269393868,
219,(주)골드퍼시픽,38530,Dec-13,-9381353.0,7167832.0,-8455942.0,6488691.0,-130.31814891478112,-130.88131808892842
220,(주)골드퍼시픽,38530,Dec-14,-7390326.0,16486257.0,-7306525.0,4855121.0,-150.49110001583895,-44.827191520792134
221,(주)골드퍼시픽,38530,Dec-15,-10215946.0,18635305.0,-12525668.0,6121489.0,-204.61799408607936,-54.820385284812886
222,(주)골드퍼시픽,38530,Dec-16,,,-23433498.0,9588100.0,-244.4018940144554,
223,(주)골드퍼시픽,38530,Dec-17,,,-965087.0,5031439.0,-19.18113287272289,
224,(주)골드퍼시픽,38530,Dec-18,-4471963.0,5708281.0,-4380343.0,5580994.0,-78.48678927087181,-78.34167589156877
225,(주)골드퍼시픽,38530,Dec-19,,,-31603970.0,11323125.0,-279.10996301815976,
226,(주)골프존,215000,Dec-15,36533155.0,201560389.0,33262807.0,184085342.0,18.069231715363845,18.125165952125645
227,(주)골프존,215000,Dec-16,36536248.0,216964342.0,35913366.0,196864993.0,18.24263697304477,16.83974779597654
228,(주)골프존,215000,Dec-17,79392004.0,200105321.0,75544308.0,171859065.0,43.95712731242894,39.675108889283365
