,회사명,거래소코드,회계년도,매출액(IFRS연결),매출원가(IFRS연결),판관비(IFRS연결),당기자본(IFRS연결),전기자본(IFRS연결),매출액(IFRS개별),매출원가(IFRS연결).1,판관비(IFRS개별),당기자본(IFRS개별),전기자본(IFRS개별),총자본영업이익률(개별),총자본영업이익률(연결)
487,(주)남성,4270,Dec-11,66156225.0,51529324.0,14834856.0,86423919.0,86423919.0,55212184.0,47566587.0,4435693.0,80448918.0,80448918.0,1.9949951346766404,-0.120311021767018
488,(주)남성,4270,Dec-12,68020409.0,51440855.0,16615495.0,79934314.0,79934314.0,55616541.0,47202581.0,4530011.0,81342149.0,81342149.0,2.387414795249631,-0.022481584066637514
489,(주)남성,4270,Dec-13,73072002.0,55428602.0,15596823.0,78184930.0,78184930.0,56628063.0,48907451.0,4568358.0,81514206.0,81514206.0,1.9335611267562367,1.308805290226646
490,(주)남성,4270,Dec-14,69059783.0,51589850.0,15887179.0,72641729.0,72641729.0,59274363.0,51867073.0,3889539.0,80188502.0,80188502.0,2.1934260600104487,1.0894247850295524
491,(주)남성,4270,Dec-15,75864783.0,56596270.0,16482210.0,70994437.0,70994437.0,62237269.0,54172553.0,4387499.0,82206186.0,71610124.0,2.390654801171605,1.962338964671274
492,(주)남성,4270,Dec-16,83724292.0,61569580.0,17595571.0,73385506.0,73385506.0,70870441.0,61792790.0,4959014.0,74053481.0,74053481.0,2.7808530702290684,3.1062952676241
493,(주)남성,4270,Dec-17,91991880.0,67081001.0,17700654.0,87392856.0,87392856.0,78335735.0,67575734.0,4937152.0,87590384.0,87590384.0,3.323908820858692,4.125179865960669
494,(주)남성,4270,Dec-18,83251810.0,64188932.0,18086099.0,82768164.0,82768164.0,63605003.0,55793000.0,4839238.0,83103125.0,83103125.0,1.7886000075207762,0.5900692686622842
495,(주)남성,4270,Dec-19,72953026.0,54057224.0,18434517.0,85924082.0,85924082.0,57819890.0,50618204.0,4798873.0,86166403.0,86166403.0,1.3942864714916787,0.26842591114328107
496,(주)내츄럴엔도텍,168330,Dec-13,,,,,,84281121.0,24456508.0,35720919.0,50779888.0,50779888.0,23.733504492959888,
497,(주)내츄럴엔도텍,168330,Dec-14,,,,,71648115.0,124067457.0,39572553.0,58608363.0,71648115.0,71648115.0,18.06505377008174,
498,(주)내츄럴엔도텍,168330,Dec-15,44506401.0,13905861.0,41491210.0,50463160.0,50463160.0,44506401.0,13905861.0,41195698.0,49082284.0,49082284.0,-10.793260965606247,-10.790713463049084
499,(주)내츄럴엔도텍,168330,Dec-16,6556020.0,4249562.0,11697764.0,47296929.0,47296929.0,6556020.0,4249562.0,11653711.0,46208860.0,46208860.0,-10.114135038172334,-9.928029365289234
500,(주)내츄럴엔도텍,168330,Dec-17,9238808.0,5910004.0,8720020.0,54719456.0,54719456.0,9238808.0,5910004.0,8666764.0,45760762.0,45760762.0,-5.8324640660485505,-4.926233184774351
501,(주)내츄럴엔도텍,168330,Dec-18,8928362.0,12032388.0,10483311.0,36487302.0,36487302.0,8892649.0,10021678.0,8560396.0,34261443.0,34261443.0,-14.140421639567252,-18.61926787571194
502,(주)내츄럴엔도텍,168330,Dec-19,6580460.0,9955380.0,7754781.0,20483129.0,20483129.0,6615116.0,8355704.0,6699672.0,18938805.0,18938805.0,-22.28297931152467,-27.16797077243423
503,(주)네오리진,94860,Dec-11,42947694.0,35654342.0,6616446.0,30439412.0,,23311768.0,17082439.0,5020361.0,23488831.0,30439412.0,2.2418086196503753,
504,(주)네오리진,94860,Dec-12,,,,,,24667502.0,17652841.0,5500766.0,26662888.0,26662888.0,2.838955404980886,
505,(주)네오리진,94860,Dec-13,,,,,,41569623.0,31371899.0,11996756.0,22428980.0,22428980.0,-4.010507834061112,
506,(주)네오리진,94860,Dec-14,,,,,,34582751.0,28428850.0,11971202.0,11993150.0,11993150.0,-24.252598358229488,
507,(주)네오리진,94860,Dec-15,,,,,,12413198.0,7394424.0,7826382.0,10969912.0,10969912.0,-12.796857440606635,
508,(주)네오리진,94860,Dec-16,,,,,11809547.0,10654596.0,5297135.0,4546728.0,11809547.0,11809547.0,3.4325321707936807,
509,(주)네오리진,94860,Dec-17,9263380.0,4114151.0,4980565.0,14546111.0,,9032026.0,4028907.0,4781254.0,14601651.0,14546111.0,0.7611733621263959,
510,(주)네오리진,94860,Dec-18,,,,,,9064462.0,5123416.0,4712625.0,11789790.0,11789790.0,-3.2722338565826874,
511,(주)네오리진,94860,Dec-19,,,,,,11270250.0,6559683.0,4452300.0,10818182.0,10818182.0,1.193670988341664,
512,(주)네오셈,253590,Dec-18,,,,,,,,,,,,
513,(주)네오셈,253590,Dec-19,27225588.0,13957524.0,16602174.0,37494457.0,37494457.0,25334754.0,13678942.0,15007025.0,37019001.0,37019001.0,-4.5263417562240535,-4.446137198359747
514,(주)네오오토,212560,Dec-15,,,,,,115393747.0,100703076.0,5457851.0,61349142.0,61349142.0,7.524815913480909,
515,(주)네오오토,212560,Dec-16,,,,,,140544448.0,124333117.0,6159078.0,69048419.0,69048419.0,7.279133357130162,
516,(주)네오오토,212560,Dec-17,,,,,,128249343.0,119701284.0,6942039.0,72509574.0,72509574.0,1.1074537550034427,
517,(주)네오오토,212560,Dec-18,,,,,,115243742.0,105265933.0,7555444.0,77540065.0,77540065.0,1.5620086209625952,
518,(주)네오오토,212560,Dec-19,,,,,,118441501.0,109319189.0,8327197.0,79358492.0,79358492.0,0.5009640304152957,
519,(주)네오위즈,95660,Dec-11,667748340.0,404835206.0,128949629.0,272933090.0,272933090.0,592103340.0,368238006.0,87736382.0,268512261.0,268512261.0,25.34874040630867,24.541455380144637
520,(주)네오위즈,95660,Dec-12,674589550.0,426674549.0,137381090.0,288492496.0,262762181.0,588447125.0,375321856.0,85023412.0,305625409.0,305625409.0,20.95733097243888,20.051333006649482
521,(주)네오위즈,95660,Dec-13,442897817.0,247094563.0,99992324.0,295827208.0,295827208.0,371656266.0,200811862.0,71631677.0,360058072.0,360058072.0,13.777322981388402,16.19373191663966
522,(주)네오위즈,95660,Dec-14,201029653.0,97213907.0,74289479.0,284837352.0,284837352.0,139550248.0,58190551.0,42203969.0,362210560.0,362210560.0,5.405105803651887,5.183004755640335
523,(주)네오위즈,95660,Dec-15,190070606.0,89001598.0,85266514.0,264287860.0,264287860.0,125990929.0,48365432.0,50445621.0,359269020.0,359269020.0,3.782663475965726,2.989636754408621
524,(주)네오위즈,95660,Dec-16,191038418.0,90392826.0,77174151.0,271054566.0,271054566.0,117653566.0,49306518.0,47143064.0,355597288.0,355597288.0,2.9814603085499347,4.329652391836115
525,(주)네오위즈,95660,Dec-17,174045348.0,91937730.0,71234810.0,264748209.0,261573159.0,106849588.0,48083020.0,48579690.0,330102352.0,330102352.0,1.5429877942826653,2.0658116240494344
526,(주)네오위즈,95660,Dec-18,215490230.0,104316848.0,88617776.0,298839710.0,298839710.0,155574255.0,80506895.0,63985958.0,325841070.0,325841070.0,1.7004305197009084,3.773863587272254
527,(주)네오위즈,95660,Dec-19,254498033.0,114293832.0,107636723.0,328878043.0,328878043.0,202617148.0,98975385.0,86998225.0,324764441.0,324764441.0,2.5624015284358053,4.951300138939345
528,(주)네오위즈홀딩스,42420,Dec-11,727227250.0,445201473.0,144790771.0,374990578.0,374990578.0,13097599.0,0.0,9711641.0,242704495.0,242704495.0,0.6975474434455777,18.29846055492093
529,(주)네오위즈홀딩스,42420,Dec-12,742971136.0,482711056.0,151609381.0,385155307.0,365487958.0,19093083.0,0.0,9750417.0,265778788.0,265778788.0,1.757601889583453,14.474345413596698
530,(주)네오위즈홀딩스,42420,Dec-13,512084970.0,289691305.0,121145446.0,416240481.0,416240481.0,3582577.0,0.0,3438703.0,262310566.0,262310566.0,0.027424362311047737,12.162226359718243
531,(주)네오위즈홀딩스,42420,Dec-14,262205577.0,135450174.0,87436183.0,467487690.0,467487690.0,1582089.0,0.0,1007519.0,272035937.0,272035937.0,0.10560553255138494,4.205374905165952
532,(주)네오위즈홀딩스,42420,Dec-15,199471968.0,94870705.0,90148616.0,492854028.0,492854028.0,634975.0,0.0,1020361.0,347681208.0,347681208.0,-0.05542232239367967,1.4662198317267279
533,(주)네오위즈홀딩스,42420,Dec-16,201698095.0,96783407.0,82554858.0,479007316.0,479007316.0,543311.0,0.0,847248.0,325184384.0,325184384.0,-0.04673302516273352,2.3339758343064636
