,회사명,거래소코드,회계년도,매출채권(IFRS연결)(천원),매입채무(IFRS연결)(천원),매출채권(IFRS)(천원),매입채무(IFRS)(천원),매출채권대매입채무비율(개별),매출채권대매입채무비율(연결)
73,(주)SNT홀딩스,36530,2012/12,404874970.0,318705541.0,659958.0,0.0,inf,127.03731749677989
74,(주)SNT홀딩스,36530,2013/12,364300144.0,317382506.0,624553.0,0.0,inf,114.78267929486951
75,(주)SNT홀딩스,36530,2014/12,318803347.0,257490442.0,608494.0,0.0,inf,123.81172074728894
76,(주)SNT홀딩스,36530,2015/12,317287946.0,216310412.0,647243.0,0.0,inf,146.68177230414594
77,(주)SNT홀딩스,36530,2016/12,331347025.0,235495857.0,647920.0,0.0,inf,140.70184895014947
78,(주)SNT홀딩스,36530,2017/12,317573551.0,244821803.0,558857.0,53817.0,1038.4395265436572,129.7162046470183
79,(주)SNT홀딩스,36530,2018/12,282698019.0,225133544.0,595784.0,0.0,inf,125.56903515008852
80,(주)SNT홀딩스,36530,2019/12,323871429.0,199204201.0,570175.0,0.0,inf,162.5826299717444
81,(주)STX,11810,2011/12,549558000.0,357994000.0,433389000.0,263754000.0,164.3156122750745,153.5103940289502
82,(주)STX,11810,2012/12,585650000.0,335789000.0,407542000.0,211303000.0,192.87090102838104,174.41012064123603
83,(주)STX,11810,2013/12,318920000.0,199238000.0,264240000.0,117155000.0,225.5473517988989,160.0698661901846
84,(주)STX,11810,2014/12,231173000.0,128067000.0,240745000.0,78622000.0,306.20564218666533,180.50942085002382
85,(주)STX,11810,2015/12,196846000.0,168094000.0,192082000.0,92719000.0,207.16573733538974,117.10471521886564
86,(주)STX,11810,2016/12,151385000.0,93777000.0,225461000.0,161565000.0,139.54816946739703,161.43084125105304
87,(주)STX,11810,2017/12,150002000.0,116542000.0,148268000.0,113876000.0,130.20127155853737,128.71067941171424
88,(주)STX,11810,2018/12,168448000.0,76685000.0,124416000.0,57955000.0,214.6769044948667,219.66225467822912
89,(주)STX,11810,2019/12,184444000.0,102262000.0,149459000.0,85456000.0,174.89585283654748,180.36416264105924
90,(주)TCC스틸,2710,2011/12,80665225.0,36286014.0,67618018.0,30601132.0,220.9657407444927,222.3039019937544
91,(주)TCC스틸,2710,2012/12,71112902.0,41180366.0,65092634.0,31578824.0,206.12747960468698,172.68642537077014
92,(주)TCC스틸,2710,2013/12,68316114.0,38783690.0,56753518.0,26136889.0,217.13953026314647,176.1465038525215
93,(주)TCC스틸,2710,2014/12,86970515.0,37920178.0,60593854.0,25941466.0,233.57914313709182,229.3515473476944
94,(주)TCC스틸,2710,2015/12,67719623.0,38223007.0,42872200.0,19400602.0,220.98386431513828,177.16979462133892
95,(주)TCC스틸,2710,2016/12,57654611.0,25582561.0,48126701.0,22801657.0,211.06668256609598,225.3668465795899
96,(주)TCC스틸,2710,2017/12,48408783.0,20150484.0,43217757.0,19063388.0,226.70554153333083,240.2363288147322
97,(주)TCC스틸,2710,2018/12,42246665.0,33048342.0,41140973.0,28341813.0,145.15999029419888,127.83293334352446
98,(주)TCC스틸,2710,2019/12,45242999.0,29636313.0,33268239.0,21237292.0,156.6500992687768,152.66068690798346
99,(주)가비아,79940,2011/12,4866865.0,434923.0,1964346.0,393317.0,499.4307390730632,1119.0176192107567
100,(주)가비아,79940,2012/12,6524566.0,2521761.0,2041083.0,2569817.0,79.42522755511384,258.730545836818
101,(주)가비아,79940,2013/12,6448247.0,1861578.0,1986939.0,1268027.0,156.6953227336642,346.38607675853495
102,(주)가비아,79940,2014/12,0.0,2865111.0,2648057.0,2370341.0,111.71628892214243,0.0
103,(주)가비아,79940,2015/12,8120801.0,2028679.0,2327391.0,1496985.0,155.4718985160172,400.29994888299234
104,(주)가비아,79940,2016/12,14103577.0,5050880.0,2458491.0,1575303.0,156.06464280205142,279.23009455778003
105,(주)가비아,79940,2017/12,19164658.0,7351096.0,2897556.0,2413820.0,120.04026812272663,260.7047710980785
106,(주)가비아,79940,2018/12,20324111.0,3929911.0,2873894.0,1771040.0,162.2715466618484,517.164663525459
107,(주)가비아,79940,2019/12,25159207.0,4480341.0,3227148.0,2058371.0,156.78164917791787,561.5466992356162
108,(주)강스템바이오텍,217730,2015/12,,,298840.0,125108.0,238.86562010422995,
109,(주)강스템바이오텍,217730,2016/12,,,170110.0,276004.0,61.63316473674294,
110,(주)강스템바이오텍,217730,2017/12,440984.0,1239629.0,173608.0,1239629.0,14.004835317663591,35.573869278630944
111,(주)강스템바이오텍,217730,2018/12,2038576.0,1787264.0,1024620.0,230000.0,445.48695652173916,114.0612690682518
112,(주)강스템바이오텍,217730,2019/12,1209654.0,616805.0,1024806.0,270948.0,378.2297710261747,196.1161144932353
113,(주)강원랜드,35250,2011/12,6134126.0,1884989.0,6107094.0,1884989.0,323.9856572107317,325.4197239347285
114,(주)강원랜드,35250,2012/12,7667585.0,2232677.0,6916800.0,2232677.0,309.79850645659894,343.42562762101284
115,(주)강원랜드,35250,2013/12,7394704.0,2218517.0,7277032.0,2218517.0,328.01335306423164,333.3174368282957
116,(주)강원랜드,35250,2014/12,6582920.0,3263417.0,6379925.0,3263417.0,195.49830744891014,201.71862805151778
117,(주)강원랜드,35250,2015/12,5436891.0,3607101.0,5366515.0,3607101.0,148.7763996627763,150.7274401243547
118,(주)강원랜드,35250,2016/12,5089200.0,3084179.0,5028255.0,3084179.0,163.03382520923722,165.00987783134505
119,(주)강원랜드,35250,2017/12,5442780.0,3361320.0,5425603.0,3361320.0,161.41286756393322,161.92388704437542
120,(주)강원랜드,35250,2018/12,10584690.0,3561607.0,10519131.0,3561607.0,295.34788650179536,297.1886005390263
121,(주)강원랜드,35250,2019/12,8657399.0,3857898.0,8599415.0,3857898.0,222.90415661585664,224.40715125179568
122,(주)강원에너지,114190,2011/11,,,12650936.0,13966076.0,90.58332490815602,
123,(주)강원에너지,114190,2012/12,,,42550425.0,17580576.0,242.03089250318078,
124,(주)강원에너지,114190,2013/12,,,16589758.0,6911587.0,240.02820191657867,
125,(주)강원에너지,114190,2014/12,,,26216322.0,8949784.0,292.9268684026341,
126,(주)강원에너지,114190,2015/12,16786020.0,8958699.0,16786020.0,8958699.0,187.3711796768705,187.3711796768705
