,회사명,거래소코드,회계년도,당기자산(IFRS연결),전기자산(IFRS연결),당기자산(IFRS개별),전기자산(IFRS개별),총자산증가율(개별),총자산증가율(연결)
142,(주)경농,2100,Dec-13,255984725.0,255984725.0,214988593.0,214988593.0,0.0,-16.015069649175345
143,(주)경농,2100,Dec-14,284623063.0,284623063.0,230870852.0,230870852.0,0.0,-18.885402480543192
144,(주)경농,2100,Dec-15,316341853.0,316341853.0,265109291.0,265109291.0,0.0,-16.195315768097245
145,(주)경농,2100,Dec-16,320915151.0,320915151.0,266622289.0,266622289.0,0.0,-16.91813609635402
146,(주)경농,2100,Dec-17,335873898.0,335873898.0,268967010.0,268967010.0,0.0,-19.920240423088785
147,(주)경농,2100,Dec-18,357260541.0,357260541.0,285031873.0,285031873.0,0.0,-20.21736511897629
148,(주)경농,2100,Dec-19,370874091.0,370874091.0,297197088.0,297197088.0,0.0,-19.865772451600023
149,(주)경동나비엔,9450,Dec-11,263211016.0,263211016.0,224373470.0,224373470.0,0.0,-14.755288965565185
150,(주)경동나비엔,9450,Dec-12,299729837.0,,254627468.0,254627468.0,0.0,
151,(주)경동나비엔,9450,Dec-13,354779867.0,354779867.0,301475800.0,301475800.0,0.0,-15.024546756482096
152,(주)경동나비엔,9450,Dec-14,401658957.0,401658957.0,331089242.0,331089242.0,0.0,-17.56956088495744
153,(주)경동나비엔,9450,Dec-15,402084368.0,402084368.0,324848990.0,324848990.0,0.0,-19.208749244387434
154,(주)경동나비엔,9450,Dec-16,429754702.0,429754702.0,347643876.0,347643876.0,0.0,-19.106440399109346
155,(주)경동나비엔,9450,Dec-17,503697210.0,503697210.0,391400492.0,391400492.0,0.0,-22.294488786229323
156,(주)경동나비엔,9450,Dec-18,583595818.0,583595818.0,440513661.0,440513661.0,0.0,-24.51733761395802
157,(주)경동나비엔,9450,Dec-19,609808343.0,609808343.0,461607017.0,461607017.0,0.0,-24.302935127274893
158,(주)경동도시가스,267290,Dec-17,710280194.0,710280194.0,707917077.0,707917077.0,0.0,-0.33270208291912695
159,(주)경동도시가스,267290,Dec-18,778269612.0,778269612.0,775880913.0,775880913.0,0.0,-0.3069243566970954
160,(주)경동도시가스,267290,Dec-19,749999474.0,749999474.0,747453908.0,747453908.0,0.0,-0.33940903803888034
161,(주)경동인베스트,12320,Dec-11,1001490869.0,1001490869.0,941176098.0,941176098.0,0.0,-6.02249834391651
162,(주)경동인베스트,12320,Dec-12,1209924561.0,1209924561.0,1168400020.0,1168400020.0,0.0,-3.4319942200098836
163,(주)경동인베스트,12320,Dec-13,1205008353.0,1207295886.0,1161427092.0,1161427092.0,0.0,-3.79930011622686
164,(주)경동인베스트,12320,Dec-14,1320789066.0,1320789066.0,1101071366.0,1101071366.0,0.0,-16.63533607719917
165,(주)경동인베스트,12320,Dec-15,1167819522.0,1167819522.0,926392697.0,926392697.0,0.0,-20.673299294272283
166,(주)경동인베스트,12320,Dec-16,1126122628.0,1126122628.0,903818865.0,903818865.0,0.0,-19.740635475446638
167,(주)경동인베스트,12320,Dec-17,599276331.0,599276331.0,318031347.0,318031347.0,0.0,-46.93076790312948
168,(주)경동인베스트,12320,Dec-18,592002536.0,600099804.0,318776653.0,318776653.0,0.0,-46.87939391494952
169,(주)경동인베스트,12320,Dec-19,605467383.0,605467383.0,316572482.0,316572482.0,0.0,-47.714362344106654
