,회사명,거래소코드,회계년도,당기유동자산(IFRS연결),전기유동자산(IFRS연결),당기유동자산(IFRS개별),전기유동자산(IFRS개별),유동자산증가율(개별),유동자산증가율(연결)
109,(주)강스템바이오텍,217730,Dec-16,,37966496.0,37966496.0,37966496.0,0.0,0.0
110,(주)강스템바이오텍,217730,Dec-17,25246012.0,25246012.0,24316617.0,24316617.0,0.0,-3.6813537124200053
111,(주)강스템바이오텍,217730,Dec-18,48992790.0,48992790.0,44071609.0,44071609.0,0.0,-10.044704537136994
112,(주)강스템바이오텍,217730,Dec-19,55408095.0,55408095.0,50136013.0,50136013.0,0.0,-9.515003177784763
113,(주)강원랜드,35250,Dec-11,1163791156.0,1163791156.0,1116717650.0,1116717650.0,0.0,-4.044841358117353
114,(주)강원랜드,35250,Dec-12,1165450728.0,1165450728.0,1117338850.0,1117338850.0,0.0,-4.128177780845661
115,(주)강원랜드,35250,Dec-13,1080401909.0,1080401909.0,1032979185.0,1032979185.0,0.0,-4.3893595156540925
116,(주)강원랜드,35250,Dec-14,1371825587.0,1371825587.0,1349601870.0,1349601870.0,0.0,-1.6200103869326625
117,(주)강원랜드,35250,Dec-15,1750420316.0,1750420316.0,1736167993.0,1736167993.0,0.0,-0.8142228966222689
118,(주)강원랜드,35250,Dec-16,1809513458.0,1809513458.0,1799026863.0,1799026863.0,0.0,-0.5795256704855092
119,(주)강원랜드,35250,Dec-17,2164296051.0,2164296051.0,2155754572.0,2155754572.0,0.0,-0.3946539104968281
120,(주)강원랜드,35250,Dec-18,1759033105.0,1759033105.0,1749493012.0,1749493012.0,0.0,-0.542348689907115
121,(주)강원랜드,35250,Dec-19,1878191161.0,1878191161.0,1868365557.0,1868365557.0,0.0,-0.5231418507351862
122,(주)강원에너지,114190,Nov-11,,,47950975.0,47950975.0,0.0,
123,(주)강원에너지,114190,Dec-12,,,80491240.0,80491240.0,0.0,
124,(주)강원에너지,114190,Dec-13,,,61556228.0,61556228.0,0.0,
125,(주)강원에너지,114190,Dec-14,,48800730.0,48800730.0,48800730.0,0.0,0.0
126,(주)강원에너지,114190,Dec-15,62927388.0,62927388.0,58744703.0,58744703.0,0.0,-6.646843501592656
127,(주)강원에너지,114190,Dec-16,53716336.0,53716336.0,49882033.0,49882033.0,0.0,-7.138057592014462
128,(주)강원에너지,114190,Dec-17,68068421.0,68068421.0,66557788.0,66557788.0,0.0,-2.21928609156366
129,(주)강원에너지,114190,Dec-18,70556730.0,70556730.0,70097814.0,70097814.0,0.0,-0.6504212992864069
130,(주)강원에너지,114190,Dec-19,30544232.0,30544232.0,30346449.0,30346449.0,0.0,-0.6475297856564168
131,(주)갤럭시아에스엠,11420,Dec-11,24658098.0,24658098.0,17322791.0,17322791.0,0.0,-29.74806491563136
132,(주)갤럭시아에스엠,11420,Dec-12,24752609.0,24752609.0,21665386.0,21665386.0,0.0,-12.472313524606633
133,(주)갤럭시아에스엠,11420,Dec-13,19899780.0,19899780.0,15680160.0,15680160.0,0.0,-21.204355023020355
134,(주)갤럭시아에스엠,11420,Dec-14,26742964.0,25155935.0,21910144.0,19973020.0,9.698703551090418,-12.90268479386674
135,(주)갤럭시아에스엠,11420,Dec-15,44426010.0,44426010.0,40480215.0,40480215.0,0.0,-8.88172266651901
136,(주)갤럭시아에스엠,11420,Dec-16,37929417.0,37929417.0,33508731.0,33508731.0,0.0,-11.65503282056774
137,(주)갤럭시아에스엠,11420,Dec-17,28750883.0,28750883.0,25522603.0,25522603.0,0.0,-11.2284551399691
138,(주)갤럭시아에스엠,11420,Dec-18,14251248.0,14251248.0,14317048.0,14317048.0,0.0,0.4617139495432241
139,(주)갤럭시아에스엠,11420,Dec-19,13644588.0,,13644588.0,13644588.0,0.0,
140,(주)경농,2100,Dec-11,94363834.0,94363834.0,85897543.0,85897543.0,0.0,-8.97196589108492
141,(주)경농,2100,Dec-12,142516976.0,,88973571.0,88973571.0,0.0,
142,(주)경농,2100,Dec-13,129526582.0,129526582.0,90491612.0,90491612.0,0.0,-30.136647935324973
