,회사명,거래소코드,회계년도,기계장치(IFRS연결,기계장치(IFRS),합계_기말인원,기계장비율(개별),기계장비율(연결)
398,(주)까뮤이앤씨,13700,Dec-17,,3989557.0,162.0,24626.895061728395,
399,(주)까뮤이앤씨,13700,Dec-18,,4032748.0,177.0,22783.887005649718,
400,(주)까뮤이앤씨,13700,Dec-19,,4364826.0,167.0,26136.68263473054,
401,(주)까스텔바작,308100,Dec-19,0.0,0.0,59.0,0.0,0.0
402,(주)나노,187790,Dec-14,,,,,
403,(주)나노,187790,Dec-15,29694127.0,17616248.0,77.0,228782.44155844155,385638.012987013
404,(주)나노,187790,Dec-16,30880246.0,17637248.0,76.0,232069.05263157896,406319.0263157895
405,(주)나노,187790,Dec-17,33433559.0,17637248.0,71.0,248411.94366197183,470895.1971830986
406,(주)나노,187790,Dec-18,34572286.0,17637248.0,63.0,279956.31746031746,548766.4444444445
407,(주)나노,187790,Dec-19,32027696.0,17637248.0,45.0,391938.84444444446,711726.5777777778
408,(주)나노브릭,286750,Dec-19,4087983.0,4087983.0,58.0,70482.46551724138,70482.46551724138
409,(주)나노신소재,121600,Dec-11,19452035.0,19452035.0,134.0,145164.44029850746,145164.44029850746
410,(주)나노신소재,121600,Dec-12,20757426.0,20757426.0,133.0,156070.87218045112,156070.87218045112
411,(주)나노신소재,121600,Dec-13,21001097.0,21001097.0,134.0,156724.60447761195,156724.60447761195
412,(주)나노신소재,121600,Dec-14,22829155.0,22829155.0,151.0,151186.4569536424,151186.4569536424
413,(주)나노신소재,121600,Dec-15,23041255.0,23041255.0,166.0,138802.7409638554,138802.7409638554
414,(주)나노신소재,121600,Dec-16,25222971.0,25222971.0,178.0,141702.0842696629,141702.0842696629
415,(주)나노신소재,121600,Dec-17,27727435.0,27727435.0,192.0,144413.72395833334,144413.72395833334
416,(주)나노신소재,121600,Dec-18,30513001.0,30513001.0,195.0,156476.9282051282,156476.9282051282
417,(주)나노신소재,121600,Dec-19,32044358.0,32044358.0,213.0,150442.9953051643,150442.9953051643
418,(주)나노엔텍,39860,Dec-11,2385905.0,2385905.0,83.0,28745.843373493975,28745.843373493975
419,(주)나노엔텍,39860,Dec-12,2467905.0,2467905.0,88.0,28044.375,28044.375
420,(주)나노엔텍,39860,Dec-13,4869805.0,4869805.0,89.0,54716.910112359554,54716.910112359554
421,(주)나노엔텍,39860,Dec-14,4869805.0,4869805.0,94.0,51806.436170212764,51806.436170212764
422,(주)나노엔텍,39860,Dec-15,6868041.0,5156605.0,107.0,48192.57009345794,64187.299065420564
423,(주)나노엔텍,39860,Dec-16,7622220.0,7622220.0,141.0,54058.29787234042,54058.29787234042
424,(주)나노엔텍,39860,Dec-17,8153350.0,8153350.0,95.0,85824.73684210527,85824.73684210527
425,(주)나노엔텍,39860,Dec-18,8397010.0,8397010.0,98.0,85683.77551020408,85683.77551020408
426,(주)나노엔텍,39860,Dec-19,8576510.0,8576510.0,105.0,81681.04761904762,81681.04761904762
427,(주)나무가,190510,Dec-15,43989528.0,1615187.0,145.0,11139.220689655172,303376.0551724138
428,(주)나무가,190510,Dec-16,55531485.0,2928653.0,138.0,21222.123188405796,402402.0652173913
429,(주)나무가,190510,Dec-17,55513822.0,1554550.0,128.0,12144.921875,433701.734375
430,(주)나무가,190510,Dec-18,54831108.0,1657303.0,107.0,15488.81308411215,512440.26168224297
431,(주)나무가,190510,Dec-19,79725198.0,1741723.0,146.0,11929.609589041096,546063.0
432,(주)나스미디어,89600,Dec-13,,0.0,193.0,0.0,
433,(주)나스미디어,89600,Dec-14,,0.0,212.0,0.0,
434,(주)나스미디어,89600,Dec-15,,0.0,225.0,0.0,
435,(주)나스미디어,89600,Dec-16,0.0,0.0,273.0,0.0,0.0
436,(주)나스미디어,89600,Dec-17,0.0,0.0,320.0,0.0,0.0
437,(주)나스미디어,89600,Dec-18,0.0,0.0,319.0,0.0,0.0
438,(주)나스미디어,89600,Dec-19,0.0,0.0,351.0,0.0,0.0
439,(주)나이벡,138610,Dec-11,,1815319.0,29.0,62597.206896551725,
440,(주)나이벡,138610,Dec-12,,2036014.0,31.0,65677.87096774194,
441,(주)나이벡,138610,Dec-13,,2396984.0,45.0,53266.311111111114,
442,(주)나이벡,138610,Dec-14,,2527928.0,44.0,57452.90909090909,
443,(주)나이벡,138610,Dec-15,,3097008.0,50.0,61940.16,
444,(주)나이벡,138610,Dec-16,,3279805.0,57.0,57540.43859649123,
445,(주)나이벡,138610,Dec-17,,3260940.0,55.0,59289.818181818184,
446,(주)나이벡,138610,Dec-18,,4096750.0,58.0,70633.62068965517,
447,(주)나이벡,138610,Dec-19,,4104029.0,71.0,57803.22535211268,
448,(주)나이스디앤비,130580,Dec-11,,0.0,97.0,0.0,
449,(주)나이스디앤비,130580,Dec-12,,0.0,103.0,0.0,
450,(주)나이스디앤비,130580,Dec-13,,0.0,98.0,0.0,
451,(주)나이스디앤비,130580,Dec-14,,0.0,111.0,0.0,
452,(주)나이스디앤비,130580,Dec-15,391082.0,0.0,114.0,0.0,3430.5438596491226
453,(주)나이스디앤비,130580,Dec-16,606091.0,0.0,154.0,0.0,3935.655844155844
454,(주)나이스디앤비,130580,Dec-17,649249.0,0.0,204.0,0.0,3182.593137254902
455,(주)나이스디앤비,130580,Dec-18,663357.0,0.0,262.0,0.0,2531.8969465648856
456,(주)나이스디앤비,130580,Dec-19,1084235.0,0.0,294.0,0.0,3687.874149659864
