,회사명,거래소코드,회계년도,유동자산(IFRS연결),자산(IFRS연결),유동자산(IFRS개별),자산(IFRS개별),유동자산구성비율(개별),유동자산구성비율(연결)
112,(주)강스템바이오텍,217730,Dec-19,55408095.0,113643697.0,50136013.0,98625925.0,50.834517394893886,48.75597720126969
113,(주)강원랜드,35250,Dec-11,1163791156.0,2711401782.0,1116717650.0,2730283806.0,40.90115641260189,42.9221210860737
114,(주)강원랜드,35250,Dec-12,1165450728.0,2906655321.0,1117338850.0,2915385756.0,38.32559199757578,40.095938434111986
115,(주)강원랜드,35250,Dec-13,1080401909.0,3102036846.0,1032979185.0,3105430200.0,33.263642022931315,34.8287903283016
116,(주)강원랜드,35250,Dec-14,1371825587.0,3375127289.0,1349601870.0,3380461682.0,39.923596152154225,40.64515111684726
117,(주)강원랜드,35250,Dec-15,1750420316.0,3690791830.0,1736167993.0,3688060027.0,47.075372425872935,47.426687730583815
118,(주)강원랜드,35250,Dec-16,1809513458.0,3978987574.0,1799026863.0,3975979890.0,45.24738335635797,45.47673055889769
119,(주)강원랜드,35250,Dec-17,2164296051.0,4185657487.0,2155754572.0,4182527382.0,51.54191174641305,51.70743324607822
120,(주)강원랜드,35250,Dec-18,1759033105.0,4231241354.0,1749493012.0,4229630541.0,41.362785591820796,41.572506927242515
121,(주)강원랜드,35250,Dec-19,1878191161.0,4438119306.0,1868365557.0,4436461953.0,42.11386408344118,42.3195284196355
122,(주)강원에너지,114190,Nov-11,,,47950975.0,53719067.0,89.26248663253962,
123,(주)강원에너지,114190,Dec-12,,,80491240.0,89258208.0,90.17796996327777,
124,(주)강원에너지,114190,Dec-13,,,61556228.0,72441333.0,84.97390295123365,
125,(주)강원에너지,114190,Dec-14,,,48800730.0,67037639.0,72.79601538473037,
126,(주)강원에너지,114190,Dec-15,62927388.0,85457457.0,58744703.0,80939019.0,72.57896590024151,73.635923896027
127,(주)강원에너지,114190,Dec-16,53716336.0,77186606.0,49882033.0,70850137.0,70.40499159514681,69.59282028801734
128,(주)강원에너지,114190,Dec-17,68068421.0,93179394.0,66557788.0,87781416.0,75.82218541564652,73.05093763541754
129,(주)강원에너지,114190,Dec-18,70556730.0,93845576.0,70097814.0,89619750.0,78.21692651452386,75.18386375506928
130,(주)강원에너지,114190,Dec-19,30544232.0,56602063.0,30346449.0,55106032.0,55.06919641755371,53.96310731642414
131,(주)갤럭시아에스엠,11420,Dec-11,24658098.0,45110356.0,17322791.0,40711969.0,42.5496271133435,54.66172335239386
132,(주)갤럭시아에스엠,11420,Dec-12,24752609.0,43979072.0,21665386.0,40169876.0,53.93441095013587,56.28269964404888
133,(주)갤럭시아에스엠,11420,Dec-13,19899780.0,37636664.0,15680160.0,34158874.0,45.903620827782554,52.87338962879387
134,(주)갤럭시아에스엠,11420,Dec-14,26742964.0,45274078.0,21910144.0,40528250.0,54.06141148458175,59.069041671041866
135,(주)갤럭시아에스엠,11420,Dec-15,44426010.0,68686992.0,40480215.0,67196553.0,60.24150524506815,64.67892785288953
136,(주)갤럭시아에스엠,11420,Dec-16,37929417.0,58444606.0,33508731.0,55825556.0,60.02399868619312,64.89806262018432
137,(주)갤럭시아에스엠,11420,Dec-17,28750883.0,49831109.0,25522603.0,48958128.0,52.13149285446536,57.69665491490466
138,(주)갤럭시아에스엠,11420,Dec-18,14251248.0,33253331.0,14317048.0,33337692.0,42.945528442700834,42.85660284679451
139,(주)갤럭시아에스엠,11420,Dec-19,13644588.0,28241598.0,13644588.0,28241598.0,48.313795841156015,48.313795841156015
140,(주)경농,2100,Dec-11,94363834.0,173774102.0,85897543.0,176741869.0,48.60056277893044,54.30258762033482
141,(주)경농,2100,Dec-12,142516976.0,269412832.0,88973571.0,203467698.0,43.728597646983744,52.8991046721932
142,(주)경농,2100,Dec-13,129526582.0,255984725.0,90491612.0,214988593.0,42.09135505156778,50.59934025360302
143,(주)경농,2100,Dec-14,139646908.0,284623063.0,92163573.0,230870852.0,39.919969195591655,49.06380618917027
144,(주)경농,2100,Dec-15,161184139.0,316341853.0,110823037.0,265109291.0,41.80277370965471,50.952517813063444
145,(주)경농,2100,Dec-16,156061222.0,320915151.0,113338004.0,266622289.0,42.50882565935814,48.63005735743527
146,(주)경농,2100,Dec-17,163437464.0,335873898.0,114661596.0,268967010.0,42.63035678613522,48.66036478964495
147,(주)경농,2100,Dec-18,169982099.0,357260541.0,124295854.0,285031873.0,43.60770347953332,47.579309633302046
148,(주)경농,2100,Dec-19,185020093.0,370874091.0,138697201.0,297197088.0,46.668425297626065,49.88757572714887
149,(주)경동나비엔,9450,Dec-11,129512842.0,263211016.0,109967953.0,224373470.0,49.01112105633523,49.20494740995187
150,(주)경동나비엔,9450,Dec-12,145371681.0,299729837.0,123218302.0,254627468.0,48.391598505782575,48.50090416590725
151,(주)경동나비엔,9450,Dec-13,134043087.0,354779867.0,104914630.0,301475800.0,34.80034881738435,37.78204443602207
152,(주)경동나비엔,9450,Dec-14,159947056.0,401658957.0,134136648.0,331089242.0,40.51374402554584,39.82160816097523
153,(주)경동나비엔,9450,Dec-15,158254944.0,402084368.0,129837058.0,324848990.0,39.968435179681485,39.358641269038344
154,(주)경동나비엔,9450,Dec-16,175420277.0,429754702.0,145915928.0,347643876.0,41.97281703302606,40.81869870966531
155,(주)경동나비엔,9450,Dec-17,230894567.0,503697210.0,175839342.0,391400492.0,44.92568241329651,45.839953530812686
156,(주)경동나비엔,9450,Dec-18,287001959.0,583595818.0,209454208.0,440513661.0,47.547721340700946,49.17820692813806
157,(주)경동나비엔,9450,Dec-19,274279157.0,609808343.0,214093729.0,461607017.0,46.38008546564187,44.97792792579094
158,(주)경동도시가스,267290,Dec-17,376858740.0,710280194.0,374489353.0,707917077.0,52.900172233025536,53.057757091281076
159,(주)경동도시가스,267290,Dec-18,444232799.0,778269612.0,441723742.0,775880913.0,56.93189954783693,57.079550858783875
160,(주)경동도시가스,267290,Dec-19,395154174.0,749999474.0,392458231.0,747453908.0,52.50601097934189,52.687260151331785
161,(주)경동인베스트,12320,Dec-11,610411619.0,1001490869.0,563584969.0,941176098.0,59.880926661611845,60.95029299762892
162,(주)경동인베스트,12320,Dec-12,814034002.0,1209924561.0,753036515.0,1168400020.0,64.45023126582966,67.279731996448
163,(주)경동인베스트,12320,Dec-13,778164231.0,1205008353.0,724069045.0,1161427092.0,62.3430476168021,64.57749683333522
164,(주)경동인베스트,12320,Dec-14,766552554.0,1320789066.0,631297926.0,1101071366.0,57.334878146308995,58.03746970146405
165,(주)경동인베스트,12320,Dec-15,571798491.0,1167819522.0,459634757.0,926392697.0,49.61554192821967,48.962915949610235
166,(주)경동인베스트,12320,Dec-16,508994824.0,1126122628.0,394847821.0,903818865.0,43.686609816448126,45.198880774110506
167,(주)경동인베스트,12320,Dec-17,238339688.0,599276331.0,110951332.0,318031347.0,34.886916980545315,39.77125003456878
168,(주)경동인베스트,12320,Dec-18,188460289.0,592002536.0,44742051.0,318776653.0,14.035548268335699,31.83437190546089
169,(주)경동인베스트,12320,Dec-19,236475693.0,605467383.0,44653640.0,316572482.0,14.105344759561255,39.056718766302225
170,(주)경방,50,Dec-11,138673371.0,1352324332.0,123787600.0,1331930968.0,9.293845024556859,10.25444619449471
171,(주)경방,50,Dec-12,123685731.0,1335039930.0,101710997.0,1301719900.0,7.813585472573631,9.264571659665641
172,(주)경방,50,Dec-13,103410904.0,1296989142.0,79482802.0,1261257414.0,6.301869952773971,7.97315109674218
173,(주)경방,50,Dec-14,101229398.0,1301841379.0,83665762.0,1275008413.0,6.5619772502630545,7.775862684420019
174,(주)경방,50,Dec-15,108093423.0,1318643312.0,83760073.0,1259512344.0,6.650198658156224,8.197320838495255
175,(주)경방,50,Dec-16,106002223.0,1301910960.0,80538917.0,1237024388.0,6.510697588607282,8.142048592939105
176,(주)경방,50,Dec-17,90254697.0,1274042237.0,71472590.0,1199063663.0,5.960700186775654,7.0841212621430545
