,회사명,거래소코드,회계년도,현금및현금성자산(IFRS연결),유동부채(IFRS연결),현금및현금성자산(IFRS개별),유동부채(IFRS개별),현금비율(개별),현금비율(연결ㅊ
115,(주)강원랜드,35250,Dec-13,166942949.0,570217325.0,129278198.0,568327002.0,22.74715041605572,29.277074140109647
116,(주)강원랜드,35250,Dec-14,101994727.0,624516570.0,93386077.0,619817290.0,15.066710546264368,16.331788762626427
117,(주)강원랜드,35250,Dec-15,105718151.0,664599978.0,103417087.0,662837030.0,15.602189123320404,15.907034983380635
118,(주)강원랜드,35250,Dec-16,92998434.0,718893173.0,91359339.0,717426075.0,12.734320954253024,12.936335674452149
119,(주)강원랜드,35250,Dec-17,105573030.0,681337932.0,103274379.0,680591144.0,15.174217283085895,15.494958528156626
120,(주)강원랜드,35250,Dec-18,48854127.0,636028473.0,47367942.0,635168405.0,7.457540650183946,7.681122634269237
121,(주)강원랜드,35250,Dec-19,60665205.0,651342607.0,59132599.0,650507914.0,9.090219769409293,9.313870204102892
122,(주)강원에너지,114190,Nov-11,,,15338009.0,29049482.0,52.79959553151412,
123,(주)강원에너지,114190,Dec-12,,,5641573.0,52980413.0,10.648412650161863,
124,(주)강원에너지,114190,Dec-13,,,29503809.0,26561224.0,111.07849924386015,
125,(주)강원에너지,114190,Dec-14,,,11986633.0,16587078.0,72.26488595519959,
126,(주)강원에너지,114190,Dec-15,31935364.0,18860326.0,28833575.0,26044865.0,110.70733136839065,169.3256203524796
127,(주)강원에너지,114190,Dec-16,15897705.0,12090212.0,13076248.0,17100077.0,76.46894221587424,131.49235927376625
128,(주)강원에너지,114190,Dec-17,14071336.0,33693980.0,13574774.0,36681993.0,37.0066424689629,41.76216641667146
129,(주)강원에너지,114190,Dec-18,19740265.0,43608244.0,19284502.0,40299772.0,47.852633012415055,45.26727790277453
130,(주)강원에너지,114190,Dec-19,3637753.0,30840573.0,3441069.0,27565065.0,12.483442357201044,11.795348290059332
131,(주)갤럭시아에스엠,11420,Dec-11,8833473.0,15665609.0,3728735.0,12001627.0,31.06857928512526,56.38767698083107
132,(주)갤럭시아에스엠,11420,Dec-12,7940525.0,13440442.0,5183088.0,12435097.0,41.68112239092305,59.0793442656127
133,(주)갤럭시아에스엠,11420,Dec-13,3244954.0,13503615.0,1739388.0,9491278.0,18.326172724052544,24.030261526265374
134,(주)갤럭시아에스엠,11420,Dec-14,2618862.0,17868979.0,1443990.0,14705118.0,9.81964238573264,14.655912909181884
135,(주)갤럭시아에스엠,11420,Dec-15,22026045.0,16873228.0,20544665.0,14961439.0,137.317439853212,130.5384186120166
136,(주)갤럭시아에스엠,11420,Dec-16,19322377.0,12464561.0,17828659.0,9845511.0,181.08414078253531,155.01851208397954
137,(주)갤럭시아에스엠,11420,Dec-17,9869416.0,8744690.0,9433344.0,7871709.0,119.83857634981172,112.8618167139144
138,(주)갤럭시아에스엠,11420,Dec-18,8090099.0,6670268.0,7777946.0,6429460.0,120.97354987821683,121.2859663209934
139,(주)갤럭시아에스엠,11420,Dec-19,7595995.0,6311576.0,7595995.0,6311576.0,120.35021047041184,120.35021047041184
140,(주)경농,2100,Dec-11,11710551.0,24871768.0,7498227.0,24782041.0,30.25669677489437,47.08370952961607
141,(주)경농,2100,Dec-12,20177232.0,102878086.0,7345176.0,45244293.0,16.234480666987107,19.612759903017636
142,(주)경농,2100,Dec-13,10238398.0,72472377.0,9443216.0,40577371.0,23.272123765731397,14.127310878736598
143,(주)경농,2100,Dec-14,15918535.0,90426180.0,8965191.0,46610936.0,19.234093475402425,17.603900772984108
144,(주)경농,2100,Dec-15,14992457.0,114383542.0,6738899.0,75250424.0,8.95529704922327,13.107180227029513
145,(주)경농,2100,Dec-16,9556001.0,112348070.0,6182209.0,75688103.0,8.168006271738637,8.505709977928415
146,(주)경농,2100,Dec-17,13028475.0,121066567.0,6603091.0,78430974.0,8.41898380606621,10.761414420878062
147,(주)경농,2100,Dec-18,12294658.0,128301300.0,7489715.0,86896477.0,8.619123880016447,9.582644914743653
148,(주)경농,2100,Dec-19,11857938.0,122608005.0,8845351.0,80682497.0,10.963159704886179,9.671422351256755
149,(주)경동나비엔,9450,Dec-11,34225733.0,81664623.0,22321163.0,74711381.0,29.87652309626026,41.910109595436445
150,(주)경동나비엔,9450,Dec-12,41678552.0,100189444.0,30625150.0,87833093.0,34.8674388592919,41.59974378139078
151,(주)경동나비엔,9450,Dec-13,17195882.0,149468556.0,6600334.0,132677192.0,4.974731451958977,11.504681961335066
152,(주)경동나비엔,9450,Dec-14,19589424.0,186324883.0,5222837.0,156677220.0,3.333501194366354,10.513584489947055
153,(주)경동나비엔,9450,Dec-15,18074253.0,177125715.0,3930413.0,136609355.0,2.8771184813807227,10.204194800286338
154,(주)경동나비엔,9450,Dec-16,22305248.0,177489101.0,11715848.0,135099803.0,8.671994880703119,12.567108557274173
155,(주)경동나비엔,9450,Dec-17,28758981.0,219839746.0,13181758.0,159637322.0,8.257315917639861,13.081793225870994
156,(주)경동나비엔,9450,Dec-18,26239934.0,275122471.0,7295634.0,191253920.0,3.814632400737198,9.537546644090733
157,(주)경동나비엔,9450,Dec-19,21216649.0,270253541.0,4031294.0,183748685.0,2.1939171972849767,7.850646071645737
158,(주)경동도시가스,267290,Dec-17,60142913.0,334894003.0,58793029.0,334399752.0,17.581660467260154,17.958790680405226
159,(주)경동도시가스,267290,Dec-18,117457088.0,375912237.0,116124453.0,375445868.0,30.9297459094689,31.245880404792466
160,(주)경동도시가스,267290,Dec-19,98703307.0,321180745.0,97409412.0,320773519.0,30.367036625613725,30.73138989076073
161,(주)경동인베스트,12320,Dec-11,121850327.0,488755455.0,111824403.0,450578763.0,24.817947977721268,24.930734941873947
162,(주)경동인베스트,12320,Dec-12,203107568.0,649801248.0,195791209.0,612902677.0,31.944910072566056,31.256875640842107
163,(주)경동인베스트,12320,Dec-13,229518761.0,596199441.0,225577824.0,555649865.0,40.59711667526456,38.49697688663213
164,(주)경동인베스트,12320,Dec-14,216953359.0,550250914.0,206412753.0,449400573.0,45.93068309238671,39.428077896841074
165,(주)경동인베스트,12320,Dec-15,85839244.0,392919112.0,69895701.0,294859087.0,23.704781056993504,21.84654331601971
166,(주)경동인베스트,12320,Dec-16,81528317.0,337654347.0,64104545.0,259946634.0,24.660655925246562,24.145496044805846
167,(주)경동인베스트,12320,Dec-17,19740409.0,77526863.0,3014849.0,615156.0,490.095032804687,25.46266962975143
168,(주)경동인베스트,12320,Dec-18,21929355.0,78414333.0,6558029.0,424952.0,1543.239942393494,27.966003358085057
169,(주)경동인베스트,12320,Dec-19,24131027.0,84662496.0,844317.0,7787239.0,10.842315228799322,28.502617026552112
170,(주)경방,50,Dec-11,12782820.0,406687562.0,5174403.0,362096037.0,1.4290139828290913,3.1431548919610184
171,(주)경방,50,Dec-12,11322343.0,164949423.0,3001666.0,121339742.0,2.4737698881871695,6.864130103686389
172,(주)경방,50,Dec-13,10961535.0,135215333.0,3336528.0,88576434.0,3.766834867161169,8.106724849022855
173,(주)경방,50,Dec-14,8233336.0,409405729.0,4614857.0,388656785.0,1.1873861921643798,2.0110456246204604
174,(주)경방,50,Dec-15,6812712.0,185946014.0,3994381.0,143915877.0,2.7754971051595647,3.6638117986223677
175,(주)경방,50,Dec-16,7526164.0,155435755.0,3140578.0,120641481.0,2.6032322995106467,4.841977317252391
176,(주)경방,50,Dec-17,9482362.0,319476563.0,4690160.0,249334914.0,1.881068288735528,2.968093155553323
177,(주)경방,50,Dec-18,6216234.0,163151849.0,3106555.0,102888605.0,3.019338244502392,3.8100910520480835
178,(주)경방,50,Dec-19,13004343.0,192380293.0,3943861.0,150525799.0,2.62005651270451,6.759706411300663
179,(주)경보제약,214390,Dec-15,,,4404474.0,64542191.0,6.824178001642367,
180,(주)경보제약,214390,Dec-16,,,4580309.0,72716830.0,6.298829308153285,
181,(주)경보제약,214390,Dec-17,,,6403652.0,60379395.0,10.605690898360278,
182,(주)경보제약,214390,Dec-18,,,4985877.0,69317865.0,7.1927734646760975,
183,(주)경보제약,214390,Dec-19,,,6768829.0,83814952.0,8.075920630486074,
184,(주)경인양행,12610,Dec-11,7340151.0,107188765.0,1889398.0,64682274.0,2.921044488942983,6.847873468828566
185,(주)경인양행,12610,Dec-12,11181450.0,94090486.0,5366237.0,70551008.0,7.6061804815035385,11.883720103220638
186,(주)경인양행,12610,Dec-13,10444006.0,108289018.0,4827047.0,88530619.0,5.452403986918921,9.644566173829372
187,(주)경인양행,12610,Dec-14,14231503.0,86323503.0,6209702.0,64009841.0,9.701167668890163,16.486243613167552
188,(주)경인양행,12610,Dec-15,15517379.0,109310448.0,6009956.0,81834318.0,7.344053383569469,14.19569609668053
189,(주)경인양행,12610,Dec-16,20050927.0,119502456.0,9578456.0,93552900.0,10.238545250868759,16.778673569687975
190,(주)경인양행,12610,Dec-17,20701609.0,124353660.0,9874709.0,93894860.0,10.516772696609804,16.647366068678636
191,(주)경인양행,12610,Dec-18,22190138.0,156924274.0,13933875.0,127936086.0,10.891278165255109,14.140666344583503
192,(주)경인양행,12610,Dec-19,25196562.0,192593606.0,14528394.0,154357193.0,9.412191111819453,13.082761428746498
193,(주)고려시멘트,198440,Dec-14,,,,,,
194,(주)고려시멘트,198440,Dec-15,,,,,,
195,(주)고려시멘트,198440,Dec-16,,,,,,
196,(주)고려시멘트,198440,Dec-17,,,674614.0,23125664.0,2.9171659676452966,
197,(주)고려시멘트,198440,Dec-18,,,957079.0,29601570.0,3.233203509138198,
198,(주)고려시멘트,198440,Dec-19,,,4440035.0,27999091.0,15.857782668730211,
199,(주)고영테크놀러지,98460,Dec-11,6380037.0,14902695.0,3495683.0,14154716.0,24.696242580917907,42.81129688287923
200,(주)고영테크놀러지,98460,Dec-12,7690194.0,15604806.0,4462533.0,14596799.0,30.571997326263105,49.280933066389935
201,(주)고영테크놀러지,98460,Dec-13,14728919.0,17831243.0,10708286.0,16476867.0,64.98981875619923,82.6017513192995
202,(주)고영테크놀러지,98460,Dec-14,19839993.0,20476391.0,13663044.0,18713887.0,73.01018756819467,96.89204020376442
203,(주)고영테크놀러지,98460,Dec-15,26590403.0,21007557.0,19238959.0,20345674.0,94.56044071088527,126.5754175985337
204,(주)고영테크놀러지,98460,Dec-16,46315100.0,27477608.0,27423899.0,26393379.0,103.90446407032611,168.55579277497517
205,(주)고영테크놀러지,98460,Dec-17,46011955.0,32283948.0,18027153.0,29687984.0,60.72205172301359,142.5227019941923
206,(주)고영테크놀러지,98460,Dec-18,23211456.0,40471875.0,17974338.0,38506988.0,46.67811982593912,57.35206485985638
207,(주)고영테크놀러지,98460,Dec-19,27196310.0,38413935.0,21194543.0,34506180.0,61.42245533988404,70.7980320162462
208,(주)골드앤에스,35290,Dec-11,146739.0,21734828.0,89979.0,21203833.0,0.4243525215464582,0.6751330169256458
209,(주)골드앤에스,35290,Dec-12,3115314.0,20697748.0,3077328.0,19364629.0,15.891489581339254,15.051463569853107
210,(주)골드앤에스,35290,Dec-13,179423.0,29802347.0,78920.0,22293201.0,0.35400927843426344,0.6020431880750868
211,(주)골드앤에스,35290,Dec-14,344315.0,25047175.0,124563.0,14232991.0,0.8751709320971256,1.3746660052480968
212,(주)골드앤에스,35290,Dec-15,528314.0,7942854.0,518920.0,7606920.0,6.8216834145751495,6.651437883662472
213,(주)골드앤에스,35290,Dec-16,484456.0,3670098.0,480061.0,3460979.0,13.870670697510734,13.200083485509106
214,(주)골드앤에스,35290,Dec-17,2145751.0,3198537.0,2141862.0,3260731.0,65.68655924085735,67.0853893514441
215,(주)골드앤에스,35290,Dec-18,15251655.0,28003279.0,15251655.0,27915835.0,54.63442164635233,54.463818326418135
216,(주)골드앤에스,35290,Dec-19,758085.0,21055498.0,758085.0,20965017.0,3.6159522312812817,3.6004135356950475
217,(주)골드퍼시픽,38530,Dec-11,,,16434.0,2479288.0,0.6628515928766646,
218,(주)골드퍼시픽,38530,Dec-12,,,60768.0,3581856.0,1.6965506151001046,
219,(주)골드퍼시픽,38530,Dec-13,88951.0,10776770.0,61527.0,8833269.0,0.6965371483648919,0.8253957354569134
220,(주)골드퍼시픽,38530,Dec-14,111840.0,17941676.0,68836.0,8600544.0,0.8003679767233328,0.6233531360169474
221,(주)골드퍼시픽,38530,Dec-15,2952368.0,4089090.0,2952368.0,4089090.0,72.2011009784573,72.2011009784573
222,(주)골드퍼시픽,38530,Dec-16,,,2569857.0,6684024.0,38.44775243176864,
223,(주)골드퍼시픽,38530,Dec-17,,,5318902.0,20748043.0,25.635680435017417,
224,(주)골드퍼시픽,38530,Dec-18,12573791.0,12191199.0,11284708.0,11654119.0,96.83021084648269,103.13826392301529
225,(주)골드퍼시픽,38530,Dec-19,,,6350030.0,50456375.0,12.585188690229925,
226,(주)골프존,215000,Dec-15,54542672.0,50803120.0,46502433.0,48712106.0,95.46381139834111,107.36087074967048
227,(주)골프존,215000,Dec-16,31360784.0,56451253.0,20815699.0,51807444.0,40.17897312208647,55.55374297892024
228,(주)골프존,215000,Dec-17,110551312.0,51918381.0,98346752.0,45867329.0,214.4156944477844,212.93289557700191
229,(주)골프존,215000,Dec-18,59128242.0,54339957.0,51114206.0,52508860.0,97.34396442809842,108.81172025955044
230,(주)골프존,215000,Dec-19,15998293.0,61066134.0,6842583.0,54396575.0,12.57906954619845,26.198306576931824
231,(주)골프존뉴딘홀딩스,121440,Dec-11,53605879.0,27175102.0,29363732.0,23959622.0,122.55507202909963,197.26100384094235
232,(주)골프존뉴딘홀딩스,121440,Dec-12,68545458.0,127906398.0,54425984.0,100380679.0,54.21958143957165,53.590327827072414
233,(주)골프존뉴딘홀딩스,121440,Dec-13,67806524.0,210617017.0,55936414.0,158799918.0,35.22446025444421,32.19422863633094
234,(주)골프존뉴딘홀딩스,121440,Dec-14,56762183.0,192439743.0,36422247.0,109937606.0,33.129925532487945,29.49608127464606
