,회사명,거래소코드,회계년도,매출액(IFRS연결),부채(IFRS연결),매출액(IFRS개별),부채(IFRS개별),타인자본회전율(개별),타인자본회전율(연결)
73,(주)SNT홀딩스,36530,Dec-12,1668749904.0,756881039.0,8718270.0,352990.0,24.698348395138673,2.204771711819828
74,(주)SNT홀딩스,36530,Dec-13,1576368464.0,774810996.0,8826810.0,484426.0,18.22117309970976,2.0345199953770403
75,(주)SNT홀딩스,36530,Dec-14,1552374806.0,683347926.0,7701882.0,381380.0,20.194771618857832,2.2717194959336133
76,(주)SNT홀딩스,36530,Dec-15,1612746929.0,640062214.0,8475099.0,8658519.0,0.9788162386662199,2.519672140808487
77,(주)SNT홀딩스,36530,Dec-16,1537700275.0,679285814.0,9818190.0,318763.0,30.800908511966572,2.2637014395239525
78,(주)SNT홀딩스,36530,Dec-17,1508152132.0,626881784.0,7417869.0,299279.0,24.785798535814408,2.405799897991612
79,(주)SNT홀딩스,36530,Dec-18,1401307482.0,610559077.0,7292112.0,231691.0,31.473436603061838,2.2951218559969093
80,(주)SNT홀딩스,36530,Dec-19,1512114565.0,610745978.0,11015928.0,233270.0,47.22393792600849,2.4758485843029163
81,(주)STX,11810,Dec-11,5967701000.0,3318233000.0,4173397000.0,2137600000.0,1.9523750935628743,1.7984574922858039
82,(주)STX,11810,Dec-12,6159850000.0,3560390000.0,4116767000.0,2103344000.0,1.9572485527807149,1.7301054098006117
83,(주)STX,11810,Dec-13,2449401000.0,1852183000.0,1895063000.0,1608657000.0,1.1780404399446247,1.322440061268244
84,(주)STX,11810,Dec-14,1634606000.0,1161340000.0,1291351000.0,1015539000.0,1.2715917360140772,1.4075171784318115
85,(주)STX,11810,Dec-15,1630827000.0,1194882000.0,1362127000.0,985227000.0,1.3825514323095083,1.3648435577739058
86,(주)STX,11810,Dec-16,1720153000.0,1038305000.0,1465561000.0,956569000.0,1.5321017093382705,1.656693360814019
87,(주)STX,11810,Dec-17,1803878000.0,584982000.0,1595494000.0,475683000.0,3.354111877027348,3.0836470181988505
88,(주)STX,11810,Dec-18,1502985000.0,490033000.0,1329890000.0,384545000.0,3.4583468774785784,3.0671097660769786
89,(주)STX,11810,Dec-19,1471164000.0,503816000.0,1237876000.0,412118000.0,3.003693117019883,2.920042237642314
90,(주)TCC스틸,2710,Dec-11,514424043.0,228887542.0,456928069.0,202126588.0,2.2606034837930378,2.2474969083288947
91,(주)TCC스틸,2710,Dec-12,501337475.0,321015196.0,440568155.0,228887219.0,1.924826370492972,1.5617250561559086
92,(주)TCC스틸,2710,Dec-13,500832754.0,337970494.0,419483813.0,234118683.0,1.7917571021019283,1.4818830723134073
93,(주)TCC스틸,2710,Dec-14,518995240.0,361962559.0,401323585.0,251203934.0,1.5976007167148902,1.4338368074141061
94,(주)TCC스틸,2710,Dec-15,495795871.0,290382095.0,350074629.0,254095791.0,1.3777269887953398,1.707391328656128
95,(주)TCC스틸,2710,Dec-16,444453635.0,179577101.0,317235565.0,158254682.0,2.0045888121022544,2.475001726417223
96,(주)TCC스틸,2710,Dec-17,391370092.0,177776736.0,333762378.0,159269192.0,2.0955865588870446,2.201469668112255
97,(주)TCC스틸,2710,Dec-18,413176279.0,192535369.0,351301866.0,169783970.0,2.06911091783282,2.145975989481704
98,(주)TCC스틸,2710,Dec-19,437173902.0,197366953.0,339334364.0,172763630.0,1.9641539367979244,2.2150309124952647
99,(주)가비아,79940,Dec-11,52838864.0,16288697.0,33792831.0,12997135.0,2.6000215432093303,3.2438975321353207
100,(주)가비아,79940,Dec-12,69058144.0,26299269.0,38482449.0,20630538.0,1.8653148550949084,2.6258579278382226
101,(주)가비아,79940,Dec-13,70675565.0,22631067.0,40507693.0,17328806.0,2.337592849732405,3.12294444623402
102,(주)가비아,79940,Dec-14,80432047.0,23034370.0,43906243.0,17836566.0,2.4615861035134228,3.49182751688021
103,(주)가비아,79940,Dec-15,91648622.0,20985420.0,48446932.0,15187159.0,3.1899930724370504,4.36725221606239
104,(주)가비아,79940,Dec-16,102178978.0,29844914.0,49430564.0,15747269.0,3.138992799322854,3.4236646820292393
105,(주)가비아,79940,Dec-17,116217941.0,33486064.0,52365659.0,17323452.0,3.0228189508649894,3.4706360532548706
106,(주)가비아,79940,Dec-18,128728438.0,37253015.0,55197652.0,19483076.0,2.833107667392972,3.4555173051093986
107,(주)가비아,79940,Dec-19,148306878.0,64956993.0,58254105.0,28880845.0,2.017049882023881,2.2831549175929373
108,(주)강스템바이오텍,217730,Dec-15,,,1484593.0,3745591.0,0.39635747736472027,
109,(주)강스템바이오텍,217730,Dec-16,,,842805.0,24464858.0,0.03444961748807208,
110,(주)강스템바이오텍,217730,Dec-17,9132939.0,22716816.0,5394323.0,19840601.0,0.2718830442686691,0.40203429036886157
111,(주)강스템바이오텍,217730,Dec-18,9165454.0,25612644.0,1001039.0,18239878.0,0.054881891205631965,0.35784880311458667
112,(주)강스템바이오텍,217730,Dec-19,6004584.0,44924460.0,282069.0,27780716.0,0.010153410012902476,0.13365956986461272
113,(주)강원랜드,35250,Dec-11,1265686425.0,454039086.0,1263651213.0,452081605.0,2.7951838761499705,2.787615568849947
114,(주)강원랜드,35250,Dec-12,1296191223.0,534628331.0,1292896121.0,532225153.0,2.4292277689476283,2.4244716335468572
115,(주)강원랜드,35250,Dec-13,1361286598.0,584340350.0,1356906162.0,581467261.0,2.333589959418197,2.329612524618572
116,(주)강원랜드,35250,Dec-14,1496541441.0,669769805.0,1492291312.0,664286664.0,2.246456827861292,2.23441162893272
117,(주)강원랜드,35250,Dec-15,1633716839.0,693036625.0,1630976696.0,690617690.0,2.3616202127692385,2.357331171350432
118,(주)강원랜드,35250,Dec-16,1696532511.0,726260115.0,1694575212.0,723241827.0,2.3430271158805644,2.3359846919309346
119,(주)강원랜드,35250,Dec-17,1604470055.0,684421554.0,1602901764.0,681737727.0,2.35120002974399,2.344271663601056
120,(주)강원랜드,35250,Dec-18,1438059299.0,644464265.0,1436042435.0,643178007.0,2.2327293834224653,2.231402696936191
121,(주)강원랜드,35250,Dec-19,1520080449.0,720360229.0,1517612252.0,718028952.0,2.1135808629621944,2.110167091137398
122,(주)강원에너지,114190,Nov-11,,,50222892.0,29216633.0,1.7189828821137603,
123,(주)강원에너지,114190,Dec-12,,,106471214.0,53150277.0,2.0032108957776456,
124,(주)강원에너지,114190,Dec-13,,,50660659.0,26564178.0,1.907104334265491,
125,(주)강원에너지,114190,Dec-14,,,51481321.0,16592147.0,3.102752223687507,
126,(주)강원에너지,114190,Dec-15,46188664.0,28873556.0,48852892.0,26058095.0,1.8747683589303055,1.5996874094759925
127,(주)강원에너지,114190,Dec-16,42287473.0,22097916.0,44448760.0,17103781.0,2.5987680735622143,1.9136407704690344
128,(주)강원에너지,114190,Dec-17,82034829.0,44876384.0,83113029.0,40664397.0,2.043877079992112,1.828017805534421
129,(주)강원에너지,114190,Dec-18,85905365.0,43641869.0,85905365.0,40333396.0,2.1298817734068316,1.9684162701647814
130,(주)강원에너지,114190,Dec-19,42549622.0,35477506.0,42549622.0,32201998.0,1.3213348438814263,1.1993408443085036
131,(주)갤럭시아에스엠,11420,Dec-11,47331427.0,19836339.0,31931418.0,16172356.0,1.9744444161382546,2.386096900239505
132,(주)갤럭시아에스엠,11420,Dec-12,55049732.0,18071820.0,37398255.0,15016475.0,2.49048162101958,3.046164249090573
133,(주)갤럭시아에스엠,11420,Dec-13,46437304.0,16143563.0,30903637.0,11686248.0,2.6444447353847016,2.876521372636264
134,(주)갤럭시아에스엠,11420,Dec-14,43885894.0,22068570.0,33027933.0,17125782.0,1.9285503575836713,1.9886152115882452
135,(주)갤럭시아에스엠,11420,Dec-15,62472754.0,18947950.0,53784932.0,16531335.0,3.2535141293791456,3.297071925986716
136,(주)갤럭시아에스엠,11420,Dec-16,52626331.0,13597774.0,45665676.0,10978725.0,4.159469883797982,3.8702166251623242
137,(주)갤럭시아에스엠,11420,Dec-17,37281280.0,9336773.0,36917656.0,8463792.0,4.361834033728617,3.992951311978989
138,(주)갤럭시아에스엠,11420,Dec-18,22060413.0,6781168.0,22030258.0,6540360.0,3.3683555645255003,3.253187798916057
139,(주)갤럭시아에스엠,11420,Dec-19,28732679.0,6442848.0,28732679.0,6442848.0,4.459623911661427,4.459623911661427
140,(주)경농,2100,Dec-11,121253605.0,30787882.0,120728258.0,30724888.0,3.929331101223217,3.9383548696204564
141,(주)경농,2100,Dec-12,136970449.0,117673838.0,131021366.0,51967451.0,2.521219791980946,1.1639838670002418
