,회사명,거래소코드,회계년도,[제조]매출원가(*)(IFRS연결),[제조]매출액(수익)(*)(IFRS연결),[제조]매출원가(*)(IFRS),[제조]매출액(수익)(*)(IFRS),매출원가대매출액비율(개별),매출원가대매출액비율(연결)
78,(주)SNT홀딩스,36530,2017/12,1303372403.0,1508152132.0,0.0,7417869.0,0.0,86.42181218625231
79,(주)SNT홀딩스,36530,2018/12,1221120349.0,1401307482.0,0.0,7292112.0,0.0,87.14149925590706
80,(주)SNT홀딩스,36530,2019/12,1284171398.0,1512114565.0,0.0,11015928.0,0.0,84.92553591665192
81,(주)STX,11810,2011/12,5516021000.0,5967701000.0,3988988000.0,4173397000.0,95.5813214031639,92.43125619061678
82,(주)STX,11810,2012/12,6353608000.0,6159850000.0,3997635000.0,4116767000.0,97.10617579280051,103.1454986728573
83,(주)STX,11810,2013/12,3140865000.0,2449401000.0,1814171000.0,1895063000.0,95.73143478607308,128.22992233611402
84,(주)STX,11810,2014/12,1513363000.0,1634606000.0,1233380000.0,1291351000.0,95.51082548431836,92.58273859266392
85,(주)STX,11810,2015/12,1586081000.0,1630827000.0,1352181000.0,1362127000.0,99.26981845305174,97.25623870588358
86,(주)STX,11810,2016/12,1635394000.0,1720153000.0,1494187000.0,1465561000.0,101.9532452078078,95.07258947314571
87,(주)STX,11810,2017/12,1718572000.0,1803878000.0,1541890000.0,1595494000.0,96.64028821167612,95.27096621833627
88,(주)STX,11810,2018/12,1483048000.0,1502985000.0,1319737000.0,1329890000.0,99.23655339915331,98.67350638895265
89,(주)STX,11810,2019/12,1424697000.0,1471164000.0,1225459000.0,1237876000.0,98.996910837596,96.84148062350629
90,(주)TCC스틸,2710,2011/12,472273637.0,514424043.0,419062918.0,456928069.0,91.71310462872877,91.80629160445363
91,(주)TCC스틸,2710,2012/12,457927934.0,501337475.0,399338479.0,440568155.0,90.64170309812792,91.34125351391296
92,(주)TCC스틸,2710,2013/12,474104834.0,500832754.0,385343144.0,419483813.0,91.86126664677762,94.66330430936631
93,(주)TCC스틸,2710,2014/12,483588495.0,518995240.0,364984531.0,401323585.0,90.94519849861304,93.17782856736798
94,(주)TCC스틸,2710,2015/12,451936886.0,495795871.0,311691285.0,350074629.0,89.03566816320185,91.15382205351203
95,(주)TCC스틸,2710,2016/12,402898839.0,444453635.0,281559457.0,317235565.0,88.75406419201454,90.6503642387805
