,회사명,거래소코드,회계년도,당기자본(IFRS연결),전기자본(IFRS연결),당기자본(IFRS개별),전기자본(IFRS개별),자본증가율(개별),자본증가율(연결)
163,(주)경동인베스트,12320,Dec-13,498740561.0,500659801.0,516833582.0,516833582.0,0.0,3.230493234666554
164,(주)경동인베스트,12320,Dec-14,607451423.0,607451423.0,560802056.0,560802056.0,0.0,-7.679522219178338
165,(주)경동인베스트,12320,Dec-15,576479441.0,576479441.0,548528455.0,548528455.0,0.0,-4.8485659699354215
166,(주)경동인베스트,12320,Dec-16,587924566.0,587924566.0,556247783.0,556247783.0,0.0,-5.387899202021089
167,(주)경동인베스트,12320,Dec-17,400403090.0,400403090.0,309789000.0,309789000.0,0.0,-22.630716960750732
168,(주)경동인베스트,12320,Dec-18,397867310.0,407855604.0,310422538.0,310422538.0,0.0,-23.88910806776606
169,(주)경동인베스트,12320,Dec-19,414533638.0,414533638.0,308309156.0,308309156.0,0.0,-25.625057236006498
170,(주)경방,50,Dec-11,629704391.0,629704391.0,676624221.0,676624221.0,0.0,7.451088267859959
171,(주)경방,50,Dec-12,620704205.0,620704205.0,669735441.0,669735441.0,0.0,7.899291740741461
172,(주)경방,50,Dec-13,636438555.0,636438555.0,685569176.0,685569176.0,0.0,7.719617332108356
173,(주)경방,50,Dec-14,647668814.0,647668814.0,651570419.0,651570419.0,0.0,0.6024074211484276
174,(주)경방,50,Dec-15,662952918.0,662952918.0,671770865.0,671770865.0,0.0,1.3301015442547737
175,(주)경방,50,Dec-16,679843399.0,679843399.0,690245544.0,690245544.0,0.0,1.5300795764584478
176,(주)경방,50,Dec-17,699134073.0,699134073.0,710964923.0,710964923.0,0.0,1.692214763505035
177,(주)경방,50,Dec-18,708769347.0,708769347.0,729185709.0,729185709.0,0.0,2.880536818700776
178,(주)경방,50,Dec-19,741553199.0,741553199.0,740731873.0,740731873.0,0.0,-0.11075752907647995
179,(주)경보제약,214390,Dec-15,,,122817151.0,122817151.0,0.0,
180,(주)경보제약,214390,Dec-16,,,129402340.0,129402340.0,0.0,
181,(주)경보제약,214390,Dec-17,,,141509596.0,141509596.0,0.0,
182,(주)경보제약,214390,Dec-18,,,149012165.0,149012165.0,0.0,
183,(주)경보제약,214390,Dec-19,,,149163504.0,149163504.0,0.0,
184,(주)경인양행,12610,Dec-11,176292506.0,176292506.0,158882273.0,158882273.0,0.0,-9.875764656723405
185,(주)경인양행,12610,Dec-12,174988685.0,174988685.0,162112825.0,162112825.0,0.0,-7.358110040086302
186,(주)경인양행,12610,Dec-13,189744314.0,189744314.0,178074513.0,178074513.0,0.0,-6.150277051253298
187,(주)경인양행,12610,Dec-14,198238667.0,198238667.0,186433506.0,186433506.0,0.0,-5.95502440500168
188,(주)경인양행,12610,Dec-15,201125304.0,201125304.0,185903130.0,185903130.0,0.0,-7.568502668366378
189,(주)경인양행,12610,Dec-16,208293196.0,208293196.0,191021720.0,191021720.0,0.0,-8.291905991974886
190,(주)경인양행,12610,Dec-17,210934933.0,210934933.0,190844102.0,190844102.0,0.0,-9.524658013853013
191,(주)경인양행,12610,Dec-18,223759383.0,223759383.0,198237400.0,198237400.0,0.0,-11.405994536550907
192,(주)경인양행,12610,Dec-19,237433141.0,237433141.0,201086327.0,201086327.0,0.0,-15.308231128526401
193,(주)고려시멘트,198440,Dec-14,,,,,,
194,(주)고려시멘트,198440,Dec-15,,,,,,
195,(주)고려시멘트,198440,Dec-16,,,,,,
196,(주)고려시멘트,198440,Dec-17,,,77394108.0,77394108.0,0.0,
197,(주)고려시멘트,198440,Dec-18,,,86510962.0,86510962.0,0.0,
198,(주)고려시멘트,198440,Dec-19,,,88445378.0,88445378.0,0.0,
199,(주)고영테크놀러지,98460,Dec-11,69622726.0,69622726.0,70382391.0,70382391.0,0.0,1.0911164265530147
200,(주)고영테크놀러지,98460,Dec-12,83401095.0,83401095.0,84090906.0,84090906.0,0.0,0.827100651376341
201,(주)고영테크놀러지,98460,Dec-13,98319609.0,98319609.0,100051693.0,100051693.0,0.0,1.7616872337236344
202,(주)고영테크놀러지,98460,Dec-14,115835240.0,115835240.0,118348519.0,118348519.0,0.0,2.1697015519629446
203,(주)고영테크놀러지,98460,Dec-15,131475647.0,131475647.0,133570714.0,133570714.0,0.0,1.5935019509734758
204,(주)고영테크놀러지,98460,Dec-16,157267580.0,157267580.0,157572806.0,157572806.0,0.0,0.1940806871956653
205,(주)고영테크놀러지,98460,Dec-17,161317171.0,161317171.0,164836232.0,164836232.0,0.0,2.1814546946152404
206,(주)고영테크놀러지,98460,Dec-18,225866639.0,225866639.0,229271175.0,229271175.0,0.0,1.5073213180455696
207,(주)고영테크놀러지,98460,Dec-19,243668528.0,243668528.0,252020628.0,252020628.0,0.0,3.427648235310869
208,(주)골드앤에스,35290,Dec-11,22436829.0,22436829.0,22637807.0,22637807.0,0.0,0.8957504645598533
209,(주)골드앤에스,35290,Dec-12,25517817.0,25517817.0,26252682.0,26252682.0,0.0,2.8798113882547227
210,(주)골드앤에스,35290,Dec-13,13127355.0,13127355.0,9813150.0,9813150.0,0.0,-25.246555760852047
211,(주)골드앤에스,35290,Dec-14,12082621.0,12082621.0,9084260.0,9084260.0,0.0,-24.815484984590668
212,(주)골드앤에스,35290,Dec-15,15160254.0,15160254.0,14991660.0,14991660.0,0.0,-1.1120789928717585
213,(주)골드앤에스,35290,Dec-16,14268527.0,13462426.0,14102143.0,13296043.0,6.062706024642068,4.75187013098531
214,(주)골드앤에스,35290,Dec-17,13346076.0,13346076.0,13104737.0,13104737.0,0.0,-1.808314294029202
215,(주)골드앤에스,35290,Dec-18,13779569.0,12576392.0,13867013.0,12663837.0,9.500880341400489,10.26225168553907
216,(주)골드앤에스,35290,Dec-19,-5091573.0,-5091573.0,-5001092.0,-5001092.0,0.0,0.0
217,(주)골드퍼시픽,38530,Dec-11,,,21829724.0,21829724.0,0.0,
218,(주)골드퍼시픽,38530,Dec-12,,22928402.0,22928402.0,22928402.0,0.0,0.0
219,(주)골드퍼시픽,38530,Dec-13,16190999.0,16190999.0,17116411.0,17116411.0,0.0,5.715595436699132
220,(주)골드퍼시픽,38530,Dec-14,16567915.0,16567915.0,16902289.0,16902289.0,0.0,2.0182020489603048
221,(주)골드퍼시픽,38530,Dec-15,21193149.0,,20115559.0,21193149.0,-5.084614844164975,
222,(주)골드퍼시픽,38530,Dec-16,,,1889641.0,1889641.0,0.0,
223,(주)골드퍼시픽,38530,Dec-17,,5364494.0,5364494.0,5364494.0,0.0,0.0
224,(주)골드퍼시픽,38530,Dec-18,20086698.0,,20086698.0,20086698.0,0.0,
225,(주)골드퍼시픽,38530,Dec-19,,,21069318.0,21069318.0,0.0,
226,(주)골프존,215000,Dec-15,108853909.0,108853909.0,105063093.0,105063093.0,0.0,-3.482480358146816
227,(주)골프존,215000,Dec-16,120648626.0,120648626.0,115886579.0,115886579.0,0.0,-3.9470379049322872
228,(주)골프존,215000,Dec-17,189381881.0,189381881.0,181394935.0,181394935.0,0.0,-4.217376001244816
229,(주)골프존,215000,Dec-18,194919561.0,194919561.0,197436844.0,197436844.0,0.0,1.291447090833529
230,(주)골프존,215000,Dec-19,200042879.0,200042879.0,205529589.0,205529589.0,0.0,2.742766964476658
231,(주)골프존뉴딘홀딩스,121440,Dec-11,348968757.0,348968757.0,348104397.0,348104397.0,0.0,-0.24768979533604352
232,(주)골프존뉴딘홀딩스,121440,Dec-12,411636973.0,411636973.0,410999847.0,410999847.0,0.0,-0.15477861363051204
233,(주)골프존뉴딘홀딩스,121440,Dec-13,424543916.0,424543916.0,427556455.0,427556455.0,0.0,0.7095941989662151
234,(주)골프존뉴딘홀딩스,121440,Dec-14,486385956.0,486385956.0,473636026.0,473636026.0,0.0,-2.621360638134874
235,(주)골프존뉴딘홀딩스,121440,Dec-15,551360423.0,551360423.0,551703320.0,551703320.0,0.0,0.062191079681468864
236,(주)골프존뉴딘홀딩스,121440,Dec-16,528087415.0,528087415.0,506841449.0,506841449.0,0.0,-4.023191122628816
237,(주)골프존뉴딘홀딩스,121440,Dec-17,500912642.0,500912642.0,480074463.0,501169371.0,-4.209137513313834,-4.1600425409107515
238,(주)골프존뉴딘홀딩스,121440,Dec-18,485969871.0,485969871.0,484480922.0,484480922.0,0.0,-0.30638710110487466
239,(주)골프존뉴딘홀딩스,121440,Dec-19,447197508.0,443293494.0,450069457.0,446165444.0,0.8750146503950162,1.5285500671029553
240,(주)광림,14200,Dec-11,,,56677106.0,56677106.0,0.0,
241,(주)광림,14200,Dec-12,,,63502275.0,63502275.0,0.0,
242,(주)광림,14200,Dec-13,,64796802.0,64796802.0,64796802.0,0.0,0.0
243,(주)광림,14200,Dec-14,128970849.0,,66259380.0,128970849.0,-48.62452987341349,
244,(주)광림,14200,Dec-15,,80899308.0,80899308.0,69805171.0,15.893001680348277,0.0
245,(주)광림,14200,Dec-16,113505965.0,111769640.0,90221084.0,90221084.0,0.0,-19.279435811012718
246,(주)광림,14200,Dec-17,107690687.0,107690687.0,176556237.0,176556237.0,0.0,63.94754450772518
247,(주)광림,14200,Dec-18,90075229.0,90075229.0,120931215.0,120931215.0,0.0,34.255795230895274
