,회사명,거래소코드,회계년도,당기매출액(IFRS연결),당기매출원가(IFRS연결),당기판관비(IFRS연결),전기매출액(IFRS연결),전기매출원가(IFRS연결),전기판관비(IFRS연결),당기매출액(IFRS개별),당기매출원가(IFRS개별),당기판관비(IFRS개별),전기매출액(IFRS개별),전기매출원가(IFRS개별),전기판관비(IFRS개별),영업이익증가율(개별),영업이익증가율(연결)
14,(주)DB하이텍,990,Dec-16,773140180.0,483129939.0,117582311.0,773140180.0,483129939.0,117582311.0,773140180.0,483129939.0,118222593.0,773140180.0,483129939.0,118222593.0,-87.50174180625267,-87.44931215065071
15,(주)DB하이텍,990,Dec-17,679737744.0,426170592.0,110371984.0,679737744.0,426170592.0,110371984.0,679737744.0,426170592.0,111213462.0,679737744.0,426170592.0,111213462.0,-88.30407193150936,-88.22679561237989
16,(주)DB하이텍,990,Dec-18,669279136.0,453942755.0,102343239.0,669279136.0,453942755.0,102343239.0,669279136.0,453942755.0,102452079.0,669279136.0,453942755.0,102452079.0,-90.790022080668,-90.78032335988541
17,(주)DB하이텍,990,Dec-19,807416423.0,513292637.0,112831598.0,807416423.0,513292637.0,112831598.0,807416423.0,513292637.0,112967914.0,807416423.0,513292637.0,112967914.0,-87.36424764536952,-87.35353706305553
18,(주)ES큐브,50120,Dec-11,53379952.0,38476771.0,18553426.0,53379952.0,38476771.0,18553426.0,41700477.0,29104839.0,14675781.0,41700477.0,29104839.0,14675781.0,-102.4334537962235,-103.30607741503908
19,(주)ES큐브,50120,Dec-12,55971147.0,40290541.0,15591269.0,55971147.0,40290541.0,15591269.0,44178050.0,31651298.0,11880913.0,44178050.0,31651298.0,11880913.0,-99.26366767965723,-99.92012996133843
20,(주)ES큐브,50120,Dec-13,58597361.0,44088670.0,15673302.0,58597361.0,44088670.0,15673302.0,45823196.0,34023346.0,11582714.0,45823196.0,34023346.0,11582714.0,-99.76250927821178,-100.98396211813731
21,(주)ES큐브,50120,Dec-14,44459581.0,34936541.0,9351950.0,44459581.0,34936541.0,9351950.0,37188072.0,30573957.0,6288207.0,37188072.0,30573957.0,6288207.0,-99.55988256404747,-99.8072183472335
22,(주)ES큐브,50120,Dec-15,42152967.0,30433006.0,15780388.0,42152967.0,30433006.0,15780388.0,36887119.0,30735643.0,3780907.0,36887119.0,30735643.0,3780907.0,-96.68004595114013,-104.59499175257426
23,(주)ES큐브,50120,Dec-16,34289385.0,24454448.0,7673895.0,34289385.0,24454448.0,7673895.0,34818205.0,28468888.0,3989789.0,34818205.0,28468888.0,3989789.0,-96.492810115665,-96.74628737676784
24,(주)ES큐브,50120,Dec-17,35745794.0,26057940.0,7439335.0,35745794.0,26057940.0,7439335.0,37104908.0,30497256.0,4437550.0,37104908.0,30497256.0,4437550.0,-96.98763101696933,-96.7527161454961
25,(주)ES큐브,50120,Dec-18,33763508.0,26036057.0,8938580.0,33763508.0,26036057.0,8938580.0,31308873.0,25693835.0,4923569.0,31308873.0,25693835.0,4923569.0,-98.88339969153967,-101.76194600538027
26,(주)ES큐브,50120,Dec-19,43708239.0,35510791.0,10814519.0,43708239.0,35510791.0,10814519.0,28527284.0,22708418.0,5231167.0,28527284.0,22708418.0,5231167.0,-98.95921447318072,-102.90677311854051
27,(주)HJ중공업,97230,Dec-11,2891499000.0,2664558000.0,139646000.0,2891499000.0,2664558000.0,137487000.0,2316017000.0,2156842000.0,120739000.0,2316017000.0,2156842000.0,118580000.0,-99.16287682358407,-98.46677218969415
28,(주)HJ중공업,97230,Dec-12,2549319000.0,2358260000.0,138145000.0,2549319000.0,2358260000.0,138145000.0,1980761000.0,1833445000.0,118725000.0,1980761000.0,1833445000.0,118725000.0,-99.27303580967985,-98.95131005976546
29,(주)HJ중공업,97230,Dec-13,2529341000.0,2464368000.0,134547000.0,2529341000.0,2464368000.0,134547000.0,1927307000.0,1900927000.0,135487000.0,1927307000.0,1900927000.0,135487000.0,-102.75264076356535,-101.35667954173894
30,(주)HJ중공업,97230,Dec-14,2520325000.0,2537259000.0,128054000.0,2520325000.0,2537259000.0,128054000.0,1799016000.0,1798250000.0,107015000.0,1799016000.0,1798250000.0,107015000.0,-102.86827592183207,-102.79595297627795
31,(주)HJ중공업,97230,Dec-15,3115473000.0,3004437000.0,190406000.0,3063623000.0,3052318000.0,234665000.0,2041347000.0,1972358000.0,166799000.0,2041347000.0,2019785000.0,171677000.0,-102.31075864750807,-101.24980198740089
32,(주)HJ중공업,97230,Dec-16,2813271000.0,2753545000.0,139045000.0,2813271000.0,2753545000.0,139045000.0,1928591000.0,1776465000.0,102807000.0,1928591000.0,1776465000.0,102807000.0,-98.7048115964256,-101.3901320063703
33,(주)HJ중공업,97230,Dec-17,2452314000.0,2431066000.0,137941000.0,1647652000.0,1562408000.0,87170000.0,1737428000.0,1545012000.0,105733000.0,1737428000.0,1545012000.0,105733000.0,-97.44160053220423,-103.53912223290459
34,(주)HJ중공업,97230,Dec-18,1697869000.0,1557089000.0,79104000.0,1697869000.0,1557089000.0,79104000.0,1750954000.0,1551132000.0,265827000.0,1750954000.0,1551132000.0,265827000.0,-101.84996102763716,-98.15012438280992
35,(주)HJ중공업,97230,Dec-19,1628751000.0,1451267000.0,93645000.0,1628751000.0,1451267000.0,93645000.0,1609530000.0,1439132000.0,93343000.0,1609530000.0,1439132000.0,93343000.0,-97.54758506113134,-97.35828914412147
36,(주)MH에탄올,23150,Dec-11,44785159.0,37258514.0,7016081.0,44785159.0,37258514.0,7016081.0,43206995.0,32715976.0,3594900.0,43206995.0,32715976.0,3594900.0,-91.32758597120892,-99.42671748228723
37,(주)MH에탄올,23150,Dec-12,59768175.0,49030452.0,5285990.0,59768175.0,49030452.0,5285990.0,45488675.0,35478357.0,3491561.0,45488675.0,35478357.0,3491561.0,-92.28171253101505,-95.22132506260682
