,회사명,거래소코드,회계년도,부가가치(IFRS연결),기계장치(IFRS연결),부가가치(IFRS개별),기계장치(IFRS개별),기계투자효율(개별),기계투자효율(연결)
109,(주)강스템바이오텍,217730,Dec-16,,,-5090.69,0.0,-inf,
110,(주)강스템바이오텍,217730,Dec-17,-646.49,0.0,-2123.85,0.0,-inf,-inf
111,(주)강스템바이오텍,217730,Dec-18,-3330.3,0.0,-5971.99,0.0,-inf,-inf
112,(주)강스템바이오텍,217730,Dec-19,-13446.01,0.0,-16534.36,0.0,-inf,-inf
113,(주)강원랜드,35250,Dec-11,778291.81,392104627.0,783195.28,390705277.0,20.04567959802601,19.849085075958566
114,(주)강원랜드,35250,Dec-12,712817.68,453309474.0,693820.93,451841848.0,15.35539333222628,15.724747019075098
115,(주)강원랜드,35250,Dec-13,837925.02,476102882.0,824512.27,474572756.0,17.373780091160565,17.599662839260024
116,(주)강원랜드,35250,Dec-14,904075.49,481401114.0,899930.11,475738420.0,18.916490074524567,18.78008720187548
117,(주)강원랜드,35250,Dec-15,1021274.04,493032951.0,1001297.65,487744949.0,20.529123921281244,20.714113284489173
118,(주)강원랜드,35250,Dec-16,1043222.0,496003933.0,1037898.56,490715931.0,21.150700322382647,21.032534836775174
119,(주)강원랜드,35250,Dec-17,1000137.64,505944287.0,1011578.3,500656285.0,20.205045463476004,19.76774253011775
120,(주)강원랜드,35250,Dec-18,833429.97,197980873.0,846353.62,197540429.0,42.84457740040647,42.09648929065991
121,(주)강원랜드,35250,Dec-19,908009.0,569705642.0,906619.21,564417639.0,16.062914185429985,15.938213229069618
122,(주)강원에너지,114190,Nov-11,,,12844.61,2654796.0,48.38266292400621,
123,(주)강원에너지,114190,Dec-12,,,18760.61,2928596.0,64.06008203248246,
124,(주)강원에너지,114190,Dec-13,,,12256.79,2938096.0,41.71677848511417,
125,(주)강원에너지,114190,Dec-14,,,8510.74,3214210.0,26.478481493119617,
126,(주)강원에너지,114190,Dec-15,7820.6,3189863.0,9171.31,3189863.0,28.751422866750076,24.517040387000947
127,(주)강원에너지,114190,Dec-16,8145.29,2753100.0,8913.55,2753100.0,32.37641204460426,29.585885002360975
128,(주)강원에너지,114190,Dec-17,687.17,2785907.0,713.82,2785907.0,2.5622535138466573,2.466593464893121
129,(주)강원에너지,114190,Dec-18,11600.03,2775452.0,11569.08,2775452.0,41.68358883525999,41.795102203172675
130,(주)강원에너지,114190,Dec-19,-24497.97,4148008.0,-22522.15,4148008.0,-54.29630318938633,-59.059601620826186
131,(주)갤럭시아에스엠,11420,Dec-11,16289.29,327870.0,14937.6,0.0,inf,496.8216061243786
132,(주)갤럭시아에스엠,11420,Dec-12,11304.39,2968018.0,9721.11,0.0,inf,38.08733639755554
133,(주)갤럭시아에스엠,11420,Dec-13,4540.45,2688615.0,3928.36,0.0,inf,16.887691246236443
134,(주)갤럭시아에스엠,11420,Dec-14,5477.95,3945186.0,3400.02,0.0,inf,13.885150155151113
135,(주)갤럭시아에스엠,11420,Dec-15,10705.78,3968308.0,10216.63,0.0,inf,26.978198264852427
136,(주)갤럭시아에스엠,11420,Dec-16,5657.39,4037582.0,5013.27,0.0,inf,14.01182688054385
137,(주)갤럭시아에스엠,11420,Dec-17,-161.81,0.0,-275.92,0.0,-inf,-inf
138,(주)갤럭시아에스엠,11420,Dec-18,-9771.55,0.0,-9601.87,0.0,-inf,-inf
139,(주)갤럭시아에스엠,11420,Dec-19,3529.68,0.0,3287.96,0.0,inf,inf
140,(주)경농,2100,Dec-11,26483.85,39295580.0,28809.42,38907853.0,7.404525765017154,6.739651126157191
141,(주)경농,2100,Dec-12,39063.56,54120673.0,32641.59,39704718.0,8.221085967667621,7.217862941209176
142,(주)경농,2100,Dec-13,53114.35,54986116.0,42493.74,39938460.0,10.639804338975514,9.659592977980115
143,(주)경농,2100,Dec-14,47327.34,55656543.0,38526.79,40262627.0,9.568871400269039,8.503463824549792
144,(주)경농,2100,Dec-15,46908.64,3595133.0,36680.28,40970395.0,8.95287438649298,130.47817702432704
145,(주)경농,2100,Dec-16,48243.41,55250644.0,37693.81,42294345.0,8.912257655249183,8.73173713595085
146,(주)경농,2100,Dec-17,55717.38,65016527.0,45275.0,43129019.0,10.497572411744398,8.569725663753157
147,(주)경농,2100,Dec-18,57945.41,61973976.0,47204.81,44384320.0,10.635469913699252,9.349958440620302
148,(주)경농,2100,Dec-19,55965.47,62738813.0,43823.04,44837195.0,9.773813906066158,8.920390317234723
149,(주)경동나비엔,9450,Dec-11,60669.23,30161622.0,50196.09,16809973.0,29.860898646297645,20.114710674379516
