,회사명,거래소코드,회계년도,부가가치(IFRS연결),유형자산(IFRS연결),건설중인자산(IFRS연결),부가가치(IFRS개별),유형자산(IFRS개별),건설중인자산(IFRS개별),설비투자효율(개별),설비투자효율(연결)
58,(주)SIMPAC,9160,15-Dec,59958.15,0.0,5215137.0,48511.4,75847152.0,5215137.0,6.86818859691317,-114.96946293069578
59,(주)SIMPAC,9160,16-Dec,59093.1,0.0,2600.0,45818.17,75130388.0,2600.0,6.098698127515747,-227281.15384615384
60,(주)SIMPAC,9160,17-Dec,43282.91,0.0,2600.0,33411.91,70402759.0,2600.0,4.7459992242347075,-166472.73076923078
61,(주)SIMPAC,9160,18-Dec,114254.96,0.0,301000.0,94742.34,156312739.0,301000.0,6.072769947138401,-3795.84584717608
62,(주)SIMPAC,9160,19-Dec,65475.48,0.0,1303450.0,50726.3,153003014.0,1250250.0,3.3426936460939847,-502.3244466607848
63,(주)SNT에너지,100840,11-Dec,,,,-5072.93,122586108.0,31000.0,-0.41393052340176634,
64,(주)SNT에너지,100840,12-Dec,,,,-3911.2,122289502.0,0.0,-0.31983121494762484,
65,(주)SNT에너지,100840,13-Dec,,,,36145.24,120367341.0,0.0,3.0029108975664753,
66,(주)SNT에너지,100840,14-Dec,,,,31921.1,120065551.0,75369.0,2.660309324307884,
67,(주)SNT에너지,100840,15-Dec,,,,53697.45,118714558.0,0.0,4.5232405279224475,
68,(주)SNT에너지,100840,16-Dec,,,,21049.19,118148046.0,0.0,1.78159442433775,
69,(주)SNT에너지,100840,17-Dec,,,,22693.15,116825424.0,0.0,1.9424838552265817,
70,(주)SNT에너지,100840,18-Dec,,,,16995.59,115728393.0,237174.0,1.4715915328593077,
71,(주)SNT에너지,100840,19-Dec,36695.84,0.0,739889.0,34093.55,116275557.0,739889.0,2.950911228556709,-495.9641243483819
72,(주)SNT홀딩스,36530,11-Dec,316126.05,10574528.0,16444584.0,-3092.48,150611.0,0.0,-205.32896003611953,-538.5400922921349
73,(주)SNT홀딩스,36530,12-Dec,289200.16,0.0,6983785.0,10002.42,100263.0,0.0,997.6182639657701,-414.10232416948685
74,(주)SNT홀딩스,36530,13-Dec,287320.84,0.0,8825589.0,8821.66,54602.0,0.0,1615.6294641221934,-325.55429444992285
75,(주)SNT홀딩스,36530,14-Dec,280175.76,0.0,24955195.0,7483.38,75419.0,0.0,992.2406820562458,-112.27151701279033
76,(주)SNT홀딩스,36530,15-Dec,383575.56,1686108.0,18812799.0,36674.24,55309.0,0.0,6630.790648899817,-223.96361328641942
77,(주)SNT홀딩스,36530,16-Dec,230370.32,0.0,11797205.0,6611.38,35654.0,0.0,1854.316486228754,-195.27533852298063
78,(주)SNT홀딩스,36530,17-Dec,220383.89,0.0,6653359.0,4405.14,19895.0,0.0,2214.194521236492,-331.2370338050299
79,(주)SNT홀딩스,36530,18-Dec,283495.5,0.0,14610465.0,6864.34,2888.0,0.0,23768.49030470914,-194.03591877465914
80,(주)SNT홀딩스,36530,19-Dec,320323.23,0.0,23474134.0,10601.11,59663.0,0.0,1776.8315371335668,-136.45795410386597
81,(주)STX,11810,11-Dec,524043.0,0.0,27862000.0,236828.0,72801000.0,0.0,32.53087182868367,-188.08520565644963
82,(주)STX,11810,12-Dec,-139686.0,0.0,201250000.0,92155.0,69598000.0,0.0,13.241041409235898,0.0
83,(주)STX,11810,13-Dec,-1245149.0,0.0,0.0,-1518511.0,62152000.0,0.0,-244.32214570729823,-inf
84,(주)STX,11810,14-Dec,505161.0,0.0,0.0,390447.0,57120000.0,0.0,68.35556722689076,inf
85,(주)STX,11810,15-Dec,79567.0,0.0,125000.0,-7212.0,53714000.0,0.0,-1.3426667163123207,-6365.36
86,(주)STX,11810,16-Dec,-345167.0,0.0,234000.0,-408612.0,30798000.0,0.0,-132.67484901616987,0.0
87,(주)STX,11810,17-Dec,416114.0,26090000.0,364000.0,366717.0,29631000.0,0.0,123.7612635415612,161.7484257171733
88,(주)STX,11810,18-Dec,83521.0,0.0,16000.0,28236.0,28464000.0,0.0,9.919898819561551,-52200.625
89,(주)STX,11810,19-Dec,51064.0,0.0,69000.0,-15090.0,43245000.0,0.0,-3.4894207422823444,-7400.579710144928
90,(주)TCC스틸,2710,11-Dec,50799.6,0.0,1119494.0,47387.55,75283350.0,1119494.0,6.389574727613947,-453.77286524090346
91,(주)TCC스틸,2710,12-Dec,49856.28,0.0,16963339.0,44247.81,71554979.0,743100.0,6.248642265233493,-29.39060523402851
92,(주)TCC스틸,2710,13-Dec,40058.31,0.0,4938140.0,37086.29,71255687.0,0.0,5.204677908726079,-81.12023960438546
93,(주)TCC스틸,2710,14-Dec,66638.24,0.0,3997004.0,38278.43,68743151.0,0.0,5.568326363160164,-166.72047363475244
94,(주)TCC스틸,2710,15-Dec,46811.29,106445325.0,0.0,-113808.25,50635593.0,0.0,-22.47593900993714,4.397683975317845
95,(주)TCC스틸,2710,16-Dec,81464.7,0.0,101346.0,53606.1,43730610.0,101346.0,12.286730301019976,-8038.274820910545
96,(주)TCC스틸,2710,17-Dec,61493.36,0.0,19800.0,30346.26,45541678.0,19800.0,6.666302299742554,-31057.252525252523
97,(주)TCC스틸,2710,18-Dec,75995.51,0.0,306250.0,44068.24,43204124.0,306250.0,10.272826107885907,-2481.4860408163263
98,(주)TCC스틸,2710,19-Dec,74428.93,0.0,2512043.0,42215.18,47129444.0,2512043.0,9.461595488271493,-296.2884393300592
99,(주)가비아,79940,11-Dec,25788.11,0.0,0.0,15017.54,7163470.0,0.0,20.964057921649704,inf
100,(주)가비아,79940,12-Dec,31058.09,1448018.0,0.0,17319.4,23749485.0,0.0,7.292537080277742,214.48690554951665
101,(주)가비아,79940,13-Dec,32828.8,0.0,0.0,16859.32,22732962.0,0.0,7.416244306395268,inf
102,(주)가비아,79940,14-Dec,34179.94,2512377.0,0.0,19430.85,22313113.0,0.0,8.708264956126918,136.04622236232856
103,(주)가비아,79940,15-Dec,41698.24,0.0,0.0,22440.14,22210592.0,0.0,10.103350689616917,inf
104,(주)가비아,79940,16-Dec,45412.89,0.0,0.0,23132.9,22429866.0,0.0,10.313436558203245,inf
105,(주)가비아,79940,17-Dec,48683.0,0.0,579154.0,22812.97,22362004.0,435654.0,10.404362787240009,-840.5881682592195
106,(주)가비아,79940,18-Dec,62241.08,0.0,3862712.0,24805.77,24425180.0,1738220.0,10.9339329729501,-161.13311062279558
107,(주)가비아,79940,19-Dec,133089.93,0.0,21744142.0,29591.96,39724951.0,9795289.0,9.887168121043265,-61.20725756849822
108,(주)강스템바이오텍,217730,15-Dec,,,,-2880.72,2980005.0,0.0,-9.666829418071446,
109,(주)강스템바이오텍,217730,16-Dec,,,,-5090.69,4039297.0,1068262.0,-17.13439929182928,
110,(주)강스템바이오텍,217730,17-Dec,-646.49,0.0,7327062.0,-2123.85,12480829.0,7327062.0,-4.120966275735787,0.0
111,(주)강스템바이오텍,217730,18-Dec,-3330.3,0.0,9547126.0,-5971.99,14220013.0,9547126.0,-12.780086486148711,0.0
112,(주)강스템바이오텍,217730,19-Dec,-13446.01,0.0,25963956.0,-16534.36,22738650.0,18450622.0,-38.55935642211292,0.0
113,(주)강원랜드,35250,11-Dec,778291.81,0.0,111936204.0,783195.28,1302068954.0,110537110.0,6.573011740674889,-69.52994493184707
114,(주)강원랜드,35250,12-Dec,712817.68,0.0,34660762.0,693820.93,1334113267.0,22045367.0,5.287995613641642,-205.65551328617647
115,(주)강원랜드,35250,13-Dec,837925.02,0.0,70878212.0,824512.27,1327018456.0,25757113.0,6.336254238515407,-118.22039472440416
116,(주)강원랜드,35250,14-Dec,904075.49,0.0,72921157.0,899930.11,1284798892.0,41557550.0,7.2385793457631005,-123.97986087905875
117,(주)강원랜드,35250,15-Dec,1021274.04,0.0,63789006.0,1001297.65,1253601276.0,32826352.0,8.202147916989814,-160.10188965791377
118,(주)강원랜드,35250,16-Dec,1043222.0,0.0,52323443.0,1037898.56,1254129261.0,52323443.0,8.636158557854477,-199.3794636182485
119,(주)강원랜드,35250,17-Dec,1000137.64,0.0,93200856.0,1011578.3,1253403658.0,93200856.0,8.718978253251969,-107.3099199861426
120,(주)강원랜드,35250,18-Dec,833429.97,0.0,29571131.0,846353.62,1299058388.0,29571131.0,6.666893388123234,-281.8390578297462
121,(주)강원랜드,35250,19-Dec,908009.0,0.0,37071729.0,906619.21,1353732478.0,36221457.0,6.8813026650196045,-244.93300541768636
122,(주)강원에너지,114190,11-Nov,,,,12844.61,3912294.0,0.0,32.83140275245163,
123,(주)강원에너지,114190,12-Dec,,,,18760.61,4416402.0,203000.0,44.52603857880164,
124,(주)강원에너지,114190,13-Dec,,,,12256.79,4787448.0,585000.0,29.165833818764682,
125,(주)강원에너지,114190,14-Dec,,,,8510.74,10004091.0,261301.0,8.735423836498581,
126,(주)강원에너지,114190,15-Dec,7820.6,0.0,2774080.0,9171.31,9712091.0,6048.0,9.449072088388647,-28.191688776098744
127,(주)강원에너지,114190,16-Dec,8145.29,0.0,4973974.0,8913.55,9490734.0,47700.0,9.439286144686124,-16.375819415220104
128,(주)강원에너지,114190,17-Dec,687.17,0.0,6052413.0,713.82,9242859.0,47700.0,0.7762997899220666,-1.1353653493243108
129,(주)강원에너지,114190,18-Dec,11600.03,0.0,6052413.0,11569.08,8853092.0,47700.0,13.138631420384236,-19.165959097635934
130,(주)강원에너지,114190,19-Dec,-24497.97,0.0,7635782.0,-22522.15,9089689.0,628097.0,-26.616917951137324,0.0
