,회사명,거래소코드,회계년도,매출액(IFRS연결),매출원가(IFRS연결),매출액(IFRS개별),매출원가(IFRS개별),매출액총이익률(개별),매출액총이익률(연결)
83,(주)STX,11810,Dec-13,2449401000.0,3140865000.0,1895063000.0,1814171000.0,4.268565213926925,-28.22992233611401
84,(주)STX,11810,Dec-14,1634606000.0,1513363000.0,1291351000.0,1233380000.0,4.489174515681639,7.41726140733608
85,(주)STX,11810,Dec-15,1630827000.0,1586081000.0,1362127000.0,1352181000.0,0.7301815469482654,2.7437612941164207
86,(주)STX,11810,Dec-16,1720153000.0,1635394000.0,1465561000.0,1494187000.0,-1.9532452078077953,4.927410526854297
87,(주)STX,11810,Dec-17,1803878000.0,1718572000.0,1595494000.0,1541890000.0,3.3597117883238674,4.729033781663727
88,(주)STX,11810,Dec-18,1502985000.0,1483048000.0,1329890000.0,1319737000.0,0.7634466008466866,1.326493611047349
89,(주)STX,11810,Dec-19,1471164000.0,1424697000.0,1237876000.0,1225459000.0,1.0030891624039888,3.1585193764937154
90,(주)TCC스틸,2710,Dec-11,514424043.0,472273637.0,456928069.0,419062918.0,8.286895371271227,8.193708395546356
91,(주)TCC스틸,2710,Dec-12,501337475.0,457927934.0,440568155.0,399338479.0,9.358296901872084,8.658746486087042
92,(주)TCC스틸,2710,Dec-13,500832754.0,474104834.0,419483813.0,385343144.0,8.13873335322238,5.336695690633684
93,(주)TCC스틸,2710,Dec-14,518995240.0,483588495.0,401323585.0,364984531.0,9.054801501386967,6.822171432632023
94,(주)TCC스틸,2710,Dec-15,495795871.0,451936886.0,350074629.0,311691285.0,10.964331836798147,8.84617794648798
95,(주)TCC스틸,2710,Dec-16,444453635.0,402898839.0,317235565.0,281559457.0,11.245935807985463,9.349635761219503
96,(주)TCC스틸,2710,Dec-17,391370092.0,356978389.0,333762378.0,304470552.0,8.776251588188288,8.787514350994403
97,(주)TCC스틸,2710,Dec-18,413176279.0,377890304.0,351301866.0,320798763.0,8.682875313847607,8.540174446945926
98,(주)TCC스틸,2710,Dec-19,437173902.0,405618477.0,339334364.0,312320391.0,7.960871596252479,7.218048665677211
99,(주)가비아,79940,Dec-11,52838864.0,29173840.0,33792831.0,20761832.0,38.56143038149127,44.78715515155663
100,(주)가비아,79940,Dec-12,69058144.0,40302408.0,38482449.0,23494026.0,38.94872439121533,41.6398911618592
101,(주)가비아,79940,Dec-13,70675565.0,38882747.0,40507693.0,24558241.0,39.3738838694171,44.98417239395256
102,(주)가비아,79940,Dec-14,80432047.0,45275795.0,43906243.0,26874841.0,38.79038796373445,43.70925932047956
103,(주)가비아,79940,Dec-15,91648622.0,50078893.0,48446932.0,28806524.0,40.540044929986486,45.357723981927414
104,(주)가비아,79940,Dec-16,102178978.0,54998617.0,49430564.0,28802628.0,41.731136225757005,46.17423458668768
105,(주)가비아,79940,Dec-17,116217941.0,60313364.0,52365659.0,30561799.0,41.63770764347681,48.103224441052525
106,(주)가비아,79940,Dec-18,128728438.0,65751367.0,55197652.0,31654603.0,42.65226535360598,48.92242303134292
107,(주)가비아,79940,Dec-19,148306878.0,75650385.0,58254105.0,34532096.0,40.72160923251675,48.99064290194282
108,(주)강스템바이오텍,217730,Dec-15,,,1484593.0,252810.0,82.97109039312458,
109,(주)강스템바이오텍,217730,Dec-16,,,842805.0,57688.0,93.15523756978186,
110,(주)강스템바이오텍,217730,Dec-17,9132939.0,5874047.0,5394323.0,2402560.0,55.461324803872515,35.682839883196415
111,(주)강스템바이오텍,217730,Dec-18,9165454.0,7988195.0,1001039.0,276617.0,72.36701067590772,12.844524668390678
112,(주)강스템바이오텍,217730,Dec-19,6004584.0,6428945.0,282069.0,141439.0,49.85659537205436,-7.067283928412027
113,(주)강원랜드,35250,Dec-11,1265686425.0,538388479.0,1263651213.0,530019096.0,58.05653565261129,57.46272786326202
114,(주)강원랜드,35250,Dec-12,1296191223.0,647845564.0,1292896121.0,639097544.0,50.56853109701611,50.01929094222851
115,(주)강원랜드,35250,Dec-13,1361286598.0,726091776.0,1356906162.0,718286815.0,47.06437076376104,46.661358668573335
116,(주)강원랜드,35250,Dec-14,1496541441.0,722297880.0,1492291312.0,713323703.0,52.19943336371846,51.735524308811975
117,(주)강원랜드,35250,Dec-15,1633716839.0,759645970.0,1630976696.0,754752007.0,53.723924514001766,53.501980767672066
118,(주)강원랜드,35250,Dec-16,1696532511.0,785177091.0,1694575212.0,782103726.0,53.84662064795977,53.71871237898134
119,(주)강원랜드,35250,Dec-17,1604470055.0,787533848.0,1602901764.0,785131415.0,51.01812022211987,50.9162638750525
120,(주)강원랜드,35250,Dec-18,1438059299.0,729593460.0,1436042435.0,727185671.0,49.361825717914805,49.26541203778274
121,(주)강원랜드,35250,Dec-19,1520080449.0,736659054.0,1517612252.0,734363002.0,51.61063038123127,51.53815349150642
122,(주)강원에너지,114190,Nov-11,,,50222892.0,37631683.0,25.070657022299713,
123,(주)강원에너지,114190,Dec-12,,,106471214.0,85441450.0,19.75159595719459,
124,(주)강원에너지,114190,Dec-13,,,50660659.0,38917147.0,23.180732804916733,
125,(주)강원에너지,114190,Dec-14,,,51481321.0,40566049.0,21.202392999977604,
