,회사명,거래소코드,회계년도,[제조]영업활동으로 인한 현금흐름(간접법)(*)(IFRS),[제조]매출액(수익)(*)(IFRS),[제조]부채(*)(IFRS),[제조]영업활동으로 인한 현금흐름(간접법)(*)(IFRS연결),[제조]매출액(수익)(*)(IFRS연결),[제조]부채(*)(IFRS연결),[제조]전기영업흐름(IFRS개별),[제조]전기영업흐름(IFRS연결),cashflow_매출액비율(개별),cashflow_매출액비율(연결)
11354,두산에너빌리티(주),34020,2019/12,-170537822.0,3708635207.0,7920170221.0,433679709.0,15659674141.0,18607256196.0,139515296.0,989560099.0,-0.4182472023865463,4.54428296267573
11355,두산퓨얼셀(주),336260,2019/12,121737504.0,221171085.0,328990350.0,,,,,,,
11356,디씨엠(주),24090,2010/12,5394000.0,154111000.0,32458000.0,9243000.0,154097000.0,34283000.0,,,,
11357,디씨엠(주),24090,2011/12,10439000.0,174851000.0,28230000.0,11889000.0,174808000.0,29427000.0,5394000.0,9243000.0,4.527569187479625,6.044345796531051
11358,디씨엠(주),24090,2012/12,-692146.0,158251717.0,51530139.0,-2034740.0,158216325.0,52880498.0,10439000.0,11889000.0,3.0795413107587324,3.1141729527594575
11359,디씨엠(주),24090,2013/12,27002006.0,126619874.0,21437813.0,27812003.0,126711116.0,22979308.0,-692146.0,-2034740.0,10.389309027428032,10.171665996533406
11360,디씨엠(주),24090,2014/12,9463684.0,112216574.0,20088748.0,10843224.0,112238364.0,21228097.0,27002006.0,27812003.0,16.247907372399375,17.22014898577816
11361,디씨엠(주),24090,2015/12,17920080.0,103083470.0,22222382.0,18076088.0,106154561.0,24648895.0,9463684.0,10843224.0,13.28232547856606,13.621323345682718
11362,디씨엠(주),24090,2016/12,11687405.0,122788352.0,23845814.0,15913453.0,128540730.0,27494241.0,17920080.0,18076088.0,12.056308484374805,13.221311641843018
11363,디씨엠(주),24090,2017/12,8413541.0,127349090.0,21555247.0,10181920.0,133622332.0,25052977.0,11687405.0,15913453.0,7.892065031638625,9.764600201708799
11364,디씨엠(주),24090,2018/12,11671742.0,115168430.0,20371786.0,13328205.0,122082606.0,25031175.0,8413541.0,10181920.0,8.719960409289246,9.62877750168603
11365,디씨엠(주),24090,2019/12,23399324.0,145325762.0,32254206.0,,,,11671742.0,13328205.0,12.066362328793431,
11366,디아이동일(주),1530,2010/12,-16593024.0,244394629.0,211693166.0,2550154.0,704470635.0,359911066.0,,,,
11367,디아이동일(주),1530,2011/12,-1259747.0,295953324.0,221042223.0,7878494.0,816061503.0,390465420.0,-16593024.0,2550154.0,-3.016146390705853,0.6389621346958698
11368,디아이동일(주),1530,2012/12,13019911.0,261397755.0,200311536.0,23047406.0,752261690.0,358884335.0,-1259747.0,7878494.0,2.2494768556830183,2.0555280437051104
11369,디아이동일(주),1530,2013/12,959166.0,255904575.0,187446587.0,15730894.0,773111419.0,425676717.0,13019911.0,23047406.0,2.731306581760017,2.5079373455742475
11370,디아이동일(주),1530,2014/12,15352783.0,243419473.0,190250928.0,5060563.0,764599768.0,424061485.0,959166.0,15730894.0,3.350584240234552,1.3596300881953707
11371,디아이동일(주),1530,2015/12,7042607.0,243880195.0,212884104.0,25667394.0,774113876.0,432100126.0,15352783.0,5060563.0,4.591473694696694,1.984718137257625
11372,디아이동일(주),1530,2016/12,9349077.0,283992655.0,259411680.0,8574040.0,822414467.0,444489915.0,7042607.0,25667394.0,2.885934497143949,2.0817626254135435
11373,디아이동일(주),1530,2017/12,17833176.0,280898529.0,256454687.0,35503362.0,847124067.0,409959736.0,9349077.0,8574040.0,4.8384470179977335,2.6015907065475923
11374,디아이동일(주),1530,2018/12,8032689.0,303174332.0,269597543.0,29577224.0,909348930.0,435009297.0,17833176.0,35503362.0,4.265840189927425,3.5784165930673058
11375,디아이동일(주),1530,2019/12,20549435.0,303450329.0,265488258.0,57881899.0,939505843.0,431474519.0,8032689.0,29577224.0,4.709522657989934,4.6545278909989705
11376,디아이티(주),110990,2018/12,12216259.0,76842689.0,139000835.0,12087181.0,76871055.0,139167261.0,,,,
11377,디아이티(주),110990,2019/12,1951453.0,118480955.0,117082014.0,2503154.0,118760647.0,117282183.0,12216259.0,12087181.0,5.978898465158387,6.142748195031305
11378,디에스알(주),155660,2013/12,3258877.0,152406324.0,41324254.0,4170587.0,201149216.0,62314341.0,,,,
11379,디에스알(주),155660,2014/12,-5365892.0,168128999.0,45634533.0,-2757565.0,219767096.0,71228155.0,3258877.0,4170587.0,-0.6266066569515472,0.32148170170115004
11380,디에스알(주),155660,2015/12,21962742.0,162475873.0,40888222.0,28237164.0,214768291.0,55025710.0,-5365892.0,-2757565.0,5.107481404331337,5.931881024280256
11381,디에스알(주),155660,2016/12,9736556.0,158399205.0,48299091.0,10527608.0,201060063.0,62216590.0,21962742.0,28237164.0,10.006141760623104,9.64009744690073
11382,디에스알(주),155660,2017/12,11109494.0,179850498.0,56941636.0,6412606.0,226371577.0,87396532.0,9736556.0,10527608.0,5.79538289629868,3.7416830824127714
11383,디에스알(주),155660,2018/12,6852732.0,172308863.0,42766524.0,4576785.0,236022375.0,77555224.0,11109494.0,6412606.0,5.212217667526482,2.328040085182602
11384,디에스알(주),155660,2019/12,14707796.0,169812516.0,47729140.0,13763611.0,236324123.0,85074300.0,6852732.0,4576785.0,6.348333005088977,3.8803478390566166
11385,디에스알제강(주),69730,2010/12,351972.0,147438236.0,65655229.0,,,,,,,
11386,디에스알제강(주),69730,2011/12,-3890799.0,160020671.0,104096152.0,,,,351972.0,,-1.1057405827275901,
11387,디에스알제강(주),69730,2012/12,5634771.0,169058805.0,99996952.0,,,,-3890799.0,,0.5157885742774534,
11388,디에스알제강(주),69730,2013/12,13149573.0,179491552.0,102542802.0,,,,5634771.0,,5.232654069423836,
11389,디에스알제강(주),69730,2014/12,10371226.0,201833398.0,93318465.0,,,,13149573.0,,5.826785664085188,
11390,디에스알제강(주),69730,2015/12,33331813.0,182681960.0,66215490.0,,,,10371226.0,,11.96150922619836,
11391,디에스알제강(주),69730,2016/12,13947556.0,172535899.0,63775623.0,,,,33331813.0,,13.701313545188645,
11392,디에스알제강(주),69730,2017/12,3808807.0,177545210.0,66034488.0,,,,13947556.0,,5.000518741113883,
11393,디에스알제강(주),69730,2018/12,10290732.0,185254014.0,69290286.0,,,,3808807.0,,3.8054611329501338,
11394,디에스알제강(주),69730,2019/12,14537643.0,191479168.0,59774432.0,,,,10290732.0,,6.483309714401934,
11395,디엑스앤브이엑스(주),180400,2015/12,-841172.0,5387371.0,614801.0,,,,,,,
11396,디엑스앤브이엑스(주),180400,2016/12,-1503151.0,5097702.0,644517.0,,,,-841172.0,,-22.993919613190414,
11397,디엑스앤브이엑스(주),180400,2017/12,-2126339.0,4670448.0,27182518.0,,,,-1503151.0,,-38.855908469594354,
11398,디엑스앤브이엑스(주),180400,2018/12,-8304743.0,5305295.0,36744347.0,-8384279.0,5305295.0,36842091.0,-2126339.0,,-98.30821848737912,
11399,디엑스앤브이엑스(주),180400,2019/12,-3110669.0,5753980.0,6345579.0,-4147050.0,5753136.0,6490545.0,-8304743.0,-8384279.0,-99.19579143479818,-108.908680413604
11400,디엘(주),210,2010/12,616367856.0,6343191964.0,4912425892.0,600903608.0,7437579437.0,5503042337.0,,,,
11401,디엘(주),210,2011/12,556783864.0,7187410074.0,5186676789.0,501202510.0,7988145801.0,6127245030.0,616367856.0,600903608.0,8.16115755133968,6.898385091206224
11402,디엘(주),210,2012/12,724393276.0,9041849749.0,5349094691.0,779771150.0,10253347411.0,6087925283.0,556783864.0,501202510.0,7.084707087405949,6.2466120021727995
11403,디엘(주),210,2013/12,63216111.0,8441746614.0,4976274084.0,34694667.0,9846917119.0,5912711841.0,724393276.0,779771150.0,4.664966996840495,4.135638632666346
11404,디엘(주),210,2014/12,225722518.0,7845394022.0,5582093037.0,31727120.0,9294733962.0,6131464267.0,63216111.0,34694667.0,1.8414539039706628,0.3573087044317493
11405,디엘(주),210,2015/12,742099306.0,8135324529.0,5663822262.0,384858216.0,9513673300.0,7259124557.0,225722518.0,31727120.0,5.948268077997408,2.1894032034923883
11406,디엘(주),210,2016/12,262871075.0,8654021477.0,5959006136.0,146996141.0,9853769999.0,7246135122.0,742099306.0,384858216.0,5.806377899979413,2.6987353929205504
11407,디엘(주),210,2017/12,301287215.0,11227998422.0,5990026951.0,437640063.0,12335536233.0,7708148417.0,262871075.0,146996141.0,2.512283440005635,2.3697235083951296
11408,디엘(주),210,2018/12,832776458.0,9251875303.0,4966102775.0,1104521755.0,10984485292.0,6783472630.0,301287215.0,437640063.0,6.128831376663011,7.019727265341948
11409,디엘(주),210,2019/12,750807047.0,7347747863.0,4625408470.0,952207650.0,9700078892.0,6708517368.0,832776458.0,1104521755.0,10.77597880688193,10.601611738932649
11410,디엘건설(주),1880,2010/12,91465351.0,460396022.0,614655709.0,,,,,,,
11411,디엘건설(주),1880,2011/12,106956191.0,516010580.0,521569671.0,,,,91465351.0,,19.226499386892414,
11412,디엘건설(주),1880,2012/12,51091574.0,506151680.0,557543876.0,,,,106956191.0,,15.612687979223935,
11413,디엘건설(주),1880,2013/12,53305011.0,646867718.0,565610439.0,,,,51091574.0,,8.069392094783744,
11414,디엘건설(주),1880,2014/12,38195679.0,860851185.0,511834697.0,,,,53305011.0,,5.3145474847664875,
11415,디엘건설(주),1880,2015/12,87684120.0,892871135.0,523667269.0,,,,38195679.0,,7.049158275230837,
11416,디엘건설(주),1880,2016/12,40058862.0,911291115.0,481081133.0,,,,87684120.0,,7.008900882348666,
11417,디엘건설(주),1880,2017/12,58340198.0,858626981.0,449220991.0,,,,40058862.0,,5.730023757546002,
11418,디엘건설(주),1880,2018/12,87109218.0,965572043.0,428472435.0,,,,58340198.0,,7.531774405361485,
11419,디엘건설(주),1880,2019/12,126306206.0,1279913145.0,393877294.0,,,,87109218.0,,8.337105718216527,
11420,디와이(주),13570,2010/12,-5489767.0,473882565.0,102509776.0,6927785.0,611680931.0,152908255.0,,,,
11421,디와이(주),13570,2011/12,33859878.0,595403578.0,181113655.0,52006285.0,727979501.0,253718650.0,-5489767.0,6927785.0,2.382426982996733,4.047783620214878
11422,디와이(주),13570,2012/12,59387524.0,620726201.0,183308026.0,71047493.0,732853443.0,259240669.0,33859878.0,52006285.0,7.511154020063671,8.395524314948194
11423,디와이(주),13570,2013/12,23847190.0,618703243.0,189213368.0,32409231.0,751416855.0,275765955.0,59387524.0,71047493.0,6.726545798952601,6.884109885983326
11424,디와이(주),13570,2014/12,37132313.0,323017560.0,17739687.0,41406046.0,603455814.0,205913736.0,23847190.0,32409231.0,9.43903839159704,6.1160465511730076
11425,디와이(주),13570,2015/12,574527.0,111645530.0,15333160.0,44870774.0,642406589.0,308164592.0,37132313.0,41406046.0,16.88685610610653,6.715125706781939
11426,디와이(주),13570,2016/12,6721782.0,93337817.0,15630365.0,62125084.0,723372209.0,318314107.0,574527.0,44870774.0,3.9085492003739493,7.395629571387087
11427,디와이(주),13570,2017/12,-4629763.0,113750311.0,16220370.0,25006913.0,822307324.0,307393194.0,6721782.0,62125084.0,0.9195662770539591,5.298019028710487
11428,디와이(주),13570,2018/12,1414970.0,107663562.0,13601736.0,53191107.0,891001641.0,296690379.0,-4629763.0,25006913.0,-1.4929809771666296,4.388208528563193
11429,디와이(주),13570,2019/12,11202539.0,95067214.0,12686497.0,79759173.0,854259224.0,280209604.0,1414970.0,53191107.0,6.636099065656851,7.781612200654448
11430,디와이씨(주),310870,2018/12,,,,,,,,,,
11431,디와이씨(주),310870,2019/12,,,,,,,,,,
11432,디와이파워(주),210540,2015/12,33900362.0,241871955.0,76009569.0,29484849.0,248499187.0,129800755.0,,,,
11433,디와이파워(주),210540,2016/12,30295108.0,199708114.0,62377295.0,32421812.0,229147680.0,127657783.0,33900362.0,29484849.0,16.072323931715662,13.508027006862996
11434,디와이파워(주),210540,2017/12,5007005.0,246924384.0,49298935.0,10756207.0,324494444.0,126978644.0,30295108.0,32421812.0,7.148365104355187,6.6531214629979925
11435,디와이파워(주),210540,2018/12,8977216.0,251334638.0,47044051.0,23485918.0,385733961.0,108357880.0,5007005.0,10756207.0,2.7819923889678906,4.438567570149728
11436,디와이파워(주),210540,2019/12,29273162.0,220098576.0,38838775.0,50012432.0,343476252.0,95587851.0,8977216.0,23485918.0,8.689374255651703,10.699189474094995
11437,디와이피엔에프(주),104460,2010/12,-2550551.0,42077237.0,16466609.0,-2605284.0,43998034.0,17906054.0,,,,
11438,디와이피엔에프(주),104460,2011/12,5278982.0,51300120.0,21430189.0,5641346.0,53682905.0,23038450.0,-2550551.0,-2605284.0,2.659283253138589,2.8277735714935694
11439,디와이피엔에프(주),104460,2012/12,2176618.0,53733777.0,21444798.0,1520708.0,55754499.0,21911829.0,5278982.0,5641346.0,6.937535770098573,6.422848495150141
11440,디와이피엔에프(주),104460,2013/12,4061981.0,70661637.0,38160069.0,4276138.0,71253492.0,38948192.0,2176618.0,1520708.0,4.414417260103951,4.067762742070241
11441,디와이피엔에프(주),104460,2014/12,-2638670.0,75121379.0,26692422.0,-3372364.0,76657156.0,27419095.0,4061981.0,4276138.0,0.9473408362218697,0.5894909537212677
11442,디와이피엔에프(주),104460,2015/12,9336530.0,76926644.0,33864947.0,6917473.0,80220194.0,36959526.0,-2638670.0,-3372364.0,4.353407123804855,2.209611335519832
11443,디와이피엔에프(주),104460,2016/12,2568.0,87094564.0,39174814.0,1373020.0,92322691.0,44478479.0,9336530.0,6917473.0,5.361470091290657,4.4899541543909285
11444,디와이피엔에프(주),104460,2017/12,6111738.0,89973463.0,39332128.0,2703543.0,95411938.0,41051454.0,2568.0,1373020.0,3.3978385382365466,2.136296089070112
11445,디와이피엔에프(주),104460,2018/12,8115367.0,107754170.0,83894496.0,8600788.0,112079200.0,85484038.0,6111738.0,2703543.0,6.601649383963516,5.043010210636764
11446,디와이피엔에프(주),104460,2019/12,20512976.0,164600456.0,88632139.0,22805308.0,165590077.0,90991255.0,8115367.0,8600788.0,8.69631339295925,9.483085148876402
11447,디젠스(주),113810,2012/12,-816179.0,100981311.0,45272471.0,-196414.0,104960483.0,45265762.0,,,,
11448,디젠스(주),113810,2013/12,6822847.0,82914845.0,49869616.0,4962604.0,79935096.0,49700161.0,-816179.0,-196414.0,3.62219093577272,2.9812874685232127
11449,디젠스(주),113810,2014/12,-239855.0,61334797.0,59779377.0,-4735655.0,66294207.0,66740452.0,6822847.0,4962604.0,5.36644149975747,0.17116804791103393
11450,디젠스(주),113810,2015/12,2771362.0,66804931.0,60266426.0,4135794.0,103246096.0,67998253.0,-239855.0,-4735655.0,1.894700707048107,-0.2905005725349654
11451,디젠스(주),113810,2016/12,6214454.0,64607990.0,56983869.0,10975155.0,119949321.0,68436792.0,2771362.0,4135794.0,6.954105831182799,6.29888892826663
11452,디젠스(주),113810,2017/12,3300010.0,54509376.0,52711873.0,7383331.0,107691238.0,67235966.0,6214454.0,10975155.0,8.727364628059583,8.523667450085401
11453,디젠스(주),113810,2018/12,-3781308.0,37236056.0,42291586.0,-3602592.0,95045421.0,55764495.0,3300010.0,7383331.0,-0.6462795093014148,1.9889117014905957
11454,디젠스(주),113810,2019/12,2726582.0,39689484.0,41545229.0,5139764.0,79328540.0,59570780.0,-3781308.0,-3602592.0,-1.3287222378602856,0.9688644213041107
11455,디케이락(주),105740,2010/12,2859477.0,37045700.0,19179986.0,,,,,,,
11456,디케이락(주),105740,2011/12,6665377.0,50442374.0,22444961.0,,,,2859477.0,,9.441322091620826,
11457,디케이락(주),105740,2012/12,2983708.0,46935646.0,18607188.0,,,,6665377.0,,10.27905847934851,
11458,디케이락(주),105740,2013/12,6831727.0,54579058.0,20542839.0,,,,2983708.0,,8.99194247727764,
11459,디케이락(주),105740,2014/12,6061306.0,59100586.0,24521164.0,,,,6831727.0,,10.90770318250313,
11460,디케이락(주),105740,2015/12,-2377589.0,54328977.0,21002179.0,,,,6061306.0,,3.390195438430582,
11461,디케이락(주),105740,2016/12,8657599.0,52002047.0,20216928.0,,,,-2377589.0,,6.038233456463743,
11462,디케이락(주),105740,2017/12,3106277.0,53555421.0,22397191.0,,,,8657599.0,,10.9828993781974,
11463,디케이락(주),105740,2018/12,5858275.0,66504620.0,24544762.0,,,,3106277.0,,6.739796423165789,
11464,디케이락(주),105740,2019/12,2937571.0,74368076.0,30829406.0,,,,5858275.0,,5.913724324399626,
11465,라온시큐어(주),42510,2010/12,-7959070.0,6561597.0,14133069.0,-12132358.0,6792528.0,14181747.0,,,,
11466,라온시큐어(주),42510,2011/12,-2815444.0,8837632.0,16486840.0,-3078878.0,9148873.0,16721094.0,-7959070.0,-12132358.0,-60.95815032805167,-83.13174748408902
11467,라온시큐어(주),42510,2012/12,-1429229.0,13891915.0,18544542.0,-1537048.0,13900552.0,18507012.0,-2815444.0,-3078878.0,-15.27749413957687,-16.603391002026395
11468,라온시큐어(주),42510,2013/12,1596478.0,16427863.0,5217477.0,1606087.0,16469649.0,5198102.0,-1429229.0,-1537048.0,0.5090406463701335,0.20959463070524456
11469,라온시큐어(주),42510,2014/12,-824768.0,11093613.0,4970471.0,-915132.0,11217066.0,4876653.0,1596478.0,1606087.0,3.478172530446123,3.079927496191963
11470,라온시큐어(주),42510,2015/12,2281785.0,12292742.0,5562716.0,2340764.0,12450442.0,5456338.0,-824768.0,-915132.0,5.926330350055341,5.725226461839668
11471,라온시큐어(주),42510,2016/12,3384542.0,16697461.0,4202156.0,3352771.0,16702451.0,4202111.0,2281785.0,2340764.0,16.96763058766839,17.044010486844115
11472,라온시큐어(주),42510,2017/12,2804811.0,21073046.0,4547468.0,2756183.0,21241383.0,4366220.0,3384542.0,3352771.0,14.68547309202476,14.379840521683546
11473,라온시큐어(주),42510,2018/12,3302982.0,24537193.0,7335806.0,3328676.0,24610372.0,7130221.0,2804811.0,2756183.0,12.445989645188837,12.362387289391643
11474,라온시큐어(주),42510,2019/12,3988065.0,28319235.0,27998546.0,3635123.0,30443294.0,28262156.0,3302982.0,3328676.0,12.872958962344851,11.437328365320782
11475,라온피플(주),300120,2019/12,4686445.0,30770552.0,2906560.0,,,,,,,
11476,램테크놀러지(주),171010,2013/12,3632464.0,42982186.0,25594210.0,2815424.0,42973773.0,26561484.0,,,,
11477,램테크놀러지(주),171010,2014/12,2793482.0,24195874.0,35799130.0,2054248.0,23844840.0,36012812.0,3632464.0,2815424.0,13.279011950549915,10.211165182907497
11478,램테크놀러지(주),171010,2015/12,1435970.0,26564192.0,36405464.0,1415028.0,26438087.0,36521428.0,2793482.0,2054248.0,7.960814317258361,6.561132808133962
11479,램테크놀러지(주),171010,2016/12,3368983.0,23984932.0,32335544.0,3334695.0,24862603.0,32387922.0,1435970.0,1415028.0,10.016607510081746,9.551942328806039
11480,램테크놀러지(주),171010,2017/12,1867336.0,23653471.0,30280692.0,1928926.0,24427156.0,30718235.0,3368983.0,3334695.0,11.068817341860736,10.774117543605977
11481,램테크놀러지(주),171010,2018/12,1869568.0,30891264.0,29175725.0,2392792.0,32617077.0,29216894.0,1867336.0,1928926.0,6.0484802434759555,6.624931473779824
11482,램테크놀러지(주),171010,2019/12,3661909.0,41182157.0,31395203.0,4268180.0,43411471.0,31428918.0,1869568.0,2392792.0,6.715866048492798,7.671903124406911
11483,로스웰인터내셔널유한회사,900260,2015/12,,,,-2872252.0,95460854.0,40411023.0,,,,
11484,로스웰인터내셔널유한회사,900260,2016/12,,,,-18232909.0,161246970.0,41753791.0,,-2872252.0,,-6.544358942062602
11485,로스웰인터내셔널유한회사,900260,2017/12,,,,-33449746.0,193307850.0,80897803.0,,-18232909.0,,-13.36796591550731
11486,로스웰인터내셔널유한회사,900260,2018/12,,,,47481715.0,135563396.0,66557194.0,,-33449746.0,,5.175426927192057
11487,로스웰인터내셔널유한회사,900260,2019/12,,,,69843501.0,97722450.0,74437486.0,,47481715.0,,60.02981709934616
11488,로체시스템즈(주),71280,2010/12,-2249983.0,65176022.0,13622930.0,,,,,,,
11489,로체시스템즈(주),71280,2011/12,6698124.0,57289285.0,15808215.0,,,,-2249983.0,,3.8821753491948803,
11490,로체시스템즈(주),71280,2012/12,-684721.0,41001029.0,11530703.0,,,,6698124.0,,7.33323424638928,
11491,로체시스템즈(주),71280,2013/12,-871691.0,66097694.0,18530970.0,,,,-684721.0,,-1.177357261510515,
11492,로체시스템즈(주),71280,2014/12,2565462.0,35169379.0,9476689.0,,,,-871691.0,,2.4080194876343994,
11493,로체시스템즈(주),71280,2015/12,1117122.0,74901959.0,13025505.0,,,,2565462.0,,2.4582694826446394,
11494,로체시스템즈(주),71280,2016/12,-388227.0,98858096.0,40259346.0,,,,1117122.0,,0.3686572114437648,
11495,로체시스템즈(주),71280,2017/12,5873206.0,337000209.0,17824746.0,5812828.0,337000209.0,17827836.0,-388227.0,,0.813794599160026,
11496,로체시스템즈(주),71280,2018/12,-1161443.0,73998396.0,29922639.0,-1188208.0,73998396.0,29947810.0,5873206.0,5812828.0,3.18369265733814,3.124810975632499
11497,로체시스템즈(주),71280,2019/12,-2637524.0,79882256.0,54264384.0,-2749528.0,79780176.0,54663365.0,-1161443.0,-1188208.0,-2.3778541006653593,-2.467866202751922
11498,롯데관광개발(주),32350,2010/12,-939375.0,38777401.0,100834609.0,-1481695.0,42460587.0,102624713.0,,,,
