,회사명,거래소코드,회계년도,[제조]   금융비용(IFRS연결),[제조]매출액(수익)(*)(IFRS연결),[제조]   금융비용(IFRS),[제조]매출액(수익)(*)(IFRS),금융비용부담률(개별),금융비용부담률(연결)
102,(주)가비아,79940,2014/12,0.0,80432047.0,0.0,43906243.0,0.0,0.0
103,(주)가비아,79940,2015/12,0.0,91648622.0,0.0,48446932.0,0.0,0.0
104,(주)가비아,79940,2016/12,0.0,102178978.0,0.0,49430564.0,0.0,0.0
105,(주)가비아,79940,2017/12,0.0,116217941.0,0.0,52365659.0,0.0,0.0
106,(주)가비아,79940,2018/12,0.0,128728438.0,0.0,55197652.0,0.0,0.0
107,(주)가비아,79940,2019/12,0.0,148306878.0,0.0,58254105.0,0.0,0.0
108,(주)강스템바이오텍,217730,2015/12,,,0.0,1484593.0,0.0,
109,(주)강스템바이오텍,217730,2016/12,,,0.0,842805.0,0.0,
110,(주)강스템바이오텍,217730,2017/12,0.0,9132939.0,0.0,5394323.0,0.0,0.0
111,(주)강스템바이오텍,217730,2018/12,0.0,9165454.0,0.0,1001039.0,0.0,0.0
112,(주)강스템바이오텍,217730,2019/12,0.0,6004584.0,0.0,282069.0,0.0,0.0
113,(주)강원랜드,35250,2011/12,0.0,1265686425.0,0.0,1263651213.0,0.0,0.0
114,(주)강원랜드,35250,2012/12,0.0,1296191223.0,0.0,1292896121.0,0.0,0.0
115,(주)강원랜드,35250,2013/12,0.0,1361286598.0,0.0,1356906162.0,0.0,0.0
116,(주)강원랜드,35250,2014/12,0.0,1496541441.0,0.0,1492291312.0,0.0,0.0
117,(주)강원랜드,35250,2015/12,0.0,1633716839.0,0.0,1630976696.0,0.0,0.0
118,(주)강원랜드,35250,2016/12,0.0,1696532511.0,0.0,1694575212.0,0.0,0.0
119,(주)강원랜드,35250,2017/12,0.0,1604470055.0,0.0,1602901764.0,0.0,0.0
120,(주)강원랜드,35250,2018/12,0.0,1438059299.0,0.0,1436042435.0,0.0,0.0
121,(주)강원랜드,35250,2019/12,0.0,1520080449.0,0.0,1517612252.0,0.0,0.0
122,(주)강원에너지,114190,2011/11,,,0.0,50222892.0,0.0,
123,(주)강원에너지,114190,2012/12,,,0.0,106471214.0,0.0,
124,(주)강원에너지,114190,2013/12,,,0.0,50660659.0,0.0,
125,(주)강원에너지,114190,2014/12,,,0.0,51481321.0,0.0,
126,(주)강원에너지,114190,2015/12,0.0,46188664.0,0.0,48852892.0,0.0,0.0
127,(주)강원에너지,114190,2016/12,0.0,42287473.0,0.0,44448760.0,0.0,0.0
128,(주)강원에너지,114190,2017/12,0.0,82034829.0,0.0,83113029.0,0.0,0.0
129,(주)강원에너지,114190,2018/12,0.0,85905365.0,0.0,85905365.0,0.0,0.0
130,(주)강원에너지,114190,2019/12,0.0,42549622.0,0.0,42549622.0,0.0,0.0
131,(주)갤럭시아에스엠,11420,2011/12,0.0,47331427.0,0.0,31931418.0,0.0,0.0
132,(주)갤럭시아에스엠,11420,2012/12,0.0,55049732.0,0.0,37398255.0,0.0,0.0
133,(주)갤럭시아에스엠,11420,2013/12,0.0,46437304.0,0.0,30903637.0,0.0,0.0
134,(주)갤럭시아에스엠,11420,2014/12,0.0,43885894.0,0.0,33027933.0,0.0,0.0
135,(주)갤럭시아에스엠,11420,2015/12,0.0,62472754.0,0.0,53784932.0,0.0,0.0
136,(주)갤럭시아에스엠,11420,2016/12,0.0,52626331.0,0.0,45665676.0,0.0,0.0
137,(주)갤럭시아에스엠,11420,2017/12,0.0,37281280.0,0.0,36917656.0,0.0,0.0
138,(주)갤럭시아에스엠,11420,2018/12,0.0,22060413.0,0.0,22030258.0,0.0,0.0
139,(주)갤럭시아에스엠,11420,2019/12,0.0,28732679.0,0.0,28732679.0,0.0,0.0
140,(주)경농,2100,2011/12,0.0,121253605.0,0.0,120728258.0,0.0,0.0
141,(주)경농,2100,2012/12,0.0,136970449.0,0.0,131021366.0,0.0,0.0
142,(주)경농,2100,2013/12,0.0,196358952.0,0.0,139237273.0,0.0,0.0
143,(주)경농,2100,2014/12,0.0,188483147.0,0.0,134806677.0,0.0,0.0
144,(주)경농,2100,2015/12,0.0,196418710.0,0.0,137609256.0,0.0,0.0
145,(주)경농,2100,2016/12,0.0,203984939.0,0.0,143209666.0,0.0,0.0
146,(주)경농,2100,2017/12,0.0,206534382.0,0.0,143175105.0,0.0,0.0
