,회사명,거래소코드,회계년도,매출액(IFRS연결),매출채권(IFRS연결),매출액(IFRS개별),매출채권(IFRS개별),매출채권회전율(개별),매출채권회전율(연결)
139,(주)갤럭시아에스엠,11420,Dec-19,28732679.0,5897430.0,28732679.0,5897430.0,4.8720678329373985,4.8720678329373985
140,(주)경농,2100,Dec-11,121253605.0,9818596.0,120728258.0,9714905.0,12.427116683076159,12.349383251943557
141,(주)경농,2100,Dec-12,136970449.0,18805441.0,131021366.0,11173839.0,11.725725240895274,7.283554211783707
142,(주)경농,2100,Dec-13,196358952.0,22766814.0,139237273.0,13260133.0,10.500443170517219,8.62478834324381
143,(주)경농,2100,Dec-14,188483147.0,26488328.0,134806677.0,15336315.0,8.79003052558584,7.11570571762778
144,(주)경농,2100,Dec-15,196418710.0,29950451.0,137609256.0,19475979.0,7.06558864126933,6.558121946143649
145,(주)경농,2100,Dec-16,203984939.0,33292892.0,143209666.0,20474340.0,6.994592548526595,6.126981669240389
146,(주)경농,2100,Dec-17,206534382.0,34293741.0,143175105.0,21342674.0,6.708395817693697,6.022509530237603
147,(주)경농,2100,Dec-18,212654617.0,34470614.0,146216658.0,24098405.0,6.0674828064346995,6.169156632951186
148,(주)경농,2100,Dec-19,227510941.0,34654361.0,151342037.0,22948270.0,6.594921403661365,6.565146043235367
149,(주)경동나비엔,9450,Dec-11,341246917.0,36210869.0,318269213.0,45321567.0,7.022467096073708,9.423880907138683
150,(주)경동나비엔,9450,Dec-12,379014259.0,37720771.0,341339118.0,52865768.0,6.456713501258508,10.04789268490827
151,(주)경동나비엔,9450,Dec-13,414177562.0,38993744.0,371601179.0,56666418.0,6.557696641421733,10.621641307385103
152,(주)경동나비엔,9450,Dec-14,428985365.0,41167793.0,382392117.0,77167697.0,4.955339239941293,10.420412019658183
153,(주)경동나비엔,9450,Dec-15,512031120.0,40720959.0,448302084.0,80824192.0,5.54663242411381,12.574141979318316
154,(주)경동나비엔,9450,Dec-16,583252904.0,51051560.0,506082201.0,85914718.0,5.890518094932233,11.424781221181096
155,(주)경동나비엔,9450,Dec-17,684660958.0,78968890.0,569819524.0,99173501.0,5.74568325464279,8.670008632513387
156,(주)경동나비엔,9450,Dec-18,726741615.0,94866914.0,618058456.0,120493677.0,5.129384971793997,7.6606435727423365
157,(주)경동나비엔,9450,Dec-19,774290704.0,96284740.0,655419303.0,143343920.0,4.572355095353887,8.041676219928517
158,(주)경동도시가스,267290,Dec-17,871548284.0,263647773.0,870828897.0,263643633.0,3.30305301550749,3.305729739655339
159,(주)경동도시가스,267290,Dec-18,1606531867.0,249114243.0,1605687067.0,249117109.0,6.445511002618451,6.448976371856827
160,(주)경동도시가스,267290,Dec-19,1422707835.0,201864420.0,1421866212.0,201833997.0,7.044730982560881,7.047838519537024
161,(주)경동인베스트,12320,Dec-11,1847666903.0,352420975.0,1806174764.0,337190982.0,5.356533419983338,5.242783585738619
162,(주)경동인베스트,12320,Dec-12,2502642394.0,429513466.0,2403814656.0,413063519.0,5.819479439432171,5.826691342897268
163,(주)경동인베스트,12320,Dec-13,2788264380.0,377298441.0,2664100017.0,370673340.0,7.1871907944606965,7.39007659986594
164,(주)경동인베스트,12320,Dec-14,2603059058.0,346363738.0,2399450987.0,306852953.0,7.819546670616528,7.51539140047045
165,(주)경동인베스트,12320,Dec-15,1604168482.0,258223845.0,1352478311.0,210450343.0,6.426591146016807,6.2123173868780395
166,(주)경동인베스트,12320,Dec-16,1181902637.0,259424655.0,1021002691.0,205523295.0,4.967819784127148,4.555860879915211
167,(주)경동인베스트,12320,Dec-17,195069859.0,66718773.0,612436.0,65907.0,9.292427208035566,2.9237626867028865
168,(주)경동인베스트,12320,Dec-18,228644016.0,56884735.0,7460898.0,842694.0,8.85362658331494,4.019426582544509
169,(주)경동인베스트,12320,Dec-19,271765025.0,63713573.0,8641051.0,844080.0,10.237241730641646,4.265418060920865
170,(주)경방,50,Dec-11,348136369.0,31118341.0,275746943.0,32135932.0,8.58064247210879,11.187497720395827
171,(주)경방,50,Dec-12,333620804.0,31458436.0,265409209.0,31453366.0,8.438181433427507,10.605130019814082
172,(주)경방,50,Dec-13,347189559.0,34166562.0,264782077.0,31058761.0,8.525197672888497,10.161676758697583
173,(주)경방,50,Dec-14,329036023.0,35219398.0,256979444.0,32233594.0,7.972410523009008,9.34246584793982
174,(주)경방,50,Dec-15,357628146.0,37901704.0,307744480.0,31721636.0,9.701406320909804,9.435674607136397
175,(주)경방,50,Dec-16,377445013.0,38823607.0,313876822.0,31731834.0,9.891543678187652,9.722049087298869
176,(주)경방,50,Dec-17,360788750.0,34640336.0,288103985.0,27595270.0,10.440339413240023,10.415278593140666
177,(주)경방,50,Dec-18,351438926.0,42175729.0,279085217.0,29371128.0,9.502025832988096,8.332729139074276
178,(주)경방,50,Dec-19,343892085.0,37797870.0,253552382.0,24474870.0,10.359702911598713,9.098186881959222
179,(주)경보제약,214390,Dec-15,,,178032632.0,46116955.0,3.860459390694811,
180,(주)경보제약,214390,Dec-16,,,186726170.0,50452400.0,3.7010364224496755,
181,(주)경보제약,214390,Dec-17,,,191661374.0,55984549.0,3.423469107521077,
182,(주)경보제약,214390,Dec-18,,,201343596.0,67195051.0,2.996405137039036,
183,(주)경보제약,214390,Dec-19,,,191706189.0,52833419.0,3.6285024257090006,
184,(주)경인양행,12610,Dec-11,233095049.0,58900677.0,128707611.0,47702972.0,2.698104658971772,3.9574256336646183
185,(주)경인양행,12610,Dec-12,218604655.0,56308561.0,141304459.0,0.0,0.0,3.8822632139365094
186,(주)경인양행,12610,Dec-13,260808400.0,69253772.0,183106757.0,0.0,0.0,3.765981151178307
187,(주)경인양행,12610,Dec-14,277181095.0,64789479.0,190395047.0,40378430.0,4.715266220108112,4.2781806441135295
188,(주)경인양행,12610,Dec-15,263163677.0,60317420.0,175006703.0,40536511.0,4.317261122941735,4.362979666570619
189,(주)경인양행,12610,Dec-16,274873817.0,64396864.0,179267850.0,44658202.0,4.014220053015121,4.268434826267316
190,(주)경인양행,12610,Dec-17,299987729.0,68522442.0,193975818.0,45961158.0,4.220429302499297,4.377948599671915
191,(주)경인양행,12610,Dec-18,331102011.0,82567584.0,222659442.0,61097103.0,3.644353513782806,4.010072657569828
192,(주)경인양행,12610,Dec-19,358802386.0,80961683.0,245244968.0,55723288.0,4.401121627998692,4.431755525635503
193,(주)고려시멘트,198440,Dec-14,,,,,,
194,(주)고려시멘트,198440,Dec-15,,,,,,
195,(주)고려시멘트,198440,Dec-16,,,,,,
196,(주)고려시멘트,198440,Dec-17,,,87660276.0,30481250.0,2.8758753660036906,
197,(주)고려시멘트,198440,Dec-18,,,85775723.0,32476313.0,2.6411779871686787,
198,(주)고려시멘트,198440,Dec-19,,,70921781.0,25700956.0,2.759499724446048,
199,(주)고영테크놀러지,98460,Dec-11,86130810.0,23215229.0,80200892.0,25227493.0,3.1791066991872716,3.7100995213099126
200,(주)고영테크놀러지,98460,Dec-12,107841666.0,29150759.0,100791139.0,31988780.0,3.150827852765876,3.699446247694614
201,(주)고영테크놀러지,98460,Dec-13,111902729.0,32324265.0,103933681.0,38176088.0,2.722481177222768,3.4618800767782347
202,(주)고영테크놀러지,98460,Dec-14,142840131.0,38484841.0,135531589.0,47690802.0,2.8418811031946998,3.7115946769794372
203,(주)고영테크놀러지,98460,Dec-15,145904431.0,47462104.0,138554625.0,64256973.0,2.156258200958206,3.0741248007041575
204,(주)고영테크놀러지,98460,Dec-16,171793841.0,57993580.0,153254768.0,84100616.0,1.822278780930689,2.96229067079494
205,(주)고영테크놀러지,98460,Dec-17,203368626.0,72204125.0,188934907.0,103464560.0,1.8260833178046667,2.816579052789574
206,(주)고영테크놀러지,98460,Dec-18,238208865.0,87348349.0,219818022.0,107503723.0,2.044747994448527,2.7271135370858586
207,(주)고영테크놀러지,98460,Dec-19,222057035.0,85250616.0,209480760.0,111177420.0,1.8842023857002619,2.6047557826444327
208,(주)골드앤에스,35290,Dec-11,47522791.0,8521200.0,47522791.0,8521199.0,5.577007531451853,5.577006876965686
209,(주)골드앤에스,35290,Dec-12,43889087.0,7648183.0,43889087.0,7648184.0,5.738497792417128,5.738498542725769
210,(주)골드앤에스,35290,Dec-13,39548810.0,7534315.0,36607591.0,7535782.0,4.857835722954831,5.249158019010355
211,(주)골드앤에스,35290,Dec-14,31287203.0,7494549.0,29428881.0,7503242.0,3.9221553829664564,4.174661210434411
212,(주)골드앤에스,35290,Dec-15,22197935.0,7300896.0,22197935.0,7300896.0,3.040439830946777,3.040439830946777
213,(주)골드앤에스,35290,Dec-16,15893494.0,6613954.0,15893494.0,6613954.0,2.4030245750121635,2.4030245750121635
214,(주)골드앤에스,35290,Dec-17,12802035.0,6452974.0,12802035.0,6452974.0,1.9838968822747465,1.9838968822747465
215,(주)골드앤에스,35290,Dec-18,8680452.0,4799709.0,8680452.0,4799709.0,1.808537142564268,1.808537142564268
216,(주)골드앤에스,35290,Dec-19,7642733.0,4418864.0,7642733.0,4418864.0,1.729569635996944,1.729569635996944
217,(주)골드퍼시픽,38530,Dec-11,,,11236925.0,1502923.0,7.476713710549376,
218,(주)골드퍼시픽,38530,Dec-12,,,10491048.0,4387103.0,2.3913384299388456,
219,(주)골드퍼시픽,38530,Dec-13,7167832.0,6082377.0,6488691.0,5689818.0,1.1404039637120202,1.1784590136389113
220,(주)골드퍼시픽,38530,Dec-14,16486257.0,8912889.0,4855121.0,7249571.0,0.6697114905144043,1.849709673260825
221,(주)골드퍼시픽,38530,Dec-15,18635305.0,8175535.0,6121489.0,8175535.0,0.7487569926616423,2.279398840565174
222,(주)골드퍼시픽,38530,Dec-16,,,9588100.0,8468843.0,1.132161736851185,
223,(주)골드퍼시픽,38530,Dec-17,,,5031439.0,10040030.0,0.5011378452056419,
224,(주)골드퍼시픽,38530,Dec-18,5708281.0,9015191.0,5580994.0,9097306.0,0.6134776603095465,0.6331846990263434
225,(주)골드퍼시픽,38530,Dec-19,,,11323125.0,11971868.0,0.9458110463630237,
226,(주)골프존,215000,Dec-15,201560389.0,16619616.0,184085342.0,16912747.0,10.884414104935171,12.12786077608532
227,(주)골프존,215000,Dec-16,216964342.0,13774715.0,196864993.0,12711470.0,15.487193298650746,15.750913321981617
228,(주)골프존,215000,Dec-17,200105321.0,18258663.0,171859065.0,16542689.0,10.388822820763904,10.959472826679587
229,(주)골프존,215000,Dec-18,198705194.0,20008011.0,191571105.0,19652517.0,9.747917022537113,9.93128172510501
230,(주)골프존,215000,Dec-19,247018099.0,17763826.0,239051647.0,19050011.0,12.548635641207767,13.905681073435419
231,(주)골프존뉴딘홀딩스,121440,Dec-11,215793737.0,9241114.0,209788389.0,9693683.0,21.64176288826445,23.351485221370496
232,(주)골프존뉴딘홀딩스,121440,Dec-12,289629366.0,12363953.0,276341690.0,11012643.0,25.093130686248525,23.42530467399868
233,(주)골프존뉴딘홀딩스,121440,Dec-13,365126358.0,17739672.0,340005073.0,13661065.0,24.888621275134845,20.58247514384708
