,회사명,거래소코드,회계년도,당기매출액(IFRS연결),전기매출액(IFRS연결),당기매출액(IFRS개별),전기매출액(IFRS개별),매출액증가율(개별),매출액증가율(연결)
224,(주)골드퍼시픽,38530,Dec-18,5708281.0,,5580994.0,5708281.0,-2.22986569862276,
225,(주)골드퍼시픽,38530,Dec-19,,,11323125.0,11323125.0,0.0,
226,(주)골프존,215000,Dec-15,201560389.0,201560389.0,184085342.0,184085342.0,0.0,-8.669881560905296
227,(주)골프존,215000,Dec-16,216964342.0,216964342.0,196864993.0,196864993.0,0.0,-9.26389507820599
228,(주)골프존,215000,Dec-17,200105321.0,200105321.0,171859065.0,171859065.0,0.0,-14.115694604642727
229,(주)골프존,215000,Dec-18,198705194.0,198705194.0,191571105.0,191571105.0,0.0,-3.5902881330822254
230,(주)골프존,215000,Dec-19,247018099.0,247018099.0,239051647.0,239051647.0,0.0,-3.2250478941626
231,(주)골프존뉴딘홀딩스,121440,Dec-11,215793737.0,215793737.0,209788389.0,209788389.0,0.0,-2.782911164840712
232,(주)골프존뉴딘홀딩스,121440,Dec-12,289629366.0,289629366.0,276341690.0,276341690.0,0.0,-4.58782069771199
233,(주)골프존뉴딘홀딩스,121440,Dec-13,365126358.0,365126358.0,340005073.0,340005073.0,0.0,-6.88016201777468
234,(주)골프존뉴딘홀딩스,121440,Dec-14,429589619.0,121686358.0,387066126.0,96042978.0,303.01345716289643,218.08506094002746
235,(주)골프존뉴딘홀딩스,121440,Dec-15,164536448.0,164536448.0,29389093.0,29977313.0,-1.9622172274079333,-82.13824756931668
236,(주)골프존뉴딘홀딩스,121440,Dec-16,243275475.0,216450236.0,27652102.0,27652102.0,0.0,-87.22473002986239
237,(주)골프존뉴딘홀딩스,121440,Dec-17,213756902.0,213756902.0,23499543.0,36757306.0,-36.06837508711873,-89.0064167378324
238,(주)골프존뉴딘홀딩스,121440,Dec-18,223036801.0,223036801.0,16100354.0,40526650.0,-60.27218139175086,-92.78130159336351
239,(주)골프존뉴딘홀딩스,121440,Dec-19,228935651.0,228935651.0,26897482.0,26897482.0,0.0,-88.25107322406504
240,(주)광림,14200,Dec-11,,,106495363.0,106495363.0,0.0,
241,(주)광림,14200,Dec-12,,,85322569.0,85322569.0,0.0,
242,(주)광림,14200,Dec-13,,103442134.0,103442134.0,103442134.0,0.0,0.0
