,회사명,거래소코드,회계년도,부가가치(IFRS연결),매출액(IFRS연결),부가가치(IFRS개별),매출액(IFRS개별),부가가치율(개별),부가가치율(연결)
203,(주)고영테크놀러지,98460,Dec-15,46544.16,145904431.0,43429.68,138554625.0,3.1344807147361555,3.1900443105802587
204,(주)고영테크놀러지,98460,Dec-16,62157.4,171793841.0,52985.52,153254768.0,3.4573488767409835,3.618139022806993
205,(주)고영테크놀러지,98460,Dec-17,65695.26,203368626.0,58409.3,188934907.0,3.0915038902789944,3.2303537321435214
206,(주)고영테크놀러지,98460,Dec-18,86343.44,238208865.0,75984.96,219818022.0,3.4567211236210658,3.624694656095188
207,(주)고영테크놀러지,98460,Dec-19,80742.92,222057035.0,73465.3,209480760.0,3.507018973962096,3.63613429315581
208,(주)골드앤에스,35290,Dec-11,15570.49,47522791.0,14658.86,47522791.0,3.0845957679547906,3.2764258311343712
209,(주)골드앤에스,35290,Dec-12,7635.89,43889087.0,7893.95,43889087.0,1.7986134001830567,1.7398151845810783
210,(주)골드앤에스,35290,Dec-13,1375.8,39548810.0,-1958.86,36607591.0,-0.535096668884877,0.3478739309728915
211,(주)골드앤에스,35290,Dec-14,4010.26,31287203.0,1806.61,29428881.0,0.6138901441750367,1.2817572730934115
212,(주)골드앤에스,35290,Dec-15,1377.12,22197935.0,-3739.74,22197935.0,-1.684724277280747,0.6203820310312649
213,(주)골드앤에스,35290,Dec-16,4764.12,15893494.0,4792.12,15893494.0,3.0151456942066988,2.9975284226363317
214,(주)골드앤에스,35290,Dec-17,-4291.99,12802035.0,-4235.05,12802035.0,-3.308106875196014,-3.3525841789996664
215,(주)골드앤에스,35290,Dec-18,-311.92,8680452.0,11.61,8680452.0,0.013374879556963162,-0.3593361267362575
216,(주)골드앤에스,35290,Dec-19,-15967.57,7642733.0,-16227.48,7642733.0,-21.23256170273121,-20.892487020022813
217,(주)골드퍼시픽,38530,Dec-11,,,4434.65,11236925.0,3.9464978185758106,
218,(주)골드퍼시픽,38530,Dec-12,,,4958.14,10491048.0,4.7260674052773375,
219,(주)골드퍼시픽,38530,Dec-13,-4290.42,7167832.0,-3602.2,6488691.0,-5.551504918326362,-5.985659262103241
