,회사명,거래소코드,회계년도,매출액(IFRS연결),유형자산(IFRS연결),매출액(IFRS개별),유형자산(IFRS개별),유형자산회전율(개별),유형자산회전율(연결)
79,(주)SNT홀딩스,36530,Dec-18,1401307482.0,869282994.0,7292112.0,2888.0,2524.9695290858726,1.6120267987205097
80,(주)SNT홀딩스,36530,Dec-19,1512114565.0,871104106.0,11015928.0,59663.0,184.63583795652247,1.735859760716132
81,(주)STX,11810,Dec-11,5967701000.0,818420000.0,4173397000.0,72801000.0,57.32609442177992,7.291734072969869
82,(주)STX,11810,Dec-12,6159850000.0,1044547000.0,4116767000.0,69598000.0,59.15065088077244,5.897149673494826
83,(주)STX,11810,Dec-13,2449401000.0,215510000.0,1895063000.0,62152000.0,30.490780666752478,11.365602524244814
84,(주)STX,11810,Dec-14,1634606000.0,108080000.0,1291351000.0,57120000.0,22.60768557422969,15.124037749814953
85,(주)STX,11810,Dec-15,1630827000.0,101700000.0,1362127000.0,53714000.0,25.35888222809696,16.03566371681416
86,(주)STX,11810,Dec-16,1720153000.0,73715000.0,1465561000.0,30798000.0,47.58623936619261,23.33518279861629
87,(주)STX,11810,Dec-17,1803878000.0,70760000.0,1595494000.0,29631000.0,53.845432148763116,25.492905596382137
88,(주)STX,11810,Dec-18,1502985000.0,74249000.0,1329890000.0,28464000.0,46.72182405845981,20.24249484841547
89,(주)STX,11810,Dec-19,1471164000.0,90288000.0,1237876000.0,43245000.0,28.624719620765408,16.294125465178098
90,(주)TCC스틸,2710,Dec-11,514424043.0,84444856.0,456928069.0,75283350.0,6.069443894300665,6.091833977430194
91,(주)TCC스틸,2710,Dec-12,501337475.0,143845835.0,440568155.0,71554979.0,6.157057987537108,3.48524150873051
92,(주)TCC스틸,2710,Dec-13,500832754.0,156557380.0,419483813.0,71255687.0,5.887022224626085,3.19903637886633
93,(주)TCC스틸,2710,Dec-14,518995240.0,151621286.0,401323585.0,68743151.0,5.8380155573607615,3.4229708353746586
