,회사명,거래소코드,회계년도,부가가치(IFRS연결),자산(IFRS연결),부가가치(IFRS개별),자산(IFRS개별),총자본투자효율(개별),총자본투자효율(연결)
109,(주)강스템바이오텍,217730,Dec-16,,,-5090.69,47441769.0,-1.0730396667965731,
110,(주)강스템바이오텍,217730,Dec-17,-646.49,47198979.0,-2123.85,44508729.0,-0.4771760613519204,-0.13697118321139956
111,(주)강스템바이오텍,217730,Dec-18,-3330.3,73194018.0,-5971.99,66184838.0,-0.9023199543073596,-0.4549961992795641
112,(주)강스템바이오텍,217730,Dec-19,-13446.01,113643697.0,-16534.36,98625925.0,-1.6764719823920538,-1.1831725256175007
113,(주)강원랜드,35250,Dec-11,778291.81,2711401782.0,783195.28,2730283806.0,2.8685489701798423,2.870440726146871
114,(주)강원랜드,35250,Dec-12,712817.68,2906655321.0,693820.93,2915385756.0,2.379859778665942,2.452363976045029
115,(주)강원랜드,35250,Dec-13,837925.02,3102036846.0,824512.27,3105430200.0,2.6550661805246825,2.7012091138778174
116,(주)강원랜드,35250,Dec-14,904075.49,3375127289.0,899930.11,3380461682.0,2.662151488927896,2.6786411669465187
117,(주)강원랜드,35250,Dec-15,1021274.04,3690791830.0,1001297.65,3688060027.0,2.714971130267886,2.767086541426532
118,(주)강원랜드,35250,Dec-16,1043222.0,3978987574.0,1037898.56,3975979890.0,2.6104220562342935,2.6218277403446852
119,(주)강원랜드,35250,Dec-17,1000137.64,4185657487.0,1011578.3,4182527382.0,2.4185814164742747,2.389439754939987
120,(주)강원랜드,35250,Dec-18,833429.97,4231241354.0,846353.62,4229630541.0,2.0010107544757303,1.9697055787472815
121,(주)강원랜드,35250,Dec-19,908009.0,4438119306.0,906619.21,4436461953.0,2.0435635864902006,2.0459319306095285
122,(주)강원에너지,114190,Nov-11,,,12844.61,52878151.0,2.4290959039017834,
123,(주)강원에너지,114190,Dec-12,,,18760.61,89258208.0,2.1018358334059317,
124,(주)강원에너지,114190,Dec-13,,,12256.79,72441333.0,1.6919608588649246,
125,(주)강원에너지,114190,Dec-14,,,8510.74,67037639.0,1.2695465005860365,
126,(주)강원에너지,114190,Dec-15,7820.6,85457457.0,9171.31,80939019.0,1.1331135604695184,0.9151454155721016
127,(주)강원에너지,114190,Dec-16,8145.29,77186606.0,8913.55,70850137.0,1.2580850761093092,1.0552724652772012
128,(주)강원에너지,114190,Dec-17,687.17,93179394.0,713.82,87781416.0,0.0813178953504236,0.07374699174368961
129,(주)강원에너지,114190,Dec-18,11600.03,93845576.0,11569.08,89619750.0,1.2909074171708803,1.2360763814801456
130,(주)강원에너지,114190,Dec-19,-24497.97,56602063.0,-22522.15,55106032.0,-4.087057112005452,-4.328105496790815
131,(주)갤럭시아에스엠,11420,Dec-11,16289.29,45110356.0,14937.6,40711969.0,3.6690929883543584,3.6109867986854285
132,(주)갤럭시아에스엠,11420,Dec-12,11304.39,43979072.0,9721.11,40169876.0,2.4200000019915424,2.570402122173019
133,(주)갤럭시아에스엠,11420,Dec-13,4540.45,37636664.0,3928.36,34158874.0,1.1500261981703497,1.2063901306449476
134,(주)갤럭시아에스엠,11420,Dec-14,5477.95,45274078.0,3400.02,40528250.0,0.8389259343791059,1.2099528564667843
