,회사명,거래소코드,회계년도,자산(IFRS연결),자산(IFRS개별),합계_기말인원,자본집약도(개별),자본집약도(연결)
97,(주)TCC스틸,2710,18-Dec,304781579.0,268135677.0,277.0,967998.833935018,1100294.5090252708
98,(주)TCC스틸,2710,19-Dec,314210087.0,270265082.0,275.0,982782.1163636363,1142582.1345454545
99,(주)가비아,79940,11-Dec,64954440.0,37295822.0,191.0,195266.08376963352,340075.60209424084
100,(주)가비아,79940,12-Dec,85244515.0,51795749.0,211.0,245477.48341232227,404002.44075829384
101,(주)가비아,79940,13-Dec,91231294.0,52151784.0,228.0,228735.8947368421,400137.2543859649
102,(주)가비아,79940,14-Dec,98544072.0,55984243.0,247.0,226656.85425101215,398963.85425101215
103,(주)가비아,79940,15-Dec,105081568.0,57657418.0,262.0,220066.48091603053,401074.6870229008
104,(주)가비아,79940,16-Dec,125796754.0,61160981.0,268.0,228212.6156716418,469390.87313432834
105,(주)가비아,79940,17-Dec,133382584.0,64986436.0,275.0,236314.3127272727,485027.5781818182
106,(주)가비아,79940,18-Dec,151440505.0,69315988.0,280.0,247557.1,540858.9464285715
107,(주)가비아,79940,19-Dec,199916131.0,82964911.0,277.0,299512.3140794224,721718.8844765343
108,(주)강스템바이오텍,217730,15-Dec,,24982626.0,62.0,402945.5806451613,
109,(주)강스템바이오텍,217730,16-Dec,,47441769.0,79.0,600528.7215189873,
110,(주)강스템바이오텍,217730,17-Dec,47198979.0,44508729.0,75.0,593449.72,629319.72
111,(주)강스템바이오텍,217730,18-Dec,73194018.0,66184838.0,89.0,743649.8651685393,822404.6966292135
112,(주)강스템바이오텍,217730,19-Dec,113643697.0,98625925.0,102.0,966920.8333333334,1114153.8921568627
113,(주)강원랜드,35250,11-Dec,2711401782.0,2730283806.0,3145.0,868134.7554848967,862130.93227345
114,(주)강원랜드,35250,12-Dec,2906655321.0,2915385756.0,3184.0,915636.2298994975,912894.2591080402
115,(주)강원랜드,35250,13-Dec,3102036846.0,3105430200.0,3657.0,849174.2411812962,848246.3347005743
116,(주)강원랜드,35250,14-Dec,3375127289.0,3380461682.0,3591.0,941370.560289613,939885.0707323865
117,(주)강원랜드,35250,15-Dec,3690791830.0,3688060027.0,3620.0,1018801.1124309392,1019555.7541436465
118,(주)강원랜드,35250,16-Dec,3978987574.0,3975979890.0,3629.0,1095613.0862496556,1096441.8776522458
119,(주)강원랜드,35250,17-Dec,4185657487.0,4182527382.0,3693.0,1132555.4784727863,1133403.0563227728
120,(주)강원랜드,35250,18-Dec,4231241354.0,4229630541.0,5194.0,814330.1003080477,814640.2298806316
121,(주)강원랜드,35250,19-Dec,4438119306.0,4436461953.0,5147.0,861951.0303089179,862273.0340003886
122,(주)강원에너지,114190,11-Nov,,53719067.0,94.0,571479.4361702128,
123,(주)강원에너지,114190,12-Dec,,89258208.0,101.0,883744.6336633663,
124,(주)강원에너지,114190,13-Dec,,72441333.0,112.0,646797.6160714285,
125,(주)강원에너지,114190,14-Dec,,67037639.0,147.0,456038.3605442177,
126,(주)강원에너지,114190,15-Dec,85457457.0,80939019.0,133.0,608564.052631579,642537.2706766918
127,(주)강원에너지,114190,16-Dec,77186606.0,70850137.0,126.0,562302.6746031746,612592.1111111111
128,(주)강원에너지,114190,17-Dec,93179394.0,87781416.0,137.0,640740.2627737226,680141.5620437956
129,(주)강원에너지,114190,18-Dec,93845576.0,89619750.0,119.0,753107.1428571428,788618.2857142857
130,(주)강원에너지,114190,19-Dec,56602063.0,55106032.0,107.0,515009.6448598131,528991.2429906542
131,(주)갤럭시아에스엠,11420,11-Dec,45110356.0,40711969.0,37.0,1100323.4864864864,1219198.810810811
132,(주)갤럭시아에스엠,11420,12-Dec,43979072.0,40169876.0,40.0,1004246.9,1099476.8
133,(주)갤럭시아에스엠,11420,13-Dec,37636664.0,34158874.0,50.0,683177.48,752733.28
134,(주)갤럭시아에스엠,11420,14-Dec,45274078.0,40528250.0,63.0,643305.5555555555,718636.1587301587
135,(주)갤럭시아에스엠,11420,15-Dec,68686992.0,67196553.0,93.0,722543.5806451613,738569.8064516129
136,(주)갤럭시아에스엠,11420,16-Dec,58444606.0,55825556.0,107.0,521734.1682242991,546211.2710280374
137,(주)갤럭시아에스엠,11420,17-Dec,49831109.0,48958128.0,126.0,388556.5714285714,395484.99206349207
138,(주)갤럭시아에스엠,11420,18-Dec,33253331.0,33337692.0,111.0,300339.5675675676,299579.5585585586
139,(주)갤럭시아에스엠,11420,19-Dec,28241598.0,28241598.0,121.0,233401.63636363635,233401.63636363635
140,(주)경농,2100,11-Dec,173774102.0,176741869.0,308.0,573837.237012987,564201.6298701299
141,(주)경농,2100,12-Dec,269412832.0,203467698.0,306.0,664927.1176470588,880434.091503268
142,(주)경농,2100,13-Dec,255984725.0,214988593.0,311.0,691281.649517685,823102.0096463022
143,(주)경농,2100,14-Dec,284623063.0,230870852.0,340.0,679031.9176470588,837126.655882353
144,(주)경농,2100,15-Dec,316341853.0,265109291.0,346.0,766211.823699422,914282.8121387283
145,(주)경농,2100,16-Dec,320915151.0,266622289.0,335.0,795887.4298507463,957955.6746268657
146,(주)경농,2100,17-Dec,335873898.0,268967010.0,338.0,795760.3846153846,993709.7573964497
147,(주)경농,2100,18-Dec,357260541.0,285031873.0,350.0,814376.78,1020744.4028571428
148,(주)경농,2100,19-Dec,370874091.0,297197088.0,362.0,820986.4309392265,1024514.0635359116
149,(주)경동나비엔,9450,11-Dec,263211016.0,224373470.0,699.0,320992.0886981402,376553.6709585122
150,(주)경동나비엔,9450,12-Dec,299729837.0,254627468.0,784.0,324779.9336734694,382308.4655612245
151,(주)경동나비엔,9450,13-Dec,354779867.0,301475800.0,722.0,417556.5096952909,491384.85734072025
152,(주)경동나비엔,9450,14-Dec,401658957.0,331089242.0,763.0,433930.85452162515,526420.6513761468
153,(주)경동나비엔,9450,15-Dec,402084368.0,324848990.0,797.0,407589.6988707654,504497.32496863237
154,(주)경동나비엔,9450,16-Dec,429754702.0,347643876.0,911.0,381606.88913282106,471739.5192096597
155,(주)경동나비엔,9450,17-Dec,503697210.0,391400492.0,975.0,401436.40205128206,516612.5230769231
156,(주)경동나비엔,9450,18-Dec,583595818.0,440513661.0,1073.0,410543.9524697111,543891.7222739981
157,(주)경동나비엔,9450,19-Dec,609808343.0,461607017.0,1167.0,395550.14310197084,522543.56726649526
158,(주)경동도시가스,267290,17-Dec,710280194.0,707917077.0,270.0,2621915.1,2630667.3851851854
159,(주)경동도시가스,267290,18-Dec,778269612.0,775880913.0,277.0,2801014.1263537905,2809637.588447653
160,(주)경동도시가스,267290,19-Dec,749999474.0,747453908.0,278.0,2688683.1223021583,2697839.834532374
161,(주)경동인베스트,12320,11-Dec,1001490869.0,941176098.0,277.0,3397747.646209386,3615490.501805054
162,(주)경동인베스트,12320,12-Dec,1209924561.0,1168400020.0,284.0,4114084.5774647887,4260297.75
163,(주)경동인베스트,12320,13-Dec,1205008353.0,1161427092.0,289.0,4018778.8650519033,4169579.0761245675
