,회사명,거래소코드,회계년도,부가가치(IFRS연결),인건비(IFRS연결),부가가치(IFRS개별),인건비(IFRS개별),노동소득분배율(개별),노동소득분배율(연결)
63,(주)SNT에너지,100840,Dec-11,,,-5072.93,0.0,-0.0,
64,(주)SNT에너지,100840,Dec-12,,,-3911.2,-12643.46,0.0,
65,(주)SNT에너지,100840,Dec-13,,,36145.24,14424.28,0.003990644411269645,
66,(주)SNT에너지,100840,Dec-14,,,31921.1,15662.04,0.004906485052206848,
67,(주)SNT에너지,100840,Dec-15,,,53697.45,16172.9,0.003011856242707987,
68,(주)SNT에너지,100840,Dec-16,,,21049.19,15986.07,0.00759462478128612,
69,(주)SNT에너지,100840,Dec-17,,,22693.15,14517.49,0.006397300506981182,
70,(주)SNT에너지,100840,Dec-18,,,16995.59,13794.98,0.008116799710983849,
71,(주)SNT에너지,100840,Dec-19,36695.84,15404.41,34093.55,14196.67,0.004164033959502603,0.004197862755015283
72,(주)SNT홀딩스,36530,Dec-11,316126.05,153640.27,-3092.48,1072.02,-0.00346653818294702,0.004860095205694057
73,(주)SNT홀딩스,36530,Dec-12,289200.16,167447.63,10002.42,1647.79,0.001647391331297826,0.005790025496528081
74,(주)SNT홀딩스,36530,Dec-13,287320.84,176288.73,8821.66,1485.66,0.001684104805671495,0.006135605408921956
75,(주)SNT홀딩스,36530,Dec-14,280175.76,165761.63,7483.38,1301.68,0.001739427905572081,0.005916344440361293
76,(주)SNT홀딩스,36530,Dec-15,383575.56,168461.5,36674.24,1374.54,0.0003747971328103868,0.004391872620872925
77,(주)SNT홀딩스,36530,Dec-16,230370.32,150994.85,6611.38,1369.08,0.0020707930870710804,0.006554440259491761
78,(주)SNT홀딩스,36530,Dec-17,220383.89,147333.04,4405.14,1649.06,0.0037434905587563614,0.0066852908350061345
79,(주)SNT홀딩스,36530,Dec-18,283495.5,143630.87,6864.34,1459.7,0.0021264972306150338,0.0050664250402563706
80,(주)SNT홀딩스,36530,Dec-19,320323.23,140966.37,10601.11,1566.93,0.0014780810688692033,0.0044007538885019355
81,(주)STX,11810,Dec-11,524043.0,141304.0,236828.0,47445.0,0.002003352644113027,0.0026964199502712565
82,(주)STX,11810,Dec-12,-139686.0,163958.0,92155.0,37191.0,0.00403570072161033,-0.011737611500078748
83,(주)STX,11810,Dec-13,-1245149.0,128770.0,-1518511.0,25021.0,-0.00016477325485294477,-0.0010341734202091476
84,(주)STX,11810,Dec-14,505161.0,87303.0,390447.0,11322.0,0.00028997533596109075,0.001728221299744042
85,(주)STX,11810,Dec-15,79567.0,90723.0,-7212.0,10529.0,-0.014599278979478646,0.011402088805660638
86,(주)STX,11810,Dec-16,-345167.0,64933.0,-408612.0,9722.0,-0.0002379274225916028,-0.0018812053295940805
87,(주)STX,11810,Dec-17,416114.0,52472.0,366717.0,9265.0,0.0002526471366203367,0.0012610005911841467
88,(주)STX,11810,Dec-18,83521.0,54450.0,28236.0,9581.0,0.003393186003683241,0.006519318494749823
89,(주)STX,11810,Dec-19,51064.0,61618.0,-15090.0,9440.0,-0.006255798542080848,0.012066818110606298
90,(주)TCC스틸,2710,Dec-11,50799.6,31741.46,47387.55,27343.36,0.005770156929404454,0.006248368097386593
91,(주)TCC스틸,2710,Dec-12,49856.28,31364.2,44247.81,25858.96,0.005844122002874266,0.006290922628001929
92,(주)TCC스틸,2710,Dec-13,40058.31,40300.68,37086.29,23854.36,0.006432123569114085,0.010060504299856884
93,(주)TCC스틸,2710,Dec-14,66638.24,56610.96,38278.43,24331.48,0.006356446698571493,0.008495266381585107
94,(주)TCC스틸,2710,Dec-15,46811.29,48734.92,-113808.25,24885.12,-0.0021865831343509806,0.010410932918105867
95,(주)TCC스틸,2710,Dec-16,81464.7,46664.61,53606.1,23013.72,0.0042931158953925025,0.005728200067022894
96,(주)TCC스틸,2710,Dec-17,61493.36,47434.45,30346.26,22418.37,0.007387523207143153,0.007713751533498901
97,(주)TCC스틸,2710,Dec-18,75995.51,52444.71,44068.24,26194.12,0.005943990502003256,0.0069010274422791566
98,(주)TCC스틸,2710,Dec-19,74428.93,53640.45,42215.18,26954.44,0.006385011268458407,0.00720693552896703
99,(주)가비아,79940,Dec-11,25788.11,12357.14,15017.54,8193.77,0.005456133294800614,0.004791797460147331
100,(주)가비아,79940,Dec-12,31058.09,15463.28,17319.4,10109.25,0.005836951626499763,0.004978825162783675
101,(주)가비아,79940,Dec-13,32828.8,16961.99,16859.32,10194.8,0.0060469817288004496,0.00516680171069305
102,(주)가비아,79940,Dec-14,34179.94,18747.79,19430.85,11782.45,0.006063785166372033,0.005485027182610619
103,(주)가비아,79940,Dec-15,41698.24,21669.17,22440.14,13261.22,0.0059095977119572336,0.005196662976662804
104,(주)가비아,79940,Dec-16,45412.89,26464.1,23132.9,14983.16,0.0064769916439356935,0.005827442384750232
105,(주)가비아,79940,Dec-17,48683.0,29193.46,22812.97,15767.48,0.006911629656287629,0.005996643592219049
106,(주)가비아,79940,Dec-18,62241.08,35863.18,24805.77,17248.32,0.006953349966560199,0.005761979065915951
107,(주)가비아,79940,Dec-19,133089.93,72513.48,29591.96,18009.81,0.006086048372598503,0.005448457295003461
108,(주)강스템바이오텍,217730,Dec-15,,,-2880.72,1361.92,-0.004727706962148352,
109,(주)강스템바이오텍,217730,Dec-16,,,-5090.69,4771.56,-0.00937311052136351,
110,(주)강스템바이오텍,217730,Dec-17,-646.49,7236.68,-2123.85,5524.3,-0.02601078230571839,-0.11193800368141812
111,(주)강스템바이오텍,217730,Dec-18,-3330.3,8742.06,-5971.99,5756.61,-0.009639349697504516,-0.026250067561480947
112,(주)강스템바이오텍,217730,Dec-19,-13446.01,11035.17,-16534.36,7363.79,-0.00445362868596063,-0.008207022008759475
113,(주)강원랜드,35250,Dec-11,778291.81,252924.88,783195.28,244732.64,0.003124797177020781,0.0032497435634071493
114,(주)강원랜드,35250,Dec-12,712817.68,282200.01,693820.93,272959.13,0.003934143785486552,0.003958936736810456
115,(주)강원랜드,35250,Dec-13,837925.02,333458.27,824512.27,325240.56,0.003944641842625338,0.00397957170439904
116,(주)강원랜드,35250,Dec-14,904075.49,292097.04,899930.11,285504.39,0.00317251736359838,0.003230892145964492
117,(주)강원랜드,35250,Dec-15,1021274.04,299998.77,1001297.65,295698.15,0.002953149345751486,0.0029374953073320067
118,(주)강원랜드,35250,Dec-16,1043222.0,312176.01,1037898.56,309232.74,0.002979411976445945,0.002992421651383886
119,(주)강원랜드,35250,Dec-17,1000137.64,321795.37,1011578.3,319111.75,0.0031545926795780417,0.0032175108418077336
120,(주)강원랜드,35250,Dec-18,833429.97,331551.26,846353.62,329927.71,0.0038982253068167894,0.003978153797373042
121,(주)강원랜드,35250,Dec-19,908009.0,291704.76,906619.21,290071.4,0.0031994843788937587,0.003212575646276634
122,(주)강원에너지,114190,Nov-11,,,12844.61,5553.48,0.0043235878707099705,
123,(주)강원에너지,114190,Dec-12,,,18760.61,7369.58,0.003928219818012314,
124,(주)강원에너지,114190,Dec-13,,,12256.79,7056.33,0.0057570783214854785,
125,(주)강원에너지,114190,Dec-14,,,8510.74,7196.82,0.008456162448858736,
126,(주)강원에너지,114190,Dec-15,7820.6,6820.9,9171.31,7367.08,0.008032745594686037,0.008721709331764825
127,(주)강원에너지,114190,Dec-16,8145.29,6822.35,8913.55,7193.81,0.008070645253574616,0.008375822100870565
128,(주)강원에너지,114190,Dec-17,687.17,7126.53,713.82,7113.68,0.0996564960354151,0.10370839821296039
129,(주)강원에너지,114190,Dec-18,11600.03,6943.74,11569.08,6811.18,0.005887399862391824,0.005985967277670833
130,(주)강원에너지,114190,Dec-19,-24497.97,7565.83,-22522.15,7564.87,-0.003358857835508599,-0.0030883497693890553
131,(주)갤럭시아에스엠,11420,Dec-11,16289.29,4434.87,14937.6,3111.78,0.002083186053984576,0.002722568018618368
132,(주)갤럭시아에스엠,11420,Dec-12,11304.39,4497.23,9721.11,3242.29,0.0033353084164256964,0.003978304004019677
133,(주)갤럭시아에스엠,11420,Dec-13,4540.45,3773.46,3928.36,3186.5,0.0081115274567504,0.008310762149126188
134,(주)갤럭시아에스엠,11420,Dec-14,5477.95,4725.99,3400.02,3576.65,0.010519496944135624,0.008627296707710001
135,(주)갤럭시아에스엠,11420,Dec-15,10705.78,6515.03,10216.63,5470.6,0.005354603230223666,0.00608552576271883
136,(주)갤럭시아에스엠,11420,Dec-16,5657.39,6934.81,5013.27,6237.9,0.012442776870186523,0.012257967013057258
137,(주)갤럭시아에스엠,11420,Dec-17,-161.81,5532.81,-275.92,5462.09,-0.19795919106987533,-0.3419325134416909
138,(주)갤럭시아에스엠,11420,Dec-18,-9771.55,5592.68,-9601.87,5567.02,-0.005797849793842241,-0.005723431799458633
139,(주)갤럭시아에스엠,11420,Dec-19,3529.68,4694.17,3287.96,4694.17,0.014276846433654912,0.01329913759887582
140,(주)경농,2100,Dec-11,26483.85,18541.62,28809.42,17942.68,0.006228060127555501,0.007001104446672217
141,(주)경농,2100,Dec-12,39063.56,19258.86,32641.59,17207.25,0.005271572248778322,0.004930134375873576
142,(주)경농,2100,Dec-13,53114.35,25088.32,42493.74,18049.77,0.004247630356847856,0.004723454207761179
143,(주)경농,2100,Dec-14,47327.34,26487.96,38526.79,19582.14,0.005082733339580069,0.005596756547061381
144,(주)경농,2100,Dec-15,46908.64,27745.14,36680.28,20922.85,0.005704114036206921,0.005914718482565259
145,(주)경농,2100,Dec-16,48243.41,30093.71,37693.81,22916.37,0.006079610949383997,0.00623789031496737
146,(주)경농,2100,Dec-17,55717.38,31420.64,45275.0,22962.54,0.005071792379900608,0.005639288853854937
147,(주)경농,2100,Dec-18,57945.41,34475.19,47204.81,23608.33,0.005001255168699969,0.005949598078605364
148,(주)경농,2100,Dec-19,55965.47,34853.23,43823.04,24783.77,0.005655420071268447,0.006227631073231405
149,(주)경동나비엔,9450,Dec-11,60669.23,39878.64,50196.09,32043.22,0.0063836087631526685,0.006573124465235507
150,(주)경동나비엔,9450,Dec-12,68423.43,47434.83,54692.56,37143.97,0.006791411848339153,0.006932541966984117
151,(주)경동나비엔,9450,Dec-13,79237.85,52177.36,55874.59,36033.33,0.006448965442073043,0.006584903553036837
152,(주)경동나비엔,9450,Dec-14,80978.36,55710.3,56282.59,36403.93,0.006468062326200696,0.006879652786250549
153,(주)경동나비엔,9450,Dec-15,107704.21,68208.97,76567.87,42770.21,0.005585921353173335,0.006332990140311135
154,(주)경동나비엔,9450,Dec-16,141866.08,75638.8,91445.07,45623.86,0.004989209369078071,0.005331704379228637
155,(주)경동나비엔,9450,Dec-17,148016.16,93685.62,88344.03,58209.99,0.006589012296586425,0.006329418355401194
