,회사명,거래소코드,회계년도,당기순이익(IFRS연결),자산(IFRS연결),당기순이익(IFRS개별),자산(IFRS개별),총자산순이익률(개별),총자산순이익률(연결)
82,(주)STX,11810,Dec-12,-490928000.0,5067029000.0,-23863000.0,3226878000.0,-0.739507350448328,-9.688675553268
83,(주)STX,11810,Dec-13,-1595630000.0,1342520000.0,-1646014000.0,1086567000.0,-151.48757508740835,-118.85335041563627
84,(주)STX,11810,Dec-14,380584000.0,1255002000.0,334488000.0,1070433000.0,31.24791556314127,30.325369999410363
85,(주)STX,11810,Dec-15,-48982000.0,1267224000.0,-53449000.0,1057543000.0,-5.054073451386847,-3.8652992683219383
86,(주)STX,11810,Dec-16,-457446000.0,707709000.0,-456150000.0,627686000.0,-72.67168616155212,-64.63758409176653
87,(주)STX,11810,Dec-17,334386000.0,627542000.0,336179000.0,520393000.0,64.60098425612951,53.28503908901715
88,(주)STX,11810,Dec-18,9107000.0,554061000.0,5024000.0,446758000.0,1.1245461748866277,1.6436818328667784
89,(주)STX,11810,Dec-19,-33218000.0,560107000.0,-37142000.0,462734000.0,-8.02664165589734,-5.930652536033294
90,(주)TCC스틸,2710,Dec-11,4557868.0,454329510.0,6828699.0,407743559.0,1.6747533711501252,1.0032075618420648
91,(주)TCC스틸,2710,Dec-12,124581.0,547013976.0,4206491.0,438642951.0,0.9589783650712308,0.022774738026071932
92,(주)TCC스틸,2710,Dec-13,-19955830.0,543708595.0,391783.0,444204925.0,0.08819870693689405,-3.6703171852561938
93,(주)TCC스틸,2710,Dec-14,-15813610.0,551000563.0,1022624.0,461297588.0,0.22168422870661098,-2.869980733576855
94,(주)TCC스틸,2710,Dec-15,-110218983.0,376394571.0,-140083396.0,330651742.0,-42.36584242765006,-29.282830171320406
95,(주)TCC스틸,2710,Dec-16,16948843.0,282914735.0,15468493.0,250878191.0,6.165738416058652,5.990795424635624
96,(주)TCC스틸,2710,Dec-17,1503708.0,278692540.0,-2328706.0,248896237.0,-0.9356131808453174,0.5395580376855441
97,(주)TCC스틸,2710,Dec-18,9755131.0,304781579.0,7565000.0,268135677.0,2.8213328732080662,3.2006957349610685
98,(주)TCC스틸,2710,Dec-19,5037267.0,314210087.0,1996130.0,270265082.0,0.738582278268563,1.6031525429672153
99,(주)가비아,79940,Dec-11,7014899.0,64954440.0,3262397.0,37295822.0,8.747352451435445,10.799722082124024
100,(주)가비아,79940,Dec-12,9419144.0,85244515.0,5737877.0,51795749.0,11.07789173972559,11.049560197509482
101,(주)가비아,79940,Dec-13,9505713.0,91231294.0,3786937.0,52151784.0,7.261375756580063,10.419355665392622
102,(주)가비아,79940,Dec-14,6752737.0,98544072.0,3076978.0,55984243.0,5.496150050649073,6.852504532185355
103,(주)가비아,79940,Dec-15,8530281.0,105081568.0,4288423.0,57657418.0,7.437764556158238,8.117770949135437
104,(주)가비아,79940,Dec-16,10177685.0,125796754.0,3544032.0,61160981.0,5.794596394717737,8.090578394415488
105,(주)가비아,79940,Dec-17,9669613.0,133382584.0,2493743.0,64986436.0,3.837328454202351,7.249531917900167
106,(주)가비아,79940,Dec-18,15340647.0,151440505.0,2762732.0,69315988.0,3.9857067319014483,10.129817646870631
107,(주)가비아,79940,Dec-19,21102390.0,199916131.0,4654769.0,82964911.0,5.610527322810001,10.555621447075723
108,(주)강스템바이오텍,217730,Dec-15,,,-5754141.0,24982626.0,-23.032570715344335,
109,(주)강스템바이오텍,217730,Dec-16,,,-8300375.0,47441769.0,-17.495922211501007,
