,회사명,거래소코드,회계년도,매출액(IFRS연결),매입채무(IFRS연결),매출액(IFRS개별),매입채무(IFRS개별),매입채무회전율(개별),매입채무회전율(연결)
61,(주)SIMPAC,9160,Dec-18,306150809.0,43116640.0,268863854.0,37013249.0,7.263989551417115,7.100525667120629
62,(주)SIMPAC,9160,Dec-19,430085162.0,32704191.0,391970769.0,25346947.0,15.464220168211975,13.150765967578895
63,(주)SNT에너지,100840,Dec-11,,,195318747.0,44474696.0,4.3916825648454125,
64,(주)SNT에너지,100840,Dec-12,,,230707564.0,39641985.0,5.819778298185623,
65,(주)SNT에너지,100840,Dec-13,,,200750984.0,37857624.0,5.302788785688188,
66,(주)SNT에너지,100840,Dec-14,,,242746888.0,31040007.0,7.820452102346498,
67,(주)SNT에너지,100840,Dec-15,,,260094045.0,29685849.0,8.761549821263323,
68,(주)SNT에너지,100840,Dec-16,,,254089906.0,23920463.0,10.622282102148274,
69,(주)SNT에너지,100840,Dec-17,,,184091945.0,16893340.0,10.897308939499235,
70,(주)SNT에너지,100840,Dec-18,,,139516396.0,13110417.0,10.641644426718083,
71,(주)SNT에너지,100840,Dec-19,213326726.0,23420417.0,202822913.0,21255312.0,9.542222339526232,9.108579322050499
72,(주)SNT홀딩스,36530,Dec-11,1663846065.0,371854324.0,2257851.0,0.0,0.0,4.474456682665871
73,(주)SNT홀딩스,36530,Dec-12,1668749904.0,318705541.0,8718270.0,0.0,0.0,5.236024133009975
74,(주)SNT홀딩스,36530,Dec-13,1576368464.0,317382506.0,8826810.0,0.0,0.0,4.966778049197204
75,(주)SNT홀딩스,36530,Dec-14,1552374806.0,257490442.0,7701882.0,0.0,0.0,6.0288638053602
76,(주)SNT홀딩스,36530,Dec-15,1612746929.0,216310412.0,8475099.0,0.0,0.0,7.455706427113642
77,(주)SNT홀딩스,36530,Dec-16,1537700275.0,235495857.0,9818190.0,0.0,0.0,6.529627716550444
78,(주)SNT홀딩스,36530,Dec-17,1508152132.0,244821803.0,7417869.0,53817.0,137.83505212107698,6.160203517494723
79,(주)SNT홀딩스,36530,Dec-18,1401307482.0,225133544.0,7292112.0,0.0,0.0,6.224338928365113
80,(주)SNT홀딩스,36530,Dec-19,1512114565.0,199204201.0,11015928.0,0.0,0.0,7.590776486686644
81,(주)STX,11810,Dec-11,5967701000.0,357994000.0,4173397000.0,263754000.0,15.823066190465358,16.66983524863545
82,(주)STX,11810,Dec-12,6159850000.0,335789000.0,4116767000.0,211303000.0,19.482766453860098,18.344406755432725
83,(주)STX,11810,Dec-13,2449401000.0,199238000.0,1895063000.0,117155000.0,16.175690324783407,12.29384454772684
84,(주)STX,11810,Dec-14,1634606000.0,128067000.0,1291351000.0,78622000.0,16.424804762025897,12.763678387094256
85,(주)STX,11810,Dec-15,1630827000.0,168094000.0,1362127000.0,92719000.0,14.690915562074656,9.701875141289992
86,(주)STX,11810,Dec-16,1720153000.0,93777000.0,1465561000.0,161565000.0,9.071030235508928,18.343015878093777
87,(주)STX,11810,Dec-17,1803878000.0,116542000.0,1595494000.0,113876000.0,14.01080122238224,15.478351152374252
88,(주)STX,11810,Dec-18,1502985000.0,76685000.0,1329890000.0,57955000.0,22.94694159261496,19.59946534524353
89,(주)STX,11810,Dec-19,1471164000.0,102262000.0,1237876000.0,85456000.0,14.485536416401423,14.386223621677651
90,(주)TCC스틸,2710,Dec-11,514424043.0,36286014.0,456928069.0,30601132.0,14.931737459908346,14.17692345596295
91,(주)TCC스틸,2710,Dec-12,501337475.0,41180366.0,440568155.0,31578824.0,13.951379411722234,12.174186965701082
92,(주)TCC스틸,2710,Dec-13,500832754.0,38783690.0,419483813.0,26136889.0,16.049492845150777,12.913488994987325
93,(주)TCC스틸,2710,Dec-14,518995240.0,37920178.0,401323585.0,25941466.0,15.470351020254599,13.686519087542258
94,(주)TCC스틸,2710,Dec-15,495795871.0,38223007.0,350074629.0,19400602.0,18.044524030749148,12.971137278655235
95,(주)TCC스틸,2710,Dec-16,444453635.0,25582561.0,317235565.0,22801657.0,13.9128294491931,17.37330500257578
96,(주)TCC스틸,2710,Dec-17,391370092.0,20150484.0,333762378.0,19063388.0,17.5080304718133,19.422366827516402
97,(주)TCC스틸,2710,Dec-18,413176279.0,33048342.0,351301866.0,28341813.0,12.395179729680667,12.502178747726587
98,(주)TCC스틸,2710,Dec-19,437173902.0,29636313.0,339334364.0,21237292.0,15.978231311223672,14.751291835796174
99,(주)가비아,79940,Dec-11,52838864.0,434923.0,33792831.0,393317.0,85.917544881101,121.49015802797277
100,(주)가비아,79940,Dec-12,69058144.0,2521761.0,38482449.0,2569817.0,14.974781861899116,27.384888575880108
101,(주)가비아,79940,Dec-13,70675565.0,1861578.0,40507693.0,1268027.0,31.94544989972611,37.96540623062799
102,(주)가비아,79940,Dec-14,80432047.0,2865111.0,43906243.0,2370341.0,18.52317577934989,28.072925272354194
103,(주)가비아,79940,Dec-15,91648622.0,2028679.0,48446932.0,1496985.0,32.36300430532036,45.17650254180183
104,(주)가비아,79940,Dec-16,102178978.0,5050880.0,49430564.0,1575303.0,31.378448463565423,20.22993577356817
105,(주)가비아,79940,Dec-17,116217941.0,7351096.0,52365659.0,2413820.0,21.69410270856982,15.809607302094816
106,(주)가비아,79940,Dec-18,128728438.0,3929911.0,55197652.0,1771040.0,31.166801427409883,32.7560695394883
107,(주)가비아,79940,Dec-19,148306878.0,4480341.0,58254105.0,2058371.0,28.3010715755323,33.101694268360376
108,(주)강스템바이오텍,217730,Dec-15,,,1484593.0,125108.0,11.866491351472328,
109,(주)강스템바이오텍,217730,Dec-16,,,842805.0,276004.0,3.053597049318126,
110,(주)강스템바이오텍,217730,Dec-17,9132939.0,1239629.0,5394323.0,1239629.0,4.3515624432794,7.367477688889176
111,(주)강스템바이오텍,217730,Dec-18,9165454.0,1787264.0,1001039.0,230000.0,4.352343478260869,5.1282037796318845
112,(주)강스템바이오텍,217730,Dec-19,6004584.0,616805.0,282069.0,270948.0,1.041044776119403,9.734979450555686
113,(주)강원랜드,35250,Dec-11,1265686425.0,1884989.0,1263651213.0,1884989.0,670.375908294425,671.4556026586893
114,(주)강원랜드,35250,Dec-12,1296191223.0,2232677.0,1292896121.0,2232677.0,579.0788909457123,580.5547434761052
115,(주)강원랜드,35250,Dec-13,1361286598.0,2218517.0,1356906162.0,2218517.0,611.6275701290547,613.602058492227
116,(주)강원랜드,35250,Dec-14,1496541441.0,3263417.0,1492291312.0,3263417.0,457.27877007443425,458.5811255503051
117,(주)강원랜드,35250,Dec-15,1633716839.0,3607101.0,1630976696.0,3607101.0,452.1572021409991,452.9168545599361
118,(주)강원랜드,35250,Dec-16,1696532511.0,3084179.0,1694575212.0,3084179.0,549.4412652443325,550.0758908610687
119,(주)강원랜드,35250,Dec-17,1604470055.0,3361320.0,1602901764.0,3361320.0,476.8667559173182,477.333325895779
120,(주)강원랜드,35250,Dec-18,1438059299.0,3561607.0,1436042435.0,3561607.0,403.20069985262273,403.76697906310267
121,(주)강원랜드,35250,Dec-19,1520080449.0,3857898.0,1517612252.0,3857898.0,393.37801362296256,394.0177912946377
122,(주)강원에너지,114190,Nov-11,,,50222892.0,13966076.0,3.59606320343667,
123,(주)강원에너지,114190,Dec-12,,,106471214.0,17580576.0,6.056184621027207,
124,(주)강원에너지,114190,Dec-13,,,50660659.0,6911587.0,7.329815713815076,
125,(주)강원에너지,114190,Dec-14,,,51481321.0,8949784.0,5.752241730079743,
126,(주)강원에너지,114190,Dec-15,46188664.0,8958699.0,48852892.0,8958699.0,5.453123494828881,5.155733438527179
127,(주)강원에너지,114190,Dec-16,42287473.0,5273337.0,44448760.0,5273337.0,8.428962533591159,8.019110669392076
128,(주)강원에너지,114190,Dec-17,82034829.0,15372002.0,83113029.0,15372002.0,5.406779741506669,5.336639235409936
129,(주)강원에너지,114190,Dec-18,85905365.0,11107883.0,85905365.0,11107883.0,7.7337297304986015,7.7337297304986015
130,(주)강원에너지,114190,Dec-19,42549622.0,7904034.0,42549622.0,7904034.0,5.3832792217239955,5.3832792217239955
131,(주)갤럭시아에스엠,11420,Dec-11,47331427.0,1441017.0,31931418.0,1078148.0,29.61691530290832,32.84584914681784
