,회사명,거래소코드,회계년도,이자보상배율,count,부실기업
231,(주)골프존뉴딘홀딩스,121440,11-Dec,1101.46,0.0,
232,(주)골프존뉴딘홀딩스,121440,12-Dec,31.08,0.0,
233,(주)골프존뉴딘홀딩스,121440,13-Dec,25.98,0.0,
234,(주)골프존뉴딘홀딩스,121440,14-Dec,22.05,0.0,
235,(주)골프존뉴딘홀딩스,121440,15-Dec,-1.54,0.0,
236,(주)골프존뉴딘홀딩스,121440,16-Dec,5.22,1.0,
237,(주)골프존뉴딘홀딩스,121440,17-Dec,2.81,0.0,
238,(주)골프존뉴딘홀딩스,121440,18-Dec,0.15,0.0,
239,(주)골프존뉴딘홀딩스,121440,19-Dec,-0.36,1.0,1.0
240,(주)광림,14200,11-Dec,4.55,0.0,
241,(주)광림,14200,12-Dec,1.71,0.0,
242,(주)광림,14200,13-Dec,6.18,0.0,
243,(주)광림,14200,14-Dec,0.7,0.0,
244,(주)광림,14200,15-Dec,0.43,1.0,1.0
245,(주)광림,14200,16-Dec,0.16,2.0,1.0
246,(주)광림,14200,17-Dec,-3.19,3.0,1.0
247,(주)광림,14200,18-Dec,-0.23,4.0,1.0
248,(주)광림,14200,19-Dec,-2.3,5.0,1.0
249,(주)광명전기,17040,11-Dec,0.38,0.0,
250,(주)광명전기,17040,12-Dec,3.63,1.0,
251,(주)광명전기,17040,13-Dec,11.84,0.0,
252,(주)광명전기,17040,14-Dec,19.42,0.0,
253,(주)광명전기,17040,15-Dec,20.92,0.0,
254,(주)광명전기,17040,16-Dec,10.52,0.0,
255,(주)광명전기,17040,17-Dec,5.78,0.0,
256,(주)광명전기,17040,18-Dec,3.61,0.0,
257,(주)광명전기,17040,19-Dec,21.67,0.0,
258,(주)광무,29480,11-Dec,-3.01,0.0,
259,(주)광무,29480,12-Dec,-2.69,1.0,1.0
260,(주)광무,29480,13-Dec,-8.2,2.0,1.0
261,(주)광무,29480,14-Dec,1.12,3.0,
262,(주)광무,29480,15-Dec,-0.8,0.0,
263,(주)광무,29480,16-Dec,1.93,1.0,
264,(주)광무,29480,17-Dec,0.32,0.0,
265,(주)광무,29480,18-Dec,-3.19,1.0,1.0
266,(주)광무,29480,19-Dec,-2.9,2.0,1.0
267,(주)광주신세계,37710,11-Dec,0.0,0.0,0.0
268,(주)광주신세계,37710,12-Dec,0.0,0.0,0.0
269,(주)광주신세계,37710,13-Dec,13.07,0.0,
270,(주)광주신세계,37710,14-Dec,10.46,0.0,
271,(주)광주신세계,37710,15-Dec,15.34,0.0,
272,(주)광주신세계,37710,16-Dec,30.68,0.0,
273,(주)광주신세계,37710,17-Dec,86.86,0.0,
274,(주)광주신세계,37710,18-Dec,715.98,0.0,
275,(주)광주신세계,37710,19-Dec,193.26,0.0,
276,(주)구영테크,53270,11-Dec,0.96,0.0,
277,(주)구영테크,53270,12-Dec,1.29,1.0,
278,(주)구영테크,53270,13-Dec,1.39,0.0,
279,(주)구영테크,53270,14-Dec,1.38,0.0,
280,(주)구영테크,53270,15-Dec,1.97,0.0,
281,(주)구영테크,53270,16-Dec,1.65,0.0,
282,(주)구영테크,53270,17-Dec,2.37,0.0,
283,(주)구영테크,53270,18-Dec,1.47,0.0,
284,(주)구영테크,53270,19-Dec,1.33,0.0,
285,(주)국동,5320,11-Dec,0.5,0.0,
286,(주)국동,5320,12-Dec,3.42,1.0,
287,(주)국동,5320,13-Dec,3.64,0.0,
288,(주)국동,5320,14-Dec,5.32,0.0,
289,(주)국동,5320,15-Dec,4.08,0.0,
290,(주)국동,5320,16-Dec,5.25,0.0,
291,(주)국동,5320,17-Dec,-2.28,0.0,
292,(주)국동,5320,18-Dec,2.53,1.0,
293,(주)국동,5320,19-Dec,-1.78,0.0,
294,(주)국보,1140,11-Dec,0.75,0.0,
295,(주)국보,1140,12-Dec,0.64,1.0,1.0
296,(주)국보,1140,13-Dec,0.36,2.0,1.0
297,(주)국보,1140,14-Dec,-1.31,3.0,1.0
298,(주)국보,1140,15-Dec,-1.55,4.0,1.0
299,(주)국보,1140,16-Dec,0.14,5.0,1.0
300,(주)국보,1140,17-Dec,-2.66,6.0,1.0
301,(주)국보,1140,18-Dec,-4.03,7.0,1.0
302,(주)국보,1140,19-Dec,-0.35,8.0,1.0
303,(주)국보디자인,66620,11-Dec,238.18,0.0,
304,(주)국보디자인,66620,12-Dec,2003.29,0.0,
305,(주)국보디자인,66620,13-Dec,1539.88,0.0,
306,(주)국보디자인,66620,14-Dec,1917.05,0.0,
307,(주)국보디자인,66620,15-Dec,1867.07,0.0,
308,(주)국보디자인,66620,16-Dec,6455.77,0.0,
309,(주)국보디자인,66620,17-Dec,3543.84,0.0,
310,(주)국보디자인,66620,18-Dec,382.19,0.0,
311,(주)국보디자인,66620,19-Dec,592.26,0.0,
312,(주)국순당,43650,11-Dec,167.22,0.0,
313,(주)국순당,43650,12-Dec,172.69,0.0,
314,(주)국순당,43650,13-Dec,9.21,0.0,
315,(주)국순당,43650,14-Dec,9.17,0.0,
316,(주)국순당,43650,15-Dec,-334.84,0.0,
317,(주)국순당,43650,16-Dec,-327.25,1.0,1.0
318,(주)국순당,43650,17-Dec,-12.28,2.0,1.0
319,(주)국순당,43650,18-Dec,-7.85,3.0,1.0
320,(주)국순당,43650,19-Dec,-4.32,4.0,1.0
321,(주)국영지앤엠,6050,11-Dec,-170.81,0.0,
322,(주)국영지앤엠,6050,12-Dec,-4.57,1.0,1.0
323,(주)국영지앤엠,6050,13-Dec,2.35,2.0,
324,(주)국영지앤엠,6050,14-Dec,5.13,0.0,
325,(주)국영지앤엠,6050,15-Dec,-15.79,0.0,
326,(주)국영지앤엠,6050,16-Dec,3.4,1.0,
327,(주)국영지앤엠,6050,17-Dec,17.57,0.0,
328,(주)국영지앤엠,6050,18-Dec,-18.31,0.0,
329,(주)국영지앤엠,6050,19-Dec,15.75,1.0,
330,(주)국전약품,307750,18-Dec,0.0,0.0,0.0
331,(주)국전약품,307750,19-Dec,0.0,0.0,0.0
332,(주)그래디언트,35080,11-Dec,-48.06,0.0,
333,(주)그래디언트,35080,12-Dec,1.38,1.0,
334,(주)그래디언트,35080,13-Dec,7.5,0.0,
335,(주)그래디언트,35080,14-Dec,14.81,0.0,
336,(주)그래디언트,35080,15-Dec,26.27,0.0,
337,(주)그래디언트,35080,16-Dec,13.02,0.0,
338,(주)그래디언트,35080,17-Dec,13.33,0.0,
339,(주)그래디언트,35080,18-Dec,8.44,0.0,
