,회사명,거래소코드,회계년도,투자활동감소율여부(개별),투자활동감소율여부(연결)
423,(주)기산텔레콤,35460,11-Dec,0,0
424,(주)기산텔레콤,35460,12-Dec,0,0
425,(주)기산텔레콤,35460,13-Dec,0,1
426,(주)기산텔레콤,35460,14-Dec,1,0
427,(주)기산텔레콤,35460,15-Dec,0,0
428,(주)기산텔레콤,35460,16-Dec,0,1
429,(주)기산텔레콤,35460,17-Dec,0,0
430,(주)기산텔레콤,35460,18-Dec,0,1
431,(주)기산텔레콤,35460,19-Dec,0,0
432,(주)까뮤이앤씨,13700,11-Dec,0,0
433,(주)까뮤이앤씨,13700,12-Dec,0,0
434,(주)까뮤이앤씨,13700,13-Dec,1,0
435,(주)까뮤이앤씨,13700,14-Dec,1,0
436,(주)까뮤이앤씨,13700,15-Dec,0,0
437,(주)까뮤이앤씨,13700,16-Dec,0,0
438,(주)까뮤이앤씨,13700,17-Dec,0,0
439,(주)까뮤이앤씨,13700,18-Dec,0,0
440,(주)까뮤이앤씨,13700,19-Dec,0,0
441,(주)까스텔바작,308100,16-Dec,0,0
442,(주)까스텔바작,308100,17-Dec,0,0
443,(주)까스텔바작,308100,18-Dec,1,1
444,(주)까스텔바작,308100,19-Dec,1,1
445,(주)나노,187790,14-Dec,0,0
446,(주)나노,187790,15-Dec,0,0
447,(주)나노,187790,16-Dec,0,0
448,(주)나노,187790,17-Dec,1,0
449,(주)나노,187790,18-Dec,1,1
450,(주)나노,187790,19-Dec,0,0
451,(주)나노브릭,286750,15-Dec,0,0
452,(주)나노브릭,286750,16-Dec,0,0
453,(주)나노브릭,286750,17-Dec,0,0
454,(주)나노브릭,286750,18-Dec,0,0
455,(주)나노브릭,286750,19-Dec,1,1
456,(주)나노신소재,121600,11-Dec,1,1
457,(주)나노신소재,121600,12-Dec,0,0
458,(주)나노신소재,121600,13-Dec,0,0
459,(주)나노신소재,121600,14-Dec,0,0
460,(주)나노신소재,121600,15-Dec,1,1
461,(주)나노신소재,121600,16-Dec,0,0
462,(주)나노신소재,121600,17-Dec,1,1
463,(주)나노신소재,121600,18-Dec,0,0
464,(주)나노신소재,121600,19-Dec,1,1
465,(주)나노엔텍,39860,11-Dec,0,0
466,(주)나노엔텍,39860,12-Dec,0,0
467,(주)나노엔텍,39860,13-Dec,0,0
468,(주)나노엔텍,39860,14-Dec,0,0
469,(주)나노엔텍,39860,15-Dec,1,0
470,(주)나노엔텍,39860,16-Dec,1,1
471,(주)나노엔텍,39860,17-Dec,0,0
472,(주)나노엔텍,39860,18-Dec,1,1
473,(주)나노엔텍,39860,19-Dec,0,0
474,(주)나래나노텍,137080,11-Dec,0,0
475,(주)나래나노텍,137080,12-Dec,0,0
476,(주)나래나노텍,137080,13-Dec,0,0
477,(주)나래나노텍,137080,14-Dec,0,0
478,(주)나래나노텍,137080,15-Dec,0,0
479,(주)나래나노텍,137080,16-Dec,0,0
480,(주)나래나노텍,137080,17-Dec,0,0
481,(주)나래나노텍,137080,18-Dec,0,0
482,(주)나래나노텍,137080,19-Dec,1,0
483,(주)나무가,190510,11-Dec,0,0
484,(주)나무가,190510,12-Dec,0,0
485,(주)나무가,190510,13-Dec,0,1
486,(주)나무가,190510,14-Dec,1,1
487,(주)나무가,190510,15-Dec,1,1
488,(주)나무가,190510,16-Dec,0,0
489,(주)나무가,190510,17-Dec,0,0
490,(주)나무가,190510,18-Dec,0,0
491,(주)나무가,190510,19-Dec,0,1
492,(주)나스미디어,89600,11-Dec,1,0
493,(주)나스미디어,89600,12-Dec,0,0
494,(주)나스미디어,89600,13-Dec,1,0
495,(주)나스미디어,89600,14-Dec,0,0
496,(주)나스미디어,89600,15-Dec,0,0
497,(주)나스미디어,89600,16-Dec,1,0
498,(주)나스미디어,89600,17-Dec,1,0
499,(주)나스미디어,89600,18-Dec,0,0
500,(주)나스미디어,89600,19-Dec,0,0
501,(주)나이벡,138610,11-Dec,1,0
502,(주)나이벡,138610,12-Dec,1,0
503,(주)나이벡,138610,13-Dec,0,0
504,(주)나이벡,138610,14-Dec,0,0
505,(주)나이벡,138610,15-Dec,1,0
506,(주)나이벡,138610,16-Dec,0,0
507,(주)나이벡,138610,17-Dec,1,0
508,(주)나이벡,138610,18-Dec,0,0
509,(주)나이벡,138610,19-Dec,1,0
510,(주)나이스디앤비,130580,11-Dec,1,0
511,(주)나이스디앤비,130580,12-Dec,0,0
512,(주)나이스디앤비,130580,13-Dec,1,0
513,(주)나이스디앤비,130580,14-Dec,0,0
514,(주)나이스디앤비,130580,15-Dec,0,0
515,(주)나이스디앤비,130580,16-Dec,1,1
516,(주)나이스디앤비,130580,17-Dec,1,1
517,(주)나이스디앤비,130580,18-Dec,1,1
518,(주)나이스디앤비,130580,19-Dec,0,0
519,(주)나이스홀딩스,34310,11-Dec,0,0
520,(주)나이스홀딩스,34310,12-Dec,1,1
521,(주)나이스홀딩스,34310,13-Dec,0,0
522,(주)나이스홀딩스,34310,14-Dec,1,1
523,(주)나이스홀딩스,34310,15-Dec,0,1
524,(주)나이스홀딩스,34310,16-Dec,0,0
525,(주)나이스홀딩스,34310,17-Dec,1,0
526,(주)나이스홀딩스,34310,18-Dec,1,1
527,(주)나이스홀딩스,34310,19-Dec,0,1
528,(주)나인테크,267320,17-Dec,0,0
529,(주)나인테크,267320,18-Dec,0,0
530,(주)나인테크,267320,19-Dec,0,0
531,(주)남선알미늄,8350,11-Dec,1,1
532,(주)남선알미늄,8350,12-Dec,0,0
533,(주)남선알미늄,8350,13-Dec,0,0
534,(주)남선알미늄,8350,14-Dec,0,0
535,(주)남선알미늄,8350,15-Dec,0,0
536,(주)남선알미늄,8350,16-Dec,1,0
537,(주)남선알미늄,8350,17-Dec,0,0
538,(주)남선알미늄,8350,18-Dec,0,0
539,(주)남선알미늄,8350,19-Dec,1,0
540,(주)남성,4270,11-Dec,0,0
541,(주)남성,4270,12-Dec,0,0
542,(주)남성,4270,13-Dec,1,1
543,(주)남성,4270,14-Dec,0,0
544,(주)남성,4270,15-Dec,0,0
545,(주)남성,4270,16-Dec,1,1
546,(주)남성,4270,17-Dec,0,0
547,(주)남성,4270,18-Dec,0,1
548,(주)남성,4270,19-Dec,0,0
549,(주)내츄럴엔도텍,168330,12-Dec,0,0
550,(주)내츄럴엔도텍,168330,13-Dec,1,0
