회사명,거래소코드,2011,2012,2013,2014,2015,2016,2017,2018,2019
(주)비츠로테크,42370,0,0,0,1,0,0,1,0,0
(주)비케이홀딩스,50090,0,0,0,0,0,0,0,0,0
(주)비투엔,307870,0,0,0,0,0,0,0,0,0
(주)비트컴퓨터,32850,0,0,0,0,0,0,0,0,0
(주)비피도,238200,0,0,0,0,0,0,0,0,0
(주)빅솔론,93190,0,0,0,0,0,0,0,0,0
(주)빅텍,65450,0,0,0,0,0,0,0,0,0
(주)빙그레,5180,0,0,0,0,0,0,0,0,0
(주)사람인에이치알,143240,0,1,0,0,0,0,0,0,0
(주)사조대림,3960,0,0,0,0,0,0,0,0,1
(주)사조오양,6090,0,0,0,0,1,1,0,0,0
(주)삼기,122350,0,1,0,1,0,0,0,0,0
(주)삼보판지,23600,0,0,0,0,0,0,0,0,0
(주)삼성출판사,68290,0,0,0,0,0,0,1,1,0
(주)삼양사,145990,0,0,0,0,0,1,0,0,0
(주)삼양옵틱스,225190,0,0,0,0,0,0,0,0,0
(주)삼양패키징,272550,0,0,0,0,0,0,0,0,0
(주)삼양홀딩스,70,0,0,0,0,0,0,0,0,0
(주)삼에스코리아,60310,0,0,1,0,0,0,0,0,0
(주)삼원강재,23000,0,0,0,0,0,0,0,0,0
(주)삼익악기,2450,0,0,0,0,1,0,0,0,0
(주)삼일,32280,0,0,0,0,0,0,0,0,0
(주)삼일기업공사,2290,0,0,0,0,0,0,1,0,0
(주)삼일씨엔에스,4440,0,0,0,0,0,0,0,0,0
(주)삼진,32750,0,0,0,0,0,0,0,0,0
(주)삼진엘앤디,54090,0,0,0,0,0,1,0,0,0
(주)삼천리,4690,0,0,0,0,0,0,0,0,0
(주)삼표시멘트,38500,0,0,0,0,0,0,0,0,0
(주)삼화네트웍스,46390,0,0,1,0,0,0,0,0,0
(주)상보,27580,0,0,1,0,0,0,0,0,0
(주)상상인,38540,0,0,0,0,0,0,0,0,0
(주)상상인인더스트리,101000,0,0,1,1,0,0,0,0,0
(주)상아프론테크,89980,0,0,0,0,0,1,0,0,0
(주)상지카일룸,42940,0,0,0,0,0,0,1,0,0
(주)새로닉스,42600,0,0,0,0,1,0,0,1,0
(주)서린바이오사이언스,38070,0,0,0,0,0,0,0,0,0
(주)서부티엔디,6730,0,0,0,0,0,0,1,0,0
(주)서산,79650,0,0,0,0,0,0,0,0,0
(주)서연,7860,0,0,0,0,1,0,0,1,0
(주)서연이화,200880,0,0,0,0,0,0,0,0,0
(주)서연탑메탈,19770,0,0,0,0,0,0,0,0,0
(주)서울리거,43710,0,1,1,0,0,1,0,0,0
(주)서울옥션,63170,0,0,0,1,1,0,1,1,0
(주)서울제약,18680,0,0,0,0,0,0,0,0,0
