,구분,코드,산업명,2011년,2011년.mid,2012년,2012년.mid,2012년 감소율,2013년,2013년.mid,2013년 감소율,2014년,2014년.mid,2014년 감소율,2015년,2015년.mid,2015년 감소율,2016년,2016년.mid,2016년 감소율,2017년,2017년.mid,2017년 감소율,2018년,2018년.mid,2018년 감소율,2019년,2019년.mid,2019년 감소율
52,(주)티앤알바이오팹,246710,  의료용 물질 및 의약품 제조업,0,41.73,0,41.84,,0,43.25,,0,44.93,,0,48.21,,0,52.51,,0,52.32,,71.11,54.69,#NAME?,52.7,57.6,25.89
53,(주)파멥신,208340,  의료용 물질 및 의약품 제조업,0,41.73,0,41.84,,0,43.25,,0,44.93,,0,48.21,,0,52.51,,0,52.32,,85.92,54.69,#NAME?,0,57.6,100
54,(주)팬젠,222110,  의료용 물질 및 의약품 제조업,0,41.73,0,41.84,,0,43.25,,0,44.93,,0,48.21,,253.08,52.51,#NAME?,162.13,52.32,35.94,90.89,54.69,43.94,172.79,57.6,-90.11
55,(주)펩트론,87010,  의료용 물질 및 의약품 제조업,0,41.73,0,41.84,,0,43.25,,0,44.93,,67.38,48.21,#NAME?,60.99,52.51,9.48,62.13,52.32,-1.87,62.43,54.69,-0.48,63.54,57.6,-1.78
56,(주)퓨쳐켐,220100,  의료용 물질 및 의약품 제조업,0,41.73,0,41.84,,0,43.25,,0,44.93,,0,48.21,,182.1,52.51,#NAME?,105.66,52.32,41.98,124.18,54.69,-17.53,92.87,57.6,25.21
57,(주)하이텍팜,106190,  의료용 물질 및 의약품 제조업,77.13,41.73,76.14,41.84,1.28,76.21,43.25,-0.09,80.94,44.93,-6.21,84.78,48.21,-4.74,86.61,52.51,-2.16,91.62,52.32,-5.78,92.9,54.69,-1.4,103.36,57.6,-11.26
58,(주)한독,2390,  의료용 물질 및 의약품 제조업,62.81,41.73,68.38,41.84,-8.87,69.77,43.25,-2.03,67.16,44.93,3.74,66.45,48.21,1.06,67.79,52.51,-2.02,68.4,52.32,-0.9,64.9,54.69,5.12,65.13,57.6,-0.35
59,(주)휴메딕스,200670,  의료용 물질 및 의약품 제조업,0,41.73,0,41.84,,0,43.25,,51.34,44.93,#NAME?,48.49,48.21,5.55,52.04,52.51,-7.32,55.69,52.32,-7.01,62.36,54.69,-11.98,60.94,57.6,2.28
60,(주)휴온스,243070,  의료용 물질 및 의약품 제조업,0,41.73,0,41.84,,0,43.25,,0,44.93,,0,48.21,,46.77,52.51,#NAME?,45.04,52.32,3.7,43.03,54.69,4.46,42,57.6,2.39
61,(주)휴온스글로벌,84110,  의료용 물질 및 의약품 제조업,57.71,41.73,54.24,41.84,6.01,52.27,43.25,3.63,50.47,44.93,3.44,49.67,48.21,1.59,0,52.51,100,0,52.32,,0,54.69,,0,57.6,
62,경남제약(주),53950,  의료용 물질 및 의약품 제조업,61.16,41.73,50.71,41.84,17.09,53.47,43.25,-5.44,52.78,44.93,1.29,50.43,48.21,4.45,56.13,52.51,-11.3,57.41,52.32,-2.28,59.81,54.69,-4.18,62.53,57.6,-4.55
63,경동제약(주),11040,  의료용 물질 및 의약품 제조업,38.89,41.73,39.75,41.84,-2.21,39.65,43.25,0.25,40.83,44.93,-2.98,39.86,48.21,2.38,39.83,52.51,0.08,41.69,52.32,-4.67,40.42,54.69,3.05,40.74,57.6,-0.79
64,고려제약(주),14570,  의료용 물질 및 의약품 제조업,53.28,41.73,57.6,41.84,-8.11,61.04,43.25,-5.97,60.32,44.93,1.18,62.4,48.21,-3.45,58.89,52.51,5.62,58.63,52.32,0.44,60.83,54.69,-3.75,61.63,57.6,-1.32
65,광동제약(주),9290,  의료용 물질 및 의약품 제조업,57.08,41.73,59.96,41.84,-5.05,63.93,43.25,-6.62,63.03,44.93,1.41,62.56,48.21,0.75,64.44,52.51,-3.01,67.14,52.32,-4.19,68.5,54.69,-2.03,68.39,57.6,0.16
66,국제약품(주),2720,  의료용 물질 및 의약품 제조업,55.6,41.73,64.34,41.84,-15.72,60.72,43.25,5.63,61.63,44.93,-1.5,56.07,48.21,9.02,56.14,52.51,-0.12,58.04,52.32,-3.38,54.52,54.69,6.06,51.84,57.6,4.92
67,대봉엘에스(주),78140,  의료용 물질 및 의약품 제조업,83.77,41.73,84.29,41.84,-0.62,78.98,43.25,6.3,79.86,44.93,-1.11,78.34,48.21,1.9,76.64,52.51,2.17,77.29,52.32,-0.85,81.2,54.69,-5.06,82.98,57.6,-2.19
68,대원제약(주),3220,  의료용 물질 및 의약품 제조업,44.11,41.73,47.74,41.84,-8.23,46.65,43.25,2.28,44.93,44.93,3.69,45.86,48.21,-2.07,42.8,52.51,6.67,42.65,52.32,0.35,42.16,54.69,1.15,43.25,57.6,-2.59
69,대한뉴팜(주),54670,  의료용 물질 및 의약품 제조업,47.81,41.73,48.61,41.84,-1.67,42.97,43.25,11.6,43.24,44.93,-0.63,43.71,48.21,-1.09,44.29,52.51,-1.33,46.51,52.32,-5.01,47.16,54.69,-1.4,46.05,57.6,2.35
70,대한약품공업(주),23910,  의료용 물질 및 의약품 제조업,72.17,41.73,70.97,41.84,1.66,71.41,43.25,-0.62,69.24,44.93,3.04,67.96,48.21,1.85,68.72,52.51,-1.12,62.07,52.32,9.68,62.04,54.69,0.05,64.75,57.6,-4.37
71,대화제약(주),67080,  의료용 물질 및 의약품 제조업,51.72,41.73,53.01,41.84,-2.49,52.57,43.25,0.83,50.89,44.93,3.2,50.87,48.21,0.04,53.02,52.51,-4.23,50.89,52.32,4.02,53.87,54.69,-5.86,50.43,57.6,6.39
72,동국제약(주),86450,  의료용 물질 및 의약품 제조업,43.08,41.73,41.03,41.84,4.76,42.01,43.25,-2.39,43.2,44.93,-2.83,42.53,48.21,1.55,40.36,52.51,5.1,38.38,52.32,4.91,38.41,54.69,-0.08,37.04,57.6,3.57
73,동성제약(주),2210,  의료용 물질 및 의약품 제조업,42.1,41.73,49.72,41.84,-18.1,48.17,43.25,3.12,51.8,44.93,-7.54,51.14,48.21,1.27,53.47,52.51,-4.56,56.18,52.32,-5.07,61.71,54.69,-9.84,61.78,57.6,-0.11
74,동아쏘시오홀딩스(주),640,  의료용 물질 및 의약품 제조업,44.45,41.73,47.89,41.84,-7.74,60,43.25,-25.29,33.14,44.93,44.77,39.93,48.21,-20.49,0,52.51,100,0,52.32,,0,54.69,,0,57.6,
75,동아에스티(주),170900,  의료용 물질 및 의약품 제조업,0,41.73,0,41.84,,47.16,43.25,#NAME?,46.47,44.93,1.46,48.21,48.21,-3.74,50.65,52.51,-5.06,49.58,52.32,2.11,48.32,54.69,2.54,49.05,57.6,-1.51
76,동화약품(주),20,  의료용 물질 및 의약품 제조업,53.99,41.73,55.78,41.84,-3.32,56.56,43.25,-1.4,55.4,44.93,2.05,56.73,48.21,-2.4,56.55,52.51,0.32,58.25,52.32,-3.01,62.2,54.69,-6.78,60.32,57.6,3.02
77,메디포스트(주),78160,  의료용 물질 및 의약품 제조업,30.35,41.73,38.69,41.84,-27.48,38.7,43.25,-0.03,41.98,44.93,-8.48,39.57,48.21,5.74,45.21,52.51,-14.25,40.36,52.32,10.73,36.09,54.69,10.58,36.64,57.6,-1.52
78,명문제약(주),17180,  의료용 물질 및 의약품 제조업,45.23,41.73,54.72,41.84,-20.98,51.27,43.25,6.3,48.16,44.93,6.07,50.36,48.21,-4.57,47.82,52.51,5.04,44.72,52.32,6.48,49.41,54.69,-10.49,53.72,57.6,-8.72
79,부광약품(주),3000,  의료용 물질 및 의약품 제조업,41.4,41.73,46.05,41.84,-11.23,45.9,43.25,0.33,42.67,44.93,7.04,41.6,48.21,2.51,44.81,52.51,-7.72,47.38,52.32,-5.74,42.08,54.69,11.19,50.53,57.6,-20.08
