회사명,거래소코드,회계년도,자본증가율여부(개별),자본증가율여부(연결),차입전략
(주)골드퍼시픽,38530,19-Dec,#DIV/0!,#DIV/0!,1
(주)골프존뉴딘홀딩스,121440,11-Dec,#DIV/0!,#DIV/0!,0
(주)골프존뉴딘홀딩스,121440,12-Dec,#DIV/0!,#DIV/0!,0
(주)골프존뉴딘홀딩스,121440,13-Dec,#DIV/0!,#DIV/0!,1
(주)골프존뉴딘홀딩스,121440,14-Dec,#DIV/0!,#DIV/0!,1
(주)골프존뉴딘홀딩스,121440,15-Dec,#DIV/0!,#DIV/0!,0
(주)골프존뉴딘홀딩스,121440,16-Dec,#DIV/0!,#DIV/0!,0
(주)골프존뉴딘홀딩스,121440,17-Dec,#DIV/0!,#DIV/0!,1
(주)골프존뉴딘홀딩스,121440,18-Dec,#DIV/0!,#DIV/0!,0
(주)골프존뉴딘홀딩스,121440,19-Dec,#DIV/0!,#DIV/0!,1
(주)광림,14200,11-Dec,#DIV/0!,#DIV/0!,0
(주)광림,14200,12-Dec,#DIV/0!,#DIV/0!,0
(주)광림,14200,13-Dec,#DIV/0!,#DIV/0!,0
(주)광림,14200,14-Dec,#DIV/0!,#DIV/0!,0
(주)광림,14200,15-Dec,#DIV/0!,#DIV/0!,0
(주)광림,14200,16-Dec,#DIV/0!,#DIV/0!,0
(주)광림,14200,17-Dec,#DIV/0!,#DIV/0!,0
(주)광림,14200,18-Dec,#DIV/0!,#DIV/0!,0
(주)광림,14200,19-Dec,#DIV/0!,#DIV/0!,1
(주)광명전기,17040,11-Dec,#DIV/0!,#DIV/0!,0
(주)광명전기,17040,12-Dec,#DIV/0!,#DIV/0!,0
(주)광명전기,17040,13-Dec,#DIV/0!,#DIV/0!,0
(주)광명전기,17040,14-Dec,#DIV/0!,#DIV/0!,0
(주)광명전기,17040,15-Dec,#DIV/0!,#DIV/0!,1
(주)광명전기,17040,16-Dec,#DIV/0!,#DIV/0!,0
(주)광명전기,17040,17-Dec,#DIV/0!,#DIV/0!,0
(주)광명전기,17040,18-Dec,#DIV/0!,#DIV/0!,0
(주)광명전기,17040,19-Dec,#DIV/0!,#DIV/0!,1
(주)광무,29480,11-Dec,#DIV/0!,#DIV/0!,0
(주)광무,29480,12-Dec,#DIV/0!,#DIV/0!,0
(주)광무,29480,13-Dec,#DIV/0!,#DIV/0!,0
(주)광무,29480,14-Dec,#DIV/0!,#DIV/0!,0
(주)광무,29480,15-Dec,#DIV/0!,#DIV/0!,0
(주)광무,29480,16-Dec,#DIV/0!,#DIV/0!,0
(주)광무,29480,17-Dec,#DIV/0!,#DIV/0!,0
(주)광무,29480,18-Dec,#DIV/0!,#DIV/0!,0
(주)광무,29480,19-Dec,#DIV/0!,#DIV/0!,1
(주)구영테크,53270,11-Dec,#DIV/0!,#DIV/0!,0
(주)구영테크,53270,12-Dec,#DIV/0!,#DIV/0!,0
(주)구영테크,53270,13-Dec,#DIV/0!,#DIV/0!,0
(주)구영테크,53270,14-Dec,#DIV/0!,#DIV/0!,0
(주)구영테크,53270,15-Dec,#DIV/0!,#DIV/0!,0
(주)구영테크,53270,16-Dec,#DIV/0!,#DIV/0!,0
(주)구영테크,53270,17-Dec,#DIV/0!,#DIV/0!,0
(주)구영테크,53270,18-Dec,#DIV/0!,#DIV/0!,0
(주)구영테크,53270,19-Dec,#DIV/0!,#DIV/0!,0
(주)국동,5320,11-Dec,#DIV/0!,#DIV/0!,0
(주)국동,5320,12-Dec,#DIV/0!,#DIV/0!,0
(주)국동,5320,13-Dec,#DIV/0!,#DIV/0!,0
(주)국동,5320,14-Dec,#DIV/0!,#DIV/0!,0
(주)국동,5320,15-Dec,#DIV/0!,#DIV/0!,0
(주)국동,5320,16-Dec,#DIV/0!,#DIV/0!,0
(주)국동,5320,17-Dec,#DIV/0!,#DIV/0!,0
(주)국동,5320,18-Dec,#DIV/0!,#DIV/0!,0
(주)국동,5320,19-Dec,#DIV/0!,#DIV/0!,0
(주)국보,1140,11-Dec,#DIV/0!,#DIV/0!,0
(주)국보,1140,12-Dec,#DIV/0!,#DIV/0!,0
(주)국보,1140,13-Dec,#DIV/0!,#DIV/0!,0
(주)국보,1140,14-Dec,#DIV/0!,#DIV/0!,0
(주)국보,1140,15-Dec,#DIV/0!,#DIV/0!,0
(주)국보,1140,16-Dec,#DIV/0!,#DIV/0!,0
(주)국보,1140,17-Dec,#DIV/0!,#DIV/0!,1
(주)국보,1140,18-Dec,#DIV/0!,#DIV/0!,0
(주)국보,1140,19-Dec,#DIV/0!,#DIV/0!,1
(주)국순당,43650,11-Dec,#DIV/0!,#DIV/0!,0
(주)국순당,43650,12-Dec,#DIV/0!,#DIV/0!,0
(주)국순당,43650,13-Dec,#DIV/0!,#DIV/0!,1
(주)국순당,43650,14-Dec,#DIV/0!,#DIV/0!,0
(주)국순당,43650,15-Dec,#DIV/0!,#DIV/0!,0
(주)국순당,43650,16-Dec,#DIV/0!,#DIV/0!,0
(주)국순당,43650,17-Dec,#DIV/0!,#DIV/0!,1
(주)국순당,43650,18-Dec,#DIV/0!,#DIV/0!,0
(주)국순당,43650,19-Dec,#DIV/0!,#DIV/0!,1
(주)국영지앤엠,6050,11-Dec,#DIV/0!,#DIV/0!,0
(주)국영지앤엠,6050,12-Dec,#DIV/0!,#DIV/0!,0
(주)국영지앤엠,6050,13-Dec,#DIV/0!,#DIV/0!,0
(주)국영지앤엠,6050,14-Dec,#DIV/0!,#DIV/0!,0
(주)국영지앤엠,6050,15-Dec,#DIV/0!,#DIV/0!,0
(주)국영지앤엠,6050,16-Dec,#DIV/0!,#DIV/0!,0
(주)국영지앤엠,6050,17-Dec,#DIV/0!,#DIV/0!,0
(주)국영지앤엠,6050,18-Dec,#DIV/0!,#DIV/0!,0
(주)국영지앤엠,6050,19-Dec,#DIV/0!,#DIV/0!,1
(주)그래디언트,35080,11-Dec,#DIV/0!,#DIV/0!,0
(주)그래디언트,35080,12-Dec,#DIV/0!,#DIV/0!,0
(주)그래디언트,35080,13-Dec,#DIV/0!,#DIV/0!,0
(주)그래디언트,35080,14-Dec,#DIV/0!,#DIV/0!,0
(주)그래디언트,35080,15-Dec,#DIV/0!,#DIV/0!,0
(주)그래디언트,35080,16-Dec,#DIV/0!,#DIV/0!,0
