,회사,코드,년도,2012년 감소율여부,2013년 감소율여부,2014년 감소율여부,2015년 감소율여부,2016년 감소율여부,2017년 감소율여부,2018년 감소율여부,2019년 감소율여부
96,(주)노블엠앤비,106520,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,1
97,(주)노터스,278650,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,1,0,0
98,(주)녹십자,6280,      비유동금융부채(*)(IFRS)(천원),0,1,0,1,1,0,0,1
99,(주)녹십자엠에스,142280,      비유동금융부채(*)(IFRS)(천원),0,0,0,1,1,0,0,1
100,(주)녹십자웰빙,234690,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,1
101,(주)녹십자홀딩스,5250,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,1,0,1
102,(주)녹원씨엔아이,65560,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,0
103,(주)농심,4370,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,1
104,(주)농심홀딩스,72710,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,1
105,(주)누리플랜,69140,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,1
106,(주)누리플렉스,40160,      비유동금융부채(*)(IFRS)(천원),1,1,0,0,0,0,0,1
107,(주)누보,332290,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,0
108,(주)뉴로스,126870,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,1
109,(주)뉴보텍,60260,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,1
110,(주)뉴인텍,12340,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,0
111,(주)뉴트리,270870,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,1
112,(주)뉴파워프라즈마,144960,      비유동금융부채(*)(IFRS)(천원),0,0,0,1,0,0,0,1
113,(주)뉴프렉스,85670,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,1,0
114,(주)다나와,119860,      비유동금융부채(*)(IFRS)(천원),0,0,0,1,0,0,0,1
115,(주)다날,64260,      비유동금융부채(*)(IFRS)(천원),0,1,0,0,1,0,0,1
116,(주)다보링크,340360,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,0
117,(주)다산네트웍스,39560,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,1,0
118,(주)다우기술,23590,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,1,1,1
119,(주)다우데이타,32190,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,1,1
120,(주)다원시스,68240,      비유동금융부채(*)(IFRS)(천원),1,0,0,0,0,0,0,1
121,(주)다이나믹디자인,145210,      비유동금융부채(*)(IFRS)(천원),1,0,1,0,0,1,0,1
122,(주)대교,19680,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,1
123,(주)대구백화점,6370,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,1
124,(주)대덕,8060,      비유동금융부채(*)(IFRS)(천원),0,0,0,1,0,0,0,1
125,(주)대동,490,      비유동금융부채(*)(IFRS)(천원),1,0,0,0,0,0,0,0
126,(주)대동스틸,48470,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,1
127,(주)대륙제관,4780,      비유동금융부채(*)(IFRS)(천원),1,1,0,0,0,0,0,1
128,(주)대림제지,17650,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,1,0,1
129,(주)대명소노시즌,7720,      비유동금융부채(*)(IFRS)(천원),0,0,1,0,0,1,0,1
130,(주)대성미생물연구소,36480,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,1
131,(주)대성엘텍,25440,      비유동금융부채(*)(IFRS)(천원),1,0,0,0,0,0,0,1
132,(주)대성파인텍,104040,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,1
133,(주)대양금속,9190,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,1
134,(주)대우건설,47040,      비유동금융부채(*)(IFRS)(천원),0,0,1,0,0,0,0,1
135,(주)대웅,3090,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,1
136,(주)대웅제약,69620,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,1
137,(주)대원,7680,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,1,0
138,(주)대유,290380,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,1
139,(주)대유에이텍,2880,      비유동금융부채(*)(IFRS)(천원),0,0,1,1,0,1,0,0
140,(주)대유에이피,290120,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,1
141,(주)대유플러스,300,      비유동금융부채(*)(IFRS)(천원),0,0,1,0,1,1,0,0
142,(주)대창,12800,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,1,0,0,1
143,(주)대창솔루션,96350,      비유동금융부채(*)(IFRS)(천원),0,1,0,1,0,0,0,1
144,(주)대창스틸,140520,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,1
145,(주)대한과학,131220,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,0
