,회사명,거래소코드,회계년도,이자보상배율,부실기업
256,까뮤이앤씨,13700,Dec-17,4.85,1.0
257,까뮤이앤씨,13700,Dec-18,2.29,1.0
258,까뮤이앤씨,13700,Dec-19,5.87,1.0
259,나노신소재,121600,Dec-11,9.69,0.0
260,나노신소재,121600,Dec-12,-2.32,
261,나노신소재,121600,Dec-13,4.32,
262,나노신소재,121600,Dec-14,24.79,
263,나노신소재,121600,Dec-15,86.73,
264,나노신소재,121600,Dec-16,122.39,
265,나노신소재,121600,Dec-17,114.62,
266,나노신소재,121600,Dec-18,127.97,
267,나노신소재,121600,Dec-19,42.91,
268,나무가,190510,Dec-15,8.35,0.0
269,나무가,190510,Dec-16,-0.37,0.0
270,나무가,190510,Dec-17,-18.62,1.0
271,나무가,190510,Dec-18,1.01,0.0
272,나무가,190510,Dec-19,1.15,
273,나이벡,138610,Dec-11,-3.91,0.0
274,나이벡,138610,Dec-12,-2.68,1.0
275,나이벡,138610,Dec-13,-5.06,0.0
276,나이벡,138610,Dec-14,-5.51,1.0
277,나이벡,138610,Dec-15,-3.41,1.0
278,나이벡,138610,Dec-16,-3.51,1.0
279,나이벡,138610,Dec-17,-1.81,1.0
280,나이벡,138610,Dec-18,-4.64,1.0
281,나이벡,138610,Dec-19,-2.23,1.0
282,남성,4270,Dec-11,-0.06,0.0
283,남성,4270,Dec-12,-0.01,1.0
284,남성,4270,Dec-13,0.39,1.0
285,남성,4270,Dec-14,0.41,1.0
286,남성,4270,Dec-15,0.65,1.0
287,남성,4270,Dec-16,1.01,1.0
288,남성,4270,Dec-17,1.79,1.0
289,남성,4270,Dec-18,0.23,1.0
290,남성,4270,Dec-19,0.13,1.0
291,내츄럴엔도텍,168330,Dec-13,675.61,0.0
292,내츄럴엔도텍,168330,Dec-14,4036.59,
293,내츄럴엔도텍,168330,Dec-15,-805.99,
294,내츄럴엔도텍,168330,Dec-16,-34.59,1.0
295,내츄럴엔도텍,168330,Dec-17,-1.96,1.0
296,내츄럴엔도텍,168330,Dec-18,-6.1,1.0
297,내츄럴엔도텍,168330,Dec-19,-4.35,1.0
298,네오리진,94860,Dec-11,1.61,0.0
299,네오리진,94860,Dec-12,1.27,
300,네오리진,94860,Dec-13,-2.65,
301,네오리진,94860,Dec-14,-8.5,1.0
302,네오리진,94860,Dec-15,-19.24,1.0
303,네오리진,94860,Dec-16,9.47,1.0
304,네오리진,94860,Dec-17,2.48,1.0
305,네오리진,94860,Dec-18,-12.63,1.0
306,네오리진,94860,Dec-19,3.22,1.0
307,네오오토,212560,Dec-15,9.39,0.0
308,네오오토,212560,Dec-16,10.05,
309,네오오토,212560,Dec-17,1.7,
310,네오오토,212560,Dec-18,2.49,
311,네오오토,212560,Dec-19,0.84,
312,네오펙트,290660,Dec-18,-5.77,1.0
313,네오펙트,290660,Dec-19,-15.37,0.0
314,네이블커뮤니케이션즈,153460,Dec-12,71.34,0.0
315,네이블커뮤니케이션즈,153460,Dec-13,4.62,0.0
316,네이블커뮤니케이션즈,153460,Dec-14,126.65,0.0
317,네이블커뮤니케이션즈,153460,Dec-15,7777.0,0.0
318,네이블커뮤니케이션즈,153460,Dec-16,7777.0,0.0
319,네이블커뮤니케이션즈,153460,Dec-17,-7777.0,0.0
320,네이블커뮤니케이션즈,153460,Dec-18,-7777.0,1.0
321,네이블커뮤니케이션즈,153460,Dec-19,-454.29,0.0
322,네이처셀,7390,Dec-11,-1.42,0.0
323,네이처셀,7390,Dec-12,-0.67,1.0
324,네이처셀,7390,Dec-13,1.54,0.0
325,네이처셀,7390,Dec-14,-2.98,
326,네이처셀,7390,Dec-15,-2.61,1.0
327,네이처셀,7390,Dec-16,-7.91,1.0
328,네이처셀,7390,Dec-17,-0.81,1.0
329,네이처셀,7390,Dec-18,7.8,1.0
330,네이처셀,7390,Dec-19,8.3,1.0
331,네패스,33640,Dec-11,3.47,0.0
332,네패스,33640,Dec-12,7.99,
333,네패스,33640,Dec-13,-0.1,
334,네패스,33640,Dec-14,0.66,1.0
335,네패스,33640,Dec-15,0.42,1.0
336,네패스,33640,Dec-16,1.36,1.0
337,네패스,33640,Dec-17,3.32,1.0
338,네패스,33640,Dec-18,4.79,1.0
339,네패스,33640,Dec-19,11.65,1.0
340,넥스턴바이오사이언스,89140,Dec-11,40.44,0.0
341,넥스턴바이오사이언스,89140,Dec-12,158.14,
