,회사명,거래소코드,회계년도,이자보상배율,부실기업,이보배2,회생기업2
150,광림,14200,13-Dec,6.18,0,0.7,
151,광림,14200,14-Dec,0.7,0,0.43,
152,광림,14200,15-Dec,0.43,1,0.16,
153,광림,14200,16-Dec,0.16,1,-3.19,
154,광림,14200,17-Dec,-3.19,1,-0.23,
155,광림,14200,18-Dec,-0.23,1,-2.3,
156,광림,14200,19-Dec,-2.3,1,,
157,광명전기,17040,11-Dec,0.38,0,3.63,
158,광명전기,17040,12-Dec,3.63,0,11.84,
159,광명전기,17040,13-Dec,11.84,0,19.42,
160,광명전기,17040,14-Dec,19.42,0,20.92,
161,광명전기,17040,15-Dec,20.92,0,10.52,
162,광명전기,17040,16-Dec,10.52,0,5.78,
163,광명전기,17040,17-Dec,5.78,0,3.61,
164,광명전기,17040,18-Dec,3.61,0,21.67,
165,광명전기,17040,19-Dec,21.67,0,,
166,광무,29480,11-Dec,-3.01,0,-2.69,
167,광무,29480,12-Dec,-2.69,1,-8.2,
168,광무,29480,13-Dec,-8.2,1,1.12,
169,광무,29480,14-Dec,1.12,0,-0.8,
170,광무,29480,15-Dec,-0.8,0,1.93,
171,광무,29480,16-Dec,1.93,0,0.32,
172,광무,29480,17-Dec,0.32,0,-3.19,
173,광무,29480,18-Dec,-3.19,1,-2.9,
174,광무,29480,19-Dec,-2.9,1,,
175,구영테크,53270,11-Dec,0.96,0,1.29,
176,구영테크,53270,12-Dec,1.29,0,1.39,
177,구영테크,53270,13-Dec,1.39,0,1.38,
178,구영테크,53270,14-Dec,1.38,0,1.97,
179,구영테크,53270,15-Dec,1.97,0,1.65,
180,구영테크,53270,16-Dec,1.65,0,2.37,
181,구영테크,53270,17-Dec,2.37,0,1.47,
182,구영테크,53270,18-Dec,1.47,0,1.33,
183,구영테크,53270,19-Dec,1.33,0,,
184,국동,5320,11-Dec,0.5,0,3.42,
185,국동,5320,12-Dec,3.42,0,3.64,
186,국동,5320,13-Dec,3.64,0,5.32,
187,국동,5320,14-Dec,5.32,0,4.08,
188,국동,5320,15-Dec,4.08,0,5.25,
189,국동,5320,16-Dec,5.25,0,-2.28,
190,국동,5320,17-Dec,-2.28,0,2.53,
191,국동,5320,18-Dec,2.53,0,-1.78,
192,국동,5320,19-Dec,-1.78,0,,
193,국보,1140,11-Dec,0.75,0,0.64,
194,국보,1140,12-Dec,0.64,1,0.36,
195,국보,1140,13-Dec,0.36,1,-1.31,
196,국보,1140,14-Dec,-1.31,1,-1.55,
197,국보,1140,15-Dec,-1.55,1,0.14,
198,국보,1140,16-Dec,0.14,1,-2.66,
199,국보,1140,17-Dec,-2.66,1,-4.03,
200,국보,1140,18-Dec,-4.03,1,-0.35,
201,국보,1140,19-Dec,-0.35,1,,
202,국순당,43650,11-Dec,167.22,0,172.69,
203,국순당,43650,12-Dec,172.69,0,9.21,
204,국순당,43650,13-Dec,9.21,0,9.17,
205,국순당,43650,14-Dec,9.17,0,-334.84,
206,국순당,43650,15-Dec,-334.84,0,-327.25,
207,국순당,43650,16-Dec,-327.25,1,-12.28,
208,국순당,43650,17-Dec,-12.28,1,-7.85,
209,국순당,43650,18-Dec,-7.85,1,-4.32,
210,국순당,43650,19-Dec,-4.32,1,,
211,국영지앤엠,6050,11-Dec,-170.81,0,-4.57,
212,국영지앤엠,6050,12-Dec,-4.57,1,2.35,
213,국영지앤엠,6050,13-Dec,2.35,0,5.13,
214,국영지앤엠,6050,14-Dec,5.13,0,-15.79,
215,국영지앤엠,6050,15-Dec,-15.79,0,3.4,
216,국영지앤엠,6050,16-Dec,3.4,0,17.57,
217,국영지앤엠,6050,17-Dec,17.57,0,-18.31,
218,국영지앤엠,6050,18-Dec,-18.31,0,15.75,
219,국영지앤엠,6050,19-Dec,15.75,0,,
220,그래디언트,35080,11-Dec,-48.06,0,1.38,
221,그래디언트,35080,12-Dec,1.38,0,7.5,
222,그래디언트,35080,13-Dec,7.5,0,14.81,
223,그래디언트,35080,14-Dec,14.81,0,26.27,
224,그래디언트,35080,15-Dec,26.27,0,13.02,
225,그래디언트,35080,16-Dec,13.02,0,13.33,
226,그래디언트,35080,17-Dec,13.33,0,8.44,
227,그래디언트,35080,18-Dec,8.44,0,10.13,
228,그래디언트,35080,19-Dec,10.13,0,,
229,금호에이치티,214330,15-Dec,20.53,0,11.57,
230,금호에이치티,214330,16-Dec,11.57,0,7.78,
231,금호에이치티,214330,17-Dec,7.78,0,3.66,
232,금호에이치티,214330,18-Dec,3.66,0,0.35,
233,금호에이치티,214330,19-Dec,0.35,0,,
234,기가레인,49080,13-Dec,5.72,0,7.6,
235,기가레인,49080,14-Dec,7.6,0,-13.79,
236,기가레인,49080,15-Dec,-13.79,0,-4.14,
237,기가레인,49080,16-Dec,-4.14,1,1.96,
238,기가레인,49080,17-Dec,1.96,0,-0.71,
239,기가레인,49080,18-Dec,-0.71,0,-8.09,
240,기가레인,49080,19-Dec,-8.09,1,,
241,기산텔레콤,35460,11-Dec,-3.73,0,0.71,
242,기산텔레콤,35460,12-Dec,0.71,1,4.99,
243,기산텔레콤,35460,13-Dec,4.99,0,2.53,
244,기산텔레콤,35460,14-Dec,2.53,0,2.72,
245,기산텔레콤,35460,15-Dec,2.72,0,-5.83,
246,기산텔레콤,35460,16-Dec,-5.83,0,-6.37,
247,기산텔레콤,35460,17-Dec,-6.37,1,-5.52,
248,기산텔레콤,35460,18-Dec,-5.52,1,6.63,
249,기산텔레콤,35460,19-Dec,6.63,0,,
250,까뮤이앤씨,13700,11-Dec,-14.28,0,0.46,
251,까뮤이앤씨,13700,12-Dec,0.46,1,-0.14,
252,까뮤이앤씨,13700,13-Dec,-0.14,1,0.4,
253,까뮤이앤씨,13700,14-Dec,0.4,1,1.65,
254,까뮤이앤씨,13700,15-Dec,1.65,0,1.92,
255,까뮤이앤씨,13700,16-Dec,1.92,0,4.85,
256,까뮤이앤씨,13700,17-Dec,4.85,0,2.29,
257,까뮤이앤씨,13700,18-Dec,2.29,0,5.87,
258,까뮤이앤씨,13700,19-Dec,5.87,0,,
259,나노신소재,121600,11-Dec,9.69,0,-2.32,
260,나노신소재,121600,12-Dec,-2.32,0,4.32,
261,나노신소재,121600,13-Dec,4.32,0,24.79,
262,나노신소재,121600,14-Dec,24.79,0,86.73,
263,나노신소재,121600,15-Dec,86.73,0,122.39,
264,나노신소재,121600,16-Dec,122.39,0,114.62,
265,나노신소재,121600,17-Dec,114.62,0,127.97,
266,나노신소재,121600,18-Dec,127.97,0,42.91,
267,나노신소재,121600,19-Dec,42.91,0,,
268,나무가,190510,15-Dec,8.35,0,-0.37,
269,나무가,190510,16-Dec,-0.37,0,-18.62,
270,나무가,190510,17-Dec,-18.62,1,1.01,
271,나무가,190510,18-Dec,1.01,0,1.15,
272,나무가,190510,19-Dec,1.15,0,,
273,나이벡,138610,11-Dec,-3.91,0,-2.68,
274,나이벡,138610,12-Dec,-2.68,1,-5.06,
275,나이벡,138610,13-Dec,-5.06,1,-5.51,
276,나이벡,138610,14-Dec,-5.51,1,-3.41,
277,나이벡,138610,15-Dec,-3.41,1,-3.51,
278,나이벡,138610,16-Dec,-3.51,1,-1.81,
279,나이벡,138610,17-Dec,-1.81,1,-4.64,
280,나이벡,138610,18-Dec,-4.64,1,-2.23,
281,나이벡,138610,19-Dec,-2.23,1,,
282,남성,4270,11-Dec,-0.06,0,-0.01,
283,남성,4270,12-Dec,-0.01,1,0.39,
284,남성,4270,13-Dec,0.39,1,0.41,
285,남성,4270,14-Dec,0.41,1,0.65,
286,남성,4270,15-Dec,0.65,1,1.01,
287,남성,4270,16-Dec,1.01,0,1.79,
288,남성,4270,17-Dec,1.79,0,0.23,
289,남성,4270,18-Dec,0.23,0,0.13,
290,남성,4270,19-Dec,0.13,1,,
291,내츄럴엔도텍,168330,13-Dec,675.61,0,4036.59,
292,내츄럴엔도텍,168330,14-Dec,4036.59,0,-805.99,
293,내츄럴엔도텍,168330,15-Dec,-805.99,0,-34.59,
294,내츄럴엔도텍,168330,16-Dec,-34.59,1,-1.96,
295,내츄럴엔도텍,168330,17-Dec,-1.96,1,-6.1,
296,내츄럴엔도텍,168330,18-Dec,-6.1,1,-4.35,
297,내츄럴엔도텍,168330,19-Dec,-4.35,1,,
298,네오리진,94860,11-Dec,1.61,0,1.27,
299,네오리진,94860,12-Dec,1.27,0,-2.65,
300,네오리진,94860,13-Dec,-2.65,0,-8.5,
301,네오리진,94860,14-Dec,-8.5,1,-19.24,
302,네오리진,94860,15-Dec,-19.24,1,9.47,
303,네오리진,94860,16-Dec,9.47,0,2.48,
304,네오리진,94860,17-Dec,2.48,0,-12.63,
305,네오리진,94860,18-Dec,-12.63,0,3.22,
306,네오리진,94860,19-Dec,3.22,0,,
307,네오오토,212560,15-Dec,9.39,0,10.05,
308,네오오토,212560,16-Dec,10.05,0,1.7,
309,네오오토,212560,17-Dec,1.7,0,2.49,
310,네오오토,212560,18-Dec,2.49,0,0.84,
311,네오오토,212560,19-Dec,0.84,0,,
312,네오펙트,290660,18-Dec,-5.77,0,-15.37,
313,네오펙트,290660,19-Dec,-15.37,1,,
314,네이블커뮤니케이션즈,153460,12-Dec,71.34,0,4.62,
315,네이블커뮤니케이션즈,153460,13-Dec,4.62,0,126.65,
316,네이블커뮤니케이션즈,153460,14-Dec,126.65,0,7777,
317,네이블커뮤니케이션즈,153460,15-Dec,7777,0,7777,
318,네이블커뮤니케이션즈,153460,16-Dec,7777,0,-7777,
319,네이블커뮤니케이션즈,153460,17-Dec,-7777,0,-7777,
320,네이블커뮤니케이션즈,153460,18-Dec,-7777,1,-454.29,
321,네이블커뮤니케이션즈,153460,19-Dec,-454.29,1,,
322,네이처셀,7390,11-Dec,-1.42,0,-0.67,
323,네이처셀,7390,12-Dec,-0.67,1,1.54,
324,네이처셀,7390,13-Dec,1.54,0,-2.98,
325,네이처셀,7390,14-Dec,-2.98,0,-2.61,
326,네이처셀,7390,15-Dec,-2.61,1,-7.91,
327,네이처셀,7390,16-Dec,-7.91,1,-0.81,
328,네이처셀,7390,17-Dec,-0.81,1,7.8,
329,네이처셀,7390,18-Dec,7.8,0,8.3,1
330,네이처셀,7390,19-Dec,8.3,0,,
331,네패스,33640,11-Dec,3.47,0,7.99,
332,네패스,33640,12-Dec,7.99,0,-0.1,
333,네패스,33640,13-Dec,-0.1,0,0.66,
334,네패스,33640,14-Dec,0.66,1,0.42,
335,네패스,33640,15-Dec,0.42,1,1.36,
336,네패스,33640,16-Dec,1.36,0,3.32,
337,네패스,33640,17-Dec,3.32,0,4.79,
338,네패스,33640,18-Dec,4.79,0,11.65,
339,네패스,33640,19-Dec,11.65,0,,
340,넥스턴바이오사이언스,89140,11-Dec,40.44,0,158.14,
341,넥스턴바이오사이언스,89140,12-Dec,158.14,0,284.57,
342,넥스턴바이오사이언스,89140,13-Dec,284.57,0,2169.07,
343,넥스턴바이오사이언스,89140,14-Dec,2169.07,0,7799.11,
344,넥스턴바이오사이언스,89140,15-Dec,7799.11,0,97436.72,
345,넥스턴바이오사이언스,89140,16-Dec,97436.72,0,1532.55,
346,넥스턴바이오사이언스,89140,17-Dec,1532.55,0,-624.03,
347,넥스턴바이오사이언스,89140,18-Dec,-624.03,0,2394.07,
348,넥스턴바이오사이언스,89140,19-Dec,2394.07,0,,
349,넥스트아이,137940,11-Dec,17771.19,0,4655.9,
350,넥스트아이,137940,12-Dec,4655.9,0,7777,
351,넥스트아이,137940,13-Dec,7777,0,102.65,
352,넥스트아이,137940,14-Dec,102.65,0,100.62,
353,넥스트아이,137940,15-Dec,100.62,0,6.38,
354,넥스트아이,137940,16-Dec,6.38,0,0.84,
355,넥스트아이,137940,17-Dec,0.84,0,5.06,
356,넥스트아이,137940,18-Dec,5.06,0,3.95,
357,넥스트아이,137940,19-Dec,3.95,0,,
358,넥스트엔터테인먼트월드,160550,14-Dec,13.68,0,-5.5,
359,넥스트엔터테인먼트월드,160550,15-Dec,-5.5,0,14.66,
360,넥스트엔터테인먼트월드,160550,16-Dec,14.66,0,-6.92,
361,넥스트엔터테인먼트월드,160550,17-Dec,-6.92,0,-6.46,
362,넥스트엔터테인먼트월드,160550,18-Dec,-6.46,1,-3.05,
363,넥스트엔터테인먼트월드,160550,19-Dec,-3.05,1,,
364,노블엠앤비,106520,12-Dec,11.2,0,17.99,
365,노블엠앤비,106520,13-Dec,17.99,0,1.3,
366,노블엠앤비,106520,14-Dec,1.3,0,-4.2,
367,노블엠앤비,106520,15-Dec,-4.2,0,-6.13,
368,노블엠앤비,106520,16-Dec,-6.13,1,-4.91,
369,노블엠앤비,106520,17-Dec,-4.91,1,-3.67,
370,노블엠앤비,106520,18-Dec,-3.67,1,-0.29,
371,노블엠앤비,106520,19-Dec,-0.29,1,,
372,녹십자엠에스,142280,14-Dec,9.68,0,2.64,
373,녹십자엠에스,142280,15-Dec,2.64,0,-3.5,
374,녹십자엠에스,142280,16-Dec,-3.5,0,0.26,
375,녹십자엠에스,142280,17-Dec,0.26,1,-6.18,
376,녹십자엠에스,142280,18-Dec,-6.18,1,-5.1,
377,녹십자엠에스,142280,19-Dec,-5.1,1,,
378,녹원씨엔아이,65560,11-Dec,2.99,0,-4.75,
379,녹원씨엔아이,65560,12-Dec,-4.75,0,-10.45,
380,녹원씨엔아이,65560,13-Dec,-10.45,1,-6.5,
381,녹원씨엔아이,65560,14-Dec,-6.5,1,1.06,
382,녹원씨엔아이,65560,15-Dec,1.06,0,-3.27,
383,녹원씨엔아이,65560,16-Dec,-3.27,0,2.53,
384,녹원씨엔아이,65560,17-Dec,2.53,0,2.98,
385,녹원씨엔아이,65560,18-Dec,2.98,0,2.87,
386,녹원씨엔아이,65560,19-Dec,2.87,0,,
387,누리플랜,69140,11-Dec,5.57,0,-2.1,
388,누리플랜,69140,12-Dec,-2.1,0,-3.78,
389,누리플랜,69140,13-Dec,-3.78,1,-7.07,
390,누리플랜,69140,14-Dec,-7.07,1,2.97,
391,누리플랜,69140,15-Dec,2.97,0,2.68,
392,누리플랜,69140,16-Dec,2.68,0,1.71,
393,누리플랜,69140,17-Dec,1.71,0,-3.53,
394,누리플랜,69140,18-Dec,-3.53,0,-0.94,
395,누리플랜,69140,19-Dec,-0.94,1,,
396,누리플렉스,40160,11-Dec,0.79,0,-3.57,
397,누리플렉스,40160,12-Dec,-3.57,1,2.55,
398,누리플렉스,40160,13-Dec,2.55,0,1.32,
399,누리플렉스,40160,14-Dec,1.32,0,16.93,
400,누리플렉스,40160,15-Dec,16.93,0,26.21,
401,누리플렉스,40160,16-Dec,26.21,0,1.9,
402,누리플렉스,40160,17-Dec,1.9,0,11.96,
403,누리플렉스,40160,18-Dec,11.96,0,8.52,
404,누리플렉스,40160,19-Dec,8.52,0,,
405,뉴로스,126870,12-Dec,5.1,0,4.27,
406,뉴로스,126870,13-Dec,4.27,0,-0.05,
407,뉴로스,126870,14-Dec,-0.05,0,0.61,
408,뉴로스,126870,15-Dec,0.61,1,1.49,
409,뉴로스,126870,16-Dec,1.49,0,0.89,
410,뉴로스,126870,17-Dec,0.89,0,0.47,
411,뉴로스,126870,18-Dec,0.47,1,-2.37,
412,뉴로스,126870,19-Dec,-2.37,1,,
413,뉴보텍,60260,11-Dec,-4.5,0,1.06,
414,뉴보텍,60260,12-Dec,1.06,0,1.11,
415,뉴보텍,60260,13-Dec,1.11,0,-0.72,
416,뉴보텍,60260,14-Dec,-0.72,0,6.79,
417,뉴보텍,60260,15-Dec,6.79,0,7.02,
418,뉴보텍,60260,16-Dec,7.02,0,-4.56,
419,뉴보텍,60260,17-Dec,-4.56,0,0.82,
420,뉴보텍,60260,18-Dec,0.82,1,4.51,
421,뉴보텍,60260,19-Dec,4.51,0,,
422,뉴인텍,12340,11-Dec,0.99,0,-3.18,
