,회사명,거래소코드,회계년도,이자보상배율,이보배2,부실기업,회생기업1,회생기업2
172,(주)광무,29480,201712,0.32,-3.19,1.0,0.0,0.0
173,(주)광무,29480,201812,-3.19,-2.9,1.0,0.0,0.0
174,(주)광무,29480,201912,-2.9,,1.0,0.0,0.0
175,(주)구영테크,53270,201112,0.96,1.29,1.0,,
176,(주)구영테크,53270,201212,1.29,1.39,0.0,1.0,0.0
177,(주)구영테크,53270,201312,1.39,1.38,0.0,0.0,1.0
178,(주)구영테크,53270,201412,1.38,1.97,0.0,0.0,1.0
179,(주)구영테크,53270,201512,1.97,1.65,0.0,0.0,1.0
180,(주)구영테크,53270,201612,1.65,2.37,0.0,0.0,1.0
181,(주)구영테크,53270,201712,2.37,1.47,0.0,0.0,1.0
182,(주)구영테크,53270,201812,1.47,1.33,0.0,0.0,1.0
183,(주)구영테크,53270,201912,1.33,,0.0,0.0,1.0
184,(주)국동,5320,201112,0.5,3.42,1.0,,
185,(주)국동,5320,201212,3.42,3.64,0.0,1.0,0.0
186,(주)국동,5320,201312,3.64,5.32,0.0,0.0,1.0
187,(주)국동,5320,201412,5.32,4.08,0.0,0.0,1.0
188,(주)국동,5320,201512,4.08,5.25,0.0,0.0,1.0
189,(주)국동,5320,201612,5.25,-2.28,0.0,0.0,1.0
190,(주)국동,5320,201712,-2.28,2.53,1.0,0.0,0.0
191,(주)국동,5320,201812,2.53,-1.78,0.0,0.0,0.0
192,(주)국동,5320,201912,-1.78,,1.0,0.0,0.0
193,(주)국보,1140,201112,0.75,0.64,1.0,,
194,(주)국보,1140,201212,0.64,0.36,1.0,0.0,0.0
195,(주)국보,1140,201312,0.36,-1.31,1.0,0.0,0.0
196,(주)국보,1140,201412,-1.31,-1.55,1.0,0.0,0.0
197,(주)국보,1140,201512,-1.55,0.14,1.0,0.0,0.0
198,(주)국보,1140,201612,0.14,-2.66,1.0,0.0,0.0
199,(주)국보,1140,201712,-2.66,-4.03,1.0,0.0,0.0
200,(주)국보,1140,201812,-4.03,-0.35,1.0,0.0,0.0
201,(주)국보,1140,201912,-0.35,,1.0,0.0,0.0
202,(주)국순당,43650,201112,167.22,172.69,0.0,,
203,(주)국순당,43650,201212,172.69,9.21,0.0,0.0,0.0
204,(주)국순당,43650,201312,9.21,9.17,0.0,0.0,0.0
205,(주)국순당,43650,201412,9.17,-334.84,0.0,0.0,0.0
206,(주)국순당,43650,201512,-334.84,-327.25,1.0,0.0,0.0
207,(주)국순당,43650,201612,-327.25,-12.28,1.0,0.0,0.0
