,회사명,거래소코드,회계년도,이자보상배율,총자산증가율,유형자산증가율,유동자산증가율,매출액증가율,재고자산증가율,자기자본증가율,순이익증가율,정상영업이익증가율,매출액총이익율,매출액순이익율,자기자본순이익율,총자본정상영업이익율,매출액정상영업이익율,총자본순이익율,총자본회전율,재고자산회전율,매출채권회전율,유형자산회전율,매입채무회전율,자기자본회전율,타인자본회전율,유동자산회전율,당좌자산회전률,순운전자본회전률,유동비율,당좌비율,현금비율,부채비율,차입금의존도,CASH_FLOW_대_부채비율,CASH_FLOW_대_매출액비율,CASH_FLOW_대_차입금비율,자기자본구성비율,차입금비율,당좌자산구성비율,유동자산구성비율,매출채권_대_매입채무비율,단기차입금_대_총차입금비율,유동부채비율,타인자본구성비율,재고자산_대_유동자산비율,재고자산_대_순운전자본비율,순운전자본비율,노동장비율,기계장비율,자본집약도,설비투자효율,총자본투자효율,부가가치율,직원감소율여부
1050,마이크로컨텍솔루션,98120,16-Dec,-36.86,-6.97,1.28,-8.34,-23.94,-15.67,-1.98,-104.85,-115.94,11.49,-0.92,-0.41,-1.39,-2.38,-0.54,0.59,5.16,6.49,1.93,18.13,0.66,5.61,1.1,1.4,0.96,957.95,762.04,160.28,9.09,1.45,42.02,5.76,240.93,91.66,1.59,41.96,52.75,394.89,13.66,6.01,8.34,20.45,22.83,47.24,0,0,0,50.64,16.1,26.46,0
1051,마이크로컨텍솔루션,98120,17-Dec,-119.78,-7.72,-0.98,-4.14,-0.8,-25.71,-9.65,0,0,8.21,-14.28,-9.24,-4.15,-6.61,-8.96,0.63,6.42,7.46,1.91,25.13,0.69,6.68,1.17,1.43,1.04,739.31,622.14,125.37,11.79,1.36,16.54,2.67,128.18,89.45,1.52,46.11,54.8,284.23,3.37,8.29,10.55,15.85,18.33,47.39,0,0,0,28.65,9.78,14.95,0
1052,마이크로컨텍솔루션,98120,18-Dec,-266.82,-13.24,6.81,-25.41,-4.9,-19.75,-12.98,0,0,3.41,-17.51,-12.82,-9.17,-13.76,-11.67,0.67,7.95,7.96,1.76,28.34,0.75,6.25,1.3,1.55,1.14,693.9,575.59,111.35,12.11,1.52,-1.76,-0.26,-12.53,89.19,1.7,39.08,47.11,474.01,10.87,7.61,10.81,17.05,19.92,40.32,0,0,0,26.89,11.3,15.76,0
1053,마이크로컨텍솔루션,98120,19-Dec,51.92,4.45,-6.98,15.43,34.05,19.09,2.63,0,0,14.64,2.42,2.71,1.83,1.95,2.27,0.94,10.92,7.56,2.37,38.6,1.06,8.06,1.89,2.29,1.63,564.68,465.35,102.15,14.27,1.62,-16.58,-2.25,-128.1,87.51,1.85,42.91,52.06,533.53,31.1,10.54,12.49,17.59,21.38,42.84,0,0,0,74.43,27.85,30.26,0
1054,마이크로프랜드,147760,16-Dec,45.53,56.64,-3.39,83.98,22.49,18.84,84.55,105.39,116.61,23.34,10.39,14.31,11.95,12.08,10.28,0.99,3.29,27.26,6.97,16.45,1.38,3.51,1.33,2.24,1.06,484.04,319.7,301.2,31,5.91,32.53,9.5,130.19,76.34,7.75,52.05,78.81,40.7,0,21.33,23.66,33.95,42.79,62.53,0,0,0,277.62,29.71,36.65,0
1055,마이크로프랜드,147760,17-Dec,96.88,1.56,130.64,-14.56,12.09,23.97,13.91,18.41,16.54,24.38,10.98,12.21,11.32,12.56,9.89,0.9,3.03,37.53,4.81,21.4,1.11,4.75,1.24,2.11,1.05,623.35,316.26,280.33,16.8,3.81,52.73,8.48,199.24,85.61,4.45,33.64,66.3,84.04,0,12.42,14.39,49.26,58.68,55.66,71.97,22.26,315.23,146.73,33.5,37.45,0
1056,마이크로프랜드,147760,18-Dec,-44.06,10.01,87.44,-19.95,-19.18,-18.76,-4.14,0,0,8.02,-4.6,-3.97,-5.21,-7.56,-3.17,0.69,2.44,18.75,1.94,21.9,0.86,3.42,1.21,2.4,0.95,236.12,118.07,92.58,34.04,10.04,23.19,8.96,58.64,74.6,13.46,24.13,48.25,146.58,0,27.39,25.4,50,86.72,27.81,0,0,0,86.44,17.65,26.85,0
1057,마이크로프랜드,147760,19-Dec,-12.4,-5.65,7.44,-13.5,-9.59,-22.03,-10.68,0,0,11.11,-12.65,-10.64,-4.61,-7.54,-7.73,0.61,2.77,10.45,1.29,20.48,0.84,2.24,1.32,2.53,0.92,216.44,118.9,79.79,41.6,12.14,26.36,12.3,63.77,70.62,17.2,24.3,44.23,254.45,94.35,28.94,29.38,45.07,83.77,23.8,0,0,0,42.69,17.29,27.46,0
1058,마크로젠,38290,11-Dec,99.05,24.69,2.09,56.33,35.67,65.69,16.15,425.16,161.28,46.8,9.69,7.88,8.39,13.48,6.03,0.62,14.32,4.76,1.62,20.24,0.81,2.71,1.18,1.29,0.91,313.62,287.16,46.37,33.98,1.19,56.61,25.61,1209.83,74.64,1.59,52.99,57.87,385.34,59.53,24.72,25.36,8.44,12.39,39.42,105.2,63.39,302.52,69.84,24.48,43.66,0
1059,마크로젠,38290,12-Dec,3.91,42.19,33.21,50.98,36.28,60.71,20.41,10.76,18.86,42.22,7.76,7.37,7.42,11.76,4.9,0.63,12,5.2,1.87,20.92,0.93,1.96,1.05,1.15,0.82,385.61,350.97,61.15,58.8,16.34,36.44,25.11,82.59,62.97,25.94,55.93,61.45,418.76,0,25.3,37.03,8.98,12.13,45.51,130.03,88.7,398.57,71.77,23.57,43.86,0
1060,마크로젠,38290,13-Dec,2.29,6.81,-10.57,20.13,8.95,-19.91,16.28,85.24,-31.23,44.24,13.42,11.56,4.2,7.42,7.6,0.57,11.78,4.75,1.88,24.24,0.86,1.66,0.87,0.93,0.65,243.43,228.85,66.93,46.07,14.76,36.48,20.99,77.93,68.46,21.57,64.97,69.11,616.77,98.55,41.47,31.54,5.99,10.16,40.72,100.33,62.87,386.32,98.94,27.21,49.63,0
1061,마크로젠,38290,14-Dec,7.7,32.45,62.9,18.52,12.59,86.81,11.82,-53.49,-27.11,39.97,5.6,4.72,2.55,4.8,2.98,0.53,10.4,3.77,1.71,17.77,0.85,1.41,0.82,0.89,0.62,425.91,385.71,16.1,73.06,25.27,16.05,14.55,26.82,57.78,43.73,56,61.84,409.7,0,25.13,42.22,9.44,12.34,47.32,118.26,71.93,437.38,54.93,18.56,39.83,0
1062,마크로젠,38290,15-Dec,4.99,15.61,-1.06,16.66,46.93,79.76,13.86,240.33,60.22,32.94,12.68,14.23,3.33,5.24,8.05,0.64,8.38,3.93,2.04,17.4,1.1,1.5,1.02,1.16,0.81,338.46,289.23,31.62,73.41,22.18,12.08,8.64,23.06,57.67,38.47,53.33,62.4,472.86,1.15,31.97,42.33,14.54,20.64,43.97,86.75,49.83,414.64,90.39,26.16,44.18,0
1063,마크로젠,38290,16-Dec,1.61,18.77,11.47,15.22,14.56,18.3,8.46,-57.72,-24.61,32.77,4.86,5.42,2.14,3.45,3.01,0.62,6.85,4.15,2.22,16.29,1.13,1.38,1.01,1.19,0.68,150.42,127.96,42.16,90.21,24.32,20.41,16.95,39.8,52.57,46.26,51.5,60.54,331.31,76.63,76.55,47.43,14.93,44.55,20.29,0,0,0,88.44,23.74,41.57,0
1064,마크로젠,38290,17-Dec,1.4,12.03,-6.47,29.96,11.72,9.98,14.21,121.56,-3.89,33.07,9.11,10.78,1.79,2.97,5.48,0.6,6.72,4.54,2.43,16.18,1.14,1.28,0.92,1.06,0.57,176.37,154.08,61.32,87.77,22.43,22.02,18.07,45.91,53.26,42.11,61.36,70.23,380.92,74.27,74.77,46.74,12.64,29.18,30.41,0,0,0,123.99,27.43,48.15,0
1065,마크로젠,38290,18-Dec,1.25,0.96,-1.04,6.6,8.36,32.01,26.14,-62.63,-30.36,32.73,2.38,3.34,1.17,1.91,1.46,0.61,5.99,4.85,2.74,16.15,1.03,1.52,0.85,0.99,0.57,225.09,189.86,54.23,51.65,6.49,23.33,13,122.41,65.94,9.84,62.55,74.16,292.73,0,49.96,34.06,15.65,28.16,41.21,0,0,0,108.73,23.27,38.06,0
1066,마크로젠,38290,19-Dec,0.3,25.01,20.59,-21.23,10.84,-36.49,-4.71,-198.32,-65.76,31.81,-10.95,-3.01,0.35,0.59,-6.59,0.6,7.14,4.63,2.76,15.33,1.08,1.36,1.02,1.19,0.64,124.56,108.84,19.25,109.17,20.57,12.79,12.31,32.44,47.81,43.03,40.83,46.73,364.56,37.3,78.47,52.19,12.62,64,9.21,0,0,0,78.47,15.57,28.72,0
1067,매직마이크로,127160,15-Dec,-1.22,0,0,0,0,0,0,0,0,11.54,-3.63,-6.21,-1.25,-1.8,-2.52,0.69,6.95,4.88,1.23,6.03,1.71,1.17,2.28,3.4,1.08,89.52,60.14,11.63,146.39,40.52,-1.56,-1.33,-2.28,40.59,99.83,20.44,30.43,123.5,41.49,83.75,59.41,32.82,0,-3.56,113.31,21.05,387.97,37.94,21.18,30.49,0
1068,매직마이크로,127160,16-Dec,-4.36,1.23,-2.41,11.65,-0.8,9.9,-12.94,0,0,0.29,-10.04,-17.96,-6.45,-9.43,-6.87,0.68,6.57,5.24,1.23,6.16,1.82,1.1,2.14,3.17,0.89,60.75,41.12,16.53,187.07,49.71,-2.75,-2.63,-3.6,34.84,142.69,22.72,33.56,111.63,83.74,158.59,65.16,32.31,0,-21.68,125.92,20.55,483.32,30.73,16.08,23.63,0
1069,매직마이크로,127160,17-Dec,-1.99,-2.69,15.77,-35.73,19.79,0.95,2.65,0,0,3.57,-5.91,-13.16,-3.6,-4.36,-4.89,0.83,7.48,8.07,1.38,6.94,2.32,1.29,2.96,4.89,1,40.57,19.98,0.89,173.43,42.97,6.98,5.28,10.3,36.57,117.5,10.92,22.17,64.64,86.62,149.38,63.43,50.75,0,-32.47,251.99,15.97,886.62,27.49,15.89,18.96,0
1070,매직마이크로,127160,18-Dec,0.12,50.6,-2.73,78.86,3.07,24.09,100.94,0,0,14.01,-5.16,-7.78,0.34,0.5,-3.55,0.69,6.85,6.71,1.35,6.37,1.5,1.27,2.79,4.72,0.94,59.63,38.64,7.75,91.82,32.16,7.6,6.34,11.3,52.13,61.7,17.06,26.32,123.58,94.8,84.68,47.87,35.21,0,-17.82,0,0,0,31.51,13.2,23.02,1
1071,매직마이크로,127160,19-Dec,-1.82,-7.6,-39.87,-14.28,-7.79,-32.44,-19.48,0,-2228.39,11.32,-21.3,-23.47,-6.31,-11.48,-11.7,0.55,6.81,4.52,1.57,5,1.13,1.07,2.16,3.17,0.76,48.43,34.99,5.63,121.52,33.29,3.72,3.56,6.13,45.14,73.75,17.64,24.42,100.58,89.4,111.71,54.86,27.75,0,-26.01,0,0,0,34.8,9.5,16.61,0
1072,메디프론디비티,65650,11-Dec,2.96,-4.2,-15.43,-15.78,0.28,36.51,1.77,0,0,19.12,5.17,1.83,1.72,5.15,1.73,0.34,5.21,7.16,49.47,0,0.35,6.55,1.13,1.44,0.99,2530.92,1838.51,693.91,2.23,0,-103.32,-6.58,0,97.82,0,20.13,27.7,0,0,1.12,2.18,27.36,28.48,26.61,9.43,3.58,1486.3,1029.23,6.53,19.07,0
1073,메디프론디비티,65650,12-Dec,-1812.66,-5.6,-21.6,-19.37,-33.24,0.29,-6.22,0,0,-3.91,-24.33,-5.87,-5.82,-24.73,-5.72,0.24,3.01,8.67,40.4,229.75,0.24,9.43,0.91,1.31,0.88,3954.45,2608.78,966.78,2.91,0,-19.72,-2.3,0,97.18,0,15.61,23.66,874.65,0,0.62,2.82,34.03,34.91,23.06,7.69,3.35,1459.23,-151.74,-0.8,-3.3,0
1074,메디프론디비티,65650,13-Dec,-1812.66,-4.83,-35.28,-24.43,28.22,-15.64,-5.55,0,0,4.57,-17.79,-5.85,-4.61,-14.5,-5.66,0.32,4.18,13.61,71.56,71.38,0.33,10,1.49,2.33,1.45,2516.09,1560.33,354.51,3.69,0,-114.61,-12.49,0,96.44,0,11.65,18.79,412.74,0,0.77,3.56,37.99,39.56,18.04,4.97,2.16,1388.71,-59.73,-0.21,-0.66,0
1075,메디프론디비티,65650,14-Dec,-1812.66,-23.72,-70.57,-21.82,-52.26,-36.22,-25.51,0,0,-1.55,-157.24,-29.11,-8.6,-48.66,-27.79,0.18,2.66,6.3,67.18,18.43,0.19,3.9,0.93,1.43,0.88,1309.63,903.82,84.48,6.18,0,-49,-13.96,0,94.18,0,13.29,19.26,209,0,1.56,5.82,30.99,33.55,17.79,1.53,0.7,1103.41,-17601.69,-24.33,-119.17,0
1076,메디프론디비티,65650,15-Dec,0.81,16.45,-70.47,41.49,51.93,12.47,-4.58,0,0,16.84,-20.79,-7.01,0.88,3.08,-5.96,0.29,4.89,10.57,346.48,22.2,0.34,1.91,1.33,1.83,1.25,1719.16,1295.7,359.51,29.58,18.64,-1.2,-1.03,-1.47,77.17,24.16,17.64,23.4,210.86,0,1.76,22.83,24.63,26.15,22.04,0.54,0.25,1541.95,-5932.86,-2.08,-7.81,0
1077,메디프론디비티,65650,16-Dec,-2.56,-10.01,4.44,31.16,59.42,72.89,7.46,0,0,11.47,-30.25,-16.05,-1.69,-3.79,-13.52,0.45,5.4,15.57,1185.04,13.95,0.53,2.84,1.57,2.21,1.4,581.42,392.64,112.92,8.52,0,-30.33,-5.05,0,92.15,0,23.03,34.1,57.41,0,6.37,7.85,32.47,39.21,28.24,0,0,0,-22046.77,-8.97,-19.01,0
1078,메디프론디비티,65650,17-Dec,2.96,-5.44,-38.41,116.84,59.66,7.32,-3.22,0,0,11.68,-54.77,-45.51,1.78,2.3,-42.42,0.77,6.56,19.62,2291.93,18.77,0.83,11.38,1.39,1.77,1.29,2613.6,2193.62,433.17,6.04,0,-77.73,-5.55,0,94.31,0,65.64,78.21,172.14,0,3.17,5.69,16.07,16.71,75.21,0,0,0,-145764.42,-38.63,-48.48,0
1079,메디프론디비티,65650,18-Dec,-1812.66,-17.81,165.73,-2.13,-4.88,17.21,-22.44,0,0,6.92,-27.97,-25.32,-6.57,-7.89,-23.27,0.83,5.55,16.91,1563.82,17.73,0.91,10.28,0.98,1.19,0.93,1297.17,1047.53,167.89,12.37,0,-42.6,-5.08,0,88.99,0,75.2,93.12,71.55,0,8.07,11.01,19.24,20.85,85.94,0,0,0,-21856.77,-18.73,-20.31,0
1080,메디프론디비티,65650,19-Dec,-1812.66,-9.79,221.92,-12.25,-12.45,31.5,-7.85,0,0,4.85,-10.22,-9.65,-10.54,-12.41,-8.67,0.85,3.89,12.42,446.6,14.99,0.94,8.4,0.92,1.21,0.86,1718.09,1222.59,44.72,10,0.14,-145.16,-14.75,-9366.24,90.91,0.16,64.45,90.57,210.14,41.24,5.8,9.09,28.84,30.62,85.3,0,0,0,-186.95,-0.57,-0.64,0
1081,메지온,140410,12-Dec,-1.9,113.1,5.74,227.45,69.59,0,124.84,-25.58,-39.84,0,27.75,5.21,3.4,19.56,4.82,0.17,0,111.48,48.19,24.98,0.19,2.33,0.22,0.22,0.21,2022.79,2022.79,682.71,6.26,0,20.35,9.39,0,94.11,0,88.51,88.51,0,0,4.65,5.89,0,0,84.14,13.09,0,4807.27,1467.16,3.99,31.29,1
1082,메지온,140410,13-Dec,-77.58,-5.89,-22.63,-2.24,-48.77,0,-1.83,0,0,0,-18.87,-1.32,-3.79,-56.17,-1.27,0.07,19.35,0,27.09,12.8,0.07,1.72,0.07,0.08,0.07,42687.72,42354.18,21837.41,1.87,0,-17.87,-4.72,0,98.16,0,91.23,91.95,0,0,0.22,1.84,0.78,0.78,91.73,9.45,0,4222.66,37.65,0.08,1.21,0
1083,메지온,140410,14-Dec,-77.58,22.95,122.23,26.22,1.19,398.47,6.39,0,0,0,-57.64,-4,-6.96,-110.37,-3.64,0.06,3.27,7.62,19.5,1642.17,0.07,0.69,0.07,0.07,0.06,686.8,665.6,366.53,17.72,0,-34.35,-90.4,0,84.94,0,91.48,94.39,21540.67,0,16.18,15.06,3.09,3.61,80.65,16.58,8.58,4098.67,-617.05,-2.5,-43.65,1
1084,메지온,140410,15-Dec,-1.9,32.33,137.7,32.41,235.08,-9.59,-5.46,0,0,0,28.29,6.56,-3.02,-18.31,4.67,0.16,6.91,13.23,28.06,13.28,0.23,0.57,0.17,0.18,0.15,709.38,694.43,476.18,64.79,24.49,-3.37,-9.15,-5.41,60.68,40.35,92.46,94.45,48.49,0,21.94,39.32,2.11,2.45,81.13,31.21,27.28,4293.85,1177.82,8.56,59.1,1
1085,메지온,140410,16-Dec,-1.96,0,0,0,0,0,0,0,0,56.72,-148.38,-24.59,-7.53,-82.5,-13.54,0.09,3.64,7.55,43.05,2.54,0.17,0.2,0.09,0.1,0.08,571.54,556.94,124.96,81.6,27.38,-14.1,-69.44,-23.15,55.07,49.72,95.71,98.22,33.63,0,31.21,44.93,2.55,3.1,81.04,8.47,0,3965.17,-3896.62,-8.26,-90.51,0
1086,메지온,140410,17-Dec,-6.08,-22.8,323.45,-25.15,-36.17,13.73,0.68,0,0,16.09,-266.42,-28.08,-19.83,-301.59,-17.51,0.07,2.17,3.93,10.5,1.89,0.11,0.17,0.07,0.07,0.06,344.02,330.67,156.48,39.25,11.04,-46.22,-172.68,-117.99,71.81,15.38,91.53,95.22,68.36,0,38.54,28.19,3.88,5.47,67.54,16.21,12.48,1305.94,-1325.7,-15.41,-204.29,1
1087,메지온,140410,18-Dec,-40.01,1.38,39.44,-0.68,241.71,-12.31,7.8,0,0,16.96,-98.89,-34.17,-29.41,-114.87,-25.32,0.26,7.43,11.07,18.52,6.99,0.35,0.99,0.27,0.28,0.21,394.69,381.16,166.58,30.95,0.32,-98.47,-91.52,-7313.71,76.36,0.42,90.09,93.28,58.87,0,30.95,23.64,3.43,4.59,69.65,0,0,0,-1440.38,-22.87,-89.94,0
1088,메지온,140410,19-Dec,-77.58,-21.56,308.45,-25.95,-0.82,150.13,-25.28,0,0,16.35,-122.82,-46.43,-36.82,-130.26,-34.72,0.28,4.51,8.18,6.2,5.77,0.38,1.12,0.31,0.33,0.25,383.79,339.36,115.8,37.46,6.11,-132.78,-112.52,-592.13,72.75,8.4,77.87,88.07,80.22,32.74,31.54,27.25,11.58,15.66,65.12,0,0,0,-347.65,-28.95,-90.03,0
1089,메타랩스,90370,11-Dec,1.44,14.74,-0.92,22.6,10.22,15.75,0.14,0,0,63.94,0.32,0.68,3.14,3.34,0.3,0.94,2.32,6.49,4.35,5.7,2.14,1.68,1.35,3.21,0.77,129.3,56.12,1.72,143.14,30.69,-1.43,-0.96,-2.74,41.13,74.61,31.27,72.04,94.15,93.61,135.47,58.87,56.6,249.79,16.32,51.33,0,261.58,94.41,19.02,21.59,0
1090,메타랩스,90370,12-Dec,-1.83,-9.79,-10.71,-7.35,-4.01,-7.35,-19.45,0,0,61.67,-18.14,-41.31,-5.02,-5.65,-16.13,0.89,2.15,5.93,4.44,5.55,2.28,1.46,1.22,2.81,0.7,142.53,61.86,16.61,172.3,38.03,-6.56,-4.43,-10.91,36.72,103.55,32.11,73.99,92.99,73.56,141.36,63.28,56.6,189.68,22.08,55.33,0,271.77,33.66,6.71,7.16,0
1091,메타랩스,90370,13-Dec,0.92,-9.05,-3.81,-12.53,-2.89,0.26,-7.36,0,0,64.22,-7.84,-20.16,2.16,2.27,-7.47,0.95,2.17,6.77,4.65,5.62,2.57,1.51,1.31,3.32,0.74,116.22,40.82,3.14,167.34,30.54,-3.56,-2.23,-7.3,37.41,81.65,25,71.16,74.87,0,163.7,62.59,64.87,464.9,9.93,51.47,0,233.21,79.73,16.81,16.8,0
1092,메타랩스,90370,14-Dec,0.68,2.47,-19.78,10.83,-9.58,13.97,3.88,0,-31.94,65.31,-3.16,-7.49,1.53,1.71,-2.82,0.89,1.83,6.52,4.76,5.09,2.37,1.43,1.21,3.53,0.71,178.17,59.31,10.12,163.71,35.49,-4.6,-3.23,-8.05,37.92,93.58,25.62,76.97,82.09,52,113.92,62.08,66.71,152.05,33.77,41.28,0,252.77,98.39,16.24,18.39,0
1093,메타랩스,90370,15-Dec,-7.42,-21.25,-5.85,-21.44,-9.28,-23.95,-64.28,0,0,48.31,-31.65,-98.51,-18.97,-21.16,-28.36,0.9,1.77,6.77,5,5.33,3.11,1.26,1.17,3.41,0.68,107.54,38.09,7.35,481.33,47.12,-9.91,-8.07,-17.42,17.2,273.91,27.2,76.79,75.24,87.21,415.08,82.8,64.58,920.92,5.38,45.29,0,220.89,-42.91,-8.47,-8.32,0
1094,메타랩스,90370,16-Dec,-6.86,-32.75,-10.53,-39.22,-20.63,-53.88,19.18,0,0,36.48,-42.6,-182.44,-34.08,-35.3,-41.13,0.97,2.23,7.36,4.32,6.01,4.28,1.25,1.31,3.17,0.68,111.76,57,32.33,228.03,35.19,-16.79,-9.72,-33.16,30.48,115.42,35.39,69.4,96.21,88.41,203.71,69.52,49,465.65,7.3,0,0,0,-87.5,-22.97,-19.13,0
1095,메타랩스,90370,17-Dec,-5.53,-35.53,-31.33,-47.35,-70.86,-69.18,29.78,0,0,31,-141.39,-141.25,-25.27,-59.4,-60.16,0.43,1.57,4.6,1.58,3.51,1,0.74,0.66,1.14,0.37,157.78,112.52,53.69,62.95,12.44,-48.38,-34.44,-150.2,61.37,20.28,40.42,56.68,44.73,0,58.53,38.63,28.69,78.34,20.76,0,0,0,-173.29,-48.36,-89.11,0
1096,메타랩스,90370,18-Dec,-4.89,116.63,-74.71,48.93,76.56,-60.02,122.47,0,0,40.2,-29.58,-27.64,-11.19,-18.48,-17.91,0.61,8.42,9.7,5.47,14.5,0.91,1.79,1.36,1.62,0.81,143.08,132.06,56.66,46.23,19.41,-22.69,-16.22,-36.96,68.39,28.38,35.96,38.97,1181.77,99.99,39.82,31.61,7.7,25.58,11.73,0,0,0,-3.89,-0.13,-0.29,0
1097,메타랩스,90370,19-Dec,-0.56,-8.23,-34.58,-14.84,83.42,48.71,-15.73,0,0,33.48,-29.19,-40.07,-1.96,-2.32,-24.7,0.85,21.74,9.25,30.06,158.3,1.32,2.36,2.25,2.51,1.33,144.47,125.04,25.01,67.71,28.74,-13.76,-6.28,-19.33,59.63,48.19,31.3,36.16,2352.54,63.32,41.98,40.37,13.45,43.69,11.13,21.32,5.95,1527.83,-224.01,-5.21,-5.9,0
1098,메타바이오메드,59210,11-Dec,4.54,1.45,7.9,-8.81,12.98,19.54,21.9,40.27,45.37,48.07,4.06,3.41,5.61,11.08,2.06,0.51,5.19,3.62,0.99,52.21,0.76,1.52,1.35,1.82,0.88,146.64,103.21,16.2,38.01,22.35,22.45,12.3,27.67,72.46,30.84,25.05,35.59,1787.86,86.58,33.49,27.54,29.62,93.13,11.32,161.66,57.57,382.25,38.52,19.88,39.55,0
1099,메타바이오메드,59210,12-Dec,2.56,91.93,81.93,21.95,65.31,26.53,4.97,97.72,50.24,35.54,4.95,5.99,5.73,10.07,2.82,0.57,6.96,4.48,1.12,13.81,1.12,1.16,2.1,3.02,0.91,54.36,37.65,4.16,152.97,48.18,6.34,8.86,7.96,39.53,121.87,15.66,22.61,203.36,66.92,105.23,60.47,30.73,0,-18.99,163.6,63.63,473.9,25.79,12.64,29.2,0
1100,메타바이오메드,59210,13-Dec,1.36,12.91,-0.21,49.72,41.83,10.43,9.18,-6.85,-0.21,29.84,3.45,5.21,4.09,7.09,1.99,0.58,8.4,5.06,1.23,10.79,1.49,0.94,2.18,2.94,0.82,65.68,50.79,4.75,162.22,49.28,5.22,5.94,6.55,38.14,129.22,23.19,29.98,223.87,75.78,119.71,61.86,22.67,0,-15.67,157.43,59.97,534.27,36.03,15.43,28.38,0
1101,메타바이오메드,59210,14-Dec,-0.05,-1.48,1.5,6.95,-3.39,16.43,-1.25,0,0,27.85,-7.78,-11.46,-0.13,-0.25,-4.12,0.53,7.14,4.42,1.18,9.51,1.38,0.86,1.69,2.22,0.72,82.73,62.32,1.15,160.29,49.16,2.41,2.78,3.02,38.42,127.96,24.52,32.55,208.46,56.88,102.41,61.58,24.68,0,-6.8,139.66,53.14,480.67,22.78,10.2,19.12,0
1102,메타바이오메드,59210,15-Dec,3.29,-1.11,1.08,-6.95,11.78,69.87,18.46,0,0,37.62,1.41,1.72,6.25,10.42,0.85,0.6,5.5,5.15,1.3,10.48,1.43,1.03,1.9,2.9,0.81,66.74,36.67,2.72,118.81,43.22,3.75,3.38,4.71,45.7,94.57,16.83,30.63,197.29,84.13,100.42,54.3,45.05,0,-15.27,121.51,43.91,396.5,43.45,19.92,33.04,0
1103,메타바이오메드,59210,16-Dec,2.69,5.53,-12.33,34.08,-4.09,-0.5,1.42,-20.7,-43.77,36.12,1.14,1.25,3.44,6.11,0.64,0.56,4.2,5.28,1.32,10.37,1.26,1.02,1.61,2.62,0.69,82.12,54.66,6.19,127.3,43.73,7.41,7.58,9.49,43.99,99.41,25.9,38.91,195.46,84.03,107.71,56.01,33.43,0,-8.47,0,0,0,54.03,19.71,35.98,0
1104,메타바이오메드,59210,17-Dec,1.3,-0.34,3.5,-6.67,-0.67,-6.32,-10.81,-742.36,-41.97,31.69,-6.08,-8.41,1.95,3.57,-3.31,0.55,4.32,5.32,1.38,11.9,1.31,0.94,1.45,2.18,0.64,78.53,52.18,9.85,153.12,50.12,3.3,3.66,3.99,39.51,126.85,24.22,36.44,269.28,74.21,117.46,60.49,33.55,0,-9.96,0,0,0,38.9,14.5,26.56,0
1105,메타바이오메드,59210,18-Dec,-1.44,-18.36,-15.57,-7.64,-2.34,-10.07,8.6,0,-198.58,28.4,-1.74,-2.39,-2.12,-3.6,-1.02,0.59,4.59,5.22,1.44,18.13,1.29,1.07,1.52,2.28,0.71,98.84,66.55,13.47,90.41,37.2,-5.96,-4.33,-7.61,52.52,70.83,27.76,41.23,462.79,90.5,79.42,47.48,32.67,0,-0.48,0,0,0,52.04,21.04,32.21,0
1106,메타바이오메드,59210,19-Dec,4.83,5.73,7.83,2.62,-6.93,15.3,6.6,0,0,44.01,6.02,6.48,5.72,9.69,3.56,0.59,4.19,4.21,1.41,18.83,1.12,1.25,1.46,2.23,0.73,105.05,66.49,5.97,88.28,37.24,-2.5,-2.04,-3.14,53.11,70.12,25.33,40.01,434.04,79.15,71.71,46.89,36.71,762.97,1.93,0,0,0,78.2,32.82,57.08,0
1107,멕아이씨에스,58110,15-Dec,-0.74,0,0,0,0,0,0,0,0,46.09,28.85,25.33,-1.99,-4.8,11.97,0.42,4.82,8.52,0.74,40.52,0.88,0.79,1.46,2.1,1,216.73,150.84,102.51,111.58,48.44,0.84,1.07,0.91,47.26,102.49,19.73,28.35,475.64,20.18,27.67,52.74,30.4,56.44,15.27,196.02,7.19,349.89,61.04,34.2,82.4,0
1108,멕아이씨에스,58110,16-Dec,-3.55,0,0,0,0,0,0,0,0,42.54,-22.88,-18.13,-5.91,-18.67,-7.24,0.32,3,4.69,0.66,14.53,0.8,0.52,0.79,1.07,0.69,671.9,495.24,360.8,153.83,54.99,-14.67,-28.1,-16.17,39.4,139.59,29.52,40.05,309.83,3.54,15.13,60.6,26.29,30.89,34.09,221.1,8.42,471.17,22.33,10.69,33.79,0
1109,멕아이씨에스,58110,17-Dec,-1.78,-9.15,0.04,-17.62,8.61,0.98,-20.02,0,0,41.38,-22.77,-21.98,-4.28,-11.89,-8.2,0.36,3.25,5.07,0.71,22.81,0.97,0.57,0.94,1.32,0.83,794.99,538.75,341.89,188,60.4,-10.68,-18.43,-11.54,34.72,173.95,24.61,36.31,814.84,2.96,13.16,65.28,32.23,36.87,31.75,0,0,0,24.09,12.68,33.52,0
1110,멕아이씨에스,58110,18-Dec,-1.94,7.46,9.95,-0.25,1.45,46.33,-35.48,0,0,38.92,-31.58,-41.83,-7.74,-20.93,-11.68,0.37,2.66,3.84,0.69,11.61,1.3,0.52,1.06,1.76,0.69,106.16,55.96,13.32,345.85,62.43,-6.75,-14.66,-8.39,22.43,278.35,17.77,33.71,219.96,30.3,141.57,77.57,47.28,815.36,1.95,0,0,0,20.96,11.3,31.63,0
