,회사명,거래소코드,회계년도,이자보상배율,부실기업
205,(주)고영테크놀러지,98460,2017,6141.06,
206,(주)고영테크놀러지,98460,2018,5839.89,
207,(주)고영테크놀러지,98460,2019,112.96,
208,(주)골드앤에스,35290,2011,1.13,
209,(주)골드앤에스,35290,2012,-1.91,
210,(주)골드앤에스,35290,2013,-3.83,1.0
211,(주)골드앤에스,35290,2014,-1.41,1.0
212,(주)골드앤에스,35290,2015,1.99,
213,(주)골드앤에스,35290,2016,2.42,
214,(주)골드앤에스,35290,2017,-26.15,
215,(주)골드앤에스,35290,2018,-4.56,1.0
216,(주)골드앤에스,35290,2019,-1.46,1.0
217,(주)골드퍼시픽,38530,2011,14.16,
218,(주)골드퍼시픽,38530,2012,2.66,
219,(주)골드퍼시픽,38530,2013,-11.34,
220,(주)골드퍼시픽,38530,2014,-4.33,1.0
221,(주)골드퍼시픽,38530,2015,-9.59,1.0
222,(주)골드퍼시픽,38530,2016,-17.43,1.0
223,(주)골드퍼시픽,38530,2017,0.62,1.0
224,(주)골드퍼시픽,38530,2018,-0.68,1.0
225,(주)골드퍼시픽,38530,2019,-0.89,1.0
226,(주)골프존,215000,2015,,
227,(주)골프존,215000,2016,59.8,
228,(주)골프존,215000,2017,52.52,
229,(주)골프존,215000,2018,37.61,
230,(주)골프존,215000,2019,32.18,
231,(주)골프존뉴딘홀딩스,121440,2011,1101.46,
232,(주)골프존뉴딘홀딩스,121440,2012,31.08,
233,(주)골프존뉴딘홀딩스,121440,2013,25.98,
234,(주)골프존뉴딘홀딩스,121440,2014,22.05,
235,(주)골프존뉴딘홀딩스,121440,2015,-1.54,
236,(주)골프존뉴딘홀딩스,121440,2016,5.22,
237,(주)골프존뉴딘홀딩스,121440,2017,2.81,
238,(주)골프존뉴딘홀딩스,121440,2018,0.15,
239,(주)골프존뉴딘홀딩스,121440,2019,-0.36,1.0
240,(주)광림,14200,2011,4.55,
241,(주)광림,14200,2012,1.71,
242,(주)광림,14200,2013,6.18,
243,(주)광림,14200,2014,0.7,
244,(주)광림,14200,2015,0.43,1.0
245,(주)광림,14200,2016,0.16,1.0
246,(주)광림,14200,2017,-3.19,1.0
247,(주)광림,14200,2018,-0.23,1.0
248,(주)광림,14200,2019,-2.3,1.0
249,(주)광명전기,17040,2011,0.38,
250,(주)광명전기,17040,2012,3.63,
251,(주)광명전기,17040,2013,11.84,
252,(주)광명전기,17040,2014,19.42,
253,(주)광명전기,17040,2015,20.92,
254,(주)광명전기,17040,2016,10.52,
255,(주)광명전기,17040,2017,5.78,
256,(주)광명전기,17040,2018,3.61,
257,(주)광명전기,17040,2019,21.67,
258,(주)광무,29480,2011,-3.01,
259,(주)광무,29480,2012,-2.69,1.0
260,(주)광무,29480,2013,-8.2,1.0
261,(주)광무,29480,2014,1.12,
262,(주)광무,29480,2015,-0.8,
263,(주)광무,29480,2016,1.93,
264,(주)광무,29480,2017,0.32,
265,(주)광무,29480,2018,-3.19,1.0
266,(주)광무,29480,2019,-2.9,1.0
267,(주)광주신세계,37710,2011,,
268,(주)광주신세계,37710,2012,,
269,(주)광주신세계,37710,2013,13.07,
270,(주)광주신세계,37710,2014,10.46,
271,(주)광주신세계,37710,2015,15.34,
272,(주)광주신세계,37710,2016,30.68,
273,(주)광주신세계,37710,2017,86.86,
274,(주)광주신세계,37710,2018,715.98,
275,(주)광주신세계,37710,2019,193.26,
276,(주)구영테크,53270,2011,0.96,
277,(주)구영테크,53270,2012,1.29,
278,(주)구영테크,53270,2013,1.39,
279,(주)구영테크,53270,2014,1.38,
280,(주)구영테크,53270,2015,1.97,
281,(주)구영테크,53270,2016,1.65,
282,(주)구영테크,53270,2017,2.37,
283,(주)구영테크,53270,2018,1.47,
284,(주)구영테크,53270,2019,1.33,
285,(주)국동,5320,2011,0.5,
286,(주)국동,5320,2012,3.42,
287,(주)국동,5320,2013,3.64,
288,(주)국동,5320,2014,5.32,
289,(주)국동,5320,2015,4.08,
290,(주)국동,5320,2016,5.25,
291,(주)국동,5320,2017,-2.28,
292,(주)국동,5320,2018,2.53,
293,(주)국동,5320,2019,-1.78,
294,(주)국보,1140,2011,0.75,
295,(주)국보,1140,2012,0.64,1.0
296,(주)국보,1140,2013,0.36,1.0
297,(주)국보,1140,2014,-1.31,1.0
298,(주)국보,1140,2015,-1.55,1.0
299,(주)국보,1140,2016,0.14,1.0
300,(주)국보,1140,2017,-2.66,1.0
301,(주)국보,1140,2018,-4.03,1.0
302,(주)국보,1140,2019,-0.35,1.0
303,(주)국보디자인,66620,2011,238.18,
304,(주)국보디자인,66620,2012,2003.29,
305,(주)국보디자인,66620,2013,1539.88,
306,(주)국보디자인,66620,2014,1917.05,
307,(주)국보디자인,66620,2015,1867.07,
308,(주)국보디자인,66620,2016,6455.77,
309,(주)국보디자인,66620,2017,3543.84,
310,(주)국보디자인,66620,2018,382.19,
311,(주)국보디자인,66620,2019,592.26,
312,(주)국순당,43650,2011,167.22,
313,(주)국순당,43650,2012,172.69,
314,(주)국순당,43650,2013,9.21,
315,(주)국순당,43650,2014,9.17,
316,(주)국순당,43650,2015,-334.84,
317,(주)국순당,43650,2016,-327.25,1.0
318,(주)국순당,43650,2017,-12.28,1.0
319,(주)국순당,43650,2018,-7.85,1.0
320,(주)국순당,43650,2019,-4.32,1.0
321,(주)국영지앤엠,6050,2011,-170.81,
322,(주)국영지앤엠,6050,2012,-4.57,1.0
323,(주)국영지앤엠,6050,2013,2.35,
324,(주)국영지앤엠,6050,2014,5.13,
325,(주)국영지앤엠,6050,2015,-15.79,
326,(주)국영지앤엠,6050,2016,3.4,
327,(주)국영지앤엠,6050,2017,17.57,
328,(주)국영지앤엠,6050,2018,-18.31,
329,(주)국영지앤엠,6050,2019,15.75,
330,(주)국전약품,307750,2018,,
331,(주)국전약품,307750,2019,,
332,(주)그래디언트,35080,2011,-48.06,
333,(주)그래디언트,35080,2012,1.38,
334,(주)그래디언트,35080,2013,7.5,
335,(주)그래디언트,35080,2014,14.81,
336,(주)그래디언트,35080,2015,26.27,
337,(주)그래디언트,35080,2016,13.02,
338,(주)그래디언트,35080,2017,13.33,
339,(주)그래디언트,35080,2018,8.44,
340,(주)그래디언트,35080,2019,10.13,
341,(주)그리티,204020,2018,29.27,
342,(주)그리티,204020,2019,4.95,
343,(주)그린플러스,186230,2019,3.03,
344,(주)글로벌스탠다드테크놀로지,83450,2011,21.14,
345,(주)글로벌스탠다드테크놀로지,83450,2012,25.45,
346,(주)글로벌스탠다드테크놀로지,83450,2013,46.16,
347,(주)글로벌스탠다드테크놀로지,83450,2014,60.23,
348,(주)글로벌스탠다드테크놀로지,83450,2015,60.28,
349,(주)글로벌스탠다드테크놀로지,83450,2016,63.24,
350,(주)글로벌스탠다드테크놀로지,83450,2017,212.37,
351,(주)글로벌스탠다드테크놀로지,83450,2018,118.58,
352,(주)글로벌스탠다드테크놀로지,83450,2019,122.37,
353,(주)금비,8870,2011,3.74,
354,(주)금비,8870,2012,2.7,
355,(주)금비,8870,2013,3.03,
356,(주)금비,8870,2014,2.84,
357,(주)금비,8870,2015,8.69,
358,(주)금비,8870,2016,13.77,
359,(주)금비,8870,2017,9.07,
360,(주)금비,8870,2018,10.0,
361,(주)금비,8870,2019,9.6,
362,(주)금양,1570,2011,2.0,
363,(주)금양,1570,2012,1.68,
364,(주)금양,1570,2013,1.61,
365,(주)금양,1570,2014,1.52,
366,(주)금양,1570,2015,2.52,
367,(주)금양,1570,2016,3.26,
368,(주)금양,1570,2017,3.57,
369,(주)금양,1570,2018,3.72,
370,(주)금양,1570,2019,2.53,
371,(주)금호에이치티,214330,2015,20.53,
372,(주)금호에이치티,214330,2016,11.57,
373,(주)금호에이치티,214330,2017,7.78,
374,(주)금호에이치티,214330,2018,3.66,
375,(주)금호에이치티,214330,2019,0.35,
376,(주)금화피에스시,36190,2011,,
377,(주)금화피에스시,36190,2012,,
378,(주)금화피에스시,36190,2013,4840.81,
379,(주)금화피에스시,36190,2014,1424.85,
380,(주)금화피에스시,36190,2015,2638.71,
381,(주)금화피에스시,36190,2016,533.42,
382,(주)금화피에스시,36190,2017,539.47,
383,(주)금화피에스시,36190,2018,431.66,
