,회사명,거래소코드,회계년도,이자보상배율,이보배2,부실기업,회생기업1,회생기업2
160,광명전기,17040,2014-12,19.42,20.92,0.0,,
161,광명전기,17040,2015-12,20.92,10.52,0.0,,
162,광명전기,17040,2016-12,10.52,5.78,0.0,,
163,광명전기,17040,2017-12,5.78,3.61,0.0,,
164,광명전기,17040,2018-12,3.61,21.67,0.0,,
165,광명전기,17040,2019-12,21.67,,0.0,,
167,광무,29480,2012-12,-2.69,-8.2,1.0,,
168,광무,29480,2013-12,-8.2,1.12,1.0,,
169,광무,29480,2014-12,1.12,-0.8,0.0,,
170,광무,29480,2015-12,-0.8,1.93,1.0,,
171,광무,29480,2016-12,1.93,0.32,0.0,,
172,광무,29480,2017-12,0.32,-3.19,1.0,,
173,광무,29480,2018-12,-3.19,-2.9,1.0,,
174,광무,29480,2019-12,-2.9,,1.0,,
176,구영테크,53270,2012-12,1.29,1.39,0.0,,
177,구영테크,53270,2013-12,1.39,1.38,0.0,,
178,구영테크,53270,2014-12,1.38,1.97,0.0,,
179,구영테크,53270,2015-12,1.97,1.65,0.0,,
180,구영테크,53270,2016-12,1.65,2.37,0.0,,
181,구영테크,53270,2017-12,2.37,1.47,0.0,,
182,구영테크,53270,2018-12,1.47,1.33,0.0,,
183,구영테크,53270,2019-12,1.33,,0.0,,
185,국동,5320,2012-12,3.42,3.64,0.0,,
186,국동,5320,2013-12,3.64,5.32,0.0,,
187,국동,5320,2014-12,5.32,4.08,0.0,,
188,국동,5320,2015-12,4.08,5.25,0.0,,
189,국동,5320,2016-12,5.25,-2.28,0.0,,
190,국동,5320,2017-12,-2.28,2.53,1.0,,
191,국동,5320,2018-12,2.53,-1.78,0.0,,
192,국동,5320,2019-12,-1.78,,1.0,,
194,국보,1140,2012-12,0.64,0.36,1.0,,
195,국보,1140,2013-12,0.36,-1.31,1.0,,
196,국보,1140,2014-12,-1.31,-1.55,1.0,,
197,국보,1140,2015-12,-1.55,0.14,1.0,,
198,국보,1140,2016-12,0.14,-2.66,1.0,,
199,국보,1140,2017-12,-2.66,-4.03,1.0,,
200,국보,1140,2018-12,-4.03,-0.35,1.0,,
201,국보,1140,2019-12,-0.35,,1.0,,
203,국순당,43650,2012-12,172.69,9.21,0.0,,
204,국순당,43650,2013-12,9.21,9.17,0.0,,
205,국순당,43650,2014-12,9.17,-334.84,0.0,,
206,국순당,43650,2015-12,-334.84,-327.25,1.0,,
207,국순당,43650,2016-12,-327.25,-12.28,1.0,,
208,국순당,43650,2017-12,-12.28,-7.85,1.0,,
209,국순당,43650,2018-12,-7.85,-4.32,1.0,,
210,국순당,43650,2019-12,-4.32,,1.0,,
214,국영지앤엠,6050,2014-12,5.13,-15.79,0.0,,
215,국영지앤엠,6050,2015-12,-15.79,3.4,1.0,,
216,국영지앤엠,6050,2016-12,3.4,17.57,0.0,,
217,국영지앤엠,6050,2017-12,17.57,-18.31,0.0,,
218,국영지앤엠,6050,2018-12,-18.31,15.75,1.0,,
219,국영지앤엠,6050,2019-12,15.75,,0.0,,
221,그래디언트,35080,2012-12,1.38,7.5,0.0,,
222,그래디언트,35080,2013-12,7.5,14.81,0.0,,
223,그래디언트,35080,2014-12,14.81,26.27,0.0,,
224,그래디언트,35080,2015-12,26.27,13.02,0.0,,
225,그래디언트,35080,2016-12,13.02,13.33,0.0,,
226,그래디언트,35080,2017-12,13.33,8.44,0.0,,
227,그래디언트,35080,2018-12,8.44,10.13,0.0,,
228,그래디언트,35080,2019-12,10.13,,0.0,,
230,금호에이치티,214330,2016-12,11.57,7.78,0.0,,
231,금호에이치티,214330,2017-12,7.78,3.66,0.0,,
232,금호에이치티,214330,2018-12,3.66,0.35,0.0,,
233,금호에이치티,214330,2019-12,0.35,,1.0,,
235,기가레인,49080,2014-12,7.6,-13.79,0.0,,
236,기가레인,49080,2015-12,-13.79,-4.14,1.0,,
239,기가레인,49080,2018-12,-0.71,-8.09,1.0,,
240,기가레인,49080,2019-12,-8.09,,1.0,,
244,기산텔레콤,35460,2014-12,2.53,2.72,0.0,,
245,기산텔레콤,35460,2015-12,2.72,-5.83,0.0,,
246,기산텔레콤,35460,2016-12,-5.83,-6.37,1.0,,
247,기산텔레콤,35460,2017-12,-6.37,-5.52,1.0,,
248,기산텔레콤,35460,2018-12,-5.52,6.63,1.0,,
249,기산텔레콤,35460,2019-12,6.63,,0.0,,
251,까뮤이앤씨,13700,2012-12,0.46,-0.14,1.0,,
252,까뮤이앤씨,13700,2013-12,-0.14,0.4,1.0,,
253,까뮤이앤씨,13700,2014-12,0.4,1.65,1.0,,
254,까뮤이앤씨,13700,2015-12,1.65,1.92,0.0,,
255,까뮤이앤씨,13700,2016-12,1.92,4.85,0.0,,
256,까뮤이앤씨,13700,2017-12,4.85,2.29,0.0,,
257,까뮤이앤씨,13700,2018-12,2.29,5.87,0.0,,
258,까뮤이앤씨,13700,2019-12,5.87,,0.0,,
260,나노신소재,121600,2012-12,-2.32,4.32,1.0,,
261,나노신소재,121600,2013-12,4.32,24.79,0.0,,
262,나노신소재,121600,2014-12,24.79,86.73,0.0,,
263,나노신소재,121600,2015-12,86.73,122.39,0.0,,
