,회사명,거래소코드,회계년도,이자보상배율,부실기업,이보배2,회생여부
149,광림,14200,Dec-12,1.71,0.0,6.18,
150,광림,14200,Dec-13,6.18,0.0,0.7,
151,광림,14200,Dec-14,0.7,0.0,0.43,
152,광림,14200,Dec-15,0.43,1.0,0.16,
153,광림,14200,Dec-16,0.16,1.0,-3.19,
154,광림,14200,Dec-17,-3.19,1.0,-0.23,
155,광림,14200,Dec-18,-0.23,1.0,-2.3,
156,광림,14200,Dec-19,-2.3,1.0,,
157,광명전기,17040,Dec-11,0.38,0.0,3.63,
158,광명전기,17040,Dec-12,3.63,0.0,11.84,
159,광명전기,17040,Dec-13,11.84,0.0,19.42,
160,광명전기,17040,Dec-14,19.42,0.0,20.92,
161,광명전기,17040,Dec-15,20.92,0.0,10.52,
162,광명전기,17040,Dec-16,10.52,0.0,5.78,
163,광명전기,17040,Dec-17,5.78,0.0,3.61,
164,광명전기,17040,Dec-18,3.61,0.0,21.67,
165,광명전기,17040,Dec-19,21.67,0.0,,
166,광무,29480,Dec-11,-3.01,0.0,-2.69,
167,광무,29480,Dec-12,-2.69,1.0,-8.2,
168,광무,29480,Dec-13,-8.2,1.0,1.12,
169,광무,29480,Dec-14,1.12,0.0,-0.8,1.0
170,광무,29480,Dec-15,-0.8,0.0,1.93,
171,광무,29480,Dec-16,1.93,0.0,0.32,
172,광무,29480,Dec-17,0.32,0.0,-3.19,
173,광무,29480,Dec-18,-3.19,1.0,-2.9,
174,광무,29480,Dec-19,-2.9,1.0,,
175,구영테크,53270,Dec-11,0.96,0.0,1.29,
176,구영테크,53270,Dec-12,1.29,0.0,1.39,
177,구영테크,53270,Dec-13,1.39,0.0,1.38,
178,구영테크,53270,Dec-14,1.38,0.0,1.97,
179,구영테크,53270,Dec-15,1.97,0.0,1.65,
180,구영테크,53270,Dec-16,1.65,0.0,2.37,
181,구영테크,53270,Dec-17,2.37,0.0,1.47,
182,구영테크,53270,Dec-18,1.47,0.0,1.33,
183,구영테크,53270,Dec-19,1.33,0.0,,
184,국동,5320,Dec-11,0.5,0.0,3.42,
185,국동,5320,Dec-12,3.42,0.0,3.64,
186,국동,5320,Dec-13,3.64,0.0,5.32,
187,국동,5320,Dec-14,5.32,0.0,4.08,
188,국동,5320,Dec-15,4.08,0.0,5.25,
189,국동,5320,Dec-16,5.25,0.0,-2.28,
190,국동,5320,Dec-17,-2.28,0.0,2.53,
191,국동,5320,Dec-18,2.53,0.0,-1.78,
192,국동,5320,Dec-19,-1.78,0.0,,
193,국보,1140,Dec-11,0.75,0.0,0.64,
194,국보,1140,Dec-12,0.64,1.0,0.36,
195,국보,1140,Dec-13,0.36,1.0,-1.31,
196,국보,1140,Dec-14,-1.31,1.0,-1.55,
197,국보,1140,Dec-15,-1.55,1.0,0.14,
198,국보,1140,Dec-16,0.14,1.0,-2.66,
199,국보,1140,Dec-17,-2.66,1.0,-4.03,
200,국보,1140,Dec-18,-4.03,1.0,-0.35,
201,국보,1140,Dec-19,-0.35,1.0,,
202,국순당,43650,Dec-11,167.22,0.0,172.69,
203,국순당,43650,Dec-12,172.69,0.0,9.21,
204,국순당,43650,Dec-13,9.21,0.0,9.17,
205,국순당,43650,Dec-14,9.17,0.0,-334.84,
206,국순당,43650,Dec-15,-334.84,0.0,-327.25,
207,국순당,43650,Dec-16,-327.25,1.0,-12.28,
208,국순당,43650,Dec-17,-12.28,1.0,-7.85,
209,국순당,43650,Dec-18,-7.85,1.0,-4.32,
210,국순당,43650,Dec-19,-4.32,1.0,,
211,국영지앤엠,6050,Dec-11,-170.81,0.0,-4.57,
212,국영지앤엠,6050,Dec-12,-4.57,1.0,2.35,
213,국영지앤엠,6050,Dec-13,2.35,0.0,5.13,1.0
214,국영지앤엠,6050,Dec-14,5.13,0.0,-15.79,
215,국영지앤엠,6050,Dec-15,-15.79,0.0,3.4,
216,국영지앤엠,6050,Dec-16,3.4,0.0,17.57,
217,국영지앤엠,6050,Dec-17,17.57,0.0,-18.31,
218,국영지앤엠,6050,Dec-18,-18.31,0.0,15.75,
219,국영지앤엠,6050,Dec-19,15.75,0.0,,
220,그래디언트,35080,Dec-11,-48.06,0.0,1.38,
221,그래디언트,35080,Dec-12,1.38,0.0,7.5,
222,그래디언트,35080,Dec-13,7.5,0.0,14.81,
223,그래디언트,35080,Dec-14,14.81,0.0,26.27,
224,그래디언트,35080,Dec-15,26.27,0.0,13.02,
225,그래디언트,35080,Dec-16,13.02,0.0,13.33,
226,그래디언트,35080,Dec-17,13.33,0.0,8.44,
227,그래디언트,35080,Dec-18,8.44,0.0,10.13,
228,그래디언트,35080,Dec-19,10.13,0.0,,
229,금호에이치티,214330,Dec-15,20.53,0.0,11.57,
230,금호에이치티,214330,Dec-16,11.57,0.0,7.78,
231,금호에이치티,214330,Dec-17,7.78,0.0,3.66,
232,금호에이치티,214330,Dec-18,3.66,0.0,0.35,
233,금호에이치티,214330,Dec-19,0.35,0.0,,
234,기가레인,49080,Dec-13,5.72,0.0,7.6,
235,기가레인,49080,Dec-14,7.6,0.0,-13.79,
236,기가레인,49080,Dec-15,-13.79,0.0,-4.14,
237,기가레인,49080,Dec-16,-4.14,1.0,1.96,
238,기가레인,49080,Dec-17,1.96,0.0,-0.71,1.0
239,기가레인,49080,Dec-18,-0.71,0.0,-8.09,
240,기가레인,49080,Dec-19,-8.09,1.0,,
241,기산텔레콤,35460,Dec-11,-3.73,0.0,0.71,
242,기산텔레콤,35460,Dec-12,0.71,1.0,4.99,
243,기산텔레콤,35460,Dec-13,4.99,0.0,2.53,1.0
244,기산텔레콤,35460,Dec-14,2.53,0.0,2.72,
245,기산텔레콤,35460,Dec-15,2.72,0.0,-5.83,
246,기산텔레콤,35460,Dec-16,-5.83,0.0,-6.37,
247,기산텔레콤,35460,Dec-17,-6.37,1.0,-5.52,
248,기산텔레콤,35460,Dec-18,-5.52,1.0,6.63,
249,기산텔레콤,35460,Dec-19,6.63,0.0,,
250,까뮤이앤씨,13700,Dec-11,-14.28,0.0,0.46,
251,까뮤이앤씨,13700,Dec-12,0.46,1.0,-0.14,
252,까뮤이앤씨,13700,Dec-13,-0.14,1.0,0.4,
253,까뮤이앤씨,13700,Dec-14,0.4,1.0,1.65,
254,까뮤이앤씨,13700,Dec-15,1.65,0.0,1.92,1.0
255,까뮤이앤씨,13700,Dec-16,1.92,0.0,4.85,
256,까뮤이앤씨,13700,Dec-17,4.85,0.0,2.29,
257,까뮤이앤씨,13700,Dec-18,2.29,0.0,5.87,
258,까뮤이앤씨,13700,Dec-19,5.87,0.0,,
259,나노신소재,121600,Dec-11,9.69,0.0,-2.32,
260,나노신소재,121600,Dec-12,-2.32,0.0,4.32,
261,나노신소재,121600,Dec-13,4.32,0.0,24.79,
262,나노신소재,121600,Dec-14,24.79,0.0,86.73,
263,나노신소재,121600,Dec-15,86.73,0.0,122.39,
264,나노신소재,121600,Dec-16,122.39,0.0,114.62,
265,나노신소재,121600,Dec-17,114.62,0.0,127.97,
266,나노신소재,121600,Dec-18,127.97,0.0,42.91,
267,나노신소재,121600,Dec-19,42.91,0.0,,
268,나무가,190510,Dec-15,8.35,0.0,-0.37,
269,나무가,190510,Dec-16,-0.37,0.0,-18.62,
270,나무가,190510,Dec-17,-18.62,1.0,1.01,
271,나무가,190510,Dec-18,1.01,0.0,1.15,1.0
272,나무가,190510,Dec-19,1.15,0.0,,
273,나이벡,138610,Dec-11,-3.91,0.0,-2.68,
274,나이벡,138610,Dec-12,-2.68,1.0,-5.06,
275,나이벡,138610,Dec-13,-5.06,1.0,-5.51,
276,나이벡,138610,Dec-14,-5.51,1.0,-3.41,
277,나이벡,138610,Dec-15,-3.41,1.0,-3.51,
278,나이벡,138610,Dec-16,-3.51,1.0,-1.81,
279,나이벡,138610,Dec-17,-1.81,1.0,-4.64,
280,나이벡,138610,Dec-18,-4.64,1.0,-2.23,
281,나이벡,138610,Dec-19,-2.23,1.0,,
282,남성,4270,Dec-11,-0.06,0.0,-0.01,
283,남성,4270,Dec-12,-0.01,1.0,0.39,
284,남성,4270,Dec-13,0.39,1.0,0.41,
285,남성,4270,Dec-14,0.41,1.0,0.65,
286,남성,4270,Dec-15,0.65,1.0,1.01,
287,남성,4270,Dec-16,1.01,0.0,1.79,1.0
288,남성,4270,Dec-17,1.79,0.0,0.23,
289,남성,4270,Dec-18,0.23,0.0,0.13,
290,남성,4270,Dec-19,0.13,1.0,,
291,내츄럴엔도텍,168330,Dec-13,675.61,0.0,4036.59,
292,내츄럴엔도텍,168330,Dec-14,4036.59,0.0,-805.99,
293,내츄럴엔도텍,168330,Dec-15,-805.99,0.0,-34.59,
294,내츄럴엔도텍,168330,Dec-16,-34.59,1.0,-1.96,
295,내츄럴엔도텍,168330,Dec-17,-1.96,1.0,-6.1,
296,내츄럴엔도텍,168330,Dec-18,-6.1,1.0,-4.35,
297,내츄럴엔도텍,168330,Dec-19,-4.35,1.0,,
298,네오리진,94860,Dec-11,1.61,0.0,1.27,
299,네오리진,94860,Dec-12,1.27,0.0,-2.65,
300,네오리진,94860,Dec-13,-2.65,0.0,-8.5,
301,네오리진,94860,Dec-14,-8.5,1.0,-19.24,
302,네오리진,94860,Dec-15,-19.24,1.0,9.47,
303,네오리진,94860,Dec-16,9.47,0.0,2.48,
304,네오리진,94860,Dec-17,2.48,0.0,-12.63,
305,네오리진,94860,Dec-18,-12.63,0.0,3.22,
306,네오리진,94860,Dec-19,3.22,0.0,,
307,네오오토,212560,Dec-15,9.39,0.0,10.05,
308,네오오토,212560,Dec-16,10.05,0.0,1.7,
309,네오오토,212560,Dec-17,1.7,0.0,2.49,
310,네오오토,212560,Dec-18,2.49,0.0,0.84,
311,네오오토,212560,Dec-19,0.84,0.0,,
312,네오펙트,290660,Dec-18,-5.77,0.0,-15.37,
313,네오펙트,290660,Dec-19,-15.37,1.0,,
314,네이블커뮤니케이션즈,153460,Dec-12,71.34,0.0,4.62,
315,네이블커뮤니케이션즈,153460,Dec-13,4.62,0.0,126.65,
316,네이블커뮤니케이션즈,153460,Dec-14,126.65,0.0,7777.0,
317,네이블커뮤니케이션즈,153460,Dec-15,7777.0,0.0,7777.0,
