회사명,거래소코드,회계년도,매출액(수익)(*)(IFRS연결)(천원),매출액(수익)(*)(IFRS)(천원),자산(*)(IFRS연결)(천원),자산(*)(IFRS)(천원),매출원가(*)(IFRS연결)(천원),매출원가(*)(IFRS)(천원),재고자산(*)(IFRS연결)(천원),재고자산(*)(IFRS)(천원),매출채권(IFRS연결)(천원),매출채권(IFRS)(천원),유형자산(*)(IFRS연결)(천원),유형자산(*)(IFRS)(천원),매입채무(IFRS연결)(천원),매입채무(IFRS)(천원),자본(*)(IFRS연결)(천원),자본(*)(IFRS)(천원),부채(*)(IFRS연결)(천원),부채(*)(IFRS)(천원),유동자산(*)(IFRS연결)(천원),유동자산(*)(IFRS)(천원)
(주)SNT홀딩스,036530,2016/12,1537700275,9818190,2210178425,427001710,1336617769,0,236908975,0,331347025,647920,908800105,35654,235495857,0,1530892611,426682947,679285814,318763,1205349271,0
(주)SNT홀딩스,036530,2017/12,1508152132,7417869,2146174938,425435423,1303372403,0,215870141,0,317573551,558857,880843802,19895,244821803,53817,1519293154,425136143,626881784,299279,1187727595,0
(주)SNT홀딩스,036530,2018/12,1401307482,7292112,2113834573,422804813,1221120349,0,220256725,0,282698019,595784,869282994,2888,225133544,0,1503275496,422573122,610559077,231691,1168023374,0
(주)SNT홀딩스,036530,2019/12,1512114565,11015928,2236679025,417172874,1284171398,0,229809615,0,323871429,570175,871104106,59663,199204201,0,1625933047,416939604,610745978,233270,1266526398,0
(주)STX,011810,2010/12,4045884000,3191730000,6092977000,2822864000,3780427000,2984563000,429585000,199058000,288124000,269104000,1451166000,20850000,497329000,219550000,1622889000,934675000,4470088000,1888189000,2287968000,0
(주)STX,011810,2011/12,5967701000,4173397000,5234175000,3302248000,5516021000,3988988000,315306000,240418000,549558000,433389000,818420000,72801000,357994000,263754000,1915942000,1164648000,3318233000,2137600000,1430457000,0
(주)STX,011810,2012/12,6159850000,4116767000,5067029000,3226878000,6353608000,3997635000,182590000,108537000,585650000,407542000,1044547000,69598000,335789000,211303000,1506639000,1123534000,3560390000,2103344000,1484305000,0
(주)STX,011810,2013/12,2449401000,1895063000,1342520000,1086567000,3140865000,1814171000,94076000,47749000,318920000,264240000,215510000,62152000,199238000,117155000,-509663000,-522090000,1852183000,1608657000,793607000,0
(주)STX,011810,2014/12,1634606000,1291351000,1255002000,1070433000,1513363000,1233380000,207648000,148535000,231173000,240745000,108080000,57120000,128067000,78622000,93662000,54894000,1161340000,1015539000,893610000,0
(주)STX,011810,2015/12,1630827000,1362127000,1267224000,1057543000,1586081000,1352181000,316312000,143454000,196846000,192082000,101700000,53714000,168094000,92719000,72342000,72316000,1194882000,985227000,902119000,0
(주)STX,011810,2016/12,1720153000,1465561000,707709000,627686000,1635394000,1494187000,226131000,139765000,151385000,225461000,73715000,30798000,93777000,161565000,-330596000,-328883000,1038305000,956569000,486347000,0
(주)STX,011810,2017/12,1803878000,1595494000,627542000,520393000,1718572000,1541890000,181620000,103343000,150002000,148268000,70760000,29631000,116542000,113876000,42560000,44710000,584982000,475683000,475786000,0
(주)STX,011810,2018/12,1502985000,1329890000,554061000,446758000,1483048000,1319737000,129417000,89120000,168448000,124416000,74249000,28464000,76685000,57955000,64028000,62213000,490033000,384545000,422861000,0
(주)STX,011810,2019/12,1471164000,1237876000,560107000,462734000,1424697000,1225459000,118778000,89664000,184444000,149459000,90288000,43245000,102262000,85456000,56291000,50616000,503816000,412118000,386401000,0
(주)TCC스틸,002710,2010/12,460900040,412110088,414696288,366375812,411174924,367618694,68093710,62204488,70202013,60271304,80517759,72589599,36275191,31195491,225226613,203173489,189469675,163202323,173975801,0
(주)TCC스틸,002710,2011/12,514424043,456928069,454329510,407743559,472273637,419062918,79633257,76580688,80665225,67618018,84444856,75283350,36286014,30601132,225441968,205616971,228887542,202126588,183481284,0
(주)TCC스틸,002710,2012/12,501337475,440568155,547013976,438642951,457927934,399338479,100648536,75866000,71112902,65092634,143845835,71554979,41180366,31578824,225998781,209755733,321015196,228887219,218440703,0
