회사명,거래소코드,회계년도,부가가치(IFRS연결),유형자산(IFRS연결),건설중인자산(IFRS연결),부가가치(IFRS개별),유형자산(IFRS개별),건설중인자산(IFRS개별)
(주)갤럭시아에스엠,11420,16-Dec,5657.39,0,0,5013.27,468225,0
(주)갤럭시아에스엠,11420,17-Dec,-161.81,0,0,-275.92,348574,0
(주)갤럭시아에스엠,11420,18-Dec,-9771.55,0,0,-9601.87,251603,0
(주)갤럭시아에스엠,11420,19-Dec,3529.68,0,0,3287.96,511985,0
(주)경농,2100,11-Dec,26483.85,0,0,28809.42,47135730,0
(주)경농,2100,12-Dec,39063.56,0,383245,32641.59,51459712,83245
(주)경농,2100,13-Dec,53114.35,0,8137067,42493.74,55088070,6326560
(주)경농,2100,14-Dec,47327.34,0,9686293,38526.79,60743502,5476824
(주)경농,2100,15-Dec,46908.64,0,3166422,36680.28,60862714,2761189
(주)경농,2100,16-Dec,48243.41,0,11266818,37693.81,60986166,1112074
(주)경농,2100,17-Dec,55717.38,0,4576770,45275,61075339,3321824
(주)경농,2100,18-Dec,57945.41,0,213523,47204.81,67819776,0
(주)경농,2100,19-Dec,55965.47,0,461623,43823.04,64128521,458026
(주)경동나비엔,9450,11-Dec,60669.23,0,8018545,50196.09,71463183,7244177
(주)경동나비엔,9450,12-Dec,68423.43,0,18288529,54692.56,86003940,18174812
(주)경동나비엔,9450,13-Dec,79237.85,0,72091473,55874.59,148703601,70075011
(주)경동나비엔,9450,14-Dec,80978.36,4513206,7605975,56282.59,133081097,2466353
(주)경동나비엔,9450,15-Dec,107704.21,0,4694373,76567.87,134166342,36250
(주)경동나비엔,9450,16-Dec,141866.08,0,8583811,91445.07,138398427,1584336
(주)경동나비엔,9450,17-Dec,148016.16,0,15007431,88344.03,143721378,1229289
(주)경동나비엔,9450,18-Dec,164621.76,0,26585282,103466.23,157575992,2659580
(주)경동나비엔,9450,19-Dec,195347,0,9108279,119653.32,165763623,5426129
(주)경동도시가스,267290,17-Dec,,0,4158117,,316263778,4158117
(주)경동도시가스,267290,18-Dec,105468.98,0,3393277,97564.13,320275132,3393277
(주)경동도시가스,267290,19-Dec,95819.67,0,8157820,86578.45,325567581,8157820
(주)경동인베스트,12320,11-Dec,92451.05,0,1877929,95768.55,265516704,1877929
(주)경동인베스트,12320,12-Dec,135007.2,0,3185849,107979.21,279769365,566219
