회사명,거래소코드,회계년도,[제조]영업활동으로 인한 현금흐름(간접법)(*)(IFRS),[제조]매출액(수익)(*)(IFRS),[제조]부채(*)(IFRS),[제조]영업활동으로 인한 현금흐름(간접법)(*)(IFRS연결),[제조]매출액(수익)(*)(IFRS연결),[제조]부채(*)(IFRS연결)
(주)가비아,079940,2015/12,10152135,48446932,15187159,19257887,91648622,20985420
(주)가비아,079940,2016/12,9339489,49430564,15747269,17871404,102178978,29844914
(주)가비아,079940,2017/12,8670614,52365659,17323452,20444884,116217941,33486064
(주)가비아,079940,2018/12,9241321,55197652,19483076,21870330,128728438,37253015
(주)가비아,079940,2019/12,13243609,58254105,28880845,36950567,148306878,64956993
(주)강스템바이오텍,217730,2015/12,-3800024,1484593,3745591,,,
(주)강스템바이오텍,217730,2016/12,-7796613,842805,24464858,,,
(주)강스템바이오텍,217730,2017/12,-10267751,5394323,19840601,-10646869,9132939,22716816
(주)강스템바이오텍,217730,2018/12,-11298071,1001039,18239878,-11476851,9165454,25612644
(주)강스템바이오텍,217730,2019/12,-11097344,282069,27780716,-13321543,6004584,44924460
(주)강원랜드,035250,2010/12,491444177,1313380414,508333201,482676166,1313788411,509887802
(주)강원랜드,035250,2011/12,428912416,1263651213,452081605,417827759,1265686425,454039086
(주)강원랜드,035250,2012/12,458412852,1292896121,532225153,446539739,1296191223,534628331
(주)강원랜드,035250,2013/12,432139763,1356906162,581467261,424407127,1361286598,584340350
(주)강원랜드,035250,2014/12,516728788,1492291312,664286664,510413141,1496541441,669769805
(주)강원랜드,035250,2015/12,581804341,1630976696,690617690,574981576,1633716839,693036625
(주)강원랜드,035250,2016/12,600686651,1694575212,723241827,596486851,1696532511,726260115
(주)강원랜드,035250,2017/12,465968987,1602901764,681737727,463050000,1604470055,684421554
(주)강원랜드,035250,2018/12,366067885,1436042435,643178007,363918692,1438059299,644464265
(주)강원랜드,035250,2019/12,408994810,1517612252,718028952,407868874,1520080449,720360229
(주)강원에너지,114190,2010/11,-1441220,30619298,9408938,,,
(주)강원에너지,114190,2011/11,15102830,50222892,29216633,,,
(주)강원에너지,114190,2012/12,-3145103,106471214,53150277,,,
(주)강원에너지,114190,2013/12,16975955,50660659,26564178,,,
(주)강원에너지,114190,2014/12,-14600421,51481321,16592147,,,
(주)강원에너지,114190,2015/12,18555072,48852892,26058095,9499050,46188664,28873556
(주)강원에너지,114190,2016/12,-18630100,44448760,17103781,-15783876,42287473,22097916
(주)강원에너지,114190,2017/12,-4605588,83113029,40664397,-3706818,82034829,44876384
(주)강원에너지,114190,2018/12,-10047711,85905365,40333396,-10173085,85905365,43641869
(주)강원에너지,114190,2019/12,7013798,42549622,32201998,6960049,42549622,35477506
(주)갤럭시아에스엠,011420,2010/12,-2745925,42704968,13202009,-4476582,56624254,14820702
(주)갤럭시아에스엠,011420,2011/12,3957763,31931418,16172356,5951394,47331427,19836339
(주)갤럭시아에스엠,011420,2012/12,2596523,37398255,15016475,2801469,55049732,18071820
(주)갤럭시아에스엠,011420,2013/12,-780292,30903637,11686248,4527179,46437304,16143563
(주)갤럭시아에스엠,011420,2014/12,-1937620,33027933,17125782,-70410,43885894,22068570
(주)갤럭시아에스엠,011420,2015/12,3007845,53784932,16531335,2451666,62472754,18947950
(주)갤럭시아에스엠,011420,2016/12,-1876676,45665676,10978725,-1195544,52626331,13597774
(주)갤럭시아에스엠,011420,2017/12,-7384193,36917656,8463792,-7389242,37281280,9336773
(주)갤럭시아에스엠,011420,2018/12,-2638766,22030258,6540360,-2809869,22060413,6781168
(주)갤럭시아에스엠,011420,2019/12,825072,28732679,6442848,903569,28732679,6442848
(주)경농,002100,2010/12,24464148,143042882,50443824,24277691,143433922,50469329
(주)경농,002100,2011/12,14271710,120728258,30724888,14162963,121253605,30787882
(주)경농,002100,2012/12,12031973,131021366,51967451,8796940,136970449,117673838
(주)경농,002100,2013/12,16373126,139237273,52292130,18563319,196358952,92827213
(주)경농,002100,2014/12,14226137,134806677,61871897,14706590,188483147,115707163
(주)경농,002100,2015/12,-9444978,137609256,92052914,-9854199,196418710,141674205
(주)경농,002100,2016/12,8683420,143209666,89899537,15996174,203984939,136946019
(주)경농,002100,2017/12,14393946,143175105,86007852,15815332,206534382,143720912
(주)경농,002100,2018/12,4624400,146216658,97965187,10607249,212654617,155806650
(주)경농,002100,2019/12,4392117,151342037,106304474,-1020171,227510941,168988819
(주)경동나비엔,009450,2010/12,17799141,278277379,65099104,22481057,307182060,78162772
(주)경동나비엔,009450,2011/12,12393396,318269213,81105376,15493744,341246917,95096442
(주)경동나비엔,009450,2012/12,22554949,341339118,102426119,27648702,379014259,123854443
(주)경동나비엔,009450,2013/12,20201422,371601179,139981016,20912632,414177562,167498879
(주)경동나비엔,009450,2014/12,-24009203,382392117,163104762,-13266158,428985365,211637077
(주)경동나비엔,009450,2015/12,36531813,448302084,139640734,43719574,512031120,196007760
(주)경동나비엔,009450,2016/12,54602640,506082201,137450753,61333200,583252904,190992511
(주)경동나비엔,009450,2017/12,13453817,569819524,169371998,20111583,684660958,247190712
(주)경동나비엔,009450,2018/12,-9553832,618058456,200157710,-14286091,726741615,303492202
(주)경동나비엔,009450,2019/12,38146715,655419303,207047496,78554868,774290704,308765719
(주)경동도시가스,267290,2017/12,18774744,870828897,415288491,19371687,871548284,415948312
(주)경동도시가스,267290,2018/12,120320145,1605687067,457120376,120705226,1606531867,457779539
(주)경동도시가스,267290,2019/12,33602896,1421866212,409752242,33973376,1422707835,410387431
(주)경동인베스트,012320,2010/12,109174207,1289139847,391036895,109273270,1360542926,442567649
(주)경동인베스트,012320,2011/12,90136711,1806174764,528263966,88589199,1847666903,593628327
(주)경동인베스트,012320,2012/12,154970428,2403814656,699478024,150571070,2502642394,763415214
(주)경동인베스트,012320,2013/12,54868445,2664100017,644593509,69233629,2788264380,706267792
(주)경동인베스트,012320,2014/12,16430931,2399450987,540269309,20818461,2603059058,713337643
(주)경동인베스트,012320,2015/12,-32486622,1352478311,377864242,-50279018,1604168482,591340081
(주)경동인베스트,012320,2016/12,32578235,1021002691,347571082,26876328,1181902637,538198062
(주)경동인베스트,012320,2017/12,49566809,612436,8242347,60158090,195069859,198873241
(주)경동인베스트,012320,2018/12,1728544,7460898,8354115,12513851,228644016,194135226
(주)경동인베스트,012320,2019/12,1024556,8641051,8263326,32390710,271765025,190933746
(주)경방,000050,2010/12,12484753,277727642,628563065,10475934,339355972,696116954
(주)경방,000050,2011/12,-11592653,275746943,655306746,-14647398,348136369,722619941
(주)경방,000050,2012/12,27341666,265409209,631984460,17789061,333620804,714335725
(주)경방,000050,2013/12,50395794,264782077,575688238,51153970,347189559,660550587
(주)경방,000050,2014/12,29566345,256979444,623437994,23819336,329036023,654172565
(주)경방,000050,2015/12,44076364,307744480,587741479,39920580,357628146,655690395
(주)경방,000050,2016/12,61707854,313876822,546778844,67981079,377445013,622067560
(주)경방,000050,2017/12,51272565,288103985,488098740,57866501,360788750,574908164
(주)경방,000050,2018/12,29443002,279085217,497359673,12093896,351438926,593023494
(주)경방,000050,2019/12,65270564,253552382,555533558,66875285,343892085,629189292
(주)경보제약,214390,2015/12,4240142,178032632,72671307,,,
(주)경보제약,214390,2016/12,25328803,186726170,74333640,,,
(주)경보제약,214390,2017/12,25805146,191661374,63359803,,,
(주)경보제약,214390,2018/12,-1138159,201343596,72610828,,,
(주)경보제약,214390,2019/12,23668111,191706189,88653237,,,
(주)경인양행,012610,2010/12,-12213959,149007816,93123885,-8882207,267600679,145616803
(주)경인양행,012610,2011/12,10022891,128707611,86943667,9839673,233095049,143304448
(주)경인양행,012610,2012/12,14914670,141304459,78932783,20801833,218604655,112463993
(주)경인양행,012610,2013/12,-1601346,183106757,96496450,1046809,260808400,127200482
(주)경인양행,012610,2014/12,15097174,190395047,80897578,18368986,277181095,114800458
(주)경인양행,012610,2015/12,-1240907,175006703,87875136,5444861,263163677,125562133
(주)경인양행,012610,2016/12,8421999,179267850,99013669,19013689,274873817,136005319
(주)경인양행,012610,2017/12,652491,193975818,106064982,5323456,299987729,147016537
(주)경인양행,012610,2018/12,911833,222659442,146670857,1873412,331102011,189237207
(주)경인양행,012610,2019/12,-2222389,245244968,179977211,6768170,358802386,234647863
(주)고려시멘트,198440,2014/12,,,,,,
(주)고려시멘트,198440,2015/12,,,,,,
(주)고려시멘트,198440,2016/12,,,,,,
