회사명,거래소코드,회계년도,매출액(IFRS연결),유동자산(IFRS연결),재고자산(IFRS연결),매출액(IFRS개별),유동자산(IFRS개별),재고자산(IFRS개별)
(주)TCC스틸,2710,Dec-18,413176279,152165969,69197191,351301866,128625665,62280830
(주)TCC스틸,2710,Dec-19,437173902,148991647,72619098,339334364,121879909,67392895
(주)가비아,79940,Dec-11,52838864,28837190,14450,33792831,9245779,14450
(주)가비아,79940,Dec-12,69058144,31997486,248459,38482449,9613034,92459
(주)가비아,79940,Dec-13,70675565,37411881,93612,40507693,10360239,81039
(주)가비아,79940,Dec-14,80432047,41920706,0,43906243,14916105,0
(주)가비아,79940,Dec-15,91648622,52239105,0,48446932,17436488,0
(주)가비아,79940,Dec-16,102178978,60241586,1363738,49430564,12237594,0
(주)가비아,79940,Dec-17,116217941,66113388,1675464,52365659,15116578,0
(주)가비아,79940,Dec-18,128728438,78058272,1982294,55197652,18388749,0
(주)가비아,79940,Dec-19,148306878,86880807,2643604,58254105,13602872,0
(주)강스템바이오텍,217730,Dec-15,,,,1484593,18896590,334913
(주)강스템바이오텍,217730,Dec-16,,,,842805,37966496,582808
(주)강스템바이오텍,217730,Dec-17,9132939,25246012,1725225,5394323,24316617,1725225
(주)강스템바이오텍,217730,Dec-18,9165454,48992790,1918575,1001039,44071609,501972
(주)강스템바이오텍,217730,Dec-19,6004584,55408095,266393,282069,50136013,34319
(주)강원랜드,35250,Dec-11,1265686425,1163791156,2245975,1263651213,1116717650,2245975
(주)강원랜드,35250,Dec-12,1296191223,1165450728,1200611,1292896121,1117338850,1200611
(주)강원랜드,35250,Dec-13,1361286598,1080401909,1493306,1356906162,1032979185,1493306
(주)강원랜드,35250,Dec-14,1496541441,1371825587,1204918,1492291312,1349601870,1204918
(주)강원랜드,35250,Dec-15,1633716839,1750420316,1621646,1630976696,1736167993,1621646
(주)강원랜드,35250,Dec-16,1696532511,1809513458,1309513,1694575212,1799026863,1309513
(주)강원랜드,35250,Dec-17,1604470055,2164296051,1299617,1602901764,2155754572,1299617
(주)강원랜드,35250,Dec-18,1438059299,1759033105,1148805,1436042435,1749493012,1143581
(주)강원랜드,35250,Dec-19,1520080449,1878191161,3636529,1517612252,1868365557,3631307
(주)강원에너지,114190,Nov-11,,,,50222892,47950975,3989692
(주)강원에너지,114190,Dec-12,,,,106471214,80491240,3808870
(주)강원에너지,114190,Dec-13,,,,50660659,61556228,2086978
(주)강원에너지,114190,Dec-14,,,,51481321,48800730,1736909
(주)강원에너지,114190,Dec-15,46188664,62927388,1233999,48852892,58744703,1233999
(주)강원에너지,114190,Dec-16,42287473,53716336,335220,44448760,49882033,335220
(주)강원에너지,114190,Dec-17,82034829,68068421,361382,83113029,66557788,361382
(주)강원에너지,114190,Dec-18,85905365,70556730,543737,85905365,70097814,543737
