회사명,거래소코드,회계년도,당기자본(IFRS연결),전기자본(IFRS연결),당기자본(IFRS개별),전기자본(IFRS개별)
(주)갤럭시아에스엠,11420,Dec-13,21493102,21493102,22472626,22472626
(주)갤럭시아에스엠,11420,Dec-14,23205508,23205508,23402468,23402468
(주)갤럭시아에스엠,11420,Dec-15,49739042,49739042,50665218,49739042
(주)갤럭시아에스엠,11420,Dec-16,44846832,44846832,44846832,44846832
(주)갤럭시아에스엠,11420,Dec-17,40494336,40494336,40494336,40494336
(주)갤럭시아에스엠,11420,Dec-18,26472162,26472162,26797332,26797332
(주)갤럭시아에스엠,11420,Dec-19,21798750,,21798750,21798750
(주)경농,2100,Dec-11,142986220,142986220,146016982,146016982
(주)경농,2100,Dec-12,151738994,,151500247,151500247
(주)경농,2100,Dec-13,163157512,163157512,162696463,162696463
(주)경농,2100,Dec-14,168915900,168915900,168998955,168998955
(주)경농,2100,Dec-15,174667648,174667648,173056378,173056378
(주)경농,2100,Dec-16,183969132,183969132,176722752,176722752
(주)경농,2100,Dec-17,192152986,192152986,182959158,182959158
(주)경농,2100,Dec-18,201453891,201453891,187066687,187066687
(주)경농,2100,Dec-19,201885272,201885272,190892614,190892614
(주)경동나비엔,9450,Dec-11,168114574,168114574,143268094,143268094
(주)경동나비엔,9450,Dec-12,175875394,,152201349,152201349
(주)경동나비엔,9450,Dec-13,187280988,187280988,161494784,161494784
(주)경동나비엔,9450,Dec-14,190021880,190021880,167984480,167984480
(주)경동나비엔,9450,Dec-15,206076609,206076609,185208256,185208256
(주)경동나비엔,9450,Dec-16,238762190,238762190,210193123,210193123
(주)경동나비엔,9450,Dec-17,256506497,256506497,222028494,222028494
(주)경동나비엔,9450,Dec-18,280103616,280103616,240355951,240355951
(주)경동나비엔,9450,Dec-19,301042624,301042624,254559521,254559521
(주)경동도시가스,267290,Dec-17,294331882,294331882,292628586,292628586
(주)경동도시가스,267290,Dec-18,320490074,320490074,318760537,318760537
(주)경동도시가스,267290,Dec-19,339612043,339612043,337701666,337701666
(주)경동인베스트,12320,Dec-11,407862543,407862543,412912132,412912132
(주)경동인베스트,12320,Dec-12,446509347,446509347,468921996,468921996
(주)경동인베스트,12320,Dec-13,498740561,500659801,516833582,516833582
(주)경동인베스트,12320,Dec-14,607451423,607451423,560802056,560802056
(주)경동인베스트,12320,Dec-15,576479441,576479441,548528455,548528455
(주)경동인베스트,12320,Dec-16,587924566,587924566,556247783,556247783
(주)경동인베스트,12320,Dec-17,400403090,400403090,309789000,309789000
(주)경동인베스트,12320,Dec-18,397867310,407855604,310422538,310422538
(주)경동인베스트,12320,Dec-19,414533638,414533638,308309156,308309156
(주)경방,50,Dec-11,629704391,629704391,676624221,676624221
(주)경방,50,Dec-12,620704205,620704205,669735441,669735441
(주)경방,50,Dec-13,636438555,636438555,685569176,685569176
(주)경방,50,Dec-14,647668814,647668814,651570419,651570419
(주)경방,50,Dec-15,662952918,662952918,671770865,671770865
(주)경방,50,Dec-16,679843399,679843399,690245544,690245544
(주)경방,50,Dec-17,699134073,699134073,710964923,710964923
(주)경방,50,Dec-18,708769347,708769347,729185709,729185709
(주)경방,50,Dec-19,741553199,741553199,740731873,740731873
(주)경보제약,214390,Dec-15,,,122817151,122817151
(주)경보제약,214390,Dec-16,,,129402340,129402340
(주)경보제약,214390,Dec-17,,,141509596,141509596
(주)경보제약,214390,Dec-18,,,149012165,149012165
(주)경보제약,214390,Dec-19,,,149163504,149163504
(주)경인양행,12610,Dec-11,176292506,176292506,158882273,158882273
(주)경인양행,12610,Dec-12,174988685,174988685,162112825,162112825
(주)경인양행,12610,Dec-13,189744314,189744314,178074513,178074513
(주)경인양행,12610,Dec-14,198238667,198238667,186433506,186433506
(주)경인양행,12610,Dec-15,201125304,201125304,185903130,185903130
(주)경인양행,12610,Dec-16,208293196,208293196,191021720,191021720
(주)경인양행,12610,Dec-17,210934933,210934933,190844102,190844102
(주)경인양행,12610,Dec-18,223759383,223759383,198237400,198237400
(주)경인양행,12610,Dec-19,237433141,237433141,201086327,201086327
