회사명,거래소코드,회계년도,매출액증가율(IFRS),재고자산증가율(IFRS),자기자본증가율(IFRS)
(주)골프존뉴딘홀딩스,121440,Dec-13,23.04,88.95,4.03
(주)골프존뉴딘홀딩스,121440,Dec-14,13.84,-4.48,10.78
(주)골프존뉴딘홀딩스,121440,Dec-15,-92.41,0,16.48
(주)골프존뉴딘홀딩스,121440,Dec-16,-5.91,0,-8.13
(주)골프존뉴딘홀딩스,121440,Dec-17,-15.02,0,-5.28
(주)골프존뉴딘홀딩스,121440,Dec-18,-31.49,0,0.92
(주)골프존뉴딘홀딩스,121440,Dec-19,67.06,0,-7.1
(주)광림,14200,Dec-11,13.98,-29.2,3.05
(주)광림,14200,Dec-12,-19.88,10.83,12.04
(주)광림,14200,Dec-13,21.24,-26.84,2.04
(주)광림,14200,Dec-14,-10.53,14.48,2.26
(주)광림,14200,Dec-15,156.31,-7.82,22.09
(주)광림,14200,Dec-16,-63.2,-0.63,11.52
(주)광림,14200,Dec-17,13.88,-24.84,95.69
(주)광림,14200,Dec-18,-24.07,18.73,-31.51
(주)광림,14200,Dec-19,23.51,1.48,-49.77
(주)광명전기,17040,Dec-11,-15.07,-1.44,8.73
(주)광명전기,17040,Dec-12,36.83,49.68,-3.25
(주)광명전기,17040,Dec-13,13.9,-7.77,10.26
(주)광명전기,17040,Dec-14,28.18,19.83,11.1
(주)광명전기,17040,Dec-15,-19.69,-26.3,5.53
(주)광명전기,17040,Dec-16,4.23,-16.47,21.13
(주)광명전기,17040,Dec-17,8.41,3,-1.05
(주)광명전기,17040,Dec-18,-7.74,19.12,3
(주)광명전기,17040,Dec-19,28.94,-29.34,7.04
(주)광무,29480,Dec-11,-37.27,-24.41,-19.99
(주)광무,29480,Dec-12,-19.76,-50.38,-25.92
(주)광무,29480,Dec-13,-74.99,-95.49,-68.93
(주)광무,29480,Dec-14,280.1,-7.5,-25.04
(주)광무,29480,Dec-15,-54.05,106.72,-8.95
(주)광무,29480,Dec-16,49.76,49.82,3.99
(주)광무,29480,Dec-17,-18.5,-73.58,68.28
(주)광무,29480,Dec-18,-3.87,51.75,-28.46
(주)광무,29480,Dec-19,21.91,68.56,129
(주)광주신세계,37710,Dec-11,5.69,34.23,19.1
(주)광주신세계,37710,Dec-12,-2.65,-6.29,16.57
(주)광주신세계,37710,Dec-13,-3.37,-4.79,13.02
(주)광주신세계,37710,Dec-14,-0.86,6.79,9.77
(주)광주신세계,37710,Dec-15,0.25,8.43,9.53
(주)광주신세계,37710,Dec-16,2.48,6.75,8.73
(주)광주신세계,37710,Dec-17,-0.37,-1.36,8.44
(주)광주신세계,37710,Dec-18,-35.5,-51.31,7.13
(주)광주신세계,37710,Dec-19,14.54,6.45,6.53
(주)구영테크,53270,Dec-11,2.88,20.03,4.64
(주)구영테크,53270,Dec-12,4.68,34.86,4.79
(주)구영테크,53270,Dec-13,16.55,2.41,4.98
(주)구영테크,53270,Dec-14,1.99,6.59,37.18
(주)구영테크,53270,Dec-15,11.97,-16.2,4.42
(주)구영테크,53270,Dec-16,-13.53,15.3,5.36
(주)구영테크,53270,Dec-17,-1.36,4.07,1.45
(주)구영테크,53270,Dec-18,10.27,28.33,22.84
(주)구영테크,53270,Dec-19,13.68,-7.53,1.4
(주)국동,5320,Dec-11,-9.5,-37.54,-83.1
(주)국동,5320,Dec-12,-8.56,1.64,3
(주)국동,5320,Dec-13,4.58,22.67,114.33
(주)국동,5320,Dec-14,23.14,-17.57,141.04
(주)국동,5320,Dec-15,-13.09,65.51,56.21
(주)국동,5320,Dec-16,24.26,13.96,78.92
(주)국동,5320,Dec-17,2.15,-16.31,-3.57
(주)국동,5320,Dec-18,5.23,-9.01,8.08
(주)국동,5320,Dec-19,-15.08,-5.41,30.14
(주)국보,1140,Dec-11,8.94,4.11,-1.57
(주)국보,1140,Dec-12,-7.71,10.14,-6.55
(주)국보,1140,Dec-13,-0.17,0.64,-12.56
(주)국보,1140,Dec-14,-17.56,-11.09,-24.18
(주)국보,1140,Dec-15,-5.11,-37.89,-18.45
(주)국보,1140,Dec-16,-8.79,-8.83,-22.86
(주)국보,1140,Dec-17,-4,7.62,21.5
(주)국보,1140,Dec-18,-10.36,-12.53,-27.81
(주)국보,1140,Dec-19,-12.9,-4.47,6.05
(주)국보디자인,66620,Dec-11,19.42,0,13.8
(주)국보디자인,66620,Dec-12,-3.85,0,20.24
(주)국보디자인,66620,Dec-13,29.34,0,11.43
(주)국보디자인,66620,Dec-14,3.3,0,8.48
(주)국보디자인,66620,Dec-15,-0.39,0,7.12
(주)국보디자인,66620,Dec-16,21.54,0,6.38
(주)국보디자인,66620,Dec-17,37,0,17.56
(주)국보디자인,66620,Dec-18,-11.97,0,9.77
(주)국보디자인,66620,Dec-19,2.58,0,8.18
(주)국순당,43650,Dec-11,19.79,3.92,0.75
(주)국순당,43650,Dec-12,-7.35,-1.1,7.04
(주)국순당,43650,Dec-13,-16.51,-8.92,-0.17
(주)국순당,43650,Dec-14,-7.25,-12.45,0.46
(주)국순당,43650,Dec-15,-15.94,-0.83,-0.39
(주)국순당,43650,Dec-16,-8.71,-7.2,-1.57
(주)국순당,43650,Dec-17,-12.19,-7.37,4.67
(주)국순당,43650,Dec-18,-12.33,7.17,6.13
(주)국순당,43650,Dec-19,-8.8,-3.7,-3.23
(주)국영지앤엠,6050,Dec-11,1.5,-22.84,-6.4
(주)국영지앤엠,6050,Dec-12,2.85,6.03,40.41
(주)국영지앤엠,6050,Dec-13,27.43,-0.4,0.84
(주)국영지앤엠,6050,Dec-14,-7.7,13.53,1.93
(주)국영지앤엠,6050,Dec-15,-22.11,-25.92,3.67
(주)국영지앤엠,6050,Dec-16,28.3,205.02,3.24
(주)국영지앤엠,6050,Dec-17,22.16,-21.27,4.06
(주)국영지앤엠,6050,Dec-18,-10.44,-17.34,-1.64
(주)국영지앤엠,6050,Dec-19,29.68,-2.08,2.08
