회사명,거래소코드,회계년도,당기매출액(IFRS연결),전기매출액(IFRS연결),당기매출액(IFRS개별),전기매출액(IFRS개별)
(주)경동나비엔,9450,Dec-17,684660958,684660958,569819524,569819524
(주)경동나비엔,9450,Dec-18,726741615,726741615,618058456,618058456
(주)경동나비엔,9450,Dec-19,774290704,774290704,655419303,655419303
(주)경동도시가스,267290,Dec-17,871548284,871548284,870828897,870828897
(주)경동도시가스,267290,Dec-18,1606531867,1606531867,1605687067,1605687067
(주)경동도시가스,267290,Dec-19,1422707835,1422707835,1421866212,1421866212
(주)경동인베스트,12320,Dec-11,1847666903,1847666903,1806174764,1806174764
(주)경동인베스트,12320,Dec-12,2502642394,2502642394,2403814656,2403814656
(주)경동인베스트,12320,Dec-13,2788264380,2788264380,2664100017,2664100017
(주)경동인베스트,12320,Dec-14,2603059058,2603059058,2399450987,2399450987
(주)경동인베스트,12320,Dec-15,1604168482,1515369532,1352478311,1352478311
(주)경동인베스트,12320,Dec-16,1181902637,159924885,1021002691,518599
(주)경동인베스트,12320,Dec-17,195069859,195069859,612436,612436
(주)경동인베스트,12320,Dec-18,228644016,228644016,7460898,7460898
(주)경동인베스트,12320,Dec-19,271765025,271747673,8641051,8641051
(주)경방,50,Dec-11,348136369,348136369,275746943,275746943
(주)경방,50,Dec-12,333620804,333620804,265409209,265409209
(주)경방,50,Dec-13,347189559,347189559,264782077,264782077
(주)경방,50,Dec-14,329036023,329036023,256979444,256979444
(주)경방,50,Dec-15,357628146,357628146,307744480,307744480
(주)경방,50,Dec-16,377445013,377445013,313876822,313876822
(주)경방,50,Dec-17,360788750,360788750,288103985,288103985
(주)경방,50,Dec-18,351438926,351438926,279085217,279085217
(주)경방,50,Dec-19,343892085,343892085,253552382,214619467
(주)경보제약,214390,Dec-15,,,178032632,178032632
(주)경보제약,214390,Dec-16,,,186726170,186726170
(주)경보제약,214390,Dec-17,,,191661374,191661374
(주)경보제약,214390,Dec-18,,,201343596,201343596
(주)경보제약,214390,Dec-19,,,191706189,191706189
(주)경인양행,12610,Dec-11,233095049,199551808,128707611,128707611
(주)경인양행,12610,Dec-12,218604655,218604655,141304459,141304459
(주)경인양행,12610,Dec-13,260808400,260808400,183106757,183106757
(주)경인양행,12610,Dec-14,277181095,277181095,190395047,190395047
(주)경인양행,12610,Dec-15,263163677,263163677,175006703,175006703
(주)경인양행,12610,Dec-16,274873817,274873817,179267850,179267850
(주)경인양행,12610,Dec-17,299987729,299987729,193975818,193975818
(주)경인양행,12610,Dec-18,331102011,331102011,222659442,222659442
(주)경인양행,12610,Dec-19,358802386,358802386,245244968,245244968
(주)고려시멘트,198440,Dec-14,,,,
(주)고려시멘트,198440,Dec-15,,,,
(주)고려시멘트,198440,Dec-16,,,,
(주)고려시멘트,198440,Dec-17,,,87660276,87660276
(주)고려시멘트,198440,Dec-18,,,85775723,70064952
(주)고려시멘트,198440,Dec-19,,,70921781,70921781
(주)고영테크놀러지,98460,Dec-11,86130810,86130810,80200892,80200892
(주)고영테크놀러지,98460,Dec-12,107841666,107841666,100791139,100791139
(주)고영테크놀러지,98460,Dec-13,111902729,111902729,103933681,103933681
(주)고영테크놀러지,98460,Dec-14,142840131,142840131,135531589,135531589
(주)고영테크놀러지,98460,Dec-15,145904431,145904431,138554625,138554625
(주)고영테크놀러지,98460,Dec-16,171793841,171793841,153254768,153254768
(주)고영테크놀러지,98460,Dec-17,203368626,203368626,188934907,188934907
(주)고영테크놀러지,98460,Dec-18,238208865,238208865,219818022,219818022
(주)고영테크놀러지,98460,Dec-19,222057035,222057035,209480760,209480760
(주)골드앤에스,35290,Dec-11,47522791,47522791,47522791,47522791
(주)골드앤에스,35290,Dec-12,43889087,43889087,43889087,43889087
(주)골드앤에스,35290,Dec-13,39548810,39256785,36607591,36607591
(주)골드앤에스,35290,Dec-14,31287203,29428881,29428881,29428881
(주)골드앤에스,35290,Dec-15,22197935,22197935,22197935,22197935
(주)골드앤에스,35290,Dec-16,15893494,15893494,15893494,15893494
(주)골드앤에스,35290,Dec-17,12802035,12802035,12802035,12802035
(주)골드앤에스,35290,Dec-18,8680452,8680452,8680452,8680452
(주)골드앤에스,35290,Dec-19,7642733,7642733,7642733,7642733
(주)골드퍼시픽,38530,Dec-11,,,11236925,11236925
(주)골드퍼시픽,38530,Dec-12,,10491048,10491048,10491048
(주)골드퍼시픽,38530,Dec-13,7167832,7167832,6488691,6488691
(주)골드퍼시픽,38530,Dec-14,16486257,16486257,4855121,4855121
(주)골드퍼시픽,38530,Dec-15,18635305,,6121489,18635305
(주)골드퍼시픽,38530,Dec-16,,,9588100,9588100
(주)골드퍼시픽,38530,Dec-17,,5031439,5031439,5031439
(주)골드퍼시픽,38530,Dec-18,5708281,,5580994,5708281
(주)골드퍼시픽,38530,Dec-19,,,11323125,11323125
(주)골프존,215000,Dec-15,201560389,201560389,184085342,184085342
(주)골프존,215000,Dec-16,216964342,216964342,196864993,196864993
(주)골프존,215000,Dec-17,200105321,200105321,171859065,171859065
(주)골프존,215000,Dec-18,198705194,198705194,191571105,191571105
(주)골프존,215000,Dec-19,247018099,247018099,239051647,239051647
(주)골프존뉴딘홀딩스,121440,Dec-11,215793737,215793737,209788389,209788389
(주)골프존뉴딘홀딩스,121440,Dec-12,289629366,289629366,276341690,276341690
(주)골프존뉴딘홀딩스,121440,Dec-13,365126358,365126358,340005073,340005073
(주)골프존뉴딘홀딩스,121440,Dec-14,429589619,121686358,387066126,96042978
(주)골프존뉴딘홀딩스,121440,Dec-15,164536448,164536448,29389093,29977313
(주)골프존뉴딘홀딩스,121440,Dec-16,243275475,216450236,27652102,27652102
(주)골프존뉴딘홀딩스,121440,Dec-17,213756902,213756902,23499543,36757306
(주)골프존뉴딘홀딩스,121440,Dec-18,223036801,223036801,16100354,40526650
(주)골프존뉴딘홀딩스,121440,Dec-19,228935651,228935651,26897482,26897482
(주)광림,14200,Dec-11,,,106495363,106495363
(주)광림,14200,Dec-12,,,85322569,85322569
(주)광림,14200,Dec-13,,103442134,103442134,103442134
(주)광림,14200,Dec-14,231446314,,92553612,231446314
(주)광림,14200,Dec-15,,237222890,237222890,94645462
(주)광림,14200,Dec-16,87302967,87302967,87302967,87302967
(주)광림,14200,Dec-17,135191558,135191558,99421336,99421336
(주)광림,14200,Dec-18,136595300,136595300,75493055,75493055
(주)광림,14200,Dec-19,145864184,145864184,93241157,93241157
(주)광명전기,17040,Dec-11,92382628,92382628,57967857,57967857
(주)광명전기,17040,Dec-12,117216514,117216514,79318302,79318302
(주)광명전기,17040,Dec-13,117852824,117852824,90344376,90344376
(주)광명전기,17040,Dec-14,134778387,134778387,115801471,115801471
(주)광명전기,17040,Dec-15,116316957,93180561,93000177,93000177
(주)광명전기,17040,Dec-16,96942911,96942911,96931493,96931493
(주)광명전기,17040,Dec-17,101561159,101561159,105083042,105083042
(주)광명전기,17040,Dec-18,114110654,112564854,96949804,96949804
(주)광명전기,17040,Dec-19,131864294,131864294,125009206,125009206
(주)광무,29480,Dec-11,51755052,50260970,50359203,50359203
(주)광무,29480,Dec-12,41178683,41178683,40406860,40406860
(주)광무,29480,Dec-13,20534276,,10105219,20534276
(주)광무,29480,Dec-14,,,38409667,38409667
(주)광무,29480,Dec-15,,,17648493,17648493
(주)광무,29480,Dec-16,,,26429957,26429957
(주)광무,29480,Dec-17,,21540953,21540953,21540953
(주)광무,29480,Dec-18,23074941,23074941,20707286,20707286
(주)광무,29480,Dec-19,36483979,26086173,25244176,25244176
(주)광주신세계,37710,Dec-11,,,219613514,219613514
(주)광주신세계,37710,Dec-12,,,213803173,213803173
(주)광주신세계,37710,Dec-13,,,206606675,206606675
(주)광주신세계,37710,Dec-14,,,204820461,204820461
(주)광주신세계,37710,Dec-15,,,205331892,205331892
(주)광주신세계,37710,Dec-16,,,210423594,210423594
(주)광주신세계,37710,Dec-17,,,209647360,134915460
(주)광주신세계,37710,Dec-18,,,135213362,135213362
(주)광주신세계,37710,Dec-19,,,154879496,154879496
(주)구영테크,53270,Dec-11,147832315,147832315,62527619,62527619
(주)구영테크,53270,Dec-12,155788988,155788988,65451015,65451015
(주)구영테크,53270,Dec-13,172747316,172747316,76282590,76282590
(주)구영테크,53270,Dec-14,170528694,170528694,77799749,77799749
(주)구영테크,53270,Dec-15,172083049,172083049,87109177,87109177
(주)구영테크,53270,Dec-16,148301597,148301597,75320433,75320433
(주)구영테크,53270,Dec-17,149833357,149833357,74298129,74298129
(주)구영테크,53270,Dec-18,195238339,195238339,81928926,81928926
(주)구영테크,53270,Dec-19,230853336,230853336,93132845,93132845
(주)국동,5320,Dec-11,154293577,154293577,100097439,100097439
(주)국동,5320,Dec-12,138172746,138172746,91524436,91524436
(주)국동,5320,Dec-13,147860227,147860227,95716049,95716049
(주)국동,5320,Dec-14,186086561,186086561,117861978,117861978
(주)국동,5320,Dec-15,170296068,170296068,102431161,102431161
(주)국동,5320,Dec-16,197368723,197368723,127275873,127275873
(주)국동,5320,Dec-17,191602989,191602989,130016453,130016453
(주)국동,5320,Dec-18,219550054,219550054,136811631,136811631
(주)국동,5320,Dec-19,223077183,223077183,116180044,116180044
(주)국보,1140,Dec-11,130636214,130636214,118304924,118304924
(주)국보,1140,Dec-12,122343037,,109183947,109183947
(주)국보,1140,Dec-13,117073443,108340300,108994114,100260972
(주)국보,1140,Dec-14,97520169,97520169,89859741,89859741
(주)국보,1140,Dec-15,91618545,91618545,85267457,85267457
(주)국보,1140,Dec-16,87333326,87333326,77773715,77773715
(주)국보,1140,Dec-17,78255522,78255522,74662255,74662255
(주)국보,1140,Dec-18,71549828,71549828,66929948,66929948
(주)국보,1140,Dec-19,89087334,89087334,58296078,58296078
(주)국보디자인,66620,Dec-11,130689686,130689686,123203000,123203000
(주)국보디자인,66620,Dec-12,119402993,119402993,118458574,118458574
(주)국보디자인,66620,Dec-13,163518536,163518536,153216189,153216189
(주)국보디자인,66620,Dec-14,176373907,176373907,158268803,158268803
(주)국보디자인,66620,Dec-15,192608497,192608497,157657615,157657615
(주)국보디자인,66620,Dec-16,201410031,201410031,191620729,191620729
(주)국보디자인,66620,Dec-17,270658405,270658405,262522024,262522024
(주)국보디자인,66620,Dec-18,254259835,254259835,231093439,231093439
(주)국보디자인,66620,Dec-19,269005976,269005976,237054909,237054909
(주)국순당,43650,Dec-11,127686247,127686247,124279594,124279594
(주)국순당,43650,Dec-12,118697826,118697826,115146725,115146725
(주)국순당,43650,Dec-13,99173525,99173525,96140591,96140591
(주)국순당,43650,Dec-14,91863604,91863604,89173752,89173752
(주)국순당,43650,Dec-15,77443124,77443124,74955341,74955341
(주)국순당,43650,Dec-16,69701266,69701266,68425801,68425801
(주)국순당,43650,Dec-17,62761236,65002983,60087461,60087461
(주)국순당,43650,Dec-18,61496072,61496072,52679104,52679104
(주)국순당,43650,Dec-19,102095769,53474725,48045002,47555721
(주)국영지앤엠,6050,Dec-11,,,42569848,42569848
(주)국영지앤엠,6050,Dec-12,,,43781593,43781593
(주)국영지앤엠,6050,Dec-13,,,55789778,55789778
(주)국영지앤엠,6050,Dec-14,,,51491847,51491847
(주)국영지앤엠,6050,Dec-15,,,40107647,40107647
(주)국영지앤엠,6050,Dec-16,,,51456556,51456556
(주)국영지앤엠,6050,Dec-17,,,62861661,62861661
(주)국영지앤엠,6050,Dec-18,,,56301480,56301480
(주)국영지앤엠,6050,Dec-19,,,73013468,73013468
(주)국전약품,307750,Dec-18,,,,
(주)국전약품,307750,Dec-19,,,,
(주)그래디언트,35080,Dec-11,428571939,427757393,9501248,9501248
(주)그래디언트,35080,Dec-12,454225001,2488616161,11150621,11150621
(주)그래디언트,35080,Dec-13,2930521926,2911742703,7939840,7939840
(주)그래디언트,35080,Dec-14,3135027346,3135027346,7753595,7753595
(주)그래디언트,35080,Dec-15,3536848758,3536848758,12870821,12870821
(주)그래디언트,35080,Dec-16,3845761388,3845761388,16516754,16516754
(주)그래디언트,35080,Dec-17,3541486629,3541486629,12485184,12485184
(주)그래디언트,35080,Dec-18,3440906300,3440906300,12237889,12237889
(주)그래디언트,35080,Dec-19,3412333826,3412333826,8719700,8719700
(주)그리티,204020,Dec-18,119259702,119259702,117056356,117056356
(주)그리티,204020,Dec-19,123079831,123079831,120984485,120984485
(주)그린플러스,186230,Dec-19,48831866,48831866,39502728,39502728
(주)글로벌스탠다드테크놀로지,83450,Dec-11,41504144,41504144,40662578,40662578
(주)글로벌스탠다드테크놀로지,83450,Dec-12,64812103,64812103,62774905,62774905
(주)글로벌스탠다드테크놀로지,83450,Dec-13,80982977,80982977,78917554,78917554
(주)글로벌스탠다드테크놀로지,83450,Dec-14,89122994,89122994,85992839,85992839
(주)글로벌스탠다드테크놀로지,83450,Dec-15,84422579,84422579,80102292,80102292
(주)글로벌스탠다드테크놀로지,83450,Dec-16,90819412,90819412,81859588,81859588
(주)글로벌스탠다드테크놀로지,83450,Dec-17,162835484,162835484,154761834,154761834
(주)글로벌스탠다드테크놀로지,83450,Dec-18,129850197,129850197,115619452,115619452
(주)글로벌스탠다드테크놀로지,83450,Dec-19,168231754,168231754,150777009,150777009
(주)금비,8870,Sep-11,182184368,182184368,90614774,90614774
(주)금비,8870,Sep-12,176226095,176226095,83296660,83296660
(주)금비,8870,Sep-13,175061513,175061513,82028937,82028937
(주)금비,8870,Sep-14,177506459,177506459,80715556,80715556
(주)금비,8870,Sep-15,189495056,189495056,93629076,93629076
(주)금비,8870,Sep-16,200543667,200543667,100327539,100327539
(주)금비,8870,Sep-17,185531452,185531452,80379261,80379261
(주)금비,8870,Sep-18,196995589,196995589,90793198,90793198
(주)금비,8870,Sep-19,201404468,201404468,91480486,91480486
(주)금양,1570,Dec-11,109810009,109810009,100918699,100918699
(주)금양,1570,Dec-12,122905331,122905331,108275608,108275608
(주)금양,1570,Dec-13,156304448,156304448,132045280,132045280
(주)금양,1570,Dec-14,158550531,158550531,137946044,137946044
(주)금양,1570,Dec-15,158999533,158999533,152450369,152450369
(주)금양,1570,Dec-16,168681746,168681746,161001876,161001876
(주)금양,1570,Dec-17,180373683,180373683,150809075,150809075
(주)금양,1570,Dec-18,205441375,205441375,151676398,151676398
(주)금양,1570,Dec-19,172723864,172723864,135915020,135915020
(주)금호에이치티,214330,Dec-15,203071984,203071984,181779820,181779820
(주)금호에이치티,214330,Dec-16,208574892,208574892,189733826,189733826
(주)금호에이치티,214330,Dec-17,179707629,179707629,165485490,165485490
(주)금호에이치티,214330,Dec-18,209260006,209260006,189250383,189250383
(주)금호에이치티,214330,Dec-19,251095062,251095062,221734443,221734443
(주)금화피에스시,36190,Dec-11,,,82738193,82738193
(주)금화피에스시,36190,Dec-12,,108224285,108224285,108224285
(주)금화피에스시,36190,Dec-13,166122419,166122419,156630832,156630832
(주)금화피에스시,36190,Dec-14,189631759,189631759,166948026,166948026
(주)금화피에스시,36190,Dec-15,235969690,235969690,196919865,196919865
(주)금화피에스시,36190,Dec-16,235018376,235018376,201547339,201547339
(주)금화피에스시,36190,Dec-17,205781841,205781841,174993150,174993150
(주)금화피에스시,36190,Dec-18,233326733,233326733,202098199,202098199
(주)금화피에스시,36190,Dec-19,209435314,209435314,179177462,179177462
(주)기가레인,49080,Dec-13,94791934,94791934,94055571,94055571
(주)기가레인,49080,Dec-14,95718992,95718992,95460665,95460665
(주)기가레인,49080,Dec-15,61576391,61576391,61254807,61254807
(주)기가레인,49080,Dec-16,75445071,67033288,70397030,61985247
(주)기가레인,49080,Dec-17,100131227,100131227,89874499,89874499
(주)기가레인,49080,Dec-18,124772205,124772205,114668638,114668638
