회사명,거래소코드,회계년도,당기순이익(IFRS연결),전기순이익(IFRS연결),당기순이익(IFRS개별),전기순이익(IFRS개별)
(주)강원랜드,35250,Dec-19,334653892,334653892,335609508,335609508
(주)강원에너지,114190,Nov-11,,,5754715,5754715
(주)강원에너지,114190,Dec-12,,,8974549,8974549
(주)강원에너지,114190,Dec-13,,,3922208,3922208
(주)강원에너지,114190,Dec-14,,1123194,1123194,1123194
(주)강원에너지,114190,Dec-15,102482,102482,885783,885783
(주)강원에너지,114190,Dec-16,-1125371,-1125371,-762058,-762058
(주)강원에너지,114190,Dec-17,-6451819,-6451819,-6291307,-6291307
(주)강원에너지,114190,Dec-18,1708887,1708887,1977524,1977524
(주)강원에너지,114190,Dec-19,-35647438,-35949081,-33460765,-33762408
(주)갤럭시아에스엠,11420,Dec-11,2909464,2909464,3000743,3000743
(주)갤럭시아에스엠,11420,Dec-12,389023,389023,223810,223810
(주)갤럭시아에스엠,11420,Dec-13,-1736750,-1736750,-1420345,-1420345
(주)갤럭시아에스엠,11420,Dec-14,-255270,-255270,-931106,-931106
(주)갤럭시아에스엠,11420,Dec-15,1863773,1863773,2575902,1863773
(주)갤럭시아에스엠,11420,Dec-16,-1562620,-1562620,-1562620,-1562620
(주)갤럭시아에스엠,11420,Dec-17,-5899738,-5899738,-5899738,-5899738
(주)갤럭시아에스엠,11420,Dec-18,-16003255,-16003255,-15678085,-15678085
(주)갤럭시아에스엠,11420,Dec-19,-1375316,,-1375316,-1375316
(주)경농,2100,Dec-11,509664,509664,3154155,3154155
(주)경농,2100,Dec-12,10310339,,6590012,6590012
(주)경농,2100,Dec-13,13950249,13950249,13751960,13751960
(주)경농,2100,Dec-14,7099305,7099305,9271741,9271741
(주)경농,2100,Dec-15,6980392,6980392,6488880,6488880
(주)경농,2100,Dec-16,6365805,6365805,5770891,5770891
(주)경농,2100,Dec-17,10079442,10079442,11539079,11539079
(주)경농,2100,Dec-18,4878426,4878426,9613575,9613575
(주)경농,2100,Dec-19,4014664,4014664,7061857,7061857
(주)경동나비엔,9450,Dec-11,9467023,9467023,9445090,9445090
(주)경동나비엔,9450,Dec-12,9169965,,9214927,9214927
(주)경동나비엔,9450,Dec-13,11129597,11129597,9251575,9251575
(주)경동나비엔,9450,Dec-14,9380054,9380054,9082312,9082312
(주)경동나비엔,9450,Dec-15,16752000,16752000,19320742,19320742
(주)경동나비엔,9450,Dec-16,37469924,37469924,28636194,28636194
(주)경동나비엔,9450,Dec-17,27019124,27019124,16291264,16291264
(주)경동나비엔,9450,Dec-18,24748538,24748538,22818064,22818064
(주)경동나비엔,9450,Dec-19,27852090,27852090,20474157,20474157
(주)경동도시가스,267290,Dec-17,17798556,17798556,17678888,17678888
(주)경동도시가스,267290,Dec-18,34164798,34164798,33981432,33981432
(주)경동도시가스,267290,Dec-19,24638348,24638348,24355132,24355132
(주)경동인베스트,12320,Dec-11,30327559,30327559,50053289,50053289
(주)경동인베스트,12320,Dec-12,42879202,42879202,56917580,56917580
(주)경동인베스트,12320,Dec-13,49841905,50084870,46253877,46253877
(주)경동인베스트,12320,Dec-14,75930406,75930406,44839494,44839494
(주)경동인베스트,12320,Dec-15,-21251390,-21251390,-6095609,-6095609
(주)경동인베스트,12320,Dec-16,19132415,19132415,16356641,16356641
(주)경동인베스트,12320,Dec-17,51930860,51930860,7248447,7248447
(주)경동인베스트,12320,Dec-18,29827973,30560131,1574966,1574966
(주)경동인베스트,12320,Dec-19,8856009,8856009,-917643,-917643
(주)경방,50,Dec-11,-1131177,-1131177,-1822388,-1822388
(주)경방,50,Dec-12,-7910168,-7910168,-7074187,-7074187
(주)경방,50,Dec-13,14574395,14574395,15103835,15103835
(주)경방,50,Dec-14,11488471,11488471,14235818,14235818
(주)경방,50,Dec-15,16692163,16692163,21604723,21604723
(주)경방,50,Dec-16,29474988,29474988,30977743,30977743
(주)경방,50,Dec-17,25315361,25315361,25679379,25679379
(주)경방,50,Dec-18,20189241,20189241,29198252,29198252
(주)경방,50,Dec-19,43621631,43621631,22223943,22223943
(주)경보제약,214390,Dec-15,,,26109623,26109623
(주)경보제약,214390,Dec-16,,,12705930,12705930
(주)경보제약,214390,Dec-17,,,17963310,17963310
