회사명,거래소코드,회계년도,매출액(IFRS연결),매출원가(IFRS연결),매출액(IFRS개별),매출원가(IFRS개별)
(주)강원에너지,114190,Dec-16,42287473,35270278,44448760,37206789
(주)강원에너지,114190,Dec-17,82034829,81169717,83113029,82247917
(주)강원에너지,114190,Dec-18,85905365,80012233,85905365,80012233
(주)강원에너지,114190,Dec-19,42549622,48688856,42549622,48688856
(주)갤럭시아에스엠,11420,Dec-11,47331427,38695073,31931418,26327117
(주)갤럭시아에스엠,11420,Dec-12,55049732,47555420,37398255,33745924
(주)갤럭시아에스엠,11420,Dec-13,46437304,41764586,30903637,28202016
(주)갤럭시아에스엠,11420,Dec-14,43885894,40216941,33027933,31283923
(주)갤럭시아에스엠,11420,Dec-15,62472754,56009656,53784932,48457121
(주)갤럭시아에스엠,11420,Dec-16,52626331,51678856,45665676,45279432
(주)갤럭시아에스엠,11420,Dec-17,37281280,37435336,36917656,37068260
(주)갤럭시아에스엠,11420,Dec-18,22060413,27428110,22030258,24112403
(주)갤럭시아에스엠,11420,Dec-19,28732679,26937800,28732679,26937800
(주)경농,2100,Dec-11,121253605,79220101,120728258,79073941
(주)경농,2100,Dec-12,136970449,87614008,131021366,83085935
(주)경농,2100,Dec-13,196358952,129161139,139237273,85548073
(주)경농,2100,Dec-14,188483147,122779838,134806677,81145006
(주)경농,2100,Dec-15,196418710,127105636,137609256,84402122
(주)경농,2100,Dec-16,203984939,135371879,143209666,90377050
(주)경농,2100,Dec-17,206534382,138859895,143175105,90974073
(주)경농,2100,Dec-18,212654617,139911460,146216658,91408676
(주)경농,2100,Dec-19,227510941,153098094,151342037,94631333
(주)경동나비엔,9450,Dec-11,341246917,251540613,318269213,246619329
(주)경동나비엔,9450,Dec-12,379014259,282583068,341339118,268142768
(주)경동나비엔,9450,Dec-13,414177562,296168554,371601179,284158227
(주)경동나비엔,9450,Dec-14,428985365,313840608,382392117,293438355
(주)경동나비엔,9450,Dec-15,512031120,352051189,448302084,334829527
(주)경동나비엔,9450,Dec-16,583252904,382333051,506082201,369054723
(주)경동나비엔,9450,Dec-17,684660958,446078996,569819524,423216560
(주)경동나비엔,9450,Dec-18,726741615,487844378,618058456,466381901
(주)경동나비엔,9450,Dec-19,774290704,509635845,655419303,479160026
(주)경동도시가스,267290,Dec-17,871548284,793238142,870828897,793617236
(주)경동도시가스,267290,Dec-18,1606531867,1480519376,1605687067,1480519376
(주)경동도시가스,267290,Dec-19,1422707835,1310188918,1421866212,1310791588
(주)경동인베스트,12320,Dec-11,1847666903,1739469751,1806174764,1697470671
(주)경동인베스트,12320,Dec-12,2502642394,2381579037,2403814656,2292736954
(주)경동인베스트,12320,Dec-13,2788264380,2659198011,2664100017,2552976223
(주)경동인베스트,12320,Dec-14,2603059058,2470957525,2399450987,2293899450
(주)경동인베스트,12320,Dec-15,1604168482,1520436435,1352478311,1263722829
(주)경동인베스트,12320,Dec-16,1181902637,1064804018,1021002691,924418543
(주)경동인베스트,12320,Dec-17,195069859,140724518,612436,0
(주)경동인베스트,12320,Dec-18,228644016,171130400,7460898,3635575
